month,hour,n,actual_mean,mu_pre,sigma_pre,drift_mw,drift_sigma
1,0,62,16741.145161290322,15741.215542521993,1315.1484058428393,-999.9296187683285,-0.7603169454686017
1,1,62,16388.564516129034,15321.25513196481,1330.4368695057094,-1067.309384164224,-0.802224749349254
1,2,62,16214.41935483871,15090.458944281525,1344.7585491755278,-1123.9604105571852,-0.8358083399033127
1,3,62,16166.193548387097,15008.702346041056,1358.6549259818144,-1157.4912023460402,-0.8519390613548132
1,4,62,16272.661290322581,15118.3211143695,1382.7687863164642,-1154.3401759530807,-0.834803466332292
1,5,62,16691.870967741936,15591.08797653959,1455.0022938360435,-1100.7829912023462,-0.7565506912708604
1,6,62,17585.790322580644,16618.92815249267,1697.4061690158408,-966.8621700879739,-0.5696115565837506
1,7,62,18665.774193548386,17878.819648093842,2074.1812526972417,-786.9545454545441,-0.3794049070837939
1,8,62,19101.74193548387,18319.240469208213,2019.0942840043515,-782.5014662756585,-0.38755073127331585
1,9,62,19193.25806451613,18477.721407624635,1848.9772483737024,-715.5366568914942,-0.38699051463226813
1,10,62,19180.225806451614,18584.212609970673,1763.809335434082,-596.0131964809407,-0.33791248549790615
1,11,62,19106.58064516129,18590.209677419356,1697.6767795709732,-516.3709677419356,-0.304163297722921
1,12,62,19016.0,18485.120234604106,1623.2916551142423,-530.8797653958936,-0.3270390528549424
1,13,62,18974.274193548386,18386.551319648093,1602.6095536207654,-587.722873900293,-0.36672867235344664
1,14,62,19035.935483870966,18316.695014662757,1556.3972869344368,-719.2404692082091,-0.4621188145507909
1,15,62,19304.274193548386,18470.302052785923,1502.992765688143,-833.9721407624638,-0.5548743545552802
1,16,62,19862.354838709678,19144.3284457478,1480.343580603701,-718.0263929618777,-0.4850403665539985
1,17,62,20510.74193548387,20147.782991202344,1526.8756193448123,-362.9589442815268,-0.23771349786649534
1,18,62,20370.548387096773,20174.938416422283,1646.420934455053,-195.6099706744899,-0.11880921007557196
1,19,62,20024.983870967742,19773.870967741936,1632.4464594419135,-251.1129032258068,-0.1538261189354137
1,20,62,19643.75806451613,19347.200879765394,1619.1795666734604,-296.55718475073445,-0.18315274652335153
1,21,62,19021.983870967742,18655.230205278593,1554.1831189380582,-366.7536656891498,-0.23597841285249907
1,22,62,18160.967741935485,17638.4926686217,1446.9966275130998,-522.4750733137844,-0.3610755293961833
1,23,62,17378.290322580644,16553.99853372434,1348.4651779961,-824.2917888563024,-0.6112814793491734
2,0,56,16683.839285714286,15712.109324758843,1187.1255996385207,-971.729960955443,-0.8185569928332219
2,1,56,16321.107142857143,15311.31350482315,1197.453313406552,-1009.7936380339925,-0.8432843491503651
2,2,56,16219.19642857143,15105.136655948552,1203.5492689577638,-1114.059772622877,-0.9256453402922326
2,3,56,16185.767857142857,15041.056270096464,1206.4135407434417,-1144.711587046393,-0.9488550554074308
2,4,56,16312.94642857143,15162.967845659165,1220.2725002268278,-1149.9785829122648,-0.9423949017113009
2,5,56,16786.035714285714,15669.390675241157,1277.0449787391542,-1116.645039044557,-0.87439758006569
2,6,56,17700.035714285714,16746.659163987137,1499.9325576587023,-953.3765502985771,-0.635612945015832
2,7,56,18656.14285714286,17890.684887459807,1831.8308301803613,-765.4579696830515,-0.41786498898901314
2,8,56,18946.821428571428,18246.194533762056,1789.8199584971715,-700.6268948093712,-0.39145104594635033
2,9,56,18925.75,18315.819935691317,1704.1043774368293,-609.9300643086826,-0.357918254529742
2,10,56,18795.303571428572,18308.586816720257,1715.982242818411,-486.7167547083154,-0.28363740752288247
2,11,56,18635.928571428572,18231.66237942122,1713.0457638984603,-404.2661920073515,-0.23599263985063865
2,12,56,18499.75,18072.03697749196,1675.4493271674462,-427.71302250804,-0.25528257737949117
2,13,56,18389.053571428572,17927.797427652735,1684.4105829750863,-461.2561437758377,-0.273838307855526
2,14,56,18382.428571428572,17819.5,1655.9912082020594,-562.9285714285725,-0.33993451694695564
2,15,56,18593.23214285714,17935.495176848875,1589.2925696539776,-657.7369660082659,-0.4138551822157383
2,16,56,19166.214285714286,18468.90353697749,1525.501504726051,-697.3107487367961,-0.4571026292511058
2,17,56,19805.910714285714,19247.487138263667,1475.0389298048324,-558.4235760220472,-0.37858226297521125
2,18,56,20052.714285714286,19808.27652733119,1511.1189253335851,-244.4377583830974,-0.1617594447962703
2,19,56,19791.14285714286,19580.93569131833,1522.1150899010402,-210.2071658245295,-0.13810201818457504
2,20,56,19397.553571428572,19156.97427652733,1508.342621792422,-240.57929490124297,-0.1594991028068631
2,21,56,18805.196428571428,18474.818327974277,1443.3740354577494,-330.3781005971505,-0.22889292205701545
2,22,56,17971.660714285714,17489.12540192926,1342.7691076125175,-482.5353123564528,-0.3593583659475266
2,23,56,17221.625,16435.221864951767,1240.9985067242658,-786.4031350482328,-0.6336858028330905
3,0,62,14889.806451612903,14506.142228739003,1301.9387335013907,-383.66422287390014,-0.29468684892881736
3,1,62,14669.709677419354,14220.939882697947,1269.0144814342561,-448.7697947214074,-0.353636464584866
3,2,62,14641.322580645161,14088.33137829912,1238.4503823913851,-552.9912023460402,-0.4465186576778652
3,3,62,14730.645161290322,14109.705278592375,1207.6119088555233,-620.9398826979468,-0.5141882736867205
3,4,62,15137.806451612903,14421.91935483871,1186.3204954857567,-715.8870967741932,-0.6034516806363212
3,5,62,15996.112903225807,15232.620234604106,1280.2528881522853,-763.4926686217004,-0.5963608250270032
3,6,62,16934.274193548386,16286.6715542522,1544.7545977107638,-647.6026392961867,-0.41922687283526844
3,7,62,17354.612903225807,16953.82404692082,1664.7045329178452,-400.78885630498553,-0.24075675195194826
3,8,62,17281.5,17159.50146627566,1675.6865989273103,-121.99853372434154,-0.07280510198174218
3,9,62,17031.58064516129,17150.975073313784,1702.2478265832965,119.39442815249276,0.07013927483880997
3,10,62,16853.483870967742,17109.442815249266,1754.3512969842218,255.95894428152315,0.14589948131911984
3,11,62,16685.274193548386,16999.397360703813,1761.817179180769,314.1231671554269,0.1782949847846822
3,12,62,16530.516129032258,16837.020527859237,1756.8599097830593,306.504398826979,0.17446149070862846
3,13,62,16424.725806451614,16667.18328445748,1775.8788786441687,242.4574780058647,0.13652816130736
3,14,62,16467.887096774193,16585.221407624635,1731.3039306813696,117.3343108504414,0.06777221998465831
3,15,62,16837.75806451613,16756.190615835778,1642.2164972432347,-81.56744868035094,-0.049669120251365786
3,16,62,17400.145161290322,17151.762463343108,1554.3690512890046,-248.38269794721418,-0.15979647673841407
3,17,62,17743.387096774193,17483.75659824047,1555.6135257199298,-259.63049853372286,-0.16689910073491243
3,18,62,18103.90322580645,18003.1935483871,1581.576713075147,-100.70967741935237,-0.06367675787508087
3,19,62,18042.83870967742,18251.369501466277,1591.004983921453,208.53079178885673,0.1310685974564815
3,20,62,17501.177419354837,17741.595307917887,1608.7542011578385,240.41788856304993,0.14944351871157102
3,21,62,16752.274193548386,16932.634897360706,1615.50131973992,180.36070381231912,0.11164379849677587
3,22,62,15948.5,15917.840175953079,1556.7879435848115,-30.65982404692113,-0.019694284101610417
3,23,62,15282.709677419354,15020.727272727272,1410.0012045655283,-261.9824046920821,-0.1858029651632874
4,0,60,13616.616666666667,12982.075757575758,1010.8509270312813,-634.5409090909088,-0.627729462497958
4,1,60,13391.333333333334,12769.463636363636,1008.5979722825027,-621.8696969696975,-0.6165684584536476
4,2,60,13306.3,12673.351515151515,997.9015086742767,-632.9484848484844,-0.6342795149086041
4,3,60,13427.616666666667,12762.19696969697,1005.2937622394139,-665.4196969696968,-0.6619156727754817
4,4,60,13884.7,13207.063636363637,1083.8343089687837,-677.636363636364,-0.6252213627386481
4,5,60,14752.883333333333,14177.245454545455,1360.923404625332,-575.6378787878784,-0.42297595649503433
4,6,60,15636.283333333333,15162.542424242425,1721.8584014948408,-473.74090909090773,-0.27513348872336246
4,7,60,15896.416666666666,15681.7,1757.908395813856,-214.71666666666533,-0.12214326251468768
4,8,60,15748.983333333334,15794.142424242424,1731.7736233606595,45.15909090909008,0.0260767864228437
4,9,60,15565.0,15840.39393939394,1790.5529726212746,275.39393939393995,0.15380384920462745
4,10,60,15495.466666666667,15849.031818181818,1798.8554480873536,353.56515151515123,0.1965500629253351
4,11,60,15393.1,15754.325757575758,1762.1898084585205,361.2257575757576,0.20498686114394263
4,12,60,15288.15,15630.834848484848,1790.4476983547852,342.68484848484877,0.19139617917894872
4,13,60,15220.883333333333,15465.204545454546,1790.5281345419532,244.32121212121274,0.13645203747871526
4,14,60,15214.883333333333,15415.951515151515,1759.167141731291,201.06818181818198,0.11429737234649573
4,15,60,15547.7,15648.665151515152,1698.8507188075216,100.96515151515086,0.05943144409181613
4,16,60,15977.95,15910.45909090909,1542.6860391276348,-67.49090909091137,-0.043748959528457546
4,17,60,16179.55,15907.672727272728,1408.1681388589734,-271.8772727272717,-0.19307159793259598
4,18,60,16393.566666666666,16080.146969696969,1363.3239587885535,-313.4196969696968,-0.22989377906055494
4,19,60,16659.416666666668,16551.298484848485,1395.4327876843759,-108.11818181818307,-0.07748003542155385
4,20,60,16295.5,16212.030303030304,1352.493007167486,-83.46969696969609,-0.06171543699475824
4,21,60,15475.8,15267.50303030303,1238.7700903980751,-208.29696969696852,-0.16814820708985062
4,22,60,14655.166666666666,14186.59090909091,1106.3136805881647,-468.57575757575614,-0.4235469250697874
4,23,60,14024.316666666668,13385.16212121212,1019.6441162996259,-639.1545454545467,-0.6268408116491587
5,0,47,12932.829787234043,12490.067321178121,892.8122284314742,-442.7624660559213,-0.49591890876515315
5,1,47,12709.148936170213,12203.315568022439,868.3209970561863,-505.8333681477743,-0.5825419054274503
5,2,47,12603.191489361701,12052.600280504908,836.7723294254239,-550.591208856793,-0.6579940438934694
5,3,47,12676.95744680851,12087.415147265077,840.0581901296754,-589.5422995434328,-0.7017874552861966
5,4,47,13029.91489361702,12426.305750350632,932.0024272301849,-603.6091432663889,-0.6476476086658411
5,5,47,13782.340425531915,13173.681626928472,1261.4346326643295,-608.6587986034428,-0.4825131503785248
5,6,47,14617.468085106382,14334.739130434784,1715.3858221782496,-282.72895467159833,-0.16481945403546616
5,7,47,14930.63829787234,15042.531556802245,1820.37634997098,111.89325892990564,0.06146710208122041
