hour,signed,absol,W_years
1,11.412299297564012,190.08174781596603,1.0
2,-1.4241222392476411,240.69527173671145,1.0
3,-58.47683209106949,257.20470576427226,1.0
4,-79.14865155592462,302.556436166959,1.0
5,-50.01032483814494,377.71299264591556,1.0
6,30.542243750716647,590.8526866533784,1.0
7,280.83765453015235,830.4582925002443,1.0
8,405.4983760313942,853.4014869874532,1.0
9,314.9178097410706,739.8144737520219,1.0
10,242.8459810340393,734.9989263529961,1.0
11,200.19152208898572,773.5981946003304,1.0
12,179.3074823284499,799.2860294801598,1.0
13,140.72561831301272,852.5081714038183,1.0
14,106.78490546398852,864.472921546953,1.0
15,65.67913023465061,885.8282680932406,1.0
16,-3.2052248429789323,900.3117687505642,1.0
17,-43.72178135567117,880.1063276684615,1.0
18,-122.4972729931483,841.723124342538,1.0
19,-178.18241020507207,832.8317652965096,1.0
20,-220.15421571212374,805.0206828569806,1.0
21,-242.45960674429386,790.985498259582,1.0
22,-305.7344708291269,757.1224714922789,1.0
23,-452.3988389497607,763.0923653823942,1.0
24,-542.6961771706552,782.5651791685093,1.0
1,14.734183789231952,167.06213219663482,2.0
2,-0.4938032986224498,217.6594929156037,2.0
3,-45.21775074002109,234.73348987237407,2.0
4,-58.41157603931994,278.39429176010407,2.0
5,-23.360059135185562,356.2953129081817,2.0
6,82.36248646487286,578.0038509606551,2.0
7,327.92292283296257,847.8314267299539,2.0
8,472.3101436491174,896.3866276146423,2.0
9,404.9617919790438,779.53471429797,2.0
10,342.67059659743154,755.271287002209,2.0
11,289.77109271870296,778.3349452466463,2.0
12,250.72502281003491,793.7236649832109,2.0
13,203.1438592015244,837.3225942701387,2.0
14,159.16516670547225,843.369049015759,2.0
15,99.43100045885335,861.112283126228,2.0
16,15.74477011639858,872.5131773236719,2.0
17,-44.17682942302473,848.2435379318041,2.0
18,-116.47134325279163,809.1356985174275,2.0
19,-167.25894889205503,794.6488097389171,2.0
20,-217.67190963506403,775.0030386835062,2.0
21,-250.07691286860862,768.7885499087648,2.0
22,-320.03238054253416,736.5141357361182,2.0
23,-474.2348577254566,746.4539633948839,2.0
24,-582.1376344016952,781.8975780810538,2.0
1,-9.987983591782376,161.6017278831111,3.0
2,-36.95874167805485,211.67388907414804,3.0
3,-78.44940658650572,237.4610713169718,3.0
4,-94.52026463046737,281.42748145612586,3.0
5,-64.88088819758646,355.7014778438136,3.0
6,37.0066522589447,565.6391848451889,3.0
7,255.56400387532716,815.8717779881086,3.0
8,391.65825235525455,849.2627358925033,3.0
9,351.49880216613553,742.8328566496708,3.0
10,296.78049851388613,724.614279628292,3.0
11,249.60616330767593,749.0177573306422,3.0
12,212.41845099325494,774.3017868187975,3.0
13,158.79699179510413,818.1220269412042,3.0
14,105.24938599853063,835.3918617552285,3.0
15,38.76609932469136,864.7112206794501,3.0
16,-27.55242287178223,884.1150431762135,3.0
17,-50.332905782680626,854.9911636317315,3.0
18,-78.72984536459126,799.8171441963381,3.0
19,-117.60766899044928,775.7049824359806,3.0
20,-195.91757702377365,765.0815334536951,3.0
21,-243.3899232115986,768.6599069210753,3.0
22,-318.3231280177277,738.9944007998951,3.0
23,-461.8360908745722,739.4620624497618,3.0
24,-568.8952940290112,768.2888165686422,3.0
1,-15.487723458543176,152.09616559932343,5.0
2,-50.312892240154845,207.62399451190154,5.0
3,-92.89961468364648,237.97517098889168,5.0
4,-109.88950838854902,281.9843561514154,5.0
5,-82.13560287302434,358.656012428201,5.0
6,22.15847160117333,559.5591432257223,5.0
7,257.70529603460926,810.1154970133374,5.0
8,440.33395384647116,867.811687239199,5.0
9,417.4324923114694,763.2157928833803,5.0
10,361.60799777961313,739.8515061380089,5.0
11,325.06722747847414,762.5669555677439,5.0
12,301.314193326527,785.1107034266572,5.0
13,238.44701329747238,819.1376109123556,5.0
14,173.73114911695262,833.0825754125713,5.0
15,92.51945112256143,854.3626363897378,5.0
16,13.150939316133892,869.1279981567959,5.0
17,-6.026658203770298,846.5437787283395,5.0
18,-19.55697843819492,785.5262515219925,5.0
19,-71.80142011926323,756.9246450972777,5.0
20,-170.62781163298777,745.6449616333177,5.0
21,-241.4248462915477,754.4896825900603,5.0
22,-324.0343894481622,727.2799205901592,5.0
23,-484.63283396010246,740.8613516942443,5.0
24,-611.7812027944728,785.3772806295293,5.0
1,-7.118443571771353,151.74074448289147,10.0
2,-44.97073508368214,207.21031204191252,10.0
3,-85.96129572464666,236.47266611225064,10.0
4,-109.01344316093274,279.32614753174164,10.0
5,-66.66083650757668,350.74271552071184,10.0
6,130.9942120906377,561.1806135723688,10.0
7,464.1730729759416,861.9579137717056,10.0
8,609.5155663014891,927.9244414282703,10.0
9,520.6530159913721,802.2537124645901,10.0
10,442.31108537482646,773.9120051323096,10.0
11,393.16214099581356,791.6877715141943,10.0
12,346.04032708641046,806.4189915020255,10.0
13,282.3951964157554,837.5763561460537,10.0
14,225.67892954915345,852.2570649468896,10.0
15,143.81681802431441,877.0651935873835,10.0
16,43.665579668980705,887.2910105370122,10.0
17,-13.286177659800781,855.1176106510092,10.0
18,6.9508915885745335,789.6687446974753,10.0
19,37.29153542764641,752.9113631168642,10.0
20,49.375536630760514,723.6525836452037,10.0
21,15.940450659867311,716.8103150409316,10.0
22,-105.35001458049234,663.8700761045328,10.0
23,-347.0750718878263,663.5038303705128,10.0
24,-545.2290108532678,731.6402625310104,10.0
