level,daytype,horizon,n_days,cov_emp,se,cell
0.5,saturday,1,72,0.5138888888888888,0.058902827083330896,C
0.5,sunday,1,71,0.4225352112676056,0.05862259412843413,C
0.5,weekday,1,357,0.453781512605042,0.026349506685803742,C
0.5,all,1,500,0.458,0.022281651644346298,C
0.5,saturday,2,72,0.5972222222222222,0.05780088420918413,C
0.5,sunday,2,71,0.5070422535211268,0.05933319697178108,C
0.5,weekday,2,357,0.5322128851540616,0.02640782977591178,C
0.5,all,2,500,0.538,0.022296008611408454,C
0.5,saturday,3,72,0.6527777777777778,0.05610740575713344,C
0.5,sunday,3,71,0.5492957746478874,0.059049982004012076,C
0.5,weekday,3,357,0.5854341736694678,0.026073640701101308,C
0.5,all,3,500,0.59,0.02199545407578575,C
0.5,saturday,4,72,0.6527777777777778,0.05610740575713344,C
0.5,sunday,4,71,0.5492957746478874,0.059049982004012076,C
0.5,weekday,4,357,0.5910364145658263,0.026020481656007857,C
0.5,all,4,500,0.594,0.021961967125009547,C
0.5,saturday,5,72,0.5416666666666666,0.058720605990582514,C
0.5,sunday,5,71,0.5211267605633803,0.059286088431625354,C
0.5,weekday,5,357,0.5714285714285714,0.026191385629377464,C
0.5,all,5,500,0.56,0.02219909908081857,C
0.5,saturday,6,72,0.25,0.05103103630798288,C
0.5,sunday,6,71,0.38028169014084506,0.05761302746414258,C
0.5,weekday,6,357,0.5882352941176471,0.026047496633532213,C
0.5,all,6,500,0.51,0.022356207191739835,C
0.5,saturday,7,72,0.05555555555555555,0.026995147661320835,C
0.5,sunday,7,71,0.056338028169014086,0.02736401840987166,C
0.5,weekday,7,357,0.6134453781512605,0.025772661898485816,C
0.5,all,7,500,0.454,0.022265848288354075,C
0.5,saturday,8,72,0.027777777777777776,0.01936713024384434,C
0.5,sunday,8,71,0.014084507042253521,0.013984968642741177,C
0.5,weekday,8,357,0.6526610644257703,0.025199184072002254,C
0.5,all,8,500,0.472,0.022325590697672478,C
0.5,saturday,9,72,0.125,0.03897559777889522,C
0.5,sunday,9,71,0.056338028169014086,0.02736401840987166,C
0.5,weekday,9,357,0.5938375350140056,0.025992593053030224,C
0.5,all,9,500,0.45,0.022248595461286987,C
0.5,saturday,10,72,0.16666666666666666,0.04392052305789416,C
0.5,sunday,10,71,0.15492957746478872,0.04294221526646171,C
0.5,weekday,10,357,0.5154061624649859,0.026450241332534315,C
0.5,all,10,500,0.414,0.0220274374360705,C
0.5,saturday,11,72,0.2361111111111111,0.0500503433112029,C
0.5,sunday,11,71,0.22535211267605634,0.049585399087381056,C
0.5,weekday,11,357,0.48739495798319327,0.026454395668474198,C
0.5,all,11,500,0.414,0.0220274374360705,C
0.5,saturday,12,72,0.3333333333333333,0.05555555555555556,C
0.5,sunday,12,71,0.30985915492957744,0.054880979931595526,C
0.5,weekday,12,357,0.47058823529411764,0.026416983125827756,C
0.5,all,12,500,0.428,0.022127629787213995,C
0.5,saturday,13,72,0.3611111111111111,0.05660657065109946,C
0.5,sunday,13,71,0.36619718309859156,0.057174899223846616,C
0.5,weekday,13,357,0.5070028011204482,0.02646021064302055,C
0.5,all,13,500,0.466,0.022308921982023246,C
0.5,saturday,14,72,0.4166666666666667,0.05810139073153302,C
0.5,sunday,14,71,0.43661971830985913,0.05886041495942303,C
0.5,weekday,14,357,0.5714285714285714,0.026191385629377464,C
0.5,all,14,500,0.53,0.022320394261750844,C
0.5,saturday,15,72,0.4027777777777778,0.05780088420918413,C
0.5,sunday,15,71,0.43661971830985913,0.05886041495942303,C
0.5,weekday,15,357,0.5910364145658263,0.026020481656007857,C
0.5,all,15,500,0.542,0.022281651644346295,C
0.5,saturday,16,72,0.4305555555555556,0.05835445678683116,C
0.5,sunday,16,71,0.5352112676056338,0.05919175887556613,C
0.5,weekday,16,357,0.5994397759103641,0.025934183608879884,C
0.5,all,16,500,0.566,0.02216501748251059,C
0.5,saturday,17,72,0.4027777777777778,0.05780088420918413,C
0.5,sunday,17,71,0.5633802816901409,0.05886041495942303,C
0.5,weekday,17,357,0.6498599439775911,0.025246238158413894,C
0.5,all,17,500,0.602,0.02189045454073533,C
0.5,saturday,18,72,0.3333333333333333,0.05555555555555556,C
0.5,sunday,18,71,0.5352112676056338,0.05919175887556613,C
0.5,weekday,18,357,0.6274509803921569,0.02558865774193387,C
0.5,all,18,500,0.572,0.022127629787213995,C
0.5,saturday,19,72,0.2916666666666667,0.05356683548799136,C
0.5,sunday,19,71,0.5211267605633803,0.059286088431625354,C
0.5,weekday,19,357,0.6414565826330533,0.025381682185379336,C
0.5,all,19,500,0.574,0.02211442967837968,C
0.5,saturday,20,72,0.2222222222222222,0.04899539464934427,C
0.5,sunday,20,71,0.4788732394366197,0.05928608843162535,C
0.5,weekday,20,357,0.680672268907563,0.02467477710829337,C
0.5,all,20,500,0.586,0.0220274374360705,C
0.5,saturday,21,72,0.2361111111111111,0.0500503433112029,C
0.5,sunday,21,71,0.4225352112676056,0.05862259412843413,C
0.5,weekday,21,357,0.7030812324929971,0.024181735648235326,C
0.5,all,21,500,0.596,0.021944657664224338,C
0.5,saturday,22,72,0.2916666666666667,0.05356683548799136,C
0.5,sunday,22,71,0.5352112676056338,0.05919175887556613,C
0.5,weekday,22,357,0.742296918767507,0.023148056113568082,C
0.5,all,22,500,0.648,0.02135865164283551,C
0.5,saturday,23,72,0.5277777777777778,0.05883456031082794,C
0.5,sunday,23,71,0.6056338028169014,0.05799969641766592,C
0.5,weekday,23,357,0.7647058823529411,0.02245011874147451,C
0.5,all,23,500,0.708,0.0203340109176719,C
0.5,saturday,24,72,0.6805555555555556,0.05494943273365379,C
0.5,sunday,24,71,0.5633802816901409,0.05886041495942303,C
0.5,weekday,24,357,0.6946778711484594,0.024374558904870742,C
0.5,all,24,500,0.674,0.020963015050321363,C
0.6827,saturday,1,72,0.6666666666666666,0.05555555555555556,C
0.6827,sunday,1,71,0.5774647887323944,0.05862259412843413,C
0.6827,weekday,1,357,0.6078431372549019,0.02583994355188809,C
0.6827,all,1,500,0.612,0.021792475765731623,C
0.6827,saturday,2,72,0.7222222222222222,0.05278589931014528,C
0.6827,sunday,2,71,0.7183098591549296,0.05338417835400071,C
0.6827,weekday,2,357,0.7058823529411765,0.024115295932081993,C
0.6827,all,2,500,0.71,0.020292855885754475,C
0.6827,saturday,3,72,0.75,0.05103103630798288,C
0.6827,sunday,3,71,0.7605633802816901,0.05064467838459024,C
