daytype,horizon,n_days,crps_mw,cell
saturday,1,72,134.61843126221385,C
sunday,1,71,131.3087017635216,C
weekday,1,357,115.15901803776629,C
all,1,500,120.254428631144,C
saturday,2,72,158.5873510040164,C
sunday,2,71,163.9216067248932,C
weekday,2,357,151.5291164774052,C
all,2,500,154.30523586438048,C
saturday,3,72,176.3197435957729,C
sunday,3,71,179.21664649308377,C
weekday,3,357,172.79297388319728,C
all,3,500,174.21299023241207,C
saturday,4,72,208.6161777147456,C
sunday,4,71,203.83433248092908,C
weekday,4,357,205.53869211101133,C
all,4,500,205.7398309704774,C
saturday,5,72,283.3586456050053,C
sunday,5,71,249.50764364848007,C
weekday,5,357,249.7322324740001,C
all,5,500,254.542544351641,C
saturday,6,72,556.4735569694175,C
sunday,6,71,480.7848797416052,C
weekday,6,357,330.5890643115954,C
all,6,500,384.44423704538315,C
saturday,7,72,1055.024070608713,C
sunday,7,71,958.1638417764163,C
weekday,7,357,413.22757901189686,C
all,7,500,583.0272231144,C
saturday,8,72,1303.1558038224434,C
sunday,8,71,1256.273281594897,C
weekday,8,357,467.9702499747346,C
all,8,500,700.1760002188678,C
saturday,9,72,1136.310023869483,C
sunday,9,71,1199.1716001379864,C
weekday,9,357,528.1589249621213,C
all,9,500,711.0164830797543,C
saturday,10,72,1050.1625913503062,C
sunday,10,71,1134.3973347059623,C
weekday,10,357,624.85291690901,C
all,10,500,758.452817355724,C
saturday,11,72,999.3668272228656,C
sunday,11,71,1093.66709230641,C
weekday,11,357,694.8917655072786,C
all,11,500,795.3622707997997,C
saturday,12,72,944.3454220729296,C
sunday,12,71,1012.4450765567219,C
weekday,12,357,711.2622947081235,C
all,12,500,787.5942200711565,C
saturday,13,72,942.1516555746942,C
sunday,13,71,973.0439287457036,C
weekday,13,357,700.2568431394817,C
all,13,500,773.8254622862357,C
saturday,14,72,919.5517946448823,C
sunday,14,71,922.1303593306266,C
weekday,14,357,674.5594521817443,C
all,14,500,744.9934183115774,C
saturday,15,72,875.483631450029,C
sunday,15,71,858.1403684658991,C
weekday,15,357,645.1345023455755,C
all,15,500,708.5516099257027,C
saturday,16,72,809.7692198514274,C
sunday,16,71,762.9981501083487,C
weekday,16,357,609.0669212104597,C
all,16,500,659.8262867182593,C
saturday,17,72,767.851646282083,C
sunday,17,71,650.8980711539375,C
weekday,17,357,563.7247499992852,C
all,17,500,605.4976346679689,C
saturday,18,72,794.8845045560649,C
sunday,18,71,602.4934977643222,C
weekday,18,357,557.8414851231989,C
all,18,500,598.3162657165711,C
saturday,19,72,848.2903207559334,C
sunday,19,71,626.5454802276679,C
weekday,19,357,562.2336300821169,C
all,19,500,612.5580762598147,C
saturday,20,72,899.1837754745952,C
sunday,20,71,651.7076985935122,C
weekday,20,357,533.983508870453,C
all,20,500,603.2891822021238,C
saturday,21,72,887.7809125311345,C
sunday,21,71,657.7155247449284,C
weekday,21,357,508.6188950352637,C
all,21,500,584.3899469734414,C
saturday,22,72,729.5736911533853,C
sunday,22,71,599.3250007202053,C
weekday,22,357,463.93788521536914,C
all,22,500,521.4144116721302,C
saturday,23,72,528.833720926682,C
sunday,23,71,518.7290020856924,C
weekday,23,357,426.0013726768582,C
all,23,500,453.97655420088734,C
saturday,24,72,429.3842348433792,C
sunday,24,71,500.84726926542373,C
weekday,24,357,436.8490790572864,C
all,24,500,444.86188450003925,C
saturday,1,72,134.66042977951278,D
sunday,1,71,134.87417803144245,D
weekday,1,357,116.42701563679414,D
all,1,500,121.67212433338568,D
saturday,2,72,158.08671256265052,D
sunday,2,71,167.37050980930732,D
weekday,2,357,150.90646545696248,D
all,2,500,154.2783153382145,D
saturday,3,72,174.20251415361312,D
sunday,3,71,182.59382817269113,D
weekday,3,357,172.4655421275176,D
all,3,500,174.15388271769,D
saturday,4,72,204.8746983922706,D
sunday,4,71,207.951474821566,D
weekday,4,357,206.08937807829633,D
all,4,500,206.1788819410529,D
saturday,5,72,281.2574369030755,D
sunday,5,71,254.3956181677257,D
weekday,5,357,250.5720318491915,D
all,5,500,255.53367943418266,D
saturday,6,72,561.3642943702073,D
sunday,6,71,486.4453443238142,D
weekday,6,357,329.45469651481426,D
all,6,500,385.1423505948689,D
saturday,7,72,1068.2073378127889,D
