n,mean,std,chi2,cell,stratum,stratum_value
12000,0.41655396914214393,0.2653357067180758,1172.9966666666667,C,all,all
1728,0.2727269975663585,0.24032217791880917,1332.9722222222226,C,daytype,saturday
1704,0.33043992831282804,0.2773898794966606,892.5727699530516,C,daytype,sunday
8568,0.4626874113055556,0.25277006328588547,700.155929038282,C,daytype,weekday
500,0.538399153494576,0.31020551695071197,78.24,C,horizon,h=1
500,0.4976042063508407,0.29569410645153266,58.63999999999999,C,horizon,h=6
500,0.2721902788318083,0.21074152484351918,338.4,C,horizon,h=12
500,0.4172612512510794,0.24120970165259348,99.28,C,horizon,h=18
500,0.5739350201457453,0.21861002819906222,134.56,C,horizon,h=24
12000,0.41669225973209945,0.2732316064210227,1121.8566666666668,D,all,all
1728,0.268636682195542,0.24673724418004853,1538.8981481481478,D,daytype,saturday
1704,0.32974392522002655,0.286639981081907,1039.2863849765258,D,daytype,sunday
8568,0.4638444539421535,0.2604016758563396,461.61718020541554,D,daytype,weekday
500,0.5415958149198804,0.33127918174972476,124.56,D,horizon,h=1
500,0.5015880537964263,0.3031195713250112,68.0,D,horizon,h=6
500,0.26985908507271866,0.21490443418373578,370.0,D,horizon,h=12
500,0.41513415071011583,0.2485286424866147,89.68,D,horizon,h=18
500,0.5754554837916799,0.22225303819219527,121.60000000000001,D,horizon,h=24
12000,0.407906024314291,0.2647902517564351,1328.82,E,all,all
1728,0.26624571072382863,0.2383470144638724,1409.4305555555552,E,daytype,saturday
1704,0.33041504073234357,0.27737462710073996,891.4694835680752,E,daytype,sunday
8568,0.45188754367796485,0.2535336142165755,731.3697478991596,E,daytype,weekday
500,0.5411546716638732,0.31078106707777126,83.2,E,horizon,h=1
500,0.4946457989998351,0.2954156982569433,61.919999999999995,E,horizon,h=6
500,0.26335747201193316,0.20725490222424967,369.92,E,horizon,h=12
500,0.4042193501251754,0.23924967185860457,118.07999999999998,E,horizon,h=18
500,0.5558059399339129,0.21786943675265982,144.24,E,horizon,h=24
12000,0.40799218220652755,0.27257062718798863,1308.08,F,all,all
1728,0.26193753213296095,0.24380771636717577,1636.9537037037035,F,daytype,saturday
1704,0.3297483279992224,0.2865946003010516,1037.854460093897,F,daytype,sunday
8568,0.4530096848788398,0.26115147507116765,513.3445378151262,F,daytype,weekday
500,0.544644407287571,0.3314636599820699,132.96,F,horizon,h=1
500,0.49812012617405294,0.3026889229111334,68.0,F,horizon,h=6
500,0.2615113476812284,0.2109388681178525,402.32,F,horizon,h=12
500,0.40263529415383914,0.2465031821563168,104.4,F,horizon,h=18
500,0.5564308342121544,0.2219259464871691,121.68,F,horizon,h=24
