daytype,horizon,n_days,mean_sd,mean_skew,mean_exkurt,cell
saturday,1,72,150.46665954589844,-0.020152581855654716,-0.009064326994121075,C
sunday,1,71,151.17608642578125,-0.019466323778033257,0.022564230486750603,C
weekday,1,357,150.2894744873047,-0.02299177646636963,-0.056570492684841156,C
all,1,500,150.4408721923828,-0.022082317620515823,-0.03849247097969055,C
saturday,2,72,259.7137145996094,0.004478303715586662,-0.07348807156085968,C
sunday,2,71,263.5755615234375,-0.005687817931175232,-0.03232866898179054,C
weekday,2,357,258.4686279296875,-0.011543083935976028,-0.05482533201575279,C
all,2,500,259.3730773925781,-0.008404554799199104,-0.05431823804974556,C
saturday,3,72,344.95562744140625,0.009587476961314678,-0.07877442240715027,C
sunday,3,71,345.3641052246094,-0.012598332948982716,-0.07319636642932892,C
weekday,3,357,344.0574035644531,-0.0026377830654382706,-0.04734824225306511,C
all,3,500,344.372314453125,-0.002291745273396373,-0.05554404482245445,C
saturday,4,72,419.3742980957031,0.011091887950897217,-0.04082408547401428,C
sunday,4,71,409.03668212890625,-0.011960014700889587,-0.06863059103488922,C
weekday,4,357,418.21875,0.003992066252976656,-0.05703011900186539,C
all,4,500,417.081298828125,0.002749245148152113,-0.056343719363212585,C
saturday,5,72,501.5984191894531,-0.0023630287032574415,-0.017709463834762573,C
sunday,5,71,476.20819091796875,-0.017679648473858833,-0.07379937171936035,C
weekday,5,357,499.6650085449219,0.006889655254781246,-0.08744244277477264,C
all,5,500,496.6125183105469,0.002068424830213189,-0.07546357810497284,C
saturday,6,72,644.295654296875,-0.027925558388233185,-0.037348102778196335,C
sunday,6,71,597.5535278320312,-0.024479979649186134,-0.052460845559835434,C
weekday,6,357,642.125244140625,0.0031194346956908703,-0.08386319130659103,C
all,6,500,636.1085815429688,-0.005270160734653473,-0.07270588725805283,C
saturday,7,72,872.735595703125,-0.03859679773449898,-0.006059679668396711,C
sunday,7,71,795.5856323242188,-0.0186937153339386,-0.05984063073992729,C
weekday,7,357,868.29541015625,0.003084962721914053,-0.0759001076221466,C
all,7,500,858.6099853515625,-0.006009782198816538,-0.06356263905763626,C
saturday,8,72,1043.2130126953125,-0.03564449027180672,-0.002825697185471654,C
