"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.11,"Southwest",2020-01-01
"2",2,2,4.04,"Southwest",2020-01-02
"3",3,3,3.28,"Southwest",2020-01-03
"4",4,4,3.46,"Southwest",2020-01-04
"5",5,5,4.72,"Southwest",2020-01-05
"6",6,6,3.71,"Southwest",2020-01-06
"7",7,7,3.43,"Southwest",2020-01-07
"8",8,8,5.68,"Southwest",2020-01-08
"9",9,9,4.18,"Southwest",2020-01-09
"10",10,10,2.49,"Southwest",2020-01-10
"11",11,11,1.41,"Southwest",2020-01-11
"12",12,12,5.77,"Southwest",2020-01-12
"13",13,13,2.38,"Southwest",2020-01-13
"14",14,14,1.49,"Southwest",2020-01-14
"15",15,15,2.35,"Southwest",2020-01-15
"16",16,16,3.69,"Southwest",2020-01-16
"17",17,17,7.79,"Southwest",2020-01-17
"18",18,18,1.71,"Southwest",2020-01-18
"19",19,19,4.58,"Southwest",2020-01-19
"20",20,20,8.19,"Southwest",2020-01-20
"21",21,21,3.88,"Southwest",2020-01-21
"22",22,22,4.24,"Southwest",2020-01-22
"23",23,23,4.15,"Southwest",2020-01-23
"24",24,24,5.41,"Southwest",2020-01-24
"25",25,25,2.07,"Southwest",2020-01-25
"26",26,26,3.12,"Southwest",2020-01-26
"27",27,27,3.53,"Southwest",2020-01-27
"28",28,28,4.43,"Southwest",2020-01-28
"29",29,29,10.87,"Southwest",2020-01-29
"30",30,30,8.69,"Southwest",2020-01-30
"31",31,31,5.54,"Southwest",2020-01-31
"32",32,32,3.67,"Southwest",2020-02-01
"33",33,33,3.86,"Southwest",2020-02-02
"34",34,34,6.5,"Southwest",2020-02-03
"35",35,35,5.73,"Southwest",2020-02-04
"36",36,36,9.24,"Southwest",2020-02-05
"37",37,37,5.23,"Southwest",2020-02-06
"38",38,38,5.96,"Southwest",2020-02-07
"39",39,39,9.54,"Southwest",2020-02-08
"40",40,40,7.53,"Southwest",2020-02-09
"41",41,41,4.97,"Southwest",2020-02-10
"42",42,42,6.31,"Southwest",2020-02-11
"43",43,43,7.16,"Southwest",2020-02-12
"44",44,44,6.58,"Southwest",2020-02-13
"45",45,45,7.47,"Southwest",2020-02-14
"46",46,46,8.92,"Southwest",2020-02-15
"47",47,47,6.67,"Southwest",2020-02-16
"48",48,48,8.77,"Southwest",2020-02-17
"49",49,49,3.01,"Southwest",2020-02-18
"50",50,50,9.38,"Southwest",2020-02-19
"51",51,51,9.73,"Southwest",2020-02-20
"52",52,52,9.54,"Southwest",2020-02-21
"53",53,53,9.67,"Southwest",2020-02-22
"54",54,54,12.64,"Southwest",2020-02-23
"55",55,55,12.22,"Southwest",2020-02-24
"56",56,56,9.55,"Southwest",2020-02-25
"57",57,57,6.41,"Southwest",2020-02-26
"58",58,58,9.06,"Southwest",2020-02-27
"59",59,59,10.26,"Southwest",2020-02-28
"60",60,60,10.54,"Southwest",2020-02-29
"61",61,61,11.09,"Southwest",2020-03-01
"62",62,62,10.4,"Southwest",2020-03-02
"63",63,63,7.32,"Southwest",2020-03-03
"64",64,64,11.73,"Southwest",2020-03-04
"65",65,65,11.94,"Southwest",2020-03-05
"66",66,66,7.07,"Southwest",2020-03-06
"67",67,67,15.92,"Southwest",2020-03-07
"68",68,68,15.54,"Southwest",2020-03-08
"69",69,69,10.88,"Southwest",2020-03-09
"70",70,70,8.05,"Southwest",2020-03-10
"71",71,71,9.96,"Southwest",2020-03-11
"72",72,72,14.74,"Southwest",2020-03-12
"73",73,73,7.35,"Southwest",2020-03-13
"74",74,74,11.94,"Southwest",2020-03-14
"75",75,75,19.5,"Southwest",2020-03-15
"76",76,76,16.37,"Southwest",2020-03-16
"77",77,77,10.89,"Southwest",2020-03-17
"78",78,78,10.66,"Southwest",2020-03-18
"79",79,79,10.58,"Southwest",2020-03-19
"80",80,80,7.1,"Southwest",2020-03-20
"81",81,81,20.68,"Southwest",2020-03-21
"82",82,82,21.06,"Southwest",2020-03-22
"83",83,83,7.69,"Southwest",2020-03-23
"84",84,84,13.35,"Southwest",2020-03-24
"85",85,85,10.91,"Southwest",2020-03-25
"86",86,86,6.47,"Southwest",2020-03-26
"87",87,87,18.96,"Southwest",2020-03-27
"88",88,88,9.06,"Southwest",2020-03-28
"89",89,89,7.74,"Southwest",2020-03-29
"90",90,90,9.62,"Southwest",2020-03-30
"91",91,91,9.74,"Southwest",2020-03-31
"92",92,92,21.59,"Southwest",2020-04-01
"93",93,93,23.29,"Southwest",2020-04-02
