"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.47,"Northwest",2020-01-01
"2",2,2,1.79,"Northwest",2020-01-02
"3",3,3,1.62,"Northwest",2020-01-03
"4",4,4,1.62,"Northwest",2020-01-04
"5",5,5,1.03,"Northwest",2020-01-05
"6",6,6,5.73,"Northwest",2020-01-06
"7",7,7,3.5,"Northwest",2020-01-07
"8",8,8,5.86,"Northwest",2020-01-08
"9",9,9,3.17,"Northwest",2020-01-09
"10",10,10,4.52,"Northwest",2020-01-10
"11",11,11,6.53,"Northwest",2020-01-11
"12",12,12,5.13,"Northwest",2020-01-12
"13",13,13,5.17,"Northwest",2020-01-13
"14",14,14,2.05,"Northwest",2020-01-14
"15",15,15,2.17,"Northwest",2020-01-15
"16",16,16,7.04,"Northwest",2020-01-16
"17",17,17,4.03,"Northwest",2020-01-17
"18",18,18,2.24,"Northwest",2020-01-18
"19",19,19,4.51,"Northwest",2020-01-19
"20",20,20,7.31,"Northwest",2020-01-20
"21",21,21,5.43,"Northwest",2020-01-21
"22",22,22,2.39,"Northwest",2020-01-22
"23",23,23,2.02,"Northwest",2020-01-23
"24",24,24,3.22,"Northwest",2020-01-24
"25",25,25,2.72,"Northwest",2020-01-25
"26",26,26,2.58,"Northwest",2020-01-26
"27",27,27,3.84,"Northwest",2020-01-27
"28",28,28,4.26,"Northwest",2020-01-28
"29",29,29,4.06,"Northwest",2020-01-29
"30",30,30,4.15,"Northwest",2020-01-30
"31",31,31,2.85,"Northwest",2020-01-31
"32",32,32,5.82,"Northwest",2020-02-01
"33",33,33,2.66,"Northwest",2020-02-02
"34",34,34,6.55,"Northwest",2020-02-03
"35",35,35,8.96,"Northwest",2020-02-04
"36",36,36,9.67,"Northwest",2020-02-05
"37",37,37,5.07,"Northwest",2020-02-06
"38",38,38,9.05,"Northwest",2020-02-07
"39",39,39,5.72,"Northwest",2020-02-08
"40",40,40,7.96,"Northwest",2020-02-09
"41",41,41,6,"Northwest",2020-02-10
"42",42,42,5.93,"Northwest",2020-02-11
"43",43,43,9.12,"Northwest",2020-02-12
"44",44,44,11.43,"Northwest",2020-02-13
"45",45,45,10.63,"Northwest",2020-02-14
"46",46,46,5.38,"Northwest",2020-02-15
"47",47,47,10.4,"Northwest",2020-02-16
"48",48,48,5.51,"Northwest",2020-02-17
"49",49,49,7.92,"Northwest",2020-02-18
"50",50,50,12.39,"Northwest",2020-02-19
"51",51,51,12.44,"Northwest",2020-02-20
"52",52,52,12.57,"Northwest",2020-02-21
"53",53,53,12.05,"Northwest",2020-02-22
"54",54,54,11.19,"Northwest",2020-02-23
"55",55,55,11.62,"Northwest",2020-02-24
"56",56,56,10.72,"Northwest",2020-02-25
"57",57,57,10.05,"Northwest",2020-02-26
"58",58,58,14.43,"Northwest",2020-02-27
"59",59,59,15,"Northwest",2020-02-28
"60",60,60,12.46,"Northwest",2020-02-29
"61",61,61,7.12,"Northwest",2020-03-01
"62",62,62,11.96,"Northwest",2020-03-02
"63",63,63,5.56,"Northwest",2020-03-03
"64",64,64,12.87,"Northwest",2020-03-04
"65",65,65,6.47,"Northwest",2020-03-05
"66",66,66,13.28,"Northwest",2020-03-06
"67",67,67,12.57,"Northwest",2020-03-07
"68",68,68,12.29,"Northwest",2020-03-08
"69",69,69,14.45,"Northwest",2020-03-09
"70",70,70,15.2,"Northwest",2020-03-10
"71",71,71,11.45,"Northwest",2020-03-11
"72",72,72,6.08,"Northwest",2020-03-12
