"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.82,"Essa",2020-01-01
"2",2,2,2.43,"Essa",2020-01-02
"3",3,3,1.91,"Essa",2020-01-03
"4",4,4,2.27,"Essa",2020-01-04
"5",5,5,4.4,"Essa",2020-01-05
"6",6,6,2.98,"Essa",2020-01-06
"7",7,7,4.59,"Essa",2020-01-07
"8",8,8,3.67,"Essa",2020-01-08
"9",9,9,3.87,"Essa",2020-01-09
"10",10,10,1.1,"Essa",2020-01-10
"11",11,11,1.23,"Essa",2020-01-11
"12",12,12,4.09,"Essa",2020-01-12
"13",13,13,3.38,"Essa",2020-01-13
"14",14,14,3.1,"Essa",2020-01-14
"15",15,15,2.27,"Essa",2020-01-15
"16",16,16,5.31,"Essa",2020-01-16
"17",17,17,8.25,"Essa",2020-01-17
"18",18,18,2.64,"Essa",2020-01-18
"19",19,19,6.93,"Essa",2020-01-19
"20",20,20,8.49,"Essa",2020-01-20
"21",21,21,5.06,"Essa",2020-01-21
"22",22,22,4.62,"Essa",2020-01-22
"23",23,23,3.62,"Essa",2020-01-23
"24",24,24,5.78,"Essa",2020-01-24
"25",25,25,2.92,"Essa",2020-01-25
"26",26,26,2.14,"Essa",2020-01-26
"27",27,27,3.17,"Essa",2020-01-27
"28",28,28,4.73,"Essa",2020-01-28
"29",29,29,9.66,"Essa",2020-01-29
"30",30,30,7.53,"Essa",2020-01-30
"31",31,31,7.12,"Essa",2020-01-31
"32",32,32,4.95,"Essa",2020-02-01
"33",33,33,4.11,"Essa",2020-02-02
"34",34,34,4.75,"Essa",2020-02-03
"35",35,35,4.49,"Essa",2020-02-04
"36",36,36,10.12,"Essa",2020-02-05
"37",37,37,4.16,"Essa",2020-02-06
"38",38,38,4.48,"Essa",2020-02-07
"39",39,39,11.5,"Essa",2020-02-08
"40",40,40,5.54,"Essa",2020-02-09
"41",41,41,8.1,"Essa",2020-02-10
"42",42,42,4.33,"Essa",2020-02-11
"43",43,43,4.42,"Essa",2020-02-12
"44",44,44,7.22,"Essa",2020-02-13
"45",45,45,12.65,"Essa",2020-02-14
"46",46,46,6.18,"Essa",2020-02-15
"47",47,47,5.25,"Essa",2020-02-16
"48",48,48,13.15,"Essa",2020-02-17
"49",49,49,2.24,"Essa",2020-02-18
"50",50,50,9.7,"Essa",2020-02-19
"51",51,51,13.91,"Essa",2020-02-20
"52",52,52,13.47,"Essa",2020-02-21
"53",53,53,11.16,"Essa",2020-02-22
"54",54,54,11.11,"Essa",2020-02-23
"55",55,55,11.5,"Essa",2020-02-24
"56",56,56,13.25,"Essa",2020-02-25
"57",57,57,9.34,"Essa",2020-02-26
"58",58,58,3.1,"Essa",2020-02-27
"59",59,59,9.83,"Essa",2020-02-28
"60",60,60,14.28,"Essa",2020-02-29
"61",61,61,16.02,"Essa",2020-03-01
"62",62,62,6.69,"Essa",2020-03-02
"63",63,63,11.32,"Essa",2020-03-03
"64",64,64,11.5,"Essa",2020-03-04
"65",65,65,7.54,"Essa",2020-03-05
"66",66,66,10.71,"Essa",2020-03-06
"67",67,67,16.78,"Essa",2020-03-07
"68",68,68,11.37,"Essa",2020-03-08
"69",69,69,6.47,"Essa",2020-03-09
"70",70,70,7.28,"Essa",2020-03-10
"71",71,71,10.16,"Essa",2020-03-11
"72",72,72,14.98,"Essa",2020-03-12
"73",73,73,7.28,"Essa",2020-03-13
"74",74,74,17.91,"Essa",2020-03-14
"75",75,75,19.97,"Essa",2020-03-15
"76",76,76,15.16,"Essa",2020-03-16
"77",77,77,11.89,"Essa",2020-03-17
"78",78,78,13.6,"Essa",2020-03-18
"79",79,79,11.01,"Essa",2020-03-19
"80",80,80,5.25,"Essa",2020-03-20
"81",81,81,20.98,"Essa",2020-03-21
"82",82,82,21.54,"Essa",2020-03-22
"83",83,83,9.25,"Essa",2020-03-23
"84",84,84,12.74,"Essa",2020-03-24
"85",85,85,13.74,"Essa",2020-03-25
"86",86,86,4.29,"Essa",2020-03-26
"87",87,87,21.96,"Essa",2020-03-27
"88",88,88,13.93,"Essa",2020-03-28
"89",89,89,5.7,"Essa",2020-03-29
"90",90,90,8.25,"Essa",2020-03-30
"91",91,91,16.45,"Essa",2020-03-31
"92",92,92,13.18,"Essa",2020-04-01
"93",93,93,20.21,"Essa",2020-04-02
"94",94,94,12.68,"Essa",2020-04-03
"95",95,95,13.7,"Essa",2020-04-04
"96",96,96,13.84,"Essa",2020-04-05
"97",97,97,20.76,"Essa",2020-04-06
"98",98,98,23.18,"Essa",2020-04-07
"99",99,99,7.81,"Essa",2020-04-08
"100",100,100,9.08,"Essa",2020-04-09
"101",101,101,11.43,"Essa",2020-04-10
"102",102,102,19.94,"Essa",2020-04-11
"103",103,103,11.01,"Essa",2020-04-12
"104",104,104,5.2,"Essa",2020-04-13
"105",105,105,16.3,"Essa",2020-04-14
"106",106,106,17.13,"Essa",2020-04-15
"107",107,107,18.45,"Essa",2020-04-16
"108",108,108,16.05,"Essa",2020-04-17
"109",109,109,22.41,"Essa",2020-04-18
"110",110,110,8.78,"Essa",2020-04-19
"111",111,111,26.05,"Essa",2020-04-20
"112",112,112,13.14,"Essa",2020-04-21
"113",113,113,24.35,"Essa",2020-04-22
"114",114,114,27.52,"Essa",2020-04-23
"115",115,115,25.77,"Essa",2020-04-24
"116",116,116,26.37,"Essa",2020-04-25
"117",117,117,19.86,"Essa",2020-04-26
"118",118,118,21.71,"Essa",2020-04-27
"119",119,119,24.34,"Essa",2020-04-28
"120",120,120,10.66,"Essa",2020-04-29
"121",121,121,4.4,"Essa",2020-04-30
"122",122,122,18.09,"Essa",2020-05-01
"123",123,123,17.27,"Essa",2020-05-02
"124",124,124,18.3,"Essa",2020-05-03
"125",125,125,17.09,"Essa",2020-05-04
"126",126,126,29.37,"Essa",2020-05-05
"127",127,127,26.51,"Essa",2020-05-06
"128",128,128,19.05,"Essa",2020-05-07
"129",129,129,17.81,"Essa",2020-05-08
"130",130,130,17.11,"Essa",2020-05-09
"131",131,131,15.36,"Essa",2020-05-10
"132",132,132,24.91,"Essa",2020-05-11
