"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.62,"Northeast",2020-01-01
"2",2,2,1.44,"Northeast",2020-01-02
"3",3,3,1.95,"Northeast",2020-01-03
"4",4,4,2.66,"Northeast",2020-01-04
"5",5,5,4.7,"Northeast",2020-01-05
"6",6,6,3.36,"Northeast",2020-01-06
"7",7,7,3.04,"Northeast",2020-01-07
"8",8,8,4.39,"Northeast",2020-01-08
"9",9,9,2.9,"Northeast",2020-01-09
"10",10,10,1.22,"Northeast",2020-01-10
"11",11,11,2.69,"Northeast",2020-01-11
"12",12,12,4.99,"Northeast",2020-01-12
"13",13,13,4.43,"Northeast",2020-01-13
"14",14,14,2.8,"Northeast",2020-01-14
"15",15,15,2.73,"Northeast",2020-01-15
"16",16,16,5.31,"Northeast",2020-01-16
"17",17,17,7.36,"Northeast",2020-01-17
"18",18,18,2.31,"Northeast",2020-01-18
"19",19,19,6.97,"Northeast",2020-01-19
"20",20,20,7.79,"Northeast",2020-01-20
"21",21,21,3.34,"Northeast",2020-01-21
"22",22,22,4.3,"Northeast",2020-01-22
"23",23,23,2.66,"Northeast",2020-01-23
"24",24,24,4.06,"Northeast",2020-01-24
"25",25,25,2.31,"Northeast",2020-01-25
"26",26,26,2.12,"Northeast",2020-01-26
"27",27,27,2.82,"Northeast",2020-01-27
"28",28,28,4.95,"Northeast",2020-01-28
"29",29,29,7.97,"Northeast",2020-01-29
"30",30,30,7.23,"Northeast",2020-01-30
"31",31,31,6.11,"Northeast",2020-01-31
"32",32,32,3.66,"Northeast",2020-02-01
"33",33,33,3.6,"Northeast",2020-02-02
"34",34,34,5.81,"Northeast",2020-02-03
"35",35,35,4.61,"Northeast",2020-02-04
"36",36,36,8.76,"Northeast",2020-02-05
"37",37,37,6.12,"Northeast",2020-02-06
"38",38,38,8.63,"Northeast",2020-02-07
"39",39,39,10.46,"Northeast",2020-02-08
"40",40,40,4.84,"Northeast",2020-02-09
"41",41,41,5.35,"Northeast",2020-02-10
"42",42,42,4.58,"Northeast",2020-02-11
"43",43,43,5.63,"Northeast",2020-02-12
"44",44,44,9.7,"Northeast",2020-02-13
"45",45,45,11.09,"Northeast",2020-02-14
"46",46,46,3.38,"Northeast",2020-02-15
"47",47,47,7.56,"Northeast",2020-02-16
"48",48,48,11.55,"Northeast",2020-02-17
"49",49,49,2.7,"Northeast",2020-02-18
"50",50,50,8.6,"Northeast",2020-02-19
"51",51,51,11.61,"Northeast",2020-02-20
"52",52,52,12.45,"Northeast",2020-02-21
"53",53,53,13.01,"Northeast",2020-02-22
"54",54,54,11.43,"Northeast",2020-02-23
"55",55,55,5.95,"Northeast",2020-02-24
"56",56,56,14.51,"Northeast",2020-02-25
"57",57,57,10.57,"Northeast",2020-02-26
"58",58,58,2.85,"Northeast",2020-02-27
"59",59,59,10.42,"Northeast",2020-02-28
"60",60,60,11.09,"Northeast",2020-02-29
"61",61,61,12.59,"Northeast",2020-03-01
"62",62,62,7.91,"Northeast",2020-03-02
"63",63,63,9.88,"Northeast",2020-03-03
"64",64,64,11.69,"Northeast",2020-03-04
"65",65,65,9.36,"Northeast",2020-03-05
"66",66,66,13.87,"Northeast",2020-03-06
"67",67,67,12.48,"Northeast",2020-03-07
"68",68,68,10.2,"Northeast",2020-03-08
"69",69,69,4.38,"Northeast",2020-03-09
"70",70,70,10.96,"Northeast",2020-03-10
"71",71,71,9.98,"Northeast",2020-03-11
"72",72,72,7.81,"Northeast",2020-03-12
"73",73,73,6.11,"Northeast",2020-03-13
"74",74,74,17.68,"Northeast",2020-03-14
"75",75,75,19.26,"Northeast",2020-03-15
"76",76,76,13.29,"Northeast",2020-03-16
"77",77,77,13.2,"Northeast",2020-03-17
"78",78,78,15.51,"Northeast",2020-03-18
"79",79,79,15.82,"Northeast",2020-03-19
"80",80,80,6.18,"Northeast",2020-03-20
"81",81,81,20.43,"Northeast",2020-03-21
"82",82,82,20.58,"Northeast",2020-03-22
"83",83,83,13.94,"Northeast",2020-03-23
"84",84,84,19.72,"Northeast",2020-03-24
"85",85,85,13.41,"Northeast",2020-03-25
"86",86,86,11.06,"Northeast",2020-03-26
"87",87,87,21.53,"Northeast",2020-03-27
"88",88,88,18.54,"Northeast",2020-03-28
"89",89,89,5.76,"Northeast",2020-03-29
"90",90,90,10.94,"Northeast",2020-03-30
"91",91,91,11.31,"Northeast",2020-03-31
"92",92,92,17.98,"Northeast",2020-04-01
"93",93,93,17.37,"Northeast",2020-04-02
"94",94,94,15.7,"Northeast",2020-04-03
"95",95,95,16.99,"Northeast",2020-04-04
"96",96,96,20.15,"Northeast",2020-04-05
"97",97,97,21.2,"Northeast",2020-04-06
"98",98,98,22.31,"Northeast",2020-04-07
"99",99,99,9.33,"Northeast",2020-04-08
"100",100,100,13.65,"Northeast",2020-04-09
"101",101,101,11.54,"Northeast",2020-04-10
"102",102,102,22.23,"Northeast",2020-04-11
"103",103,103,14.44,"Northeast",2020-04-12
"104",104,104,7.68,"Northeast",2020-04-13
"105",105,105,17.29,"Northeast",2020-04-14
"106",106,106,15.26,"Northeast",2020-04-15
"107",107,107,17.21,"Northeast",2020-04-16
"108",108,108,16.82,"Northeast",2020-04-17
"109",109,109,21.96,"Northeast",2020-04-18
"110",110,110,16.73,"Northeast",2020-04-19
"111",111,111,21.92,"Northeast",2020-04-20
"112",112,112,13.7,"Northeast",2020-04-21
"113",113,113,25.87,"Northeast",2020-04-22
"114",114,114,26.24,"Northeast",2020-04-23
"115",115,115,25.73,"Northeast",2020-04-24
"116",116,116,23.45,"Northeast",2020-04-25
"117",117,117,26.27,"Northeast",2020-04-26
"118",118,118,27.07,"Northeast",2020-04-27
"119",119,119,26.17,"Northeast",2020-04-28
"120",120,120,8.94,"Northeast",2020-04-29
"121",121,121,4.79,"Northeast",2020-04-30
"122",122,122,22.39,"Northeast",2020-05-01
"123",123,123,11.62,"Northeast",2020-05-02
"124",124,124,8.03,"Northeast",2020-05-03
"125",125,125,20.02,"Northeast",2020-05-04
"126",126,126,29.09,"Northeast",2020-05-05
"127",127,127,22.2,"Northeast",2020-05-06
"128",128,128,22.88,"Northeast",2020-05-07
"129",129,129,22.3,"Northeast",2020-05-08
"130",130,130,14.75,"Northeast",2020-05-09
"131",131,131,12.62,"Northeast",2020-05-10
"132",132,132,24.84,"Northeast",2020-05-11
"133",133,133,24.7,"Northeast",2020-05-12
"134",134,134,29.38,"Northeast",2020-05-13
"135",135,135,10.85,"Northeast",2020-05-14
"136",136,136,6.57,"Northeast",2020-05-15
"137",137,137,14.64,"Northeast",2020-05-16
"138",138,138,21.8,"Northeast",2020-05-17
"139",139,139,25.79,"Northeast",2020-05-18
"140",140,140,24.46,"Northeast",2020-05-19
"141",141,141,29.59,"Northeast",2020-05-20
"142",142,142,29.24,"Northeast",2020-05-21
"143",143,143,29.41,"Northeast",2020-05-22
"144",144,144,29.68,"Northeast",2020-05-23
"145",145,145,11.49,"Northeast",2020-05-24
"146",146,146,21.37,"Northeast",2020-05-25
"147",147,147,20.72,"Northeast",2020-05-26
"148",148,148,26.4,"Northeast",2020-05-27
"149",149,149,18.17,"Northeast",2020-05-28
"150",150,150,5.85,"Northeast",2020-05-29
"151",151,151,12.09,"Northeast",2020-05-30
"152",152,152,20.01,"Northeast",2020-05-31
"153",153,153,26.31,"Northeast",2020-06-01
"154",154,154,6.21,"Northeast",2020-06-02
"155",155,155,9.8,"Northeast",2020-06-03
"156",156,156,25.28,"Northeast",2020-06-04
"157",157,157,20.35,"Northeast",2020-06-05
"158",158,158,18.97,"Northeast",2020-06-06
"159",159,159,23.69,"Northeast",2020-06-07
"160",160,160,17.77,"Northeast",2020-06-08
"161",161,161,17.35,"Northeast",2020-06-09
"162",162,162,11.89,"Northeast",2020-06-10
"163",163,163,12.01,"Northeast",2020-06-11
"164",164,164,13.24,"Northeast",2020-06-12
"165",165,165,32.18,"Northeast",2020-06-13
"166",166,166,32.33,"Northeast",2020-06-14
"167",167,167,30.88,"Northeast",2020-06-15
"168",168,168,30.26,"Northeast",2020-06-16
"169",169,169,29.3,"Northeast",2020-06-17
"170",170,170,30.55,"Northeast",2020-06-18
"171",171,171,30.26,"Northeast",2020-06-19
"172",172,172,26.03,"Northeast",2020-06-20
"173",173,173,21.91,"Northeast",2020-06-21
"174",174,174,24.49,"Northeast",2020-06-22
"175",175,175,8.85,"Northeast",2020-06-23
"176",176,176,9.14,"Northeast",2020-06-24
"177",177,177,18.38,"Northeast",2020-06-25
"178",178,178,21.53,"Northeast",2020-06-26
"179",179,179,17.38,"Northeast",2020-06-27
"180",180,180,26.66,"Northeast",2020-06-28
"181",181,181,28.64,"Northeast",2020-06-29
"182",182,182,29.75,"Northeast",2020-06-30
"183",183,183,27.41,"Northeast",2020-07-01
"184",184,184,16.45,"Northeast",2020-07-02
"185",185,185,28.36,"Northeast",2020-07-03
"186",186,186,21.2,"Northeast",2020-07-04
"187",187,187,22.52,"Northeast",2020-07-05
"188",188,188,27.28,"Northeast",2020-07-06
"189",189,189,14.77,"Northeast",2020-07-07
"190",190,190,28.25,"Northeast",2020-07-08
"191",191,191,26.17,"Northeast",2020-07-09
"192",192,192,21.68,"Northeast",2020-07-10
"193",193,193,6.82,"Northeast",2020-07-11
"194",194,194,10.36,"Northeast",2020-07-12
"195",195,195,12.73,"Northeast",2020-07-13
"196",196,196,26.28,"Northeast",2020-07-14
"197",197,197,9.43,"Northeast",2020-07-15
"198",198,198,14.07,"Northeast",2020-07-16
"199",199,199,25.3,"Northeast",2020-07-17
"200",200,200,18.25,"Northeast",2020-07-18
"201",201,201,12.44,"Northeast",2020-07-19
"202",202,202,12.81,"Northeast",2020-07-20
"203",203,203,22.43,"Northeast",2020-07-21
"204",204,204,6.17,"Northeast",2020-07-22
"205",205,205,25.76,"Northeast",2020-07-23
"206",206,206,27.28,"Northeast",2020-07-24
"207",207,207,22.05,"Northeast",2020-07-25
"208",208,208,13.44,"Northeast",2020-07-26
"209",209,209,17.58,"Northeast",2020-07-27
"210",210,210,21.75,"Northeast",2020-07-28
"211",211,211,19.57,"Northeast",2020-07-29
"212",212,212,19.99,"Northeast",2020-07-30
"213",213,213,23.7,"Northeast",2020-07-31
"214",214,214,23.93,"Northeast",2020-08-01
"215",215,215,7.11,"Northeast",2020-08-02
"216",216,216,16.84,"Northeast",2020-08-03
"217",217,217,9.03,"Northeast",2020-08-04
"218",218,218,15.37,"Northeast",2020-08-05
"219",219,219,25.76,"Northeast",2020-08-06
"220",220,220,25.24,"Northeast",2020-08-07
"221",221,221,23.36,"Northeast",2020-08-08
"222",222,222,12.51,"Northeast",2020-08-09
"223",223,223,20.54,"Northeast",2020-08-10
"224",224,224,19.24,"Northeast",2020-08-11
"225",225,225,24.75,"Northeast",2020-08-12
"226",226,226,22.2,"Northeast",2020-08-13
"227",227,227,25.22,"Northeast",2020-08-14
"228",228,228,26.04,"Northeast",2020-08-15
"229",229,229,7.52,"Northeast",2020-08-16
"230",230,230,17.88,"Northeast",2020-08-17
"231",231,231,16.44,"Northeast",2020-08-18
"232",232,232,17.04,"Northeast",2020-08-19
"233",233,233,5.78,"Northeast",2020-08-20
"234",234,234,20.28,"Northeast",2020-08-21
"235",235,235,19.99,"Northeast",2020-08-22
"236",236,236,9.61,"Northeast",2020-08-23
"237",237,237,15.75,"Northeast",2020-08-24
"238",238,238,11.67,"Northeast",2020-08-25
"239",239,239,19.25,"Northeast",2020-08-26
"240",240,240,8.43,"Northeast",2020-08-27
"241",241,241,14.18,"Northeast",2020-08-28
"242",242,242,4.89,"Northeast",2020-08-29
"243",243,243,12.69,"Northeast",2020-08-30
"244",244,244,18.12,"Northeast",2020-08-31
"245",245,245,12.73,"Northeast",2020-09-01
"246",246,246,13.81,"Northeast",2020-09-02
"247",247,247,13.82,"Northeast",2020-09-03
"248",248,248,15.18,"Northeast",2020-09-04
"249",249,249,16.94,"Northeast",2020-09-05
"250",250,250,19.3,"Northeast",2020-09-06
"251",251,251,14.36,"Northeast",2020-09-07
"252",252,252,9.18,"Northeast",2020-09-08
"253",253,253,6.46,"Northeast",2020-09-09
"254",254,254,9.93,"Northeast",2020-09-10
"255",255,255,20.44,"Northeast",2020-09-11
"256",256,256,12.55,"Northeast",2020-09-12
"257",257,257,6.04,"Northeast",2020-09-13
"258",258,258,17.21,"Northeast",2020-09-14
"259",259,259,2.89,"Northeast",2020-09-15
"260",260,260,4.42,"Northeast",2020-09-16
"261",261,261,20.05,"Northeast",2020-09-17
"262",262,262,12.57,"Northeast",2020-09-18
"263",263,263,13.67,"Northeast",2020-09-19
"264",264,264,18.22,"Northeast",2020-09-20
"265",265,265,15.31,"Northeast",2020-09-21
"266",266,266,13.65,"Northeast",2020-09-22
"267",267,267,14.66,"Northeast",2020-09-23
"268",268,268,15.18,"Northeast",2020-09-24
"269",269,269,9.88,"Northeast",2020-09-25
"270",270,270,6.66,"Northeast",2020-09-26
"271",271,271,7.9,"Northeast",2020-09-27
"272",272,272,4.91,"Northeast",2020-09-28
"273",273,273,9.03,"Northeast",2020-09-29
"274",274,274,8.55,"Northeast",2020-09-30
"275",275,275,7.97,"Northeast",2020-10-01
"276",276,276,10.91,"Northeast",2020-10-02
"277",277,277,7.68,"Northeast",2020-10-03
"278",278,278,8.36,"Northeast",2020-10-04
"279",279,279,14.92,"Northeast",2020-10-05
"280",280,280,4.07,"Northeast",2020-10-06
"281",281,281,4.7,"Northeast",2020-10-07
"282",282,282,10.28,"Northeast",2020-10-08
"283",283,283,3.3,"Northeast",2020-10-09
"284",284,284,5.07,"Northeast",2020-10-10
"285",285,285,13.1,"Northeast",2020-10-11
"286",286,286,10.94,"Northeast",2020-10-12
"287",287,287,7.9,"Northeast",2020-10-13
"288",288,288,11.73,"Northeast",2020-10-14
"289",289,289,6.31,"Northeast",2020-10-15
"290",290,290,12.14,"Northeast",2020-10-16
"291",291,291,7.85,"Northeast",2020-10-17
"292",292,292,2.04,"Northeast",2020-10-18
"293",293,293,11.07,"Northeast",2020-10-19
"294",294,294,7.04,"Northeast",2020-10-20
"295",295,295,4.76,"Northeast",2020-10-21
"296",296,296,6.51,"Northeast",2020-10-22
"297",297,297,2.23,"Northeast",2020-10-23
"298",298,298,6.87,"Northeast",2020-10-24
"299",299,299,7.22,"Northeast",2020-10-25
"300",300,300,3.88,"Northeast",2020-10-26
"301",301,301,7.59,"Northeast",2020-10-27
"302",302,302,3.54,"Northeast",2020-10-28
"303",303,303,8.58,"Northeast",2020-10-29
"304",304,304,11.41,"Northeast",2020-10-30
"305",305,305,9.96,"Northeast",2020-10-31
"306",306,306,2.34,"Northeast",2020-11-01
"307",307,307,4.52,"Northeast",2020-11-02
"308",308,308,4.47,"Northeast",2020-11-03
"309",309,309,8.1,"Northeast",2020-11-04
"310",310,310,8.75,"Northeast",2020-11-05
"311",311,311,5.71,"Northeast",2020-11-06
"312",312,312,5.48,"Northeast",2020-11-07
"313",313,313,8.69,"Northeast",2020-11-08
"314",314,314,5.77,"Northeast",2020-11-09
"315",315,315,4.54,"Northeast",2020-11-10
"316",316,316,5.82,"Northeast",2020-11-11
"317",317,317,8.95,"Northeast",2020-11-12
"318",318,318,4.78,"Northeast",2020-11-13
"319",319,319,5.43,"Northeast",2020-11-14
"320",320,320,1.02,"Northeast",2020-11-15
"321",321,321,2.6,"Northeast",2020-11-16
"322",322,322,4.65,"Northeast",2020-11-17
"323",323,323,4.34,"Northeast",2020-11-18
"324",324,324,4.43,"Northeast",2020-11-19
"325",325,325,2.68,"Northeast",2020-11-20
"326",326,326,4.56,"Northeast",2020-11-21
"327",327,327,3.98,"Northeast",2020-11-22
"328",328,328,2.37,"Northeast",2020-11-23
"329",329,329,6.88,"Northeast",2020-11-24
"330",330,330,2.36,"Northeast",2020-11-25
"331",331,331,2.29,"Northeast",2020-11-26
"332",332,332,2.33,"Northeast",2020-11-27
"333",333,333,2.93,"Northeast",2020-11-28
"334",334,334,2.77,"Northeast",2020-11-29
"335",335,335,1.68,"Northeast",2020-11-30
"336",336,336,2.39,"Northeast",2020-12-01
"337",337,337,5.76,"Northeast",2020-12-02
"338",338,338,2.55,"Northeast",2020-12-03
"339",339,339,2.68,"Northeast",2020-12-04
"340",340,340,3.35,"Northeast",2020-12-05
"341",341,341,5.77,"Northeast",2020-12-06
"342",342,342,6.14,"Northeast",2020-12-07
"343",343,343,4,"Northeast",2020-12-08
"344",344,344,2.24,"Northeast",2020-12-09
"345",345,345,2.16,"Northeast",2020-12-10
"346",346,346,2.29,"Northeast",2020-12-11
"347",347,347,2.05,"Northeast",2020-12-12
"348",348,348,3.53,"Northeast",2020-12-13
"349",349,349,2.35,"Northeast",2020-12-14
"350",350,350,5.9,"Northeast",2020-12-15
"351",351,351,5.46,"Northeast",2020-12-16
"352",352,352,6.34,"Northeast",2020-12-17
"353",353,353,6.27,"Northeast",2020-12-18
"354",354,354,2.2,"Northeast",2020-12-19
"355",355,355,1.65,"Northeast",2020-12-20
"356",356,356,1.35,"Northeast",2020-12-21
"357",357,357,2.81,"Northeast",2020-12-22
"358",358,358,2.15,"Northeast",2020-12-23
"359",359,359,1.35,"Northeast",2020-12-24
"360",360,360,1.85,"Northeast",2020-12-25
"361",361,361,4.59,"Northeast",2020-12-26
"362",362,362,3.17,"Northeast",2020-12-27
"363",363,363,3.53,"Northeast",2020-12-28
"364",364,364,6.53,"Northeast",2020-12-29
"365",365,365,1.28,"Northeast",2020-12-30
"366",366,366,2.52,"Northeast",2020-12-31
