"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.18,"Northwest",2020-01-01
"2",2,2,2.17,"Northwest",2020-01-02
"3",3,3,2.58,"Northwest",2020-01-03
"4",4,4,2.83,"Northwest",2020-01-04
"5",5,5,1.45,"Northwest",2020-01-05
"6",6,6,4.96,"Northwest",2020-01-06
"7",7,7,3.29,"Northwest",2020-01-07
"8",8,8,5.16,"Northwest",2020-01-08
"9",9,9,1.55,"Northwest",2020-01-09
"10",10,10,4.57,"Northwest",2020-01-10
"11",11,11,5.47,"Northwest",2020-01-11
"12",12,12,3.21,"Northwest",2020-01-12
"13",13,13,2.15,"Northwest",2020-01-13
"14",14,14,2.65,"Northwest",2020-01-14
"15",15,15,2.7,"Northwest",2020-01-15
"16",16,16,6.32,"Northwest",2020-01-16
"17",17,17,2.16,"Northwest",2020-01-17
"18",18,18,1.98,"Northwest",2020-01-18
"19",19,19,5.63,"Northwest",2020-01-19
"20",20,20,6.59,"Northwest",2020-01-20
"21",21,21,3.6,"Northwest",2020-01-21
"22",22,22,2.24,"Northwest",2020-01-22
"23",23,23,4.38,"Northwest",2020-01-23
"24",24,24,3.22,"Northwest",2020-01-24
"25",25,25,2.6,"Northwest",2020-01-25
"26",26,26,2.96,"Northwest",2020-01-26
"27",27,27,2.61,"Northwest",2020-01-27
"28",28,28,4.1,"Northwest",2020-01-28
"29",29,29,3.58,"Northwest",2020-01-29
"30",30,30,4.16,"Northwest",2020-01-30
"31",31,31,2.63,"Northwest",2020-01-31
"32",32,32,5.54,"Northwest",2020-02-01
"33",33,33,5.48,"Northwest",2020-02-02
"34",34,34,6.47,"Northwest",2020-02-03
"35",35,35,8.7,"Northwest",2020-02-04
"36",36,36,5.21,"Northwest",2020-02-05
"37",37,37,8.42,"Northwest",2020-02-06
"38",38,38,9.73,"Northwest",2020-02-07
"39",39,39,4.55,"Northwest",2020-02-08
"40",40,40,5.22,"Northwest",2020-02-09
"41",41,41,4.47,"Northwest",2020-02-10
"42",42,42,6.99,"Northwest",2020-02-11
"43",43,43,10.29,"Northwest",2020-02-12
"44",44,44,10.76,"Northwest",2020-02-13
"45",45,45,7.35,"Northwest",2020-02-14
"46",46,46,7.63,"Northwest",2020-02-15
"47",47,47,10.88,"Northwest",2020-02-16
"48",48,48,4.68,"Northwest",2020-02-17
"49",49,49,9.38,"Northwest",2020-02-18
"50",50,50,12.23,"Northwest",2020-02-19
"51",51,51,11.41,"Northwest",2020-02-20
"52",52,52,11.93,"Northwest",2020-02-21
"53",53,53,11.05,"Northwest",2020-02-22
"54",54,54,7.49,"Northwest",2020-02-23
"55",55,55,10.98,"Northwest",2020-02-24
"56",56,56,11.92,"Northwest",2020-02-25
"57",57,57,12.63,"Northwest",2020-02-26
"58",58,58,14.08,"Northwest",2020-02-27
"59",59,59,14.07,"Northwest",2020-02-28
"60",60,60,7.6,"Northwest",2020-02-29
"61",61,61,5.93,"Northwest",2020-03-01
"62",62,62,11.18,"Northwest",2020-03-02
"63",63,63,7.23,"Northwest",2020-03-03
"64",64,64,10.98,"Northwest",2020-03-04
"65",65,65,14.53,"Northwest",2020-03-05
"66",66,66,10.84,"Northwest",2020-03-06
"67",67,67,10.85,"Northwest",2020-03-07
"68",68,68,8.29,"Northwest",2020-03-08
"69",69,69,15.66,"Northwest",2020-03-09
"70",70,70,16.2,"Northwest",2020-03-10
"71",71,71,9.98,"Northwest",2020-03-11
"72",72,72,7.19,"Northwest",2020-03-12
"73",73,73,10.14,"Northwest",2020-03-13
"74",74,74,16.08,"Northwest",2020-03-14
"75",75,75,12.05,"Northwest",2020-03-15
"76",76,76,14.34,"Northwest",2020-03-16
"77",77,77,16.84,"Northwest",2020-03-17
"78",78,78,17.3,"Northwest",2020-03-18
"79",79,79,14.92,"Northwest",2020-03-19
"80",80,80,19.97,"Northwest",2020-03-20
"81",81,81,19.65,"Northwest",2020-03-21
"82",82,82,9.57,"Northwest",2020-03-22
"83",83,83,16.46,"Northwest",2020-03-23
"84",84,84,11.56,"Northwest",2020-03-24
"85",85,85,19.15,"Northwest",2020-03-25
"86",86,86,15.96,"Northwest",2020-03-26
"87",87,87,17.66,"Northwest",2020-03-27
"88",88,88,20.98,"Northwest",2020-03-28
"89",89,89,20.42,"Northwest",2020-03-29
"90",90,90,19.16,"Northwest",2020-03-30
"91",91,91,20.48,"Northwest",2020-03-31
"92",92,92,19.91,"Northwest",2020-04-01
"93",93,93,7.79,"Northwest",2020-04-02
"94",94,94,4.81,"Northwest",2020-04-03
"95",95,95,21.72,"Northwest",2020-04-04
"96",96,96,16.35,"Northwest",2020-04-05
"97",97,97,19.25,"Northwest",2020-04-06
"98",98,98,14,"Northwest",2020-04-07
"99",99,99,8.44,"Northwest",2020-04-08
"100",100,100,9.51,"Northwest",2020-04-09
"101",101,101,18.48,"Northwest",2020-04-10
"102",102,102,10.17,"Northwest",2020-04-11
"103",103,103,19.6,"Northwest",2020-04-12
"104",104,104,16.6,"Northwest",2020-04-13
"105",105,105,19.9,"Northwest",2020-04-14
"106",106,106,22.54,"Northwest",2020-04-15
"107",107,107,21.43,"Northwest",2020-04-16
"108",108,108,24.16,"Northwest",2020-04-17
"109",109,109,13.45,"Northwest",2020-04-18
"110",110,110,21.38,"Northwest",2020-04-19
"111",111,111,15.63,"Northwest",2020-04-20
"112",112,112,25.61,"Northwest",2020-04-21
"113",113,113,17.39,"Northwest",2020-04-22
"114",114,114,17.64,"Northwest",2020-04-23
"115",115,115,24.82,"Northwest",2020-04-24
"116",116,116,25.39,"Northwest",2020-04-25
"117",117,117,23.29,"Northwest",2020-04-26
"118",118,118,18.07,"Northwest",2020-04-27
"119",119,119,24.03,"Northwest",2020-04-28
"120",120,120,23.15,"Northwest",2020-04-29
"121",121,121,26.38,"Northwest",2020-04-30
"122",122,122,18.7,"Northwest",2020-05-01
"123",123,123,7.11,"Northwest",2020-05-02
"124",124,124,12.63,"Northwest",2020-05-03
"125",125,125,25.34,"Northwest",2020-05-04
"126",126,126,26.22,"Northwest",2020-05-05
"127",127,127,28.82,"Northwest",2020-05-06
"128",128,128,22.63,"Northwest",2020-05-07
"129",129,129,27.16,"Northwest",2020-05-08
"130",130,130,25.84,"Northwest",2020-05-09
"131",131,131,27.97,"Northwest",2020-05-10
"132",132,132,28.91,"Northwest",2020-05-11
"133",133,133,29.06,"Northwest",2020-05-12
"134",134,134,17.87,"Northwest",2020-05-13
"135",135,135,6.64,"Northwest",2020-05-14
"136",136,136,23.37,"Northwest",2020-05-15
"137",137,137,17.11,"Northwest",2020-05-16
"138",138,138,28.33,"Northwest",2020-05-17
"139",139,139,24.26,"Northwest",2020-05-18
"140",140,140,27.75,"Northwest",2020-05-19
"141",141,141,28.44,"Northwest",2020-05-20
"142",142,142,29.24,"Northwest",2020-05-21
"143",143,143,15.72,"Northwest",2020-05-22
"144",144,144,16.04,"Northwest",2020-05-23
"145",145,145,17.85,"Northwest",2020-05-24
"146",146,146,19.25,"Northwest",2020-05-25
"147",147,147,6.17,"Northwest",2020-05-26
"148",148,148,27.71,"Northwest",2020-05-27
"149",149,149,16.58,"Northwest",2020-05-28
"150",150,150,13.86,"Northwest",2020-05-29
"151",151,151,23.14,"Northwest",2020-05-30
"152",152,152,29,"Northwest",2020-05-31
"153",153,153,20.06,"Northwest",2020-06-01
"154",154,154,24.67,"Northwest",2020-06-02
"155",155,155,27.38,"Northwest",2020-06-03
"156",156,156,24.72,"Northwest",2020-06-04
"157",157,157,12.91,"Northwest",2020-06-05
"158",158,158,28.28,"Northwest",2020-06-06
"159",159,159,6.97,"Northwest",2020-06-07
"160",160,160,12.5,"Northwest",2020-06-08
"161",161,161,8.44,"Northwest",2020-06-09
"162",162,162,7.93,"Northwest",2020-06-10
"163",163,163,15.17,"Northwest",2020-06-11
"164",164,164,29.64,"Northwest",2020-06-12
"165",165,165,31.98,"Northwest",2020-06-13
"166",166,166,30.48,"Northwest",2020-06-14
"167",167,167,21.83,"Northwest",2020-06-15
"168",168,168,26.71,"Northwest",2020-06-16
"169",169,169,26.78,"Northwest",2020-06-17
"170",170,170,11.44,"Northwest",2020-06-18
"171",171,171,16.58,"Northwest",2020-06-19
"172",172,172,14.07,"Northwest",2020-06-20
"173",173,173,15.87,"Northwest",2020-06-21
"174",174,174,18.65,"Northwest",2020-06-22
"175",175,175,18.99,"Northwest",2020-06-23
"176",176,176,31.27,"Northwest",2020-06-24
"177",177,177,28.76,"Northwest",2020-06-25
"178",178,178,20.62,"Northwest",2020-06-26
"179",179,179,29.69,"Northwest",2020-06-27
"180",180,180,30.03,"Northwest",2020-06-28
"181",181,181,20.83,"Northwest",2020-06-29
"182",182,182,15.39,"Northwest",2020-06-30
"183",183,183,24.23,"Northwest",2020-07-01
"184",184,184,30.51,"Northwest",2020-07-02
"185",185,185,26.29,"Northwest",2020-07-03
"186",186,186,19.37,"Northwest",2020-07-04
"187",187,187,20.96,"Northwest",2020-07-05
"188",188,188,22.6,"Northwest",2020-07-06
"189",189,189,27.21,"Northwest",2020-07-07
"190",190,190,22.37,"Northwest",2020-07-08
"191",191,191,23.38,"Northwest",2020-07-09
"192",192,192,15.93,"Northwest",2020-07-10
"193",193,193,12.75,"Northwest",2020-07-11
"194",194,194,23.24,"Northwest",2020-07-12
"195",195,195,15.21,"Northwest",2020-07-13
"196",196,196,20.76,"Northwest",2020-07-14
"197",197,197,21.91,"Northwest",2020-07-15
"198",198,198,21.14,"Northwest",2020-07-16
"199",199,199,24.6,"Northwest",2020-07-17
"200",200,200,20.21,"Northwest",2020-07-18
"201",201,201,11.79,"Northwest",2020-07-19
"202",202,202,25.47,"Northwest",2020-07-20
"203",203,203,23.19,"Northwest",2020-07-21
"204",204,204,24.91,"Northwest",2020-07-22
"205",205,205,27.67,"Northwest",2020-07-23
"206",206,206,16.78,"Northwest",2020-07-24
"207",207,207,21.27,"Northwest",2020-07-25
"208",208,208,27.85,"Northwest",2020-07-26
"209",209,209,19.28,"Northwest",2020-07-27
"210",210,210,18.22,"Northwest",2020-07-28
"211",211,211,19.31,"Northwest",2020-07-29
"212",212,212,27.81,"Northwest",2020-07-30
"213",213,213,22.33,"Northwest",2020-07-31
"214",214,214,18.65,"Northwest",2020-08-01
"215",215,215,24.71,"Northwest",2020-08-02
"216",216,216,26.57,"Northwest",2020-08-03
"217",217,217,26.5,"Northwest",2020-08-04
"218",218,218,23.32,"Northwest",2020-08-05
"219",219,219,23.89,"Northwest",2020-08-06
"220",220,220,20.76,"Northwest",2020-08-07
"221",221,221,21.72,"Northwest",2020-08-08
"222",222,222,10.96,"Northwest",2020-08-09
"223",223,223,23.98,"Northwest",2020-08-10
"224",224,224,23.82,"Northwest",2020-08-11
"225",225,225,24.84,"Northwest",2020-08-12
"226",226,226,17.48,"Northwest",2020-08-13
"227",227,227,10.81,"Northwest",2020-08-14
"228",228,228,19.73,"Northwest",2020-08-15
"229",229,229,18.5,"Northwest",2020-08-16
"230",230,230,19.7,"Northwest",2020-08-17
"231",231,231,15.75,"Northwest",2020-08-18
"232",232,232,12.02,"Northwest",2020-08-19
"233",233,233,19.8,"Northwest",2020-08-20
"234",234,234,17.74,"Northwest",2020-08-21
"235",235,235,10.84,"Northwest",2020-08-22
"236",236,236,11.93,"Northwest",2020-08-23
"237",237,237,21.47,"Northwest",2020-08-24
"238",238,238,13.15,"Northwest",2020-08-25
"239",239,239,8.37,"Northwest",2020-08-26
"240",240,240,21.75,"Northwest",2020-08-27
"241",241,241,9.9,"Northwest",2020-08-28
"242",242,242,16.93,"Northwest",2020-08-29
"243",243,243,16.18,"Northwest",2020-08-30
"244",244,244,7.92,"Northwest",2020-08-31
"245",245,245,11.02,"Northwest",2020-09-01
"246",246,246,15.19,"Northwest",2020-09-02
"247",247,247,15.55,"Northwest",2020-09-03
"248",248,248,13.9,"Northwest",2020-09-04
"249",249,249,19.97,"Northwest",2020-09-05
"250",250,250,8.4,"Northwest",2020-09-06
"251",251,251,13.54,"Northwest",2020-09-07
"252",252,252,14.36,"Northwest",2020-09-08
"253",253,253,13.34,"Northwest",2020-09-09
"254",254,254,14.74,"Northwest",2020-09-10
"255",255,255,19.43,"Northwest",2020-09-11
"256",256,256,15.6,"Northwest",2020-09-12
"257",257,257,11.57,"Northwest",2020-09-13
"258",258,258,9.99,"Northwest",2020-09-14
"259",259,259,12.48,"Northwest",2020-09-15
"260",260,260,17.99,"Northwest",2020-09-16
"261",261,261,19.19,"Northwest",2020-09-17
"262",262,262,15.6,"Northwest",2020-09-18
"263",263,263,11.72,"Northwest",2020-09-19
"264",264,264,11.04,"Northwest",2020-09-20
"265",265,265,4.02,"Northwest",2020-09-21
"266",266,266,16.18,"Northwest",2020-09-22
"267",267,267,11.65,"Northwest",2020-09-23
"268",268,268,14.73,"Northwest",2020-09-24
"269",269,269,8.87,"Northwest",2020-09-25
"270",270,270,6.69,"Northwest",2020-09-26
"271",271,271,4.35,"Northwest",2020-09-27
"272",272,272,4.78,"Northwest",2020-09-28
"273",273,273,6.17,"Northwest",2020-09-29
"274",274,274,8.36,"Northwest",2020-09-30
"275",275,275,8.37,"Northwest",2020-10-01
"276",276,276,5.75,"Northwest",2020-10-02
"277",277,277,7.51,"Northwest",2020-10-03
"278",278,278,9.21,"Northwest",2020-10-04
"279",279,279,4.23,"Northwest",2020-10-05
"280",280,280,6.19,"Northwest",2020-10-06
"281",281,281,5.18,"Northwest",2020-10-07
"282",282,282,12.56,"Northwest",2020-10-08
"283",283,283,7.36,"Northwest",2020-10-09
"284",284,284,12.11,"Northwest",2020-10-10
"285",285,285,5.59,"Northwest",2020-10-11
"286",286,286,6.9,"Northwest",2020-10-12
"287",287,287,8.48,"Northwest",2020-10-13
"288",288,288,6.53,"Northwest",2020-10-14
"289",289,289,6.49,"Northwest",2020-10-15
"290",290,290,7.86,"Northwest",2020-10-16
"291",291,291,8.84,"Northwest",2020-10-17
"292",292,292,5.06,"Northwest",2020-10-18
"293",293,293,6.41,"Northwest",2020-10-19
"294",294,294,8,"Northwest",2020-10-20
"295",295,295,5.28,"Northwest",2020-10-21
"296",296,296,6.41,"Northwest",2020-10-22
"297",297,297,6.82,"Northwest",2020-10-23
"298",298,298,6.93,"Northwest",2020-10-24
"299",299,299,5.9,"Northwest",2020-10-25
"300",300,300,4.85,"Northwest",2020-10-26
"301",301,301,4.49,"Northwest",2020-10-27
"302",302,302,4.03,"Northwest",2020-10-28
"303",303,303,7.72,"Northwest",2020-10-29
"304",304,304,3.12,"Northwest",2020-10-30
"305",305,305,1.48,"Northwest",2020-10-31
"306",306,306,8.58,"Northwest",2020-11-01
"307",307,307,7.12,"Northwest",2020-11-02
"308",308,308,8.44,"Northwest",2020-11-03
"309",309,309,8.19,"Northwest",2020-11-04
"310",310,310,2.63,"Northwest",2020-11-05
"311",311,311,3.33,"Northwest",2020-11-06
"312",312,312,5.78,"Northwest",2020-11-07
"313",313,313,3,"Northwest",2020-11-08
"314",314,314,2.21,"Northwest",2020-11-09
"315",315,315,5.55,"Northwest",2020-11-10
"316",316,316,4.12,"Northwest",2020-11-11
"317",317,317,2.93,"Northwest",2020-11-12
"318",318,318,6.03,"Northwest",2020-11-13
"319",319,319,3.12,"Northwest",2020-11-14
"320",320,320,1.78,"Northwest",2020-11-15
"321",321,321,6.94,"Northwest",2020-11-16
"322",322,322,4.21,"Northwest",2020-11-17
"323",323,323,3.29,"Northwest",2020-11-18
"324",324,324,1.91,"Northwest",2020-11-19
"325",325,325,3.29,"Northwest",2020-11-20
"326",326,326,3.24,"Northwest",2020-11-21
"327",327,327,2.48,"Northwest",2020-11-22
"328",328,328,5.19,"Northwest",2020-11-23
"329",329,329,1.5,"Northwest",2020-11-24
"330",330,330,1.46,"Northwest",2020-11-25
"331",331,331,2.14,"Northwest",2020-11-26
"332",332,332,2.67,"Northwest",2020-11-27
"333",333,333,3.04,"Northwest",2020-11-28
