"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.74,"Southwest",2020-01-01
"2",2,2,3.94,"Southwest",2020-01-02
"3",3,3,3.95,"Southwest",2020-01-03
"4",4,4,3.04,"Southwest",2020-01-04
"5",5,5,3.4,"Southwest",2020-01-05
"6",6,6,4.01,"Southwest",2020-01-06
"7",7,7,5.31,"Southwest",2020-01-07
"8",8,8,6.66,"Southwest",2020-01-08
"9",9,9,5.48,"Southwest",2020-01-09
"10",10,10,2.4,"Southwest",2020-01-10
"11",11,11,1.05,"Southwest",2020-01-11
"12",12,12,4.85,"Southwest",2020-01-12
"13",13,13,2.09,"Southwest",2020-01-13
"14",14,14,3.03,"Southwest",2020-01-14
"15",15,15,2.82,"Southwest",2020-01-15
"16",16,16,4.99,"Southwest",2020-01-16
"17",17,17,6.65,"Southwest",2020-01-17
"18",18,18,0.98,"Southwest",2020-01-18
"19",19,19,6.42,"Southwest",2020-01-19
"20",20,20,9.33,"Southwest",2020-01-20
"21",21,21,4.5,"Southwest",2020-01-21
"22",22,22,4.93,"Southwest",2020-01-22
"23",23,23,5.85,"Southwest",2020-01-23
"24",24,24,5.57,"Southwest",2020-01-24
"25",25,25,3.04,"Southwest",2020-01-25
"26",26,26,1.92,"Southwest",2020-01-26
"27",27,27,2.89,"Southwest",2020-01-27
"28",28,28,6.38,"Southwest",2020-01-28
"29",29,29,9.42,"Southwest",2020-01-29
"30",30,30,9,"Southwest",2020-01-30
"31",31,31,4.91,"Southwest",2020-01-31
"32",32,32,6.07,"Southwest",2020-02-01
"33",33,33,1.78,"Southwest",2020-02-02
"34",34,34,10.13,"Southwest",2020-02-03
"35",35,35,2.79,"Southwest",2020-02-04
"36",36,36,11.56,"Southwest",2020-02-05
"37",37,37,3.58,"Southwest",2020-02-06
"38",38,38,6.31,"Southwest",2020-02-07
"39",39,39,10.94,"Southwest",2020-02-08
"40",40,40,4.92,"Southwest",2020-02-09
"41",41,41,6.69,"Southwest",2020-02-10
"42",42,42,5.5,"Southwest",2020-02-11
"43",43,43,8.95,"Southwest",2020-02-12
"44",44,44,7.58,"Southwest",2020-02-13
"45",45,45,11.15,"Southwest",2020-02-14
"46",46,46,10.48,"Southwest",2020-02-15
"47",47,47,9.51,"Southwest",2020-02-16
"48",48,48,13.57,"Southwest",2020-02-17
"49",49,49,5.7,"Southwest",2020-02-18
"50",50,50,6.41,"Southwest",2020-02-19
"51",51,51,12.19,"Southwest",2020-02-20
"52",52,52,15.5,"Southwest",2020-02-21
"53",53,53,15.16,"Southwest",2020-02-22
"54",54,54,14.24,"Southwest",2020-02-23
"55",55,55,12.53,"Southwest",2020-02-24
"56",56,56,6.19,"Southwest",2020-02-25
"57",57,57,5.14,"Southwest",2020-02-26
"58",58,58,10.69,"Southwest",2020-02-27
"59",59,59,11.35,"Southwest",2020-02-28
"60",60,60,14.89,"Southwest",2020-02-29
"61",61,61,12.14,"Southwest",2020-03-01
"62",62,62,4.37,"Southwest",2020-03-02
"63",63,63,4.32,"Southwest",2020-03-03
"64",64,64,10.75,"Southwest",2020-03-04
"65",65,65,17.23,"Southwest",2020-03-05
"66",66,66,8.25,"Southwest",2020-03-06
"67",67,67,18.62,"Southwest",2020-03-07
"68",68,68,17.89,"Southwest",2020-03-08
"69",69,69,15.13,"Southwest",2020-03-09
"70",70,70,7.64,"Southwest",2020-03-10
"71",71,71,11.22,"Southwest",2020-03-11
"72",72,72,8.97,"Southwest",2020-03-12
"73",73,73,10.04,"Southwest",2020-03-13
"74",74,74,6.64,"Southwest",2020-03-14
