"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.15,"Niagara",2020-01-01
"2",2,2,6.92,"Niagara",2020-01-02
"3",3,3,1.75,"Niagara",2020-01-03
"4",4,4,2.18,"Niagara",2020-01-04
"5",5,5,3.53,"Niagara",2020-01-05
"6",6,6,5.15,"Niagara",2020-01-06
"7",7,7,2.9,"Niagara",2020-01-07
"8",8,8,4.15,"Niagara",2020-01-08
"9",9,9,5.79,"Niagara",2020-01-09
"10",10,10,1.34,"Niagara",2020-01-10
"11",11,11,3.04,"Niagara",2020-01-11
"12",12,12,3.21,"Niagara",2020-01-12
"13",13,13,4.18,"Niagara",2020-01-13
"14",14,14,7.03,"Niagara",2020-01-14
"15",15,15,5.97,"Niagara",2020-01-15
"16",16,16,3.55,"Niagara",2020-01-16
"17",17,17,7.17,"Niagara",2020-01-17
"18",18,18,1.67,"Niagara",2020-01-18
"19",19,19,3.43,"Niagara",2020-01-19
"20",20,20,7.67,"Niagara",2020-01-20
"21",21,21,3.73,"Niagara",2020-01-21
"22",22,22,6.87,"Niagara",2020-01-22
"23",23,23,6.37,"Niagara",2020-01-23
"24",24,24,6.21,"Niagara",2020-01-24
"25",25,25,2.21,"Niagara",2020-01-25
"26",26,26,2.12,"Niagara",2020-01-26
"27",27,27,3.45,"Niagara",2020-01-27
"28",28,28,3.9,"Niagara",2020-01-28
"29",29,29,6.51,"Niagara",2020-01-29
"30",30,30,8.49,"Niagara",2020-01-30
"31",31,31,3.56,"Niagara",2020-01-31
"32",32,32,3.65,"Niagara",2020-02-01
"33",33,33,2.18,"Niagara",2020-02-02
"34",34,34,9.86,"Niagara",2020-02-03
"35",35,35,2.6,"Niagara",2020-02-04
"36",36,36,9.59,"Niagara",2020-02-05
"37",37,37,1.87,"Niagara",2020-02-06
"38",38,38,3.91,"Niagara",2020-02-07
"39",39,39,5.93,"Niagara",2020-02-08
"40",40,40,6.6,"Niagara",2020-02-09
"41",41,41,3.32,"Niagara",2020-02-10
"42",42,42,4.31,"Niagara",2020-02-11
"43",43,43,7.93,"Niagara",2020-02-12
"44",44,44,4.98,"Niagara",2020-02-13
"45",45,45,11.55,"Niagara",2020-02-14
"46",46,46,11.06,"Niagara",2020-02-15
"47",47,47,5.16,"Niagara",2020-02-16
"48",48,48,12.2,"Niagara",2020-02-17
"49",49,49,3.43,"Niagara",2020-02-18
"50",50,50,7.02,"Niagara",2020-02-19
"51",51,51,8.89,"Niagara",2020-02-20
"52",52,52,14.98,"Niagara",2020-02-21
"53",53,53,15.12,"Niagara",2020-02-22
"54",54,54,14.4,"Niagara",2020-02-23
"55",55,55,12.04,"Niagara",2020-02-24
"56",56,56,5.88,"Niagara",2020-02-25
"57",57,57,3.75,"Niagara",2020-02-26
"58",58,58,5.94,"Niagara",2020-02-27
"59",59,59,6.74,"Niagara",2020-02-28
"60",60,60,10,"Niagara",2020-02-29
"61",61,61,15.06,"Niagara",2020-03-01
"62",62,62,5.12,"Niagara",2020-03-02
"63",63,63,4.24,"Niagara",2020-03-03
"64",64,64,7.66,"Niagara",2020-03-04
"65",65,65,16.71,"Niagara",2020-03-05
"66",66,66,4.74,"Niagara",2020-03-06
"67",67,67,17.38,"Niagara",2020-03-07
"68",68,68,17.6,"Niagara",2020-03-08
"69",69,69,17.12,"Niagara",2020-03-09
"70",70,70,4.25,"Niagara",2020-03-10
"71",71,71,10.93,"Niagara",2020-03-11
"72",72,72,10.07,"Niagara",2020-03-12
"73",73,73,11.71,"Niagara",2020-03-13
"74",74,74,9.75,"Niagara",2020-03-14
"75",75,75,20.83,"Niagara",2020-03-15
"76",76,76,17.94,"Niagara",2020-03-16
"77",77,77,6.07,"Niagara",2020-03-17
"78",78,78,12.56,"Niagara",2020-03-18
"79",79,79,9.06,"Niagara",2020-03-19
"80",80,80,7.04,"Niagara",2020-03-20
"81",81,81,18.35,"Niagara",2020-03-21
"82",82,82,21.71,"Niagara",2020-03-22
"83",83,83,4.5,"Niagara",2020-03-23
"84",84,84,7.63,"Niagara",2020-03-24
"85",85,85,13.35,"Niagara",2020-03-25
"86",86,86,15.79,"Niagara",2020-03-26
"87",87,87,18.36,"Niagara",2020-03-27
"88",88,88,4.02,"Niagara",2020-03-28
"89",89,89,12.19,"Niagara",2020-03-29
"90",90,90,6.85,"Niagara",2020-03-30
"91",91,91,8.14,"Niagara",2020-03-31
"92",92,92,22.43,"Niagara",2020-04-01
"93",93,93,22.54,"Niagara",2020-04-02
"94",94,94,12.15,"Niagara",2020-04-03
"95",95,95,13.29,"Niagara",2020-04-04
"96",96,96,13.16,"Niagara",2020-04-05
"97",97,97,23.57,"Niagara",2020-04-06
"98",98,98,14.08,"Niagara",2020-04-07
"99",99,99,13.55,"Niagara",2020-04-08
"100",100,100,12.39,"Niagara",2020-04-09
"101",101,101,9.17,"Niagara",2020-04-10
"102",102,102,21.8,"Niagara",2020-04-11
"103",103,103,13.07,"Niagara",2020-04-12
