"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,5,"Northeast",2020-01-01
"2",2,2,2.22,"Northeast",2020-01-02
"3",3,3,2.25,"Northeast",2020-01-03
"4",4,4,2.98,"Northeast",2020-01-04
"5",5,5,2.36,"Northeast",2020-01-05
"6",6,6,3.8,"Northeast",2020-01-06
"7",7,7,3.66,"Northeast",2020-01-07
"8",8,8,5.39,"Northeast",2020-01-08
"9",9,9,1.73,"Northeast",2020-01-09
"10",10,10,2.9,"Northeast",2020-01-10
"11",11,11,2.09,"Northeast",2020-01-11
"12",12,12,4.84,"Northeast",2020-01-12
"13",13,13,3.81,"Northeast",2020-01-13
"14",14,14,1.75,"Northeast",2020-01-14
"15",15,15,2.51,"Northeast",2020-01-15
"16",16,16,5.31,"Northeast",2020-01-16
"17",17,17,5.68,"Northeast",2020-01-17
"18",18,18,1.99,"Northeast",2020-01-18
"19",19,19,7.55,"Northeast",2020-01-19
"20",20,20,6.58,"Northeast",2020-01-20
"21",21,21,4.72,"Northeast",2020-01-21
"22",22,22,5.34,"Northeast",2020-01-22
"23",23,23,3.14,"Northeast",2020-01-23
"24",24,24,4.4,"Northeast",2020-01-24
"25",25,25,2.51,"Northeast",2020-01-25
"26",26,26,3.63,"Northeast",2020-01-26
"27",27,27,4.92,"Northeast",2020-01-27
"28",28,28,5.62,"Northeast",2020-01-28
"29",29,29,5.12,"Northeast",2020-01-29
"30",30,30,3.97,"Northeast",2020-01-30
"31",31,31,4.86,"Northeast",2020-01-31
"32",32,32,3.17,"Northeast",2020-02-01
"33",33,33,3.49,"Northeast",2020-02-02
"34",34,34,7.53,"Northeast",2020-02-03
"35",35,35,7.08,"Northeast",2020-02-04
"36",36,36,6.58,"Northeast",2020-02-05
"37",37,37,5.61,"Northeast",2020-02-06
"38",38,38,7.17,"Northeast",2020-02-07
"39",39,39,9.18,"Northeast",2020-02-08
"40",40,40,3.92,"Northeast",2020-02-09
"41",41,41,7.92,"Northeast",2020-02-10
"42",42,42,4.56,"Northeast",2020-02-11
"43",43,43,11.44,"Northeast",2020-02-12
"44",44,44,8.38,"Northeast",2020-02-13
"45",45,45,6.51,"Northeast",2020-02-14
"46",46,46,3.29,"Northeast",2020-02-15
"47",47,47,8.48,"Northeast",2020-02-16
"48",48,48,9.63,"Northeast",2020-02-17
"49",49,49,5.43,"Northeast",2020-02-18
"50",50,50,7.05,"Northeast",2020-02-19
"51",51,51,13,"Northeast",2020-02-20
"52",52,52,13.99,"Northeast",2020-02-21
