"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.28,"Southwest",2020-01-01
"2",2,2,4.37,"Southwest",2020-01-02
"3",3,3,2.9,"Southwest",2020-01-03
"4",4,4,3.27,"Southwest",2020-01-04
"5",5,5,4.08,"Southwest",2020-01-05
"6",6,6,4.94,"Southwest",2020-01-06
"7",7,7,5.08,"Southwest",2020-01-07
"8",8,8,5.71,"Southwest",2020-01-08
"9",9,9,5.21,"Southwest",2020-01-09
"10",10,10,2.3,"Southwest",2020-01-10
"11",11,11,1.71,"Southwest",2020-01-11
"12",12,12,5.34,"Southwest",2020-01-12
"13",13,13,2.63,"Southwest",2020-01-13
"14",14,14,3.57,"Southwest",2020-01-14
"15",15,15,3.41,"Southwest",2020-01-15
"16",16,16,5.45,"Southwest",2020-01-16
"17",17,17,8.27,"Southwest",2020-01-17
"18",18,18,1.44,"Southwest",2020-01-18
"19",19,19,4.48,"Southwest",2020-01-19
"20",20,20,9.55,"Southwest",2020-01-20
"21",21,21,3.37,"Southwest",2020-01-21
"22",22,22,5.89,"Southwest",2020-01-22
"23",23,23,5.18,"Southwest",2020-01-23
"24",24,24,6.39,"Southwest",2020-01-24
"25",25,25,2.12,"Southwest",2020-01-25
"26",26,26,3.07,"Southwest",2020-01-26
"27",27,27,4.36,"Southwest",2020-01-27
"28",28,28,5.15,"Southwest",2020-01-28
"29",29,29,8.24,"Southwest",2020-01-29
"30",30,30,6.41,"Southwest",2020-01-30
"31",31,31,4.41,"Southwest",2020-01-31
"32",32,32,3.97,"Southwest",2020-02-01
"33",33,33,2.23,"Southwest",2020-02-02
"34",34,34,9.5,"Southwest",2020-02-03
"35",35,35,2.69,"Southwest",2020-02-04
"36",36,36,10.01,"Southwest",2020-02-05
"37",37,37,1.93,"Southwest",2020-02-06
"38",38,38,3.64,"Southwest",2020-02-07
"39",39,39,8.67,"Southwest",2020-02-08
"40",40,40,4.88,"Southwest",2020-02-09
"41",41,41,6.62,"Southwest",2020-02-10
"42",42,42,8.37,"Southwest",2020-02-11
"43",43,43,9.42,"Southwest",2020-02-12
"44",44,44,5.18,"Southwest",2020-02-13
"45",45,45,9.81,"Southwest",2020-02-14
"46",46,46,10.12,"Southwest",2020-02-15
"47",47,47,10,"Southwest",2020-02-16
"48",48,48,12.12,"Southwest",2020-02-17
"49",49,49,4.12,"Southwest",2020-02-18
"50",50,50,8.03,"Southwest",2020-02-19
"51",51,51,8.82,"Southwest",2020-02-20
"52",52,52,14.42,"Southwest",2020-02-21
"53",53,53,14.28,"Southwest",2020-02-22
"54",54,54,13.84,"Southwest",2020-02-23
"55",55,55,11.75,"Southwest",2020-02-24
"56",56,56,4.45,"Southwest",2020-02-25
