"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.24,"Southwest",2020-01-01
"2",2,2,3.91,"Southwest",2020-01-02
"3",3,3,2.42,"Southwest",2020-01-03
"4",4,4,2.95,"Southwest",2020-01-04
"5",5,5,2.24,"Southwest",2020-01-05
"6",6,6,3.11,"Southwest",2020-01-06
"7",7,7,4.86,"Southwest",2020-01-07
"8",8,8,3.71,"Southwest",2020-01-08
"9",9,9,3.73,"Southwest",2020-01-09
"10",10,10,1.32,"Southwest",2020-01-10
"11",11,11,1.45,"Southwest",2020-01-11
"12",12,12,4.63,"Southwest",2020-01-12
"13",13,13,2.11,"Southwest",2020-01-13
"14",14,14,1.61,"Southwest",2020-01-14
"15",15,15,2.66,"Southwest",2020-01-15
"16",16,16,4.37,"Southwest",2020-01-16
"17",17,17,6.46,"Southwest",2020-01-17
"18",18,18,1.43,"Southwest",2020-01-18
"19",19,19,4.42,"Southwest",2020-01-19
"20",20,20,5.46,"Southwest",2020-01-20
"21",21,21,5.98,"Southwest",2020-01-21
"22",22,22,7.76,"Southwest",2020-01-22
"23",23,23,3.28,"Southwest",2020-01-23
"24",24,24,3.9,"Southwest",2020-01-24
"25",25,25,2.59,"Southwest",2020-01-25
"26",26,26,2.92,"Southwest",2020-01-26
"27",27,27,3.48,"Southwest",2020-01-27
"28",28,28,3.88,"Southwest",2020-01-28
"29",29,29,5.2,"Southwest",2020-01-29
"30",30,30,4.6,"Southwest",2020-01-30
"31",31,31,4.22,"Southwest",2020-01-31
"32",32,32,4.22,"Southwest",2020-02-01
"33",33,33,3.15,"Southwest",2020-02-02
"34",34,34,8.27,"Southwest",2020-02-03
"35",35,35,8.47,"Southwest",2020-02-04
"36",36,36,8.42,"Southwest",2020-02-05
"37",37,37,5.25,"Southwest",2020-02-06
"38",38,38,8.56,"Southwest",2020-02-07
"39",39,39,9.83,"Southwest",2020-02-08
"40",40,40,5.08,"Southwest",2020-02-09
"41",41,41,5.73,"Southwest",2020-02-10
"42",42,42,2.94,"Southwest",2020-02-11
"43",43,43,7.77,"Southwest",2020-02-12
"44",44,44,6.48,"Southwest",2020-02-13
"45",45,45,5.93,"Southwest",2020-02-14
"46",46,46,6.43,"Southwest",2020-02-15
"47",47,47,6.95,"Southwest",2020-02-16
"48",48,48,10.6,"Southwest",2020-02-17
"49",49,49,4.66,"Southwest",2020-02-18
"50",50,50,6.2,"Southwest",2020-02-19
"51",51,51,10.16,"Southwest",2020-02-20
"52",52,52,13.23,"Southwest",2020-02-21
"53",53,53,12.32,"Southwest",2020-02-22
"54",54,54,13.4,"Southwest",2020-02-23
"55",55,55,12.9,"Southwest",2020-02-24
"56",56,56,11.11,"Southwest",2020-02-25
"57",57,57,3.35,"Southwest",2020-02-26
"58",58,58,7.57,"Southwest",2020-02-27
"59",59,59,6.38,"Southwest",2020-02-28
"60",60,60,11.6,"Southwest",2020-02-29
"61",61,61,9.69,"Southwest",2020-03-01
"62",62,62,12.44,"Southwest",2020-03-02
"63",63,63,5.86,"Southwest",2020-03-03
"64",64,64,9.73,"Southwest",2020-03-04
"65",65,65,15.25,"Southwest",2020-03-05
"66",66,66,7.89,"Southwest",2020-03-06
"67",67,67,17.01,"Southwest",2020-03-07
"68",68,68,15.79,"Southwest",2020-03-08
"69",69,69,6.05,"Southwest",2020-03-09
"70",70,70,11.72,"Southwest",2020-03-10
"71",71,71,10.51,"Southwest",2020-03-11
"72",72,72,7.58,"Southwest",2020-03-12
"73",73,73,12.37,"Southwest",2020-03-13
"74",74,74,6.68,"Southwest",2020-03-14
"75",75,75,20.2,"Southwest",2020-03-15
"76",76,76,16.05,"Southwest",2020-03-16
"77",77,77,16.06,"Southwest",2020-03-17
"78",78,78,9.04,"Southwest",2020-03-18
"79",79,79,10.71,"Southwest",2020-03-19
"80",80,80,4.81,"Southwest",2020-03-20
"81",81,81,20.43,"Southwest",2020-03-21
"82",82,82,19.48,"Southwest",2020-03-22
"83",83,83,9.16,"Southwest",2020-03-23
"84",84,84,15.12,"Southwest",2020-03-24
"85",85,85,13.58,"Southwest",2020-03-25
"86",86,86,6.67,"Southwest",2020-03-26
"87",87,87,18.52,"Southwest",2020-03-27
"88",88,88,7.4,"Southwest",2020-03-28
"89",89,89,7.49,"Southwest",2020-03-29
"90",90,90,7.62,"Southwest",2020-03-30
"91",91,91,10.46,"Southwest",2020-03-31
"92",92,92,22.29,"Southwest",2020-04-01
"93",93,93,22.68,"Southwest",2020-04-02
