"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,4.66,"West",2020-01-01
"2",2,2,4.93,"West",2020-01-02
"3",3,3,3.26,"West",2020-01-03
"4",4,4,3.21,"West",2020-01-04
"5",5,5,3.52,"West",2020-01-05
"6",6,6,5.53,"West",2020-01-06
"7",7,7,5.69,"West",2020-01-07
"8",8,8,4.77,"West",2020-01-08
"9",9,9,3.84,"West",2020-01-09
"10",10,10,2.39,"West",2020-01-10
"11",11,11,1.75,"West",2020-01-11
"12",12,12,4.15,"West",2020-01-12
"13",13,13,2.15,"West",2020-01-13
"14",14,14,3.01,"West",2020-01-14
"15",15,15,3.84,"West",2020-01-15
"16",16,16,4.24,"West",2020-01-16
"17",17,17,4.83,"West",2020-01-17
"18",18,18,1.64,"West",2020-01-18
"19",19,19,4.46,"West",2020-01-19
"20",20,20,8.11,"West",2020-01-20
"21",21,21,7.2,"West",2020-01-21
"22",22,22,9.08,"West",2020-01-22
"23",23,23,6.22,"West",2020-01-23
"24",24,24,3.5,"West",2020-01-24
"25",25,25,3.44,"West",2020-01-25
"26",26,26,2.46,"West",2020-01-26
"27",27,27,3.24,"West",2020-01-27
"28",28,28,4.55,"West",2020-01-28
"29",29,29,7.08,"West",2020-01-29
"30",30,30,8.15,"West",2020-01-30
"31",31,31,4.55,"West",2020-01-31
"32",32,32,5.63,"West",2020-02-01
"33",33,33,2.56,"West",2020-02-02
"34",34,34,9.07,"West",2020-02-03
"35",35,35,3.81,"West",2020-02-04
"36",36,36,10.25,"West",2020-02-05
"37",37,37,4.15,"West",2020-02-06
"38",38,38,6.1,"West",2020-02-07
"39",39,39,9.75,"West",2020-02-08
"40",40,40,5.89,"West",2020-02-09
"41",41,41,6.26,"West",2020-02-10
"42",42,42,6.81,"West",2020-02-11
"43",43,43,8.78,"West",2020-02-12
"44",44,44,8.09,"West",2020-02-13
"45",45,45,8.62,"West",2020-02-14
"46",46,46,8.6,"West",2020-02-15
"47",47,47,9.52,"West",2020-02-16
"48",48,48,12.72,"West",2020-02-17
"49",49,49,5.26,"West",2020-02-18
"50",50,50,7.8,"West",2020-02-19
"51",51,51,8.44,"West",2020-02-20
"52",52,52,15.48,"West",2020-02-21
"53",53,53,15.12,"West",2020-02-22
"54",54,54,14.43,"West",2020-02-23
"55",55,55,12.59,"West",2020-02-24
"56",56,56,7.77,"West",2020-02-25
"57",57,57,2.58,"West",2020-02-26
"58",58,58,7.93,"West",2020-02-27
"59",59,59,9.33,"West",2020-02-28
"60",60,60,11.27,"West",2020-02-29
"61",61,61,6.64,"West",2020-03-01
"62",62,62,7.73,"West",2020-03-02
"63",63,63,5.68,"West",2020-03-03
"64",64,64,11.03,"West",2020-03-04
"65",65,65,16.53,"West",2020-03-05
"66",66,66,6.21,"West",2020-03-06
"67",67,67,18.25,"West",2020-03-07
"68",68,68,17.5,"West",2020-03-08
"69",69,69,11.39,"West",2020-03-09
"70",70,70,7.23,"West",2020-03-10
"71",71,71,10.95,"West",2020-03-11
"72",72,72,7.67,"West",2020-03-12
"73",73,73,11.09,"West",2020-03-13
"74",74,74,4.99,"West",2020-03-14
"75",75,75,20.42,"West",2020-03-15
"76",76,76,16.01,"West",2020-03-16
"77",77,77,13.82,"West",2020-03-17
"78",78,78,10.28,"West",2020-03-18
"79",79,79,7.74,"West",2020-03-19
"80",80,80,6.56,"West",2020-03-20
"81",81,81,22.08,"West",2020-03-21
"82",82,82,20.38,"West",2020-03-22
"83",83,83,7.43,"West",2020-03-23
"84",84,84,12.18,"West",2020-03-24
"85",85,85,15.85,"West",2020-03-25
"86",86,86,4.75,"West",2020-03-26
"87",87,87,15.37,"West",2020-03-27
"88",88,88,9.19,"West",2020-03-28
"89",89,89,10.1,"West",2020-03-29
"90",90,90,7.7,"West",2020-03-30
"91",91,91,10.25,"West",2020-03-31
"92",92,92,22.27,"West",2020-04-01
"93",93,93,23.57,"West",2020-04-02
"94",94,94,23.43,"West",2020-04-03
"95",95,95,21.06,"West",2020-04-04
"96",96,96,14.24,"West",2020-04-05
"97",97,97,21.68,"West",2020-04-06
"98",98,98,7.6,"West",2020-04-07
"99",99,99,17.31,"West",2020-04-08
"100",100,100,18.74,"West",2020-04-09
"101",101,101,19.57,"West",2020-04-10
"102",102,102,23.46,"West",2020-04-11
"103",103,103,13.35,"West",2020-04-12
"104",104,104,9.87,"West",2020-04-13
"105",105,105,17.74,"West",2020-04-14
"106",106,106,19.37,"West",2020-04-15
"107",107,107,18.36,"West",2020-04-16
"108",108,108,12.9,"West",2020-04-17
"109",109,109,22.68,"West",2020-04-18
"110",110,110,13.95,"West",2020-04-19
"111",111,111,26.02,"West",2020-04-20
"112",112,112,15.74,"West",2020-04-21
"113",113,113,20.84,"West",2020-04-22
"114",114,114,10.55,"West",2020-04-23
"115",115,115,13.13,"West",2020-04-24
"116",116,116,23.48,"West",2020-04-25
"117",117,117,17.71,"West",2020-04-26
"118",118,118,26.12,"West",2020-04-27
"119",119,119,17.21,"West",2020-04-28
"120",120,120,5.35,"West",2020-04-29
"121",121,121,11.8,"West",2020-04-30
"122",122,122,23.1,"West",2020-05-01
"123",123,123,12.05,"West",2020-05-02
"124",124,124,27.69,"West",2020-05-03
"125",125,125,21.57,"West",2020-05-04
"126",126,126,19.78,"West",2020-05-05
"127",127,127,28.46,"West",2020-05-06
"128",128,128,22.99,"West",2020-05-07
"129",129,129,22.57,"West",2020-05-08
"130",130,130,17.94,"West",2020-05-09
"131",131,131,11.83,"West",2020-05-10
"132",132,132,16.45,"West",2020-05-11
"133",133,133,27.98,"West",2020-05-12
"134",134,134,30.6,"West",2020-05-13
"135",135,135,7.35,"West",2020-05-14
"136",136,136,11.49,"West",2020-05-15
"137",137,137,23.69,"West",2020-05-16
"138",138,138,8.36,"West",2020-05-17
"139",139,139,5.67,"West",2020-05-18
"140",140,140,17.5,"West",2020-05-19
"141",141,141,30.29,"West",2020-05-20
"142",142,142,29.5,"West",2020-05-21
"143",143,143,23.13,"West",2020-05-22
"144",144,144,21.88,"West",2020-05-23
"145",145,145,20.98,"West",2020-05-24
"146",146,146,24.53,"West",2020-05-25
"147",147,147,26.04,"West",2020-05-26
"148",148,148,20.9,"West",2020-05-27
"149",149,149,12.52,"West",2020-05-28
"150",150,150,12,"West",2020-05-29
"151",151,151,16.02,"West",2020-05-30
"152",152,152,28.07,"West",2020-05-31
"153",153,153,29.89,"West",2020-06-01
"154",154,154,27.04,"West",2020-06-02
"155",155,155,24.75,"West",2020-06-03
"156",156,156,26.61,"West",2020-06-04
"157",157,157,24.44,"West",2020-06-05
"158",158,158,29.9,"West",2020-06-06
"159",159,159,29.81,"West",2020-06-07
"160",160,160,29.81,"West",2020-06-08
"161",161,161,28.24,"West",2020-06-09
"162",162,162,21.82,"West",2020-06-10
"163",163,163,28.59,"West",2020-06-11
"164",164,164,29.81,"West",2020-06-12
"165",165,165,31.87,"West",2020-06-13
"166",166,166,31.74,"West",2020-06-14
"167",167,167,30.1,"West",2020-06-15
"168",168,168,30.39,"West",2020-06-16
"169",169,169,30.54,"West",2020-06-17
"170",170,170,29.4,"West",2020-06-18
"171",171,171,25.31,"West",2020-06-19
"172",172,172,27.69,"West",2020-06-20
"173",173,173,20.84,"West",2020-06-21
"174",174,174,15.19,"West",2020-06-22
"175",175,175,11.22,"West",2020-06-23
"176",176,176,20.91,"West",2020-06-24
"177",177,177,25.68,"West",2020-06-25
"178",178,178,26.2,"West",2020-06-26
"179",179,179,19.44,"West",2020-06-27
"180",180,180,29.98,"West",2020-06-28
"181",181,181,29.93,"West",2020-06-29
"182",182,182,28.69,"West",2020-06-30
"183",183,183,27.75,"West",2020-07-01
"184",184,184,28.88,"West",2020-07-02
"185",185,185,28.84,"West",2020-07-03
"186",186,186,28.09,"West",2020-07-04
"187",187,187,28.32,"West",2020-07-05
"188",188,188,28.45,"West",2020-07-06
"189",189,189,26.4,"West",2020-07-07
"190",190,190,26.81,"West",2020-07-08
"191",191,191,24.68,"West",2020-07-09
"192",192,192,17.97,"West",2020-07-10
"193",193,193,19.03,"West",2020-07-11
"194",194,194,19.9,"West",2020-07-12
"195",195,195,23.41,"West",2020-07-13
"196",196,196,25.96,"West",2020-07-14
"197",197,197,24.88,"West",2020-07-15
"198",198,198,9.03,"West",2020-07-16
"199",199,199,26.14,"West",2020-07-17
"200",200,200,26.13,"West",2020-07-18
"201",201,201,10.04,"West",2020-07-19
"202",202,202,25.96,"West",2020-07-20
"203",203,203,17.29,"West",2020-07-21
"204",204,204,14.34,"West",2020-07-22
"205",205,205,23.7,"West",2020-07-23
"206",206,206,25.83,"West",2020-07-24
"207",207,207,26.14,"West",2020-07-25
"208",208,208,25.39,"West",2020-07-26
"209",209,209,15.55,"West",2020-07-27
"210",210,210,26.48,"West",2020-07-28
"211",211,211,23.19,"West",2020-07-29
"212",212,212,25.1,"West",2020-07-30
"213",213,213,24.96,"West",2020-07-31
"214",214,214,19.25,"West",2020-08-01
"215",215,215,9.35,"West",2020-08-02
"216",216,216,13.12,"West",2020-08-03
"217",217,217,14.64,"West",2020-08-04
"218",218,218,26.32,"West",2020-08-05
"219",219,219,24.74,"West",2020-08-06
"220",220,220,25.49,"West",2020-08-07
"221",221,221,25.34,"West",2020-08-08
"222",222,222,16.47,"West",2020-08-09
"223",223,223,23.91,"West",2020-08-10
"224",224,224,18.73,"West",2020-08-11
"225",225,225,26.56,"West",2020-08-12
"226",226,226,25.21,"West",2020-08-13
"227",227,227,25.12,"West",2020-08-14
"228",228,228,20.07,"West",2020-08-15
"229",229,229,9.95,"West",2020-08-16
"230",230,230,20.42,"West",2020-08-17
"231",231,231,23.27,"West",2020-08-18
"232",232,232,24.95,"West",2020-08-19
"233",233,233,23.92,"West",2020-08-20
"234",234,234,23.46,"West",2020-08-21
"235",235,235,22.96,"West",2020-08-22
"236",236,236,22.41,"West",2020-08-23
"237",237,237,21.03,"West",2020-08-24
"238",238,238,23.7,"West",2020-08-25
"239",239,239,6.34,"West",2020-08-26
"240",240,240,12.3,"West",2020-08-27
"241",241,241,11.47,"West",2020-08-28
"242",242,242,12.61,"West",2020-08-29
"243",243,243,21.14,"West",2020-08-30
"244",244,244,22.75,"West",2020-08-31
"245",245,245,17.09,"West",2020-09-01
"246",246,246,14.42,"West",2020-09-02
"247",247,247,22.11,"West",2020-09-03
"248",248,248,22.05,"West",2020-09-04
"249",249,249,7.6,"West",2020-09-05
"250",250,250,18.47,"West",2020-09-06
"251",251,251,12.32,"West",2020-09-07
"252",252,252,6,"West",2020-09-08
"253",253,253,7.14,"West",2020-09-09
"254",254,254,9.87,"West",2020-09-10
"255",255,255,21.51,"West",2020-09-11
"256",256,256,14.97,"West",2020-09-12
"257",257,257,12.36,"West",2020-09-13
"258",258,258,19.23,"West",2020-09-14
"259",259,259,14.12,"West",2020-09-15
"260",260,260,14.66,"West",2020-09-16
"261",261,261,19.28,"West",2020-09-17
"262",262,262,19.52,"West",2020-09-18
"263",263,263,21.19,"West",2020-09-19
