"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.76,"Northeast",2020-01-01
"2",2,2,2.05,"Northeast",2020-01-02
"3",3,3,1.97,"Northeast",2020-01-03
"4",4,4,2.33,"Northeast",2020-01-04
"5",5,5,2.9,"Northeast",2020-01-05
"6",6,6,2.35,"Northeast",2020-01-06
"7",7,7,2.35,"Northeast",2020-01-07
"8",8,8,5.17,"Northeast",2020-01-08
"9",9,9,2.07,"Northeast",2020-01-09
"10",10,10,1.55,"Northeast",2020-01-10
"11",11,11,5.68,"Northeast",2020-01-11
"12",12,12,4.95,"Northeast",2020-01-12
"13",13,13,4.1,"Northeast",2020-01-13
"14",14,14,1.41,"Northeast",2020-01-14
"15",15,15,4.05,"Northeast",2020-01-15
"16",16,16,5.19,"Northeast",2020-01-16
"17",17,17,5.94,"Northeast",2020-01-17
"18",18,18,1.93,"Northeast",2020-01-18
"19",19,19,6.84,"Northeast",2020-01-19
"20",20,20,7.2,"Northeast",2020-01-20
"21",21,21,4.38,"Northeast",2020-01-21
"22",22,22,1.7,"Northeast",2020-01-22
"23",23,23,3.56,"Northeast",2020-01-23
"24",24,24,4.02,"Northeast",2020-01-24
"25",25,25,2.5,"Northeast",2020-01-25
"26",26,26,3.26,"Northeast",2020-01-26
"27",27,27,3.13,"Northeast",2020-01-27
"28",28,28,5.96,"Northeast",2020-01-28
"29",29,29,7.38,"Northeast",2020-01-29
"30",30,30,4.43,"Northeast",2020-01-30
"31",31,31,3.42,"Northeast",2020-01-31
"32",32,32,2.65,"Northeast",2020-02-01
"33",33,33,4.7,"Northeast",2020-02-02
"34",34,34,4.02,"Northeast",2020-02-03
"35",35,35,3.8,"Northeast",2020-02-04
"36",36,36,7.59,"Northeast",2020-02-05
"37",37,37,6.9,"Northeast",2020-02-06
"38",38,38,9.75,"Northeast",2020-02-07
"39",39,39,8.3,"Northeast",2020-02-08
"40",40,40,5.27,"Northeast",2020-02-09
"41",41,41,7.13,"Northeast",2020-02-10
"42",42,42,9.01,"Northeast",2020-02-11
"43",43,43,4.04,"Northeast",2020-02-12
"44",44,44,11.07,"Northeast",2020-02-13
"45",45,45,11.2,"Northeast",2020-02-14
"46",46,46,5.05,"Northeast",2020-02-15
"47",47,47,10.32,"Northeast",2020-02-16
"48",48,48,9.69,"Northeast",2020-02-17
"49",49,49,6.68,"Northeast",2020-02-18
"50",50,50,10.35,"Northeast",2020-02-19
"51",51,51,10.63,"Northeast",2020-02-20
"52",52,52,12.25,"Northeast",2020-02-21
"53",53,53,11.55,"Northeast",2020-02-22
"54",54,54,7.21,"Northeast",2020-02-23
"55",55,55,7.36,"Northeast",2020-02-24
"56",56,56,10.8,"Northeast",2020-02-25
"57",57,57,7.35,"Northeast",2020-02-26
"58",58,58,4.94,"Northeast",2020-02-27
"59",59,59,6.51,"Northeast",2020-02-28
"60",60,60,13.5,"Northeast",2020-02-29
"61",61,61,8.64,"Northeast",2020-03-01
"62",62,62,8.26,"Northeast",2020-03-02
"63",63,63,10.37,"Northeast",2020-03-03
"64",64,64,6.29,"Northeast",2020-03-04
"65",65,65,11.86,"Northeast",2020-03-05
"66",66,66,16.35,"Northeast",2020-03-06
"67",67,67,8.38,"Northeast",2020-03-07
"68",68,68,7.55,"Northeast",2020-03-08
"69",69,69,6.01,"Northeast",2020-03-09
"70",70,70,16.13,"Northeast",2020-03-10
"71",71,71,14.75,"Northeast",2020-03-11
"72",72,72,4.43,"Northeast",2020-03-12
"73",73,73,6.44,"Northeast",2020-03-13
"74",74,74,18.05,"Northeast",2020-03-14
"75",75,75,17.92,"Northeast",2020-03-15
"76",76,76,9.09,"Northeast",2020-03-16
"77",77,77,10.48,"Northeast",2020-03-17
"78",78,78,13.8,"Northeast",2020-03-18
"79",79,79,7.14,"Northeast",2020-03-19
"80",80,80,14.86,"Northeast",2020-03-20
"81",81,81,20.06,"Northeast",2020-03-21
"82",82,82,19.69,"Northeast",2020-03-22
"83",83,83,7.28,"Northeast",2020-03-23
"84",84,84,16.85,"Northeast",2020-03-24
"85",85,85,3.8,"Northeast",2020-03-25
"86",86,86,19.24,"Northeast",2020-03-26
"87",87,87,19.18,"Northeast",2020-03-27
"88",88,88,17.34,"Northeast",2020-03-28
"89",89,89,3.03,"Northeast",2020-03-29
"90",90,90,17.93,"Northeast",2020-03-30
"91",91,91,12.08,"Northeast",2020-03-31
"92",92,92,22.22,"Northeast",2020-04-01
"93",93,93,20.48,"Northeast",2020-04-02
"94",94,94,21.01,"Northeast",2020-04-03
"95",95,95,11.87,"Northeast",2020-04-04
"96",96,96,22.44,"Northeast",2020-04-05
"97",97,97,21.84,"Northeast",2020-04-06
"98",98,98,19.92,"Northeast",2020-04-07
"99",99,99,10.65,"Northeast",2020-04-08
"100",100,100,15.65,"Northeast",2020-04-09
"101",101,101,15.97,"Northeast",2020-04-10
"102",102,102,18.6,"Northeast",2020-04-11
"103",103,103,18.64,"Northeast",2020-04-12
"104",104,104,7.54,"Northeast",2020-04-13
"105",105,105,20.7,"Northeast",2020-04-14
"106",106,106,19.86,"Northeast",2020-04-15
"107",107,107,17.9,"Northeast",2020-04-16
"108",108,108,22.39,"Northeast",2020-04-17
"109",109,109,11.79,"Northeast",2020-04-18
"110",110,110,24.82,"Northeast",2020-04-19
"111",111,111,11.62,"Northeast",2020-04-20
"112",112,112,17.39,"Northeast",2020-04-21
"113",113,113,27.59,"Northeast",2020-04-22
"114",114,114,26.08,"Northeast",2020-04-23
"115",115,115,19.75,"Northeast",2020-04-24
"116",116,116,16.84,"Northeast",2020-04-25
"117",117,117,27.31,"Northeast",2020-04-26
"118",118,118,27.05,"Northeast",2020-04-27
"119",119,119,25.51,"Northeast",2020-04-28
"120",120,120,19.81,"Northeast",2020-04-29
"121",121,121,19.91,"Northeast",2020-04-30
"122",122,122,23.1,"Northeast",2020-05-01
"123",123,123,9.65,"Northeast",2020-05-02
"124",124,124,10.88,"Northeast",2020-05-03
"125",125,125,25.96,"Northeast",2020-05-04
"126",126,126,28.46,"Northeast",2020-05-05
"127",127,127,18.84,"Northeast",2020-05-06
"128",128,128,15.15,"Northeast",2020-05-07
"129",129,129,15.94,"Northeast",2020-05-08
"130",130,130,16.26,"Northeast",2020-05-09
"131",131,131,14.57,"Northeast",2020-05-10
"132",132,132,28.34,"Northeast",2020-05-11
"133",133,133,27.08,"Northeast",2020-05-12
"134",134,134,28.86,"Northeast",2020-05-13
"135",135,135,7.56,"Northeast",2020-05-14
"136",136,136,8.01,"Northeast",2020-05-15
"137",137,137,15.06,"Northeast",2020-05-16
"138",138,138,25.18,"Northeast",2020-05-17
"139",139,139,25.98,"Northeast",2020-05-18
"140",140,140,29.24,"Northeast",2020-05-19
"141",141,141,28.42,"Northeast",2020-05-20
"142",142,142,28.01,"Northeast",2020-05-21
"143",143,143,29.51,"Northeast",2020-05-22
"144",144,144,27.95,"Northeast",2020-05-23
"145",145,145,19.42,"Northeast",2020-05-24
"146",146,146,19.9,"Northeast",2020-05-25
"147",147,147,6.52,"Northeast",2020-05-26
"148",148,148,16.05,"Northeast",2020-05-27
"149",149,149,11.27,"Northeast",2020-05-28
"150",150,150,9.03,"Northeast",2020-05-29
"151",151,151,17.09,"Northeast",2020-05-30
"152",152,152,22.46,"Northeast",2020-05-31
"153",153,153,20.35,"Northeast",2020-06-01
"154",154,154,5.82,"Northeast",2020-06-02
"155",155,155,11.72,"Northeast",2020-06-03
"156",156,156,19.38,"Northeast",2020-06-04
"157",157,157,16.98,"Northeast",2020-06-05
"158",158,158,13.23,"Northeast",2020-06-06
"159",159,159,13.63,"Northeast",2020-06-07
"160",160,160,8.69,"Northeast",2020-06-08
"161",161,161,15.2,"Northeast",2020-06-09
"162",162,162,4.48,"Northeast",2020-06-10
"163",163,163,8.84,"Northeast",2020-06-11
"164",164,164,23.22,"Northeast",2020-06-12
"165",165,165,31.88,"Northeast",2020-06-13
"166",166,166,31.67,"Northeast",2020-06-14
"167",167,167,30.87,"Northeast",2020-06-15
"168",168,168,16.84,"Northeast",2020-06-16
"169",169,169,28.67,"Northeast",2020-06-17
"170",170,170,30.28,"Northeast",2020-06-18
"171",171,171,23.23,"Northeast",2020-06-19
"172",172,172,10.81,"Northeast",2020-06-20
"173",173,173,17.37,"Northeast",2020-06-21
"174",174,174,9.64,"Northeast",2020-06-22
"175",175,175,8.26,"Northeast",2020-06-23
"176",176,176,6.9,"Northeast",2020-06-24
"177",177,177,14.97,"Northeast",2020-06-25
"178",178,178,25.53,"Northeast",2020-06-26
"179",179,179,21.16,"Northeast",2020-06-27
"180",180,180,29.88,"Northeast",2020-06-28
"181",181,181,30.02,"Northeast",2020-06-29
"182",182,182,27.66,"Northeast",2020-06-30
"183",183,183,28.29,"Northeast",2020-07-01
"184",184,184,16.73,"Northeast",2020-07-02
"185",185,185,26.99,"Northeast",2020-07-03
"186",186,186,21.73,"Northeast",2020-07-04
"187",187,187,28.12,"Northeast",2020-07-05
"188",188,188,20.69,"Northeast",2020-07-06
"189",189,189,25.49,"Northeast",2020-07-07
"190",190,190,27.28,"Northeast",2020-07-08
"191",191,191,14.89,"Northeast",2020-07-09
"192",192,192,11.99,"Northeast",2020-07-10
"193",193,193,12.48,"Northeast",2020-07-11
"194",194,194,12.65,"Northeast",2020-07-12
"195",195,195,28.58,"Northeast",2020-07-13
"196",196,196,15.97,"Northeast",2020-07-14
"197",197,197,25.97,"Northeast",2020-07-15
"198",198,198,23.31,"Northeast",2020-07-16
"199",199,199,25.72,"Northeast",2020-07-17
"200",200,200,11.69,"Northeast",2020-07-18
"201",201,201,16.25,"Northeast",2020-07-19
"202",202,202,14,"Northeast",2020-07-20
"203",203,203,22.67,"Northeast",2020-07-21
"204",204,204,16.89,"Northeast",2020-07-22
"205",205,205,28.24,"Northeast",2020-07-23
"206",206,206,28.01,"Northeast",2020-07-24
"207",207,207,15.47,"Northeast",2020-07-25
"208",208,208,22.68,"Northeast",2020-07-26
"209",209,209,25.2,"Northeast",2020-07-27
"210",210,210,14.53,"Northeast",2020-07-28
"211",211,211,15.65,"Northeast",2020-07-29
"212",212,212,15.16,"Northeast",2020-07-30
"213",213,213,24.78,"Northeast",2020-07-31
"214",214,214,23.26,"Northeast",2020-08-01
"215",215,215,11.64,"Northeast",2020-08-02
"216",216,216,14.91,"Northeast",2020-08-03
"217",217,217,9.33,"Northeast",2020-08-04
"218",218,218,6.47,"Northeast",2020-08-05
"219",219,219,23.62,"Northeast",2020-08-06
"220",220,220,25.27,"Northeast",2020-08-07
"221",221,221,14.15,"Northeast",2020-08-08
"222",222,222,22.87,"Northeast",2020-08-09
"223",223,223,12.82,"Northeast",2020-08-10
"224",224,224,26.13,"Northeast",2020-08-11
"225",225,225,23.55,"Northeast",2020-08-12
"226",226,226,24.45,"Northeast",2020-08-13
"227",227,227,23.96,"Northeast",2020-08-14
"228",228,228,17.48,"Northeast",2020-08-15
"229",229,229,20.3,"Northeast",2020-08-16
"230",230,230,18.59,"Northeast",2020-08-17
"231",231,231,12.28,"Northeast",2020-08-18
"232",232,232,21.11,"Northeast",2020-08-19
"233",233,233,12.37,"Northeast",2020-08-20
"234",234,234,20.57,"Northeast",2020-08-21
"235",235,235,19.4,"Northeast",2020-08-22
"236",236,236,19.89,"Northeast",2020-08-23
"237",237,237,10.38,"Northeast",2020-08-24
"238",238,238,14.22,"Northeast",2020-08-25
"239",239,239,14.26,"Northeast",2020-08-26
"240",240,240,5.81,"Northeast",2020-08-27
"241",241,241,15.55,"Northeast",2020-08-28
"242",242,242,6.32,"Northeast",2020-08-29
"243",243,243,13.79,"Northeast",2020-08-30
"244",244,244,15.86,"Northeast",2020-08-31
"245",245,245,18,"Northeast",2020-09-01
"246",246,246,12.92,"Northeast",2020-09-02
"247",247,247,6.32,"Northeast",2020-09-03
"248",248,248,14.44,"Northeast",2020-09-04
"249",249,249,16.68,"Northeast",2020-09-05
"250",250,250,8.54,"Northeast",2020-09-06
"251",251,251,11.84,"Northeast",2020-09-07
"252",252,252,14.24,"Northeast",2020-09-08
"253",253,253,10.31,"Northeast",2020-09-09
"254",254,254,17.4,"Northeast",2020-09-10
"255",255,255,18.28,"Northeast",2020-09-11
"256",256,256,9.77,"Northeast",2020-09-12
"257",257,257,10.38,"Northeast",2020-09-13
"258",258,258,16.98,"Northeast",2020-09-14
"259",259,259,2.93,"Northeast",2020-09-15
"260",260,260,8.13,"Northeast",2020-09-16
"261",261,261,18.45,"Northeast",2020-09-17
"262",262,262,12.67,"Northeast",2020-09-18
"263",263,263,12.71,"Northeast",2020-09-19
"264",264,264,10.69,"Northeast",2020-09-20
"265",265,265,9.98,"Northeast",2020-09-21
"266",266,266,6.28,"Northeast",2020-09-22
"267",267,267,9.78,"Northeast",2020-09-23
