"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.81,"Northeast",2020-01-01
"2",2,2,1.82,"Northeast",2020-01-02
"3",3,3,2.15,"Northeast",2020-01-03
"4",4,4,3,"Northeast",2020-01-04
"5",5,5,4.19,"Northeast",2020-01-05
"6",6,6,2.89,"Northeast",2020-01-06
"7",7,7,3.26,"Northeast",2020-01-07
"8",8,8,4.13,"Northeast",2020-01-08
"9",9,9,2.76,"Northeast",2020-01-09
"10",10,10,2.2,"Northeast",2020-01-10
"11",11,11,4.05,"Northeast",2020-01-11
"12",12,12,4.15,"Northeast",2020-01-12
"13",13,13,4.61,"Northeast",2020-01-13
"14",14,14,2.54,"Northeast",2020-01-14
"15",15,15,2.82,"Northeast",2020-01-15
"16",16,16,5.97,"Northeast",2020-01-16
"17",17,17,7.16,"Northeast",2020-01-17
"18",18,18,2.79,"Northeast",2020-01-18
"19",19,19,7.12,"Northeast",2020-01-19
"20",20,20,7.41,"Northeast",2020-01-20
"21",21,21,3.37,"Northeast",2020-01-21
"22",22,22,3.33,"Northeast",2020-01-22
"23",23,23,2.45,"Northeast",2020-01-23
"24",24,24,4.82,"Northeast",2020-01-24
"25",25,25,3.24,"Northeast",2020-01-25
"26",26,26,2.12,"Northeast",2020-01-26
"27",27,27,2.51,"Northeast",2020-01-27
"28",28,28,4.32,"Northeast",2020-01-28
"29",29,29,6.34,"Northeast",2020-01-29
"30",30,30,6.48,"Northeast",2020-01-30
"31",31,31,4.81,"Northeast",2020-01-31
"32",32,32,2.77,"Northeast",2020-02-01
"33",33,33,3.87,"Northeast",2020-02-02
"34",34,34,4.05,"Northeast",2020-02-03
"35",35,35,3.49,"Northeast",2020-02-04
"36",36,36,8.46,"Northeast",2020-02-05
"37",37,37,4.29,"Northeast",2020-02-06
"38",38,38,7.43,"Northeast",2020-02-07
"39",39,39,10.24,"Northeast",2020-02-08
"40",40,40,4.36,"Northeast",2020-02-09
"41",41,41,7.74,"Northeast",2020-02-10
"42",42,42,4.6,"Northeast",2020-02-11
"43",43,43,5.26,"Northeast",2020-02-12
"44",44,44,9.16,"Northeast",2020-02-13
"45",45,45,9.92,"Northeast",2020-02-14
"46",46,46,2.7,"Northeast",2020-02-15
"47",47,47,9.07,"Northeast",2020-02-16
"48",48,48,10.96,"Northeast",2020-02-17
"49",49,49,2.71,"Northeast",2020-02-18
"50",50,50,8.37,"Northeast",2020-02-19
"51",51,51,10.31,"Northeast",2020-02-20
"52",52,52,11.83,"Northeast",2020-02-21
"53",53,53,12.01,"Northeast",2020-02-22
"54",54,54,10.54,"Northeast",2020-02-23
"55",55,55,4.03,"Northeast",2020-02-24
"56",56,56,13.02,"Northeast",2020-02-25
"57",57,57,9.27,"Northeast",2020-02-26
"58",58,58,2.93,"Northeast",2020-02-27
"59",59,59,8.38,"Northeast",2020-02-28
"60",60,60,8.12,"Northeast",2020-02-29
"61",61,61,13.45,"Northeast",2020-03-01
"62",62,62,7.17,"Northeast",2020-03-02
"63",63,63,10.11,"Northeast",2020-03-03
"64",64,64,12.98,"Northeast",2020-03-04
"65",65,65,7.52,"Northeast",2020-03-05
"66",66,66,16.21,"Northeast",2020-03-06
"67",67,67,9.73,"Northeast",2020-03-07
"68",68,68,7.95,"Northeast",2020-03-08
"69",69,69,3.39,"Northeast",2020-03-09
"70",70,70,11.71,"Northeast",2020-03-10
"71",71,71,13.85,"Northeast",2020-03-11
"72",72,72,7.2,"Northeast",2020-03-12
"73",73,73,5.14,"Northeast",2020-03-13
"74",74,74,17.52,"Northeast",2020-03-14
"75",75,75,18.23,"Northeast",2020-03-15
"76",76,76,10.4,"Northeast",2020-03-16
"77",77,77,13.08,"Northeast",2020-03-17
"78",78,78,14.86,"Northeast",2020-03-18
"79",79,79,10.48,"Northeast",2020-03-19
"80",80,80,6.89,"Northeast",2020-03-20
"81",81,81,20.2,"Northeast",2020-03-21
"82",82,82,20.2,"Northeast",2020-03-22
"83",83,83,10.48,"Northeast",2020-03-23
"84",84,84,14.61,"Northeast",2020-03-24
"85",85,85,6.67,"Northeast",2020-03-25
"86",86,86,12.66,"Northeast",2020-03-26
"87",87,87,21.07,"Northeast",2020-03-27
"88",88,88,18.78,"Northeast",2020-03-28
"89",89,89,3.6,"Northeast",2020-03-29
"90",90,90,8.79,"Northeast",2020-03-30
"91",91,91,14.84,"Northeast",2020-03-31
"92",92,92,15.75,"Northeast",2020-04-01
"93",93,93,10.86,"Northeast",2020-04-02
"94",94,94,15.98,"Northeast",2020-04-03
"95",95,95,17.18,"Northeast",2020-04-04
"96",96,96,19.62,"Northeast",2020-04-05
"97",97,97,22.12,"Northeast",2020-04-06
"98",98,98,23.34,"Northeast",2020-04-07
"99",99,99,12.27,"Northeast",2020-04-08
"100",100,100,10.39,"Northeast",2020-04-09
"101",101,101,9.69,"Northeast",2020-04-10
"102",102,102,21.2,"Northeast",2020-04-11
"103",103,103,19.38,"Northeast",2020-04-12
"104",104,104,6.86,"Northeast",2020-04-13
"105",105,105,15.33,"Northeast",2020-04-14
"106",106,106,21.39,"Northeast",2020-04-15
"107",107,107,19.96,"Northeast",2020-04-16
"108",108,108,21.52,"Northeast",2020-04-17
"109",109,109,21.81,"Northeast",2020-04-18
"110",110,110,24.32,"Northeast",2020-04-19
"111",111,111,20.94,"Northeast",2020-04-20
"112",112,112,11.51,"Northeast",2020-04-21
"113",113,113,26.04,"Northeast",2020-04-22
"114",114,114,26.93,"Northeast",2020-04-23
"115",115,115,25.88,"Northeast",2020-04-24
"116",116,116,22.36,"Northeast",2020-04-25
"117",117,117,27.55,"Northeast",2020-04-26
"118",118,118,27.49,"Northeast",2020-04-27
"119",119,119,25.95,"Northeast",2020-04-28
"120",120,120,17.86,"Northeast",2020-04-29
"121",121,121,6.22,"Northeast",2020-04-30
"122",122,122,19.48,"Northeast",2020-05-01
"123",123,123,12.72,"Northeast",2020-05-02
"124",124,124,5.69,"Northeast",2020-05-03
"125",125,125,22.06,"Northeast",2020-05-04
"126",126,126,27.03,"Northeast",2020-05-05
"127",127,127,22.24,"Northeast",2020-05-06
"128",128,128,23.98,"Northeast",2020-05-07
"129",129,129,16.59,"Northeast",2020-05-08
"130",130,130,14.48,"Northeast",2020-05-09
"131",131,131,14.2,"Northeast",2020-05-10
"132",132,132,26.78,"Northeast",2020-05-11
"133",133,133,24.57,"Northeast",2020-05-12
"134",134,134,28.5,"Northeast",2020-05-13
"135",135,135,12.79,"Northeast",2020-05-14
"136",136,136,6.15,"Northeast",2020-05-15
"137",137,137,18.35,"Northeast",2020-05-16
"138",138,138,24.35,"Northeast",2020-05-17
"139",139,139,26.97,"Northeast",2020-05-18
"140",140,140,27.17,"Northeast",2020-05-19
"141",141,141,28.78,"Northeast",2020-05-20
"142",142,142,29.1,"Northeast",2020-05-21
"143",143,143,28.72,"Northeast",2020-05-22
"144",144,144,28.97,"Northeast",2020-05-23
"145",145,145,14.54,"Northeast",2020-05-24
"146",146,146,21.86,"Northeast",2020-05-25
"147",147,147,11.55,"Northeast",2020-05-26
"148",148,148,21,"Northeast",2020-05-27
"149",149,149,19.37,"Northeast",2020-05-28
"150",150,150,6.6,"Northeast",2020-05-29
"151",151,151,16.81,"Northeast",2020-05-30
"152",152,152,19.73,"Northeast",2020-05-31
"153",153,153,23.03,"Northeast",2020-06-01
"154",154,154,6.92,"Northeast",2020-06-02
"155",155,155,8.46,"Northeast",2020-06-03
"156",156,156,21.52,"Northeast",2020-06-04
"157",157,157,21.25,"Northeast",2020-06-05
"158",158,158,16.11,"Northeast",2020-06-06
"159",159,159,22.2,"Northeast",2020-06-07
"160",160,160,13.88,"Northeast",2020-06-08
"161",161,161,23.14,"Northeast",2020-06-09
"162",162,162,11.72,"Northeast",2020-06-10
"163",163,163,10.48,"Northeast",2020-06-11
"164",164,164,13.46,"Northeast",2020-06-12
"165",165,165,31.07,"Northeast",2020-06-13
"166",166,166,32.22,"Northeast",2020-06-14
"167",167,167,29.19,"Northeast",2020-06-15
"168",168,168,29.19,"Northeast",2020-06-16
"169",169,169,28.37,"Northeast",2020-06-17
"170",170,170,30.15,"Northeast",2020-06-18
"171",171,171,30.38,"Northeast",2020-06-19
"172",172,172,21.43,"Northeast",2020-06-20
"173",173,173,15.41,"Northeast",2020-06-21
"174",174,174,25.47,"Northeast",2020-06-22
"175",175,175,11.88,"Northeast",2020-06-23
"176",176,176,10.24,"Northeast",2020-06-24
"177",177,177,8.62,"Northeast",2020-06-25
"178",178,178,19.62,"Northeast",2020-06-26
"179",179,179,12.31,"Northeast",2020-06-27
"180",180,180,26.52,"Northeast",2020-06-28
"181",181,181,28.15,"Northeast",2020-06-29
"182",182,182,29.62,"Northeast",2020-06-30
"183",183,183,26.04,"Northeast",2020-07-01
"184",184,184,12.75,"Northeast",2020-07-02
"185",185,185,25.51,"Northeast",2020-07-03
"186",186,186,18.02,"Northeast",2020-07-04
"187",187,187,27.51,"Northeast",2020-07-05
"188",188,188,26.23,"Northeast",2020-07-06
"189",189,189,16.06,"Northeast",2020-07-07
"190",190,190,27.58,"Northeast",2020-07-08
"191",191,191,24.31,"Northeast",2020-07-09
"192",192,192,19.22,"Northeast",2020-07-10
"193",193,193,8.71,"Northeast",2020-07-11
"194",194,194,7.98,"Northeast",2020-07-12
"195",195,195,16.74,"Northeast",2020-07-13
"196",196,196,25.43,"Northeast",2020-07-14
"197",197,197,7.68,"Northeast",2020-07-15
"198",198,198,21.55,"Northeast",2020-07-16
"199",199,199,25.31,"Northeast",2020-07-17
"200",200,200,18.18,"Northeast",2020-07-18
"201",201,201,13.29,"Northeast",2020-07-19
"202",202,202,13.38,"Northeast",2020-07-20
"203",203,203,24.54,"Northeast",2020-07-21
"204",204,204,10.83,"Northeast",2020-07-22
"205",205,205,26.46,"Northeast",2020-07-23
"206",206,206,26.83,"Northeast",2020-07-24
"207",207,207,17.78,"Northeast",2020-07-25
"208",208,208,17.49,"Northeast",2020-07-26
"209",209,209,17.73,"Northeast",2020-07-27
"210",210,210,18.52,"Northeast",2020-07-28
"211",211,211,17.17,"Northeast",2020-07-29
"212",212,212,20.97,"Northeast",2020-07-30
"213",213,213,22.5,"Northeast",2020-07-31
"214",214,214,22.08,"Northeast",2020-08-01
"215",215,215,9.23,"Northeast",2020-08-02
"216",216,216,17.15,"Northeast",2020-08-03
"217",217,217,11.79,"Northeast",2020-08-04
"218",218,218,12.7,"Northeast",2020-08-05
"219",219,219,25.11,"Northeast",2020-08-06
"220",220,220,25.72,"Northeast",2020-08-07
"221",221,221,22.96,"Northeast",2020-08-08
"222",222,222,16.85,"Northeast",2020-08-09
"223",223,223,19.41,"Northeast",2020-08-10
"224",224,224,22.08,"Northeast",2020-08-11
"225",225,225,23.56,"Northeast",2020-08-12
"226",226,226,24.09,"Northeast",2020-08-13
"227",227,227,25.56,"Northeast",2020-08-14
"228",228,228,25.93,"Northeast",2020-08-15
"229",229,229,9.47,"Northeast",2020-08-16
"230",230,230,15.92,"Northeast",2020-08-17
"231",231,231,15.08,"Northeast",2020-08-18
"232",232,232,13.57,"Northeast",2020-08-19
"233",233,233,6.79,"Northeast",2020-08-20
"234",234,234,21.84,"Northeast",2020-08-21
"235",235,235,21.07,"Northeast",2020-08-22
"236",236,236,20.37,"Northeast",2020-08-23
"237",237,237,19.58,"Northeast",2020-08-24
"238",238,238,10.87,"Northeast",2020-08-25
"239",239,239,18.65,"Northeast",2020-08-26
"240",240,240,15.45,"Northeast",2020-08-27
"241",241,241,14.43,"Northeast",2020-08-28
"242",242,242,4.9,"Northeast",2020-08-29
"243",243,243,14.09,"Northeast",2020-08-30
"244",244,244,17.93,"Northeast",2020-08-31
"245",245,245,12.66,"Northeast",2020-09-01
"246",246,246,14.02,"Northeast",2020-09-02
"247",247,247,10.36,"Northeast",2020-09-03
"248",248,248,14.58,"Northeast",2020-09-04
"249",249,249,14.46,"Northeast",2020-09-05
"250",250,250,18.12,"Northeast",2020-09-06
"251",251,251,12.95,"Northeast",2020-09-07
"252",252,252,16.39,"Northeast",2020-09-08
"253",253,253,6.52,"Northeast",2020-09-09
"254",254,254,12.07,"Northeast",2020-09-10
"255",255,255,19.25,"Northeast",2020-09-11
"256",256,256,14.81,"Northeast",2020-09-12
"257",257,257,3.9,"Northeast",2020-09-13
"258",258,258,16.38,"Northeast",2020-09-14
"259",259,259,3.29,"Northeast",2020-09-15
"260",260,260,5.41,"Northeast",2020-09-16
"261",261,261,19.78,"Northeast",2020-09-17
"262",262,262,10.82,"Northeast",2020-09-18
"263",263,263,15.09,"Northeast",2020-09-19
"264",264,264,16.93,"Northeast",2020-09-20
"265",265,265,12.41,"Northeast",2020-09-21
"266",266,266,10.21,"Northeast",2020-09-22
"267",267,267,12.32,"Northeast",2020-09-23
"268",268,268,14.51,"Northeast",2020-09-24
"269",269,269,12.78,"Northeast",2020-09-25
"270",270,270,4.99,"Northeast",2020-09-26
"271",271,271,5.93,"Northeast",2020-09-27
"272",272,272,2.44,"Northeast",2020-09-28
"273",273,273,6.62,"Northeast",2020-09-29
"274",274,274,7.71,"Northeast",2020-09-30
"275",275,275,10.36,"Northeast",2020-10-01
"276",276,276,10.03,"Northeast",2020-10-02
"277",277,277,7.78,"Northeast",2020-10-03
"278",278,278,10.53,"Northeast",2020-10-04
"279",279,279,13.91,"Northeast",2020-10-05
"280",280,280,5.18,"Northeast",2020-10-06
"281",281,281,5,"Northeast",2020-10-07
"282",282,282,9.92,"Northeast",2020-10-08
"283",283,283,3.87,"Northeast",2020-10-09
"284",284,284,4.84,"Northeast",2020-10-10
"285",285,285,14.3,"Northeast",2020-10-11
"286",286,286,12.21,"Northeast",2020-10-12
"287",287,287,6.67,"Northeast",2020-10-13
"288",288,288,10.12,"Northeast",2020-10-14
"289",289,289,5.7,"Northeast",2020-10-15
"290",290,290,12.05,"Northeast",2020-10-16
"291",291,291,7.41,"Northeast",2020-10-17
"292",292,292,2.22,"Northeast",2020-10-18
"293",293,293,9.36,"Northeast",2020-10-19
"294",294,294,7.09,"Northeast",2020-10-20
"295",295,295,4.66,"Northeast",2020-10-21
"296",296,296,4.46,"Northeast",2020-10-22
"297",297,297,2.47,"Northeast",2020-10-23
"298",298,298,5.64,"Northeast",2020-10-24
"299",299,299,5.26,"Northeast",2020-10-25
"300",300,300,3.02,"Northeast",2020-10-26
"301",301,301,6.72,"Northeast",2020-10-27
"302",302,302,3.19,"Northeast",2020-10-28
"303",303,303,9.83,"Northeast",2020-10-29
"304",304,304,10.37,"Northeast",2020-10-30
"305",305,305,9.02,"Northeast",2020-10-31
"306",306,306,2.56,"Northeast",2020-11-01
"307",307,307,4.46,"Northeast",2020-11-02
"308",308,308,4.31,"Northeast",2020-11-03
"309",309,309,2.82,"Northeast",2020-11-04
"310",310,310,7.69,"Northeast",2020-11-05
"311",311,311,5,"Northeast",2020-11-06
"312",312,312,3.34,"Northeast",2020-11-07
"313",313,313,8.03,"Northeast",2020-11-08
"314",314,314,5.08,"Northeast",2020-11-09
"315",315,315,2.22,"Northeast",2020-11-10
"316",316,316,5.47,"Northeast",2020-11-11
"317",317,317,7.62,"Northeast",2020-11-12
"318",318,318,3.51,"Northeast",2020-11-13
"319",319,319,4.08,"Northeast",2020-11-14
"320",320,320,1.04,"Northeast",2020-11-15
"321",321,321,3.15,"Northeast",2020-11-16
"322",322,322,3.6,"Northeast",2020-11-17
"323",323,323,3.49,"Northeast",2020-11-18
"324",324,324,3.71,"Northeast",2020-11-19
"325",325,325,1.89,"Northeast",2020-11-20
"326",326,326,3.78,"Northeast",2020-11-21
"327",327,327,3.53,"Northeast",2020-11-22
"328",328,328,2.69,"Northeast",2020-11-23
"329",329,329,6.39,"Northeast",2020-11-24
"330",330,330,2.47,"Northeast",2020-11-25
"331",331,331,1.51,"Northeast",2020-11-26
"332",332,332,2,"Northeast",2020-11-27
"333",333,333,1.96,"Northeast",2020-11-28
"334",334,334,2.32,"Northeast",2020-11-29
"335",335,335,2.08,"Northeast",2020-11-30
"336",336,336,3.11,"Northeast",2020-12-01
"337",337,337,4.33,"Northeast",2020-12-02
"338",338,338,2.38,"Northeast",2020-12-03
"339",339,339,2.34,"Northeast",2020-12-04
"340",340,340,4.05,"Northeast",2020-12-05
"341",341,341,4.88,"Northeast",2020-12-06
"342",342,342,4.41,"Northeast",2020-12-07
"343",343,343,3.11,"Northeast",2020-12-08
"344",344,344,2.26,"Northeast",2020-12-09
"345",345,345,1.88,"Northeast",2020-12-10
"346",346,346,2.38,"Northeast",2020-12-11
"347",347,347,2.18,"Northeast",2020-12-12
"348",348,348,3.82,"Northeast",2020-12-13
"349",349,349,2.35,"Northeast",2020-12-14
"350",350,350,4.69,"Northeast",2020-12-15
"351",351,351,4.11,"Northeast",2020-12-16
"352",352,352,5.7,"Northeast",2020-12-17
"353",353,353,5.77,"Northeast",2020-12-18
"354",354,354,1.83,"Northeast",2020-12-19
"355",355,355,1.49,"Northeast",2020-12-20
"356",356,356,1.53,"Northeast",2020-12-21
"357",357,357,2.74,"Northeast",2020-12-22
"358",358,358,1.14,"Northeast",2020-12-23
"359",359,359,1.58,"Northeast",2020-12-24
"360",360,360,1.68,"Northeast",2020-12-25
"361",361,361,4.28,"Northeast",2020-12-26
"362",362,362,2.88,"Northeast",2020-12-27
"363",363,363,2.97,"Northeast",2020-12-28
"364",364,364,5.94,"Northeast",2020-12-29
"365",365,365,1.76,"Northeast",2020-12-30
"366",366,366,2.63,"Northeast",2020-12-31
