"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.57,"Northwest",2020-01-01
"2",2,2,2.03,"Northwest",2020-01-02
"3",3,3,1.82,"Northwest",2020-01-03
"4",4,4,2.5,"Northwest",2020-01-04
"5",5,5,2.27,"Northwest",2020-01-05
"6",6,6,2.98,"Northwest",2020-01-06
"7",7,7,3.05,"Northwest",2020-01-07
"8",8,8,4.86,"Northwest",2020-01-08
"9",9,9,1.41,"Northwest",2020-01-09
"10",10,10,2.44,"Northwest",2020-01-10
"11",11,11,5.28,"Northwest",2020-01-11
"12",12,12,5.37,"Northwest",2020-01-12
"13",13,13,2.85,"Northwest",2020-01-13
"14",14,14,1.52,"Northwest",2020-01-14
"15",15,15,3.51,"Northwest",2020-01-15
"16",16,16,4.54,"Northwest",2020-01-16
"17",17,17,2.42,"Northwest",2020-01-17
"18",18,18,1.11,"Northwest",2020-01-18
"19",19,19,6.62,"Northwest",2020-01-19
"20",20,20,7.5,"Northwest",2020-01-20
"21",21,21,3.38,"Northwest",2020-01-21
"22",22,22,2.6,"Northwest",2020-01-22
"23",23,23,2.5,"Northwest",2020-01-23
"24",24,24,3.58,"Northwest",2020-01-24
"25",25,25,2.23,"Northwest",2020-01-25
"26",26,26,3.39,"Northwest",2020-01-26
"27",27,27,3.78,"Northwest",2020-01-27
"28",28,28,4.7,"Northwest",2020-01-28
"29",29,29,5.06,"Northwest",2020-01-29
"30",30,30,4.57,"Northwest",2020-01-30
"31",31,31,2.37,"Northwest",2020-01-31
"32",32,32,3.3,"Northwest",2020-02-01
"33",33,33,3.84,"Northwest",2020-02-02
"34",34,34,5.1,"Northwest",2020-02-03
"35",35,35,6.63,"Northwest",2020-02-04
"36",36,36,5.74,"Northwest",2020-02-05
"37",37,37,5.2,"Northwest",2020-02-06
"38",38,38,8.61,"Northwest",2020-02-07
"39",39,39,4.34,"Northwest",2020-02-08
"40",40,40,6.67,"Northwest",2020-02-09
"41",41,41,5.59,"Northwest",2020-02-10
"42",42,42,7.67,"Northwest",2020-02-11
"43",43,43,4.72,"Northwest",2020-02-12
"44",44,44,9.19,"Northwest",2020-02-13
"45",45,45,6.73,"Northwest",2020-02-14
"46",46,46,3.18,"Northwest",2020-02-15
"47",47,47,10.32,"Northwest",2020-02-16
"48",48,48,5.87,"Northwest",2020-02-17
"49",49,49,5.29,"Northwest",2020-02-18
"50",50,50,9.08,"Northwest",2020-02-19
"51",51,51,10.82,"Northwest",2020-02-20
"52",52,52,11.17,"Northwest",2020-02-21
"53",53,53,11.88,"Northwest",2020-02-22
"54",54,54,4.4,"Northwest",2020-02-23
"55",55,55,9.68,"Northwest",2020-02-24
"56",56,56,8.16,"Northwest",2020-02-25
"57",57,57,8.71,"Northwest",2020-02-26
"58",58,58,8.1,"Northwest",2020-02-27
"59",59,59,6.43,"Northwest",2020-02-28
"60",60,60,13.67,"Northwest",2020-02-29
"61",61,61,8.3,"Northwest",2020-03-01
"62",62,62,6.63,"Northwest",2020-03-02
"63",63,63,6.04,"Northwest",2020-03-03
"64",64,64,11.71,"Northwest",2020-03-04
"65",65,65,4.63,"Northwest",2020-03-05
"66",66,66,16.73,"Northwest",2020-03-06
"67",67,67,11.54,"Northwest",2020-03-07
"68",68,68,11.45,"Northwest",2020-03-08
"69",69,69,5.99,"Northwest",2020-03-09
"70",70,70,17.16,"Northwest",2020-03-10
"71",71,71,14.65,"Northwest",2020-03-11
"72",72,72,4.19,"Northwest",2020-03-12
"73",73,73,7.7,"Northwest",2020-03-13
"74",74,74,16.84,"Northwest",2020-03-14
"75",75,75,16.56,"Northwest",2020-03-15
"76",76,76,6.69,"Northwest",2020-03-16
"77",77,77,15.13,"Northwest",2020-03-17
"78",78,78,13.39,"Northwest",2020-03-18
"79",79,79,4.14,"Northwest",2020-03-19
"80",80,80,17.56,"Northwest",2020-03-20
"81",81,81,19.92,"Northwest",2020-03-21
"82",82,82,13.88,"Northwest",2020-03-22
"83",83,83,15.91,"Northwest",2020-03-23
"84",84,84,16.51,"Northwest",2020-03-24
"85",85,85,7.26,"Northwest",2020-03-25
