"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.5,"Northeast",2020-01-01
"2",2,2,1.68,"Northeast",2020-01-02
"3",3,3,1.94,"Northeast",2020-01-03
"4",4,4,2.77,"Northeast",2020-01-04
"5",5,5,2.49,"Northeast",2020-01-05
"6",6,6,3.17,"Northeast",2020-01-06
"7",7,7,2.77,"Northeast",2020-01-07
"8",8,8,6.84,"Northeast",2020-01-08
"9",9,9,1.86,"Northeast",2020-01-09
"10",10,10,2.25,"Northeast",2020-01-10
"11",11,11,4,"Northeast",2020-01-11
"12",12,12,5.59,"Northeast",2020-01-12
"13",13,13,4.28,"Northeast",2020-01-13
"14",14,14,1.41,"Northeast",2020-01-14
"15",15,15,1.4,"Northeast",2020-01-15
"16",16,16,6.22,"Northeast",2020-01-16
"17",17,17,6.67,"Northeast",2020-01-17
"18",18,18,1.28,"Northeast",2020-01-18
"19",19,19,7.65,"Northeast",2020-01-19
"20",20,20,8.35,"Northeast",2020-01-20
"21",21,21,4.46,"Northeast",2020-01-21
"22",22,22,2.05,"Northeast",2020-01-22
"23",23,23,3.16,"Northeast",2020-01-23
"24",24,24,3.83,"Northeast",2020-01-24
"25",25,25,2.16,"Northeast",2020-01-25
"26",26,26,3.23,"Northeast",2020-01-26
"27",27,27,4.73,"Northeast",2020-01-27
"28",28,28,6.45,"Northeast",2020-01-28
"29",29,29,7.64,"Northeast",2020-01-29
"30",30,30,3.87,"Northeast",2020-01-30
"31",31,31,3.45,"Northeast",2020-01-31
"32",32,32,2.41,"Northeast",2020-02-01
"33",33,33,2.62,"Northeast",2020-02-02
"34",34,34,4.86,"Northeast",2020-02-03
"35",35,35,6.21,"Northeast",2020-02-04
"36",36,36,6.51,"Northeast",2020-02-05
"37",37,37,6.14,"Northeast",2020-02-06
"38",38,38,7.33,"Northeast",2020-02-07
"39",39,39,11.1,"Northeast",2020-02-08
"40",40,40,3.29,"Northeast",2020-02-09
"41",41,41,5.35,"Northeast",2020-02-10
"42",42,42,4.14,"Northeast",2020-02-11
"43",43,43,5.95,"Northeast",2020-02-12
"44",44,44,11.39,"Northeast",2020-02-13
"45",45,45,7.59,"Northeast",2020-02-14
"46",46,46,2.6,"Northeast",2020-02-15
"47",47,47,6.07,"Northeast",2020-02-16
"48",48,48,10.68,"Northeast",2020-02-17
"49",49,49,4.07,"Northeast",2020-02-18
"50",50,50,8.53,"Northeast",2020-02-19
"51",51,51,12.36,"Northeast",2020-02-20
"52",52,52,13,"Northeast",2020-02-21
"53",53,53,12.51,"Northeast",2020-02-22
"54",54,54,11.75,"Northeast",2020-02-23
"55",55,55,10.31,"Northeast",2020-02-24
"56",56,56,13.32,"Northeast",2020-02-25
"57",57,57,10.04,"Northeast",2020-02-26
"58",58,58,9.23,"Northeast",2020-02-27
"59",59,59,7.88,"Northeast",2020-02-28
"60",60,60,13.97,"Northeast",2020-02-29
"61",61,61,8.04,"Northeast",2020-03-01
"62",62,62,6.72,"Northeast",2020-03-02
"63",63,63,6.64,"Northeast",2020-03-03
"64",64,64,5.54,"Northeast",2020-03-04
"65",65,65,4.84,"Northeast",2020-03-05
"66",66,66,15.11,"Northeast",2020-03-06
"67",67,67,10.07,"Northeast",2020-03-07
"68",68,68,13.8,"Northeast",2020-03-08
"69",69,69,5.13,"Northeast",2020-03-09
"70",70,70,17.57,"Northeast",2020-03-10
"71",71,71,5.36,"Northeast",2020-03-11
"72",72,72,3.85,"Northeast",2020-03-12
"73",73,73,4.84,"Northeast",2020-03-13
"74",74,74,14.56,"Northeast",2020-03-14
"75",75,75,19.3,"Northeast",2020-03-15
"76",76,76,8.97,"Northeast",2020-03-16
"77",77,77,13.59,"Northeast",2020-03-17
"78",78,78,6.73,"Northeast",2020-03-18
"79",79,79,11.56,"Northeast",2020-03-19
"80",80,80,10.42,"Northeast",2020-03-20
"81",81,81,20.63,"Northeast",2020-03-21
"82",82,82,18.45,"Northeast",2020-03-22
"83",83,83,11.57,"Northeast",2020-03-23
"84",84,84,20.22,"Northeast",2020-03-24
"85",85,85,7.04,"Northeast",2020-03-25
"86",86,86,13.53,"Northeast",2020-03-26
"87",87,87,17.8,"Northeast",2020-03-27
"88",88,88,11.13,"Northeast",2020-03-28
"89",89,89,5.34,"Northeast",2020-03-29
"90",90,90,8.38,"Northeast",2020-03-30
"91",91,91,8.72,"Northeast",2020-03-31
"92",92,92,22.09,"Northeast",2020-04-01
"93",93,93,23.11,"Northeast",2020-04-02
"94",94,94,22.77,"Northeast",2020-04-03
"95",95,95,8.17,"Northeast",2020-04-04
"96",96,96,22.99,"Northeast",2020-04-05
"97",97,97,14.28,"Northeast",2020-04-06
"98",98,98,8.82,"Northeast",2020-04-07
"99",99,99,10.6,"Northeast",2020-04-08
