"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.45,"Northeast",2020-01-01
"2",2,2,2.54,"Northeast",2020-01-02
"3",3,3,3.07,"Northeast",2020-01-03
"4",4,4,2.79,"Northeast",2020-01-04
"5",5,5,3.8,"Northeast",2020-01-05
"6",6,6,3.19,"Northeast",2020-01-06
"7",7,7,2.63,"Northeast",2020-01-07
"8",8,8,4.69,"Northeast",2020-01-08
"9",9,9,2.91,"Northeast",2020-01-09
"10",10,10,2.74,"Northeast",2020-01-10
"11",11,11,5.43,"Northeast",2020-01-11
"12",12,12,4.31,"Northeast",2020-01-12
"13",13,13,5.32,"Northeast",2020-01-13
"14",14,14,3.56,"Northeast",2020-01-14
"15",15,15,4.1,"Northeast",2020-01-15
"16",16,16,5.87,"Northeast",2020-01-16
"17",17,17,5.4,"Northeast",2020-01-17
"18",18,18,3.46,"Northeast",2020-01-18
"19",19,19,6.17,"Northeast",2020-01-19
"20",20,20,5.85,"Northeast",2020-01-20
"21",21,21,3.67,"Northeast",2020-01-21
"22",22,22,2.85,"Northeast",2020-01-22
"23",23,23,4.51,"Northeast",2020-01-23
"24",24,24,5.43,"Northeast",2020-01-24
"25",25,25,3.59,"Northeast",2020-01-25
"26",26,26,3.24,"Northeast",2020-01-26
"27",27,27,4.25,"Northeast",2020-01-27
"28",28,28,4.95,"Northeast",2020-01-28
"29",29,29,4.15,"Northeast",2020-01-29
"30",30,30,7.49,"Northeast",2020-01-30
"31",31,31,4.16,"Northeast",2020-01-31
"32",32,32,3.73,"Northeast",2020-02-01
"33",33,33,2.55,"Northeast",2020-02-02
"34",34,34,4.1,"Northeast",2020-02-03
"35",35,35,5.82,"Northeast",2020-02-04
"36",36,36,4.98,"Northeast",2020-02-05
"37",37,37,9.01,"Northeast",2020-02-06
"38",38,38,8.93,"Northeast",2020-02-07
"39",39,39,9.11,"Northeast",2020-02-08
"40",40,40,6.3,"Northeast",2020-02-09
"41",41,41,8.17,"Northeast",2020-02-10
"42",42,42,7.07,"Northeast",2020-02-11
"43",43,43,8.17,"Northeast",2020-02-12
"44",44,44,10.34,"Northeast",2020-02-13
"45",45,45,9.96,"Northeast",2020-02-14
"46",46,46,6.03,"Northeast",2020-02-15
"47",47,47,9.68,"Northeast",2020-02-16
"48",48,48,8.78,"Northeast",2020-02-17
"49",49,49,8.73,"Northeast",2020-02-18
"50",50,50,11.77,"Northeast",2020-02-19
"51",51,51,9.72,"Northeast",2020-02-20
"52",52,52,11.22,"Northeast",2020-02-21
"53",53,53,9.4,"Northeast",2020-02-22
"54",54,54,7.91,"Northeast",2020-02-23
"55",55,55,8.73,"Northeast",2020-02-24
"56",56,56,11.23,"Northeast",2020-02-25
"57",57,57,11.18,"Northeast",2020-02-26
"58",58,58,7.11,"Northeast",2020-02-27
"59",59,59,6.59,"Northeast",2020-02-28
"60",60,60,12.47,"Northeast",2020-02-29
"61",61,61,13.11,"Northeast",2020-03-01
"62",62,62,9.28,"Northeast",2020-03-02
