"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.89,"East",2020-01-01
"2",2,2,4.85,"East",2020-01-02
"3",3,3,3.15,"East",2020-01-03
"4",4,4,2.38,"East",2020-01-04
"5",5,5,6.38,"East",2020-01-05
"6",6,6,2.45,"East",2020-01-06
"7",7,7,5.06,"East",2020-01-07
"8",8,8,3.63,"East",2020-01-08
"9",9,9,6.1,"East",2020-01-09
"10",10,10,1.7,"East",2020-01-10
"11",11,11,1.4,"East",2020-01-11
"12",12,12,2.62,"East",2020-01-12
"13",13,13,2.48,"East",2020-01-13
"14",14,14,3.52,"East",2020-01-14
"15",15,15,2.87,"East",2020-01-15
"16",16,16,4.36,"East",2020-01-16
"17",17,17,8.61,"East",2020-01-17
"18",18,18,2.43,"East",2020-01-18
"19",19,19,3.91,"East",2020-01-19
"20",20,20,9.67,"East",2020-01-20
"21",21,21,7.25,"East",2020-01-21
"22",22,22,4.73,"East",2020-01-22
"23",23,23,4.52,"East",2020-01-23
"24",24,24,5.46,"East",2020-01-24
"25",25,25,1.27,"East",2020-01-25
"26",26,26,2.33,"East",2020-01-26
"27",27,27,2.94,"East",2020-01-27
"28",28,28,4.22,"East",2020-01-28
"29",29,29,10.3,"East",2020-01-29
"30",30,30,9.47,"East",2020-01-30
"31",31,31,7.13,"East",2020-01-31
"32",32,32,5.98,"East",2020-02-01
"33",33,33,4.17,"East",2020-02-02
"34",34,34,3.33,"East",2020-02-03
"35",35,35,5.16,"East",2020-02-04
"36",36,36,11.12,"East",2020-02-05
"37",37,37,3.74,"East",2020-02-06
"38",38,38,2.71,"East",2020-02-07
"39",39,39,12.03,"East",2020-02-08
"40",40,40,9.27,"East",2020-02-09
"41",41,41,4.6,"East",2020-02-10
"42",42,42,3.48,"East",2020-02-11
"43",43,43,8.96,"East",2020-02-12
"44",44,44,4.75,"East",2020-02-13
"45",45,45,12.54,"East",2020-02-14
"46",46,46,10.97,"East",2020-02-15
"47",47,47,5.03,"East",2020-02-16
"48",48,48,12.7,"East",2020-02-17
"49",49,49,3.29,"East",2020-02-18
"50",50,50,13.69,"East",2020-02-19
"51",51,51,13.31,"East",2020-02-20
"52",52,52,13.73,"East",2020-02-21
"53",53,53,13,"East",2020-02-22
"54",54,54,13.11,"East",2020-02-23
"55",55,55,13.88,"East",2020-02-24
"56",56,56,7.58,"East",2020-02-25
"57",57,57,4.1,"East",2020-02-26
"58",58,58,4.83,"East",2020-02-27
"59",59,59,9.35,"East",2020-02-28
"60",60,60,14.81,"East",2020-02-29
"61",61,61,16.84,"East",2020-03-01
"62",62,62,5.3,"East",2020-03-02
"63",63,63,8.33,"East",2020-03-03
"64",64,64,8.01,"East",2020-03-04
"65",65,65,9.05,"East",2020-03-05
"66",66,66,8.39,"East",2020-03-06
"67",67,67,18.33,"East",2020-03-07
"68",68,68,14.52,"East",2020-03-08
"69",69,69,15.26,"East",2020-03-09
"70",70,70,3.27,"East",2020-03-10
"71",71,71,8.63,"East",2020-03-11
"72",72,72,12.72,"East",2020-03-12
"73",73,73,8,"East",2020-03-13
"74",74,74,15.6,"East",2020-03-14
"75",75,75,20.26,"East",2020-03-15
"76",76,76,17.58,"East",2020-03-16
"77",77,77,5.58,"East",2020-03-17
"78",78,78,14.98,"East",2020-03-18
"79",79,79,8.73,"East",2020-03-19
"80",80,80,6.68,"East",2020-03-20
"81",81,81,21.23,"East",2020-03-21
"82",82,82,21.58,"East",2020-03-22
"83",83,83,5.81,"East",2020-03-23
"84",84,84,11.36,"East",2020-03-24
"85",85,85,8.75,"East",2020-03-25
"86",86,86,11.28,"East",2020-03-26
"87",87,87,19.16,"East",2020-03-27
"88",88,88,9.03,"East",2020-03-28
"89",89,89,3.5,"East",2020-03-29
"90",90,90,8.23,"East",2020-03-30
"91",91,91,13.55,"East",2020-03-31
"92",92,92,17.46,"East",2020-04-01
"93",93,93,19.52,"East",2020-04-02
"94",94,94,7.57,"East",2020-04-03
"95",95,95,16.87,"East",2020-04-04
"96",96,96,6.6,"East",2020-04-05
"97",97,97,22.99,"East",2020-04-06
"98",98,98,20.72,"East",2020-04-07
"99",99,99,11.7,"East",2020-04-08
"100",100,100,7.54,"East",2020-04-09
"101",101,101,8.95,"East",2020-04-10
"102",102,102,19.62,"East",2020-04-11
"103",103,103,9.85,"East",2020-04-12
"104",104,104,4.45,"East",2020-04-13
"105",105,105,20.93,"East",2020-04-14
