"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.35,"East",2020-01-01
"2",2,2,4.3,"East",2020-01-02
"3",3,3,3.26,"East",2020-01-03
"4",4,4,3.47,"East",2020-01-04
"5",5,5,6.98,"East",2020-01-05
"6",6,6,3.21,"East",2020-01-06
"7",7,7,3.73,"East",2020-01-07
"8",8,8,5.77,"East",2020-01-08
"9",9,9,5.04,"East",2020-01-09
"10",10,10,1.97,"East",2020-01-10
"11",11,11,0.91,"East",2020-01-11
"12",12,12,5.26,"East",2020-01-12
"13",13,13,2.16,"East",2020-01-13
"14",14,14,2.45,"East",2020-01-14
"15",15,15,2.02,"East",2020-01-15
"16",16,16,5.12,"East",2020-01-16
"17",17,17,8.96,"East",2020-01-17
"18",18,18,1.84,"East",2020-01-18
"19",19,19,4.31,"East",2020-01-19
"20",20,20,9.47,"East",2020-01-20
"21",21,21,3.43,"East",2020-01-21
"22",22,22,4.33,"East",2020-01-22
"23",23,23,3.99,"East",2020-01-23
"24",24,24,6.03,"East",2020-01-24
"25",25,25,1.27,"East",2020-01-25
"26",26,26,2.25,"East",2020-01-26
"27",27,27,3.64,"East",2020-01-27
"28",28,28,4.68,"East",2020-01-28
"29",29,29,10.51,"East",2020-01-29
"30",30,30,7.84,"East",2020-01-30
"31",31,31,4.74,"East",2020-01-31
"32",32,32,4.28,"East",2020-02-01
"33",33,33,4.22,"East",2020-02-02
"34",34,34,5.82,"East",2020-02-03
"35",35,35,6.37,"East",2020-02-04
"36",36,36,11.45,"East",2020-02-05
"37",37,37,2.28,"East",2020-02-06
"38",38,38,2.84,"East",2020-02-07
"39",39,39,11.68,"East",2020-02-08
"40",40,40,6.61,"East",2020-02-09
"41",41,41,6.19,"East",2020-02-10
"42",42,42,5.14,"East",2020-02-11
"43",43,43,9.41,"East",2020-02-12
"44",44,44,5.37,"East",2020-02-13
"45",45,45,12.93,"East",2020-02-14
"46",46,46,5.55,"East",2020-02-15
"47",47,47,6.14,"East",2020-02-16
"48",48,48,13.18,"East",2020-02-17
"49",49,49,2.02,"East",2020-02-18
"50",50,50,14.38,"East",2020-02-19
"51",51,51,14.76,"East",2020-02-20
"52",52,52,14.52,"East",2020-02-21
"53",53,53,13.5,"East",2020-02-22
"54",54,54,11.45,"East",2020-02-23
"55",55,55,11.99,"East",2020-02-24
"56",56,56,9.06,"East",2020-02-25
"57",57,57,5.06,"East",2020-02-26
"58",58,58,7.56,"East",2020-02-27
"59",59,59,10.31,"East",2020-02-28
"60",60,60,16.28,"East",2020-02-29
"61",61,61,16.48,"East",2020-03-01
"62",62,62,3.02,"East",2020-03-02
"63",63,63,5.45,"East",2020-03-03
"64",64,64,9.16,"East",2020-03-04
"65",65,65,16.48,"East",2020-03-05
"66",66,66,5.88,"East",2020-03-06
"67",67,67,18.24,"East",2020-03-07
"68",68,68,15.66,"East",2020-03-08
"69",69,69,14.23,"East",2020-03-09
