"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.34,"Northeast",2020-01-01
"2",2,2,1.83,"Northeast",2020-01-02
"3",3,3,1.9,"Northeast",2020-01-03
"4",4,4,1.99,"Northeast",2020-01-04
"5",5,5,2.28,"Northeast",2020-01-05
"6",6,6,2.71,"Northeast",2020-01-06
"7",7,7,3.46,"Northeast",2020-01-07
"8",8,8,5.62,"Northeast",2020-01-08
"9",9,9,1.7,"Northeast",2020-01-09
"10",10,10,1.89,"Northeast",2020-01-10
"11",11,11,5.88,"Northeast",2020-01-11
"12",12,12,4.33,"Northeast",2020-01-12
"13",13,13,3.67,"Northeast",2020-01-13
"14",14,14,1.15,"Northeast",2020-01-14
"15",15,15,3.15,"Northeast",2020-01-15
"16",16,16,5.45,"Northeast",2020-01-16
"17",17,17,5.14,"Northeast",2020-01-17
"18",18,18,1.43,"Northeast",2020-01-18
"19",19,19,6.85,"Northeast",2020-01-19
"20",20,20,7.23,"Northeast",2020-01-20
"21",21,21,4.39,"Northeast",2020-01-21
"22",22,22,1.94,"Northeast",2020-01-22
"23",23,23,3.72,"Northeast",2020-01-23
"24",24,24,4.13,"Northeast",2020-01-24
"25",25,25,2.3,"Northeast",2020-01-25
"26",26,26,2.79,"Northeast",2020-01-26
"27",27,27,3.24,"Northeast",2020-01-27
"28",28,28,5.68,"Northeast",2020-01-28
"29",29,29,7.24,"Northeast",2020-01-29
"30",30,30,4.22,"Northeast",2020-01-30
"31",31,31,2.59,"Northeast",2020-01-31
"32",32,32,2.49,"Northeast",2020-02-01
"33",33,33,3.43,"Northeast",2020-02-02
"34",34,34,3.74,"Northeast",2020-02-03
"35",35,35,5.06,"Northeast",2020-02-04
"36",36,36,6.56,"Northeast",2020-02-05
"37",37,37,6.81,"Northeast",2020-02-06
"38",38,38,9.66,"Northeast",2020-02-07
"39",39,39,5.31,"Northeast",2020-02-08
"40",40,40,5.59,"Northeast",2020-02-09
"41",41,41,7.38,"Northeast",2020-02-10
"42",42,42,9.17,"Northeast",2020-02-11
"43",43,43,4.94,"Northeast",2020-02-12
"44",44,44,10.89,"Northeast",2020-02-13
"45",45,45,10.89,"Northeast",2020-02-14
"46",46,46,4.86,"Northeast",2020-02-15
"47",47,47,11.43,"Northeast",2020-02-16
"48",48,48,7.29,"Northeast",2020-02-17
"49",49,49,6.43,"Northeast",2020-02-18
"50",50,50,10.42,"Northeast",2020-02-19
"51",51,51,11.2,"Northeast",2020-02-20
"52",52,52,12.05,"Northeast",2020-02-21
"53",53,53,11.34,"Northeast",2020-02-22
"54",54,54,5.88,"Northeast",2020-02-23
"55",55,55,9.2,"Northeast",2020-02-24
"56",56,56,7.21,"Northeast",2020-02-25
"57",57,57,7.79,"Northeast",2020-02-26
"58",58,58,7.35,"Northeast",2020-02-27
"59",59,59,7.86,"Northeast",2020-02-28
"60",60,60,14.36,"Northeast",2020-02-29
"61",61,61,8.82,"Northeast",2020-03-01
"62",62,62,9.97,"Northeast",2020-03-02
"63",63,63,7.29,"Northeast",2020-03-03
"64",64,64,8.02,"Northeast",2020-03-04
"65",65,65,9.58,"Northeast",2020-03-05
"66",66,66,16.25,"Northeast",2020-03-06
"67",67,67,11.48,"Northeast",2020-03-07
"68",68,68,8.17,"Northeast",2020-03-08
"69",69,69,5.92,"Northeast",2020-03-09
"70",70,70,16.22,"Northeast",2020-03-10
"71",71,71,15.98,"Northeast",2020-03-11
"72",72,72,3.99,"Northeast",2020-03-12
"73",73,73,5.81,"Northeast",2020-03-13
"74",74,74,18.27,"Northeast",2020-03-14
"75",75,75,17.8,"Northeast",2020-03-15
