"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.91,"Ottawa",2020-01-01
"2",2,2,2.95,"Ottawa",2020-01-02
"3",3,3,2.57,"Ottawa",2020-01-03
"4",4,4,2.77,"Ottawa",2020-01-04
"5",5,5,4.03,"Ottawa",2020-01-05
"6",6,6,3.12,"Ottawa",2020-01-06
"7",7,7,6.52,"Ottawa",2020-01-07
"8",8,8,4.66,"Ottawa",2020-01-08
"9",9,9,6.76,"Ottawa",2020-01-09
"10",10,10,2.06,"Ottawa",2020-01-10
"11",11,11,1.01,"Ottawa",2020-01-11
"12",12,12,2.73,"Ottawa",2020-01-12
"13",13,13,1.6,"Ottawa",2020-01-13
"14",14,14,2.82,"Ottawa",2020-01-14
"15",15,15,2.53,"Ottawa",2020-01-15
"16",16,16,4.68,"Ottawa",2020-01-16
"17",17,17,8.74,"Ottawa",2020-01-17
"18",18,18,3.25,"Ottawa",2020-01-18
"19",19,19,5.4,"Ottawa",2020-01-19
"20",20,20,8.66,"Ottawa",2020-01-20
"21",21,21,6.07,"Ottawa",2020-01-21
"22",22,22,6.02,"Ottawa",2020-01-22
"23",23,23,4.05,"Ottawa",2020-01-23
"24",24,24,5.56,"Ottawa",2020-01-24
"25",25,25,3.1,"Ottawa",2020-01-25
"26",26,26,2.13,"Ottawa",2020-01-26
"27",27,27,3.27,"Ottawa",2020-01-27
"28",28,28,3.21,"Ottawa",2020-01-28
"29",29,29,10.47,"Ottawa",2020-01-29
"30",30,30,9.89,"Ottawa",2020-01-30
"31",31,31,7.45,"Ottawa",2020-01-31
"32",32,32,6.54,"Ottawa",2020-02-01
"33",33,33,4.95,"Ottawa",2020-02-02
"34",34,34,4.88,"Ottawa",2020-02-03
"35",35,35,5.75,"Ottawa",2020-02-04
"36",36,36,11.06,"Ottawa",2020-02-05
"37",37,37,3.56,"Ottawa",2020-02-06
"38",38,38,2.36,"Ottawa",2020-02-07
"39",39,39,12.12,"Ottawa",2020-02-08
"40",40,40,9.94,"Ottawa",2020-02-09
"41",41,41,7.31,"Ottawa",2020-02-10
"42",42,42,4.46,"Ottawa",2020-02-11
"43",43,43,9.6,"Ottawa",2020-02-12
"44",44,44,5.82,"Ottawa",2020-02-13
"45",45,45,12.62,"Ottawa",2020-02-14
"46",46,46,9,"Ottawa",2020-02-15
"47",47,47,6.7,"Ottawa",2020-02-16
"48",48,48,12.19,"Ottawa",2020-02-17
"49",49,49,3.11,"Ottawa",2020-02-18
"50",50,50,13,"Ottawa",2020-02-19
"51",51,51,14.11,"Ottawa",2020-02-20
"52",52,52,14.03,"Ottawa",2020-02-21
"53",53,53,12.44,"Ottawa",2020-02-22
"54",54,54,13.26,"Ottawa",2020-02-23
"55",55,55,13.46,"Ottawa",2020-02-24
"56",56,56,8.59,"Ottawa",2020-02-25
"57",57,57,6.89,"Ottawa",2020-02-26
"58",58,58,5.61,"Ottawa",2020-02-27
"59",59,59,10.7,"Ottawa",2020-02-28
"60",60,60,14.81,"Ottawa",2020-02-29
"61",61,61,16.35,"Ottawa",2020-03-01
"62",62,62,5.32,"Ottawa",2020-03-02
"63",63,63,11.38,"Ottawa",2020-03-03
"64",64,64,9.98,"Ottawa",2020-03-04
"65",65,65,7.36,"Ottawa",2020-03-05
"66",66,66,6.14,"Ottawa",2020-03-06
"67",67,67,17.76,"Ottawa",2020-03-07
"68",68,68,14.3,"Ottawa",2020-03-08
"69",69,69,13.96,"Ottawa",2020-03-09
"70",70,70,4.58,"Ottawa",2020-03-10
"71",71,71,12.46,"Ottawa",2020-03-11
"72",72,72,15.89,"Ottawa",2020-03-12
"73",73,73,10.12,"Ottawa",2020-03-13
"74",74,74,17.05,"Ottawa",2020-03-14
"75",75,75,19.77,"Ottawa",2020-03-15
"76",76,76,18.48,"Ottawa",2020-03-16
"77",77,77,7.21,"Ottawa",2020-03-17
"78",78,78,14.7,"Ottawa",2020-03-18
"79",79,79,9.29,"Ottawa",2020-03-19
"80",80,80,6.05,"Ottawa",2020-03-20
"81",81,81,20.92,"Ottawa",2020-03-21
"82",82,82,21.11,"Ottawa",2020-03-22
"83",83,83,9.08,"Ottawa",2020-03-23
"84",84,84,13.8,"Ottawa",2020-03-24
"85",85,85,12.81,"Ottawa",2020-03-25
"86",86,86,6.98,"Ottawa",2020-03-26
"87",87,87,21.68,"Ottawa",2020-03-27
"88",88,88,11.46,"Ottawa",2020-03-28
"89",89,89,3.77,"Ottawa",2020-03-29
"90",90,90,7.75,"Ottawa",2020-03-30
"91",91,91,19.07,"Ottawa",2020-03-31
"92",92,92,14.41,"Ottawa",2020-04-01
"93",93,93,16.25,"Ottawa",2020-04-02
"94",94,94,8.68,"Ottawa",2020-04-03
"95",95,95,19.27,"Ottawa",2020-04-04
"96",96,96,6.58,"Ottawa",2020-04-05
"97",97,97,22.3,"Ottawa",2020-04-06
"98",98,98,22.08,"Ottawa",2020-04-07
"99",99,99,12.27,"Ottawa",2020-04-08
"100",100,100,4.74,"Ottawa",2020-04-09
"101",101,101,11,"Ottawa",2020-04-10
"102",102,102,18.81,"Ottawa",2020-04-11
"103",103,103,12.91,"Ottawa",2020-04-12
"104",104,104,3.61,"Ottawa",2020-04-13
"105",105,105,18.81,"Ottawa",2020-04-14
"106",106,106,18.02,"Ottawa",2020-04-15
"107",107,107,19.71,"Ottawa",2020-04-16
"108",108,108,17.28,"Ottawa",2020-04-17
