"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.7,"Northwest",2020-01-01
"2",2,2,1.84,"Northwest",2020-01-02
"3",3,3,2.33,"Northwest",2020-01-03
"4",4,4,2.44,"Northwest",2020-01-04
"5",5,5,1.57,"Northwest",2020-01-05
"6",6,6,4.02,"Northwest",2020-01-06
"7",7,7,3.14,"Northwest",2020-01-07
"8",8,8,5.26,"Northwest",2020-01-08
"9",9,9,2.01,"Northwest",2020-01-09
"10",10,10,3.86,"Northwest",2020-01-10
"11",11,11,5.44,"Northwest",2020-01-11
"12",12,12,3.67,"Northwest",2020-01-12
"13",13,13,3.46,"Northwest",2020-01-13
"14",14,14,2.71,"Northwest",2020-01-14
"15",15,15,3.71,"Northwest",2020-01-15
"16",16,16,6.07,"Northwest",2020-01-16
"17",17,17,2.88,"Northwest",2020-01-17
"18",18,18,2.69,"Northwest",2020-01-18
"19",19,19,6.3,"Northwest",2020-01-19
"20",20,20,6.36,"Northwest",2020-01-20
"21",21,21,3.87,"Northwest",2020-01-21
"22",22,22,2.7,"Northwest",2020-01-22
"23",23,23,4.85,"Northwest",2020-01-23
"24",24,24,5.06,"Northwest",2020-01-24
"25",25,25,3.17,"Northwest",2020-01-25
"26",26,26,3.14,"Northwest",2020-01-26
"27",27,27,3.57,"Northwest",2020-01-27
"28",28,28,5.41,"Northwest",2020-01-28
"29",29,29,5.7,"Northwest",2020-01-29
"30",30,30,3.59,"Northwest",2020-01-30
"31",31,31,2.9,"Northwest",2020-01-31
"32",32,32,5.46,"Northwest",2020-02-01
"33",33,33,3.67,"Northwest",2020-02-02
"34",34,34,4.14,"Northwest",2020-02-03
"35",35,35,7.69,"Northwest",2020-02-04
"36",36,36,5.16,"Northwest",2020-02-05
"37",37,37,8.98,"Northwest",2020-02-06
"38",38,38,9.27,"Northwest",2020-02-07
"39",39,39,5.21,"Northwest",2020-02-08
"40",40,40,5.29,"Northwest",2020-02-09
"41",41,41,5.75,"Northwest",2020-02-10
"42",42,42,7.56,"Northwest",2020-02-11
"43",43,43,9.87,"Northwest",2020-02-12
"44",44,44,10.32,"Northwest",2020-02-13
"45",45,45,7.7,"Northwest",2020-02-14
"46",46,46,6.76,"Northwest",2020-02-15
"47",47,47,11.01,"Northwest",2020-02-16
"48",48,48,5.02,"Northwest",2020-02-17
"49",49,49,9.41,"Northwest",2020-02-18
"50",50,50,11.86,"Northwest",2020-02-19
"51",51,51,10.73,"Northwest",2020-02-20
"52",52,52,11.43,"Northwest",2020-02-21
"53",53,53,10.48,"Northwest",2020-02-22
"54",54,54,7.46,"Northwest",2020-02-23
"55",55,55,7.6,"Northwest",2020-02-24
"56",56,56,10.74,"Northwest",2020-02-25
"57",57,57,12.75,"Northwest",2020-02-26
"58",58,58,13.55,"Northwest",2020-02-27
"59",59,59,13.79,"Northwest",2020-02-28
"60",60,60,9.76,"Northwest",2020-02-29
"61",61,61,4.5,"Northwest",2020-03-01
"62",62,62,7.15,"Northwest",2020-03-02
"63",63,63,9.01,"Northwest",2020-03-03
"64",64,64,12.96,"Northwest",2020-03-04
"65",65,65,15.03,"Northwest",2020-03-05
"66",66,66,12.62,"Northwest",2020-03-06
"67",67,67,10.38,"Northwest",2020-03-07
"68",68,68,6.12,"Northwest",2020-03-08
"69",69,69,14.33,"Northwest",2020-03-09
"70",70,70,12.34,"Northwest",2020-03-10
"71",71,71,13.4,"Northwest",2020-03-11
"72",72,72,6.22,"Northwest",2020-03-12
"73",73,73,10.36,"Northwest",2020-03-13
"74",74,74,17.56,"Northwest",2020-03-14
"75",75,75,15.14,"Northwest",2020-03-15
"76",76,76,12.31,"Northwest",2020-03-16
"77",77,77,18.17,"Northwest",2020-03-17
"78",78,78,17.57,"Northwest",2020-03-18
"79",79,79,13.53,"Northwest",2020-03-19
"80",80,80,19.6,"Northwest",2020-03-20
"81",81,81,19.42,"Northwest",2020-03-21
"82",82,82,11.92,"Northwest",2020-03-22
"83",83,83,15.48,"Northwest",2020-03-23
"84",84,84,13.66,"Northwest",2020-03-24
"85",85,85,19.2,"Northwest",2020-03-25
"86",86,86,15.98,"Northwest",2020-03-26
"87",87,87,12.45,"Northwest",2020-03-27
"88",88,88,20.55,"Northwest",2020-03-28
"89",89,89,20.2,"Northwest",2020-03-29
"90",90,90,20.01,"Northwest",2020-03-30
"91",91,91,20.95,"Northwest",2020-03-31
"92",92,92,20.71,"Northwest",2020-04-01
"93",93,93,14.98,"Northwest",2020-04-02
"94",94,94,7.97,"Northwest",2020-04-03
"95",95,95,19.36,"Northwest",2020-04-04
"96",96,96,20.81,"Northwest",2020-04-05
"97",97,97,21.78,"Northwest",2020-04-06
"98",98,98,6.9,"Northwest",2020-04-07
"99",99,99,11.05,"Northwest",2020-04-08
"100",100,100,13.72,"Northwest",2020-04-09
"101",101,101,22.09,"Northwest",2020-04-10
"102",102,102,12.52,"Northwest",2020-04-11
"103",103,103,12.16,"Northwest",2020-04-12
"104",104,104,15.19,"Northwest",2020-04-13
"105",105,105,23.56,"Northwest",2020-04-14
"106",106,106,21.39,"Northwest",2020-04-15
"107",107,107,20.95,"Northwest",2020-04-16
"108",108,108,23.74,"Northwest",2020-04-17
"109",109,109,16.15,"Northwest",2020-04-18
"110",110,110,22.18,"Northwest",2020-04-19
"111",111,111,16.89,"Northwest",2020-04-20
"112",112,112,26.26,"Northwest",2020-04-21
"113",113,113,25.88,"Northwest",2020-04-22
"114",114,114,14.24,"Northwest",2020-04-23
"115",115,115,13.14,"Northwest",2020-04-24
"116",116,116,26.74,"Northwest",2020-04-25
"117",117,117,25.82,"Northwest",2020-04-26
"118",118,118,18.2,"Northwest",2020-04-27
"119",119,119,11,"Northwest",2020-04-28
"120",120,120,21.64,"Northwest",2020-04-29
"121",121,121,23,"Northwest",2020-04-30
"122",122,122,16.08,"Northwest",2020-05-01
"123",123,123,4.9,"Northwest",2020-05-02
"124",124,124,12.35,"Northwest",2020-05-03
"125",125,125,27.04,"Northwest",2020-05-04
"126",126,126,23.57,"Northwest",2020-05-05
"127",127,127,25.61,"Northwest",2020-05-06
"128",128,128,17.07,"Northwest",2020-05-07
"129",129,129,15.01,"Northwest",2020-05-08
"130",130,130,14.37,"Northwest",2020-05-09
"131",131,131,28.26,"Northwest",2020-05-10
"132",132,132,23.89,"Northwest",2020-05-11
"133",133,133,29.01,"Northwest",2020-05-12
"134",134,134,22.77,"Northwest",2020-05-13
"135",135,135,7.42,"Northwest",2020-05-14
"136",136,136,20.14,"Northwest",2020-05-15
"137",137,137,27.32,"Northwest",2020-05-16
"138",138,138,27.66,"Northwest",2020-05-17
"139",139,139,23.36,"Northwest",2020-05-18
"140",140,140,26.13,"Northwest",2020-05-19
"141",141,141,27.09,"Northwest",2020-05-20
"142",142,142,24.83,"Northwest",2020-05-21
"143",143,143,14.75,"Northwest",2020-05-22
"144",144,144,14.15,"Northwest",2020-05-23
"145",145,145,16.58,"Northwest",2020-05-24
"146",146,146,19.87,"Northwest",2020-05-25
"147",147,147,5.95,"Northwest",2020-05-26
"148",148,148,23.03,"Northwest",2020-05-27
"149",149,149,21.8,"Northwest",2020-05-28
"150",150,150,11,"Northwest",2020-05-29
"151",151,151,20.08,"Northwest",2020-05-30
"152",152,152,28.81,"Northwest",2020-05-31
"153",153,153,8.27,"Northwest",2020-06-01
"154",154,154,18.61,"Northwest",2020-06-02
"155",155,155,22.94,"Northwest",2020-06-03
"156",156,156,19.36,"Northwest",2020-06-04
"157",157,157,8.32,"Northwest",2020-06-05
"158",158,158,30.44,"Northwest",2020-06-06
"159",159,159,11.15,"Northwest",2020-06-07
"160",160,160,6.99,"Northwest",2020-06-08
"161",161,161,5.4,"Northwest",2020-06-09
