"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,7.86,"West",2020-01-01
"2",2,2,5.78,"West",2020-01-02
"3",3,3,2.2,"West",2020-01-03
"4",4,4,2.18,"West",2020-01-04
"5",5,5,3.15,"West",2020-01-05
"6",6,6,9.41,"West",2020-01-06
"7",7,7,7.65,"West",2020-01-07
"8",8,8,4.99,"West",2020-01-08
"9",9,9,5.49,"West",2020-01-09
"10",10,10,2.02,"West",2020-01-10
"11",11,11,1.59,"West",2020-01-11
"12",12,12,5.83,"West",2020-01-12
"13",13,13,2.91,"West",2020-01-13
"14",14,14,5.82,"West",2020-01-14
"15",15,15,6.35,"West",2020-01-15
"16",16,16,2.49,"West",2020-01-16
"17",17,17,5.08,"West",2020-01-17
"18",18,18,1.84,"West",2020-01-18
"19",19,19,4.02,"West",2020-01-19
"20",20,20,6.73,"West",2020-01-20
"21",21,21,6.49,"West",2020-01-21
"22",22,22,7.65,"West",2020-01-22
"23",23,23,5.08,"West",2020-01-23
"24",24,24,2.31,"West",2020-01-24
"25",25,25,3.87,"West",2020-01-25
"26",26,26,3.38,"West",2020-01-26
"27",27,27,3.44,"West",2020-01-27
"28",28,28,3.09,"West",2020-01-28
"29",29,29,4.14,"West",2020-01-29
"30",30,30,3.26,"West",2020-01-30
"31",31,31,5.92,"West",2020-01-31
"32",32,32,3.96,"West",2020-02-01
"33",33,33,11.61,"West",2020-02-02
"34",34,34,10.51,"West",2020-02-03
"35",35,35,2.39,"West",2020-02-04
"36",36,36,7.71,"West",2020-02-05
"37",37,37,3.56,"West",2020-02-06
"38",38,38,6,"West",2020-02-07
"39",39,39,6.61,"West",2020-02-08
"40",40,40,6.6,"West",2020-02-09
"41",41,41,4.66,"West",2020-02-10
"42",42,42,10.54,"West",2020-02-11
"43",43,43,6.3,"West",2020-02-12
"44",44,44,4.77,"West",2020-02-13
"45",45,45,11.72,"West",2020-02-14
"46",46,46,9,"West",2020-02-15
"47",47,47,11.04,"West",2020-02-16
"48",48,48,12.39,"West",2020-02-17
"49",49,49,7.94,"West",2020-02-18
"50",50,50,15.83,"West",2020-02-19
"51",51,51,12.27,"West",2020-02-20
"52",52,52,16.27,"West",2020-02-21
"53",53,53,16.3,"West",2020-02-22
"54",54,54,15.45,"West",2020-02-23
"55",55,55,7.03,"West",2020-02-24
"56",56,56,5.77,"West",2020-02-25
"57",57,57,4.48,"West",2020-02-26
"58",58,58,9.14,"West",2020-02-27
"59",59,59,10.05,"West",2020-02-28
"60",60,60,14.07,"West",2020-02-29
"61",61,61,14.15,"West",2020-03-01
"62",62,62,3.42,"West",2020-03-02
"63",63,63,5.68,"West",2020-03-03
"64",64,64,6.33,"West",2020-03-04
"65",65,65,17.39,"West",2020-03-05
"66",66,66,4.54,"West",2020-03-06
"67",67,67,18.67,"West",2020-03-07
"68",68,68,18.28,"West",2020-03-08
"69",69,69,12.01,"West",2020-03-09
"70",70,70,5.87,"West",2020-03-10
"71",71,71,7.1,"West",2020-03-11
"72",72,72,9.52,"West",2020-03-12
"73",73,73,19.97,"West",2020-03-13
"74",74,74,4.9,"West",2020-03-14
"75",75,75,17.97,"West",2020-03-15
"76",76,76,13.65,"West",2020-03-16
"77",77,77,10.49,"West",2020-03-17
"78",78,78,7.03,"West",2020-03-18
"79",79,79,8.07,"West",2020-03-19
"80",80,80,12.01,"West",2020-03-20
"81",81,81,10.44,"West",2020-03-21
"82",82,82,15.51,"West",2020-03-22
"83",83,83,8.34,"West",2020-03-23
"84",84,84,8.19,"West",2020-03-24
"85",85,85,19.24,"West",2020-03-25
"86",86,86,13.39,"West",2020-03-26
"87",87,87,10.1,"West",2020-03-27
"88",88,88,5.76,"West",2020-03-28
"89",89,89,13.44,"West",2020-03-29
"90",90,90,5.67,"West",2020-03-30
"91",91,91,8.3,"West",2020-03-31
"92",92,92,14.35,"West",2020-04-01
"93",93,93,22.35,"West",2020-04-02
"94",94,94,23.7,"West",2020-04-03
"95",95,95,19,"West",2020-04-04
"96",96,96,10.57,"West",2020-04-05
"97",97,97,21.02,"West",2020-04-06
"98",98,98,13.44,"West",2020-04-07
"99",99,99,20.92,"West",2020-04-08
"100",100,100,18.5,"West",2020-04-09
"101",101,101,18.95,"West",2020-04-10
"102",102,102,20.15,"West",2020-04-11
"103",103,103,10.3,"West",2020-04-12
"104",104,104,9.23,"West",2020-04-13
"105",105,105,16.89,"West",2020-04-14
"106",106,106,10.85,"West",2020-04-15
"107",107,107,20.5,"West",2020-04-16
"108",108,108,4.51,"West",2020-04-17
"109",109,109,23.92,"West",2020-04-18
"110",110,110,16.22,"West",2020-04-19
"111",111,111,25.61,"West",2020-04-20
"112",112,112,19.09,"West",2020-04-21
"113",113,113,9.1,"West",2020-04-22
"114",114,114,10.74,"West",2020-04-23
"115",115,115,20.06,"West",2020-04-24
"116",116,116,19.05,"West",2020-04-25
"117",117,117,7.61,"West",2020-04-26
"118",118,118,24.98,"West",2020-04-27
"119",119,119,19.28,"West",2020-04-28
"120",120,120,7.32,"West",2020-04-29
"121",121,121,8.05,"West",2020-04-30
"122",122,122,20.33,"West",2020-05-01
"123",123,123,17.12,"West",2020-05-02
"124",124,124,22.64,"West",2020-05-03
"125",125,125,21.02,"West",2020-05-04
"126",126,126,14.39,"West",2020-05-05
"127",127,127,27.07,"West",2020-05-06
"128",128,128,25.72,"West",2020-05-07
"129",129,129,14.33,"West",2020-05-08
"130",130,130,20.98,"West",2020-05-09
"131",131,131,12.49,"West",2020-05-10
"132",132,132,11.54,"West",2020-05-11
"133",133,133,24.61,"West",2020-05-12
"134",134,134,27.79,"West",2020-05-13
"135",135,135,9.86,"West",2020-05-14
"136",136,136,9.71,"West",2020-05-15
"137",137,137,23.4,"West",2020-05-16
"138",138,138,13.34,"West",2020-05-17
"139",139,139,7.14,"West",2020-05-18
"140",140,140,11.92,"West",2020-05-19
"141",141,141,17.12,"West",2020-05-20
"142",142,142,16.65,"West",2020-05-21
"143",143,143,9.48,"West",2020-05-22
"144",144,144,19.68,"West",2020-05-23
"145",145,145,24.65,"West",2020-05-24
"146",146,146,22.53,"West",2020-05-25
"147",147,147,27.41,"West",2020-05-26
"148",148,148,19.6,"West",2020-05-27
"149",149,149,17.94,"West",2020-05-28
"150",150,150,11.2,"West",2020-05-29
"151",151,151,24.5,"West",2020-05-30
"152",152,152,29.44,"West",2020-05-31
"153",153,153,27.8,"West",2020-06-01
"154",154,154,25.71,"West",2020-06-02
"155",155,155,23,"West",2020-06-03
"156",156,156,16.54,"West",2020-06-04
"157",157,157,26.06,"West",2020-06-05
"158",158,158,28.11,"West",2020-06-06
"159",159,159,29.22,"West",2020-06-07
"160",160,160,28.87,"West",2020-06-08
"161",161,161,26.2,"West",2020-06-09
"162",162,162,24.46,"West",2020-06-10
"163",163,163,28.85,"West",2020-06-11
"164",164,164,28.07,"West",2020-06-12
"165",165,165,28.02,"West",2020-06-13
"166",166,166,28.98,"West",2020-06-14
"167",167,167,25.52,"West",2020-06-15
"168",168,168,28.34,"West",2020-06-16
"169",169,169,28.43,"West",2020-06-17
"170",170,170,26.66,"West",2020-06-18
"171",171,171,25.07,"West",2020-06-19
"172",172,172,27.13,"West",2020-06-20
"173",173,173,20.63,"West",2020-06-21
"174",174,174,18.66,"West",2020-06-22
"175",175,175,19.77,"West",2020-06-23
"176",176,176,24.42,"West",2020-06-24
"177",177,177,26.02,"West",2020-06-25
"178",178,178,18.63,"West",2020-06-26
"179",179,179,16.36,"West",2020-06-27
"180",180,180,26.96,"West",2020-06-28
"181",181,181,28.67,"West",2020-06-29
"182",182,182,29.1,"West",2020-06-30
"183",183,183,28.67,"West",2020-07-01
"184",184,184,27.84,"West",2020-07-02
"185",185,185,26.92,"West",2020-07-03
"186",186,186,26.77,"West",2020-07-04
"187",187,187,27.92,"West",2020-07-05
"188",188,188,27.06,"West",2020-07-06
"189",189,189,24.62,"West",2020-07-07
"190",190,190,25.9,"West",2020-07-08
"191",191,191,26.12,"West",2020-07-09
