"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.32,"East",2020-01-01
"2",2,2,5.99,"East",2020-01-02
"3",3,3,2.2,"East",2020-01-03
"4",4,4,2.62,"East",2020-01-04
"5",5,5,6.01,"East",2020-01-05
"6",6,6,4.08,"East",2020-01-06
"7",7,7,3.11,"East",2020-01-07
"8",8,8,5.23,"East",2020-01-08
"9",9,9,5.04,"East",2020-01-09
"10",10,10,2.29,"East",2020-01-10
"11",11,11,2.36,"East",2020-01-11
"12",12,12,3.32,"East",2020-01-12
"13",13,13,2.55,"East",2020-01-13
"14",14,14,4.08,"East",2020-01-14
"15",15,15,3.2,"East",2020-01-15
"16",16,16,4.34,"East",2020-01-16
"17",17,17,7.26,"East",2020-01-17
"18",18,18,1.83,"East",2020-01-18
"19",19,19,4.48,"East",2020-01-19
"20",20,20,8.56,"East",2020-01-20
"21",21,21,3.44,"East",2020-01-21
"22",22,22,5.26,"East",2020-01-22
"23",23,23,6.23,"East",2020-01-23
"24",24,24,7.05,"East",2020-01-24
"25",25,25,2.22,"East",2020-01-25
"26",26,26,2.95,"East",2020-01-26
"27",27,27,3.51,"East",2020-01-27
"28",28,28,4.22,"East",2020-01-28
"29",29,29,6.8,"East",2020-01-29
"30",30,30,6.57,"East",2020-01-30
"31",31,31,4.11,"East",2020-01-31
"32",32,32,3.33,"East",2020-02-01
"33",33,33,4.53,"East",2020-02-02
"34",34,34,7.43,"East",2020-02-03
"35",35,35,3.21,"East",2020-02-04
"36",36,36,9.3,"East",2020-02-05
"37",37,37,3.29,"East",2020-02-06
"38",38,38,2.31,"East",2020-02-07
"39",39,39,8.75,"East",2020-02-08
"40",40,40,6.34,"East",2020-02-09
"41",41,41,4.65,"East",2020-02-10
"42",42,42,3.68,"East",2020-02-11
"43",43,43,8.71,"East",2020-02-12
"44",44,44,4.97,"East",2020-02-13
"45",45,45,10.85,"East",2020-02-14
"46",46,46,10.21,"East",2020-02-15
"47",47,47,4.57,"East",2020-02-16
"48",48,48,10.52,"East",2020-02-17
"49",49,49,2.97,"East",2020-02-18
"50",50,50,10.49,"East",2020-02-19
"51",51,51,11.3,"East",2020-02-20
"52",52,52,11.59,"East",2020-02-21
"53",53,53,11.76,"East",2020-02-22
"54",54,54,11.62,"East",2020-02-23
"55",55,55,11.75,"East",2020-02-24
"56",56,56,4.16,"East",2020-02-25
"57",57,57,3.71,"East",2020-02-26
"58",58,58,6.18,"East",2020-02-27
