"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.28,"Northwest",2020-01-01
"2",2,2,2.19,"Northwest",2020-01-02
"3",3,3,2.54,"Northwest",2020-01-03
"4",4,4,2.47,"Northwest",2020-01-04
"5",5,5,1.38,"Northwest",2020-01-05
"6",6,6,4.6,"Northwest",2020-01-06
"7",7,7,3.87,"Northwest",2020-01-07
"8",8,8,5.05,"Northwest",2020-01-08
"9",9,9,2.02,"Northwest",2020-01-09
"10",10,10,3.96,"Northwest",2020-01-10
"11",11,11,5.34,"Northwest",2020-01-11
"12",12,12,3.65,"Northwest",2020-01-12
"13",13,13,2.79,"Northwest",2020-01-13
"14",14,14,3.19,"Northwest",2020-01-14
"15",15,15,3.28,"Northwest",2020-01-15
"16",16,16,6.06,"Northwest",2020-01-16
"17",17,17,2.3,"Northwest",2020-01-17
"18",18,18,2.19,"Northwest",2020-01-18
"19",19,19,6.07,"Northwest",2020-01-19
"20",20,20,6.27,"Northwest",2020-01-20
"21",21,21,3.26,"Northwest",2020-01-21
"22",22,22,2.82,"Northwest",2020-01-22
"23",23,23,4.82,"Northwest",2020-01-23
"24",24,24,4.53,"Northwest",2020-01-24
"25",25,25,2.96,"Northwest",2020-01-25
"26",26,26,3.03,"Northwest",2020-01-26
"27",27,27,3.39,"Northwest",2020-01-27
"28",28,28,4.54,"Northwest",2020-01-28
"29",29,29,3.88,"Northwest",2020-01-29
"30",30,30,4.64,"Northwest",2020-01-30
"31",31,31,2.38,"Northwest",2020-01-31
"32",32,32,5.1,"Northwest",2020-02-01
"33",33,33,4.44,"Northwest",2020-02-02
"34",34,34,5.37,"Northwest",2020-02-03
"35",35,35,7.92,"Northwest",2020-02-04
"36",36,36,6.06,"Northwest",2020-02-05
"37",37,37,8.66,"Northwest",2020-02-06
"38",38,38,9.1,"Northwest",2020-02-07
"39",39,39,4.69,"Northwest",2020-02-08
"40",40,40,5.5,"Northwest",2020-02-09
"41",41,41,6.47,"Northwest",2020-02-10
"42",42,42,6.49,"Northwest",2020-02-11
"43",43,43,9.97,"Northwest",2020-02-12
"44",44,44,10.2,"Northwest",2020-02-13
"45",45,45,6.08,"Northwest",2020-02-14
"46",46,46,8.23,"Northwest",2020-02-15
"47",47,47,10.75,"Northwest",2020-02-16
"48",48,48,5.32,"Northwest",2020-02-17
"49",49,49,10.12,"Northwest",2020-02-18
"50",50,50,11.75,"Northwest",2020-02-19
"51",51,51,11.14,"Northwest",2020-02-20
"52",52,52,11.3,"Northwest",2020-02-21
"53",53,53,10.17,"Northwest",2020-02-22
"54",54,54,5.89,"Northwest",2020-02-23
"55",55,55,7.75,"Northwest",2020-02-24
"56",56,56,9.09,"Northwest",2020-02-25
"57",57,57,12.88,"Northwest",2020-02-26
"58",58,58,13.6,"Northwest",2020-02-27
"59",59,59,13.59,"Northwest",2020-02-28
"60",60,60,8.67,"Northwest",2020-02-29
"61",61,61,4.24,"Northwest",2020-03-01
"62",62,62,9.78,"Northwest",2020-03-02
"63",63,63,8.28,"Northwest",2020-03-03
"64",64,64,13.84,"Northwest",2020-03-04
"65",65,65,14.79,"Northwest",2020-03-05
"66",66,66,10.51,"Northwest",2020-03-06
"67",67,67,11.37,"Northwest",2020-03-07
"68",68,68,6.42,"Northwest",2020-03-08
"69",69,69,15.28,"Northwest",2020-03-09
"70",70,70,13.55,"Northwest",2020-03-10
"71",71,71,10.06,"Northwest",2020-03-11
"72",72,72,6.28,"Northwest",2020-03-12
"73",73,73,10.22,"Northwest",2020-03-13
"74",74,74,16.86,"Northwest",2020-03-14
"75",75,75,13.47,"Northwest",2020-03-15
"76",76,76,14.33,"Northwest",2020-03-16
"77",77,77,18.18,"Northwest",2020-03-17
"78",78,78,17.27,"Northwest",2020-03-18
"79",79,79,16.67,"Northwest",2020-03-19
"80",80,80,19.56,"Northwest",2020-03-20
"81",81,81,19.38,"Northwest",2020-03-21
"82",82,82,10.09,"Northwest",2020-03-22
"83",83,83,17.31,"Northwest",2020-03-23
"84",84,84,11.62,"Northwest",2020-03-24
"85",85,85,19.36,"Northwest",2020-03-25
"86",86,86,15.62,"Northwest",2020-03-26
"87",87,87,13.22,"Northwest",2020-03-27
"88",88,88,20.57,"Northwest",2020-03-28
"89",89,89,20.11,"Northwest",2020-03-29
"90",90,90,17.87,"Northwest",2020-03-30
"91",91,91,20.62,"Northwest",2020-03-31
"92",92,92,19.87,"Northwest",2020-04-01
"93",93,93,12.59,"Northwest",2020-04-02
"94",94,94,7.68,"Northwest",2020-04-03
"95",95,95,21.11,"Northwest",2020-04-04
"96",96,96,18.64,"Northwest",2020-04-05
"97",97,97,20.38,"Northwest",2020-04-06
"98",98,98,12.07,"Northwest",2020-04-07
"99",99,99,9.04,"Northwest",2020-04-08
"100",100,100,15.09,"Northwest",2020-04-09
"101",101,101,19.28,"Northwest",2020-04-10
"102",102,102,15.12,"Northwest",2020-04-11
"103",103,103,12.99,"Northwest",2020-04-12
"104",104,104,20.59,"Northwest",2020-04-13
"105",105,105,22.95,"Northwest",2020-04-14
"106",106,106,23.34,"Northwest",2020-04-15
