"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,7.03,"West",2020-01-01
"2",2,2,6.19,"West",2020-01-02
"3",3,3,4.3,"West",2020-01-03
"4",4,4,3.85,"West",2020-01-04
"5",5,5,6,"West",2020-01-05
"6",6,6,9.1,"West",2020-01-06
"7",7,7,8.09,"West",2020-01-07
"8",8,8,5.22,"West",2020-01-08
"9",9,9,5.28,"West",2020-01-09
"10",10,10,2.39,"West",2020-01-10
"11",11,11,1.45,"West",2020-01-11
"12",12,12,5.42,"West",2020-01-12
"13",13,13,3.92,"West",2020-01-13
"14",14,14,5.55,"West",2020-01-14
"15",15,15,8.61,"West",2020-01-15
"16",16,16,4.22,"West",2020-01-16
"17",17,17,7.38,"West",2020-01-17
"18",18,18,2.21,"West",2020-01-18
"19",19,19,4.86,"West",2020-01-19
"20",20,20,8.75,"West",2020-01-20
"21",21,21,6.09,"West",2020-01-21
"22",22,22,8.15,"West",2020-01-22
"23",23,23,4.78,"West",2020-01-23
"24",24,24,3.02,"West",2020-01-24
"25",25,25,4.26,"West",2020-01-25
"26",26,26,2.97,"West",2020-01-26
"27",27,27,4.47,"West",2020-01-27
"28",28,28,4.09,"West",2020-01-28
"29",29,29,5.35,"West",2020-01-29
"30",30,30,6.68,"West",2020-01-30
"31",31,31,4.26,"West",2020-01-31
"32",32,32,5.2,"West",2020-02-01
"33",33,33,4.04,"West",2020-02-02
"34",34,34,9.44,"West",2020-02-03
"35",35,35,1.89,"West",2020-02-04
"36",36,36,9.74,"West",2020-02-05
"37",37,37,3.17,"West",2020-02-06
"38",38,38,5.48,"West",2020-02-07
"39",39,39,6.12,"West",2020-02-08
"40",40,40,5.32,"West",2020-02-09
"41",41,41,7.14,"West",2020-02-10
"42",42,42,9.14,"West",2020-02-11
"43",43,43,8.17,"West",2020-02-12
"44",44,44,5.24,"West",2020-02-13
"45",45,45,10.4,"West",2020-02-14
"46",46,46,8.39,"West",2020-02-15
"47",47,47,9,"West",2020-02-16
"48",48,48,12.51,"West",2020-02-17
"49",49,49,5.61,"West",2020-02-18
"50",50,50,14.46,"West",2020-02-19
"51",51,51,9.98,"West",2020-02-20
"52",52,52,14.76,"West",2020-02-21
"53",53,53,14.85,"West",2020-02-22
"54",54,54,14.3,"West",2020-02-23
"55",55,55,10.05,"West",2020-02-24
"56",56,56,7.36,"West",2020-02-25
"57",57,57,2.66,"West",2020-02-26
"58",58,58,7.55,"West",2020-02-27
"59",59,59,8.56,"West",2020-02-28
"60",60,60,10.68,"West",2020-02-29
"61",61,61,10.71,"West",2020-03-01
"62",62,62,3.63,"West",2020-03-02
"63",63,63,5.09,"West",2020-03-03
