"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,5.22,"Northeast",2020-01-01
"2",2,2,2.23,"Northeast",2020-01-02
"3",3,3,1.81,"Northeast",2020-01-03
"4",4,4,2.72,"Northeast",2020-01-04
"5",5,5,2.04,"Northeast",2020-01-05
"6",6,6,3.14,"Northeast",2020-01-06
"7",7,7,4.19,"Northeast",2020-01-07
"8",8,8,4.21,"Northeast",2020-01-08
"9",9,9,2.36,"Northeast",2020-01-09
"10",10,10,2.77,"Northeast",2020-01-10
"11",11,11,4.36,"Northeast",2020-01-11
"12",12,12,6.74,"Northeast",2020-01-12
"13",13,13,4.55,"Northeast",2020-01-13
"14",14,14,2.06,"Northeast",2020-01-14
"15",15,15,2.55,"Northeast",2020-01-15
"16",16,16,4.45,"Northeast",2020-01-16
"17",17,17,5.01,"Northeast",2020-01-17
"18",18,18,2.16,"Northeast",2020-01-18
"19",19,19,7.5,"Northeast",2020-01-19
"20",20,20,6.42,"Northeast",2020-01-20
"21",21,21,5.99,"Northeast",2020-01-21
"22",22,22,2.13,"Northeast",2020-01-22
"23",23,23,3.17,"Northeast",2020-01-23
"24",24,24,3.5,"Northeast",2020-01-24
"25",25,25,2.53,"Northeast",2020-01-25
"26",26,26,3.29,"Northeast",2020-01-26
"27",27,27,4.54,"Northeast",2020-01-27
"28",28,28,6.05,"Northeast",2020-01-28
"29",29,29,3.97,"Northeast",2020-01-29
"30",30,30,3.58,"Northeast",2020-01-30
"31",31,31,5.17,"Northeast",2020-01-31
"32",32,32,4,"Northeast",2020-02-01
"33",33,33,3.84,"Northeast",2020-02-02
"34",34,34,5.31,"Northeast",2020-02-03
"35",35,35,5.6,"Northeast",2020-02-04
"36",36,36,9.91,"Northeast",2020-02-05
"37",37,37,7.36,"Northeast",2020-02-06
"38",38,38,7.6,"Northeast",2020-02-07
"39",39,39,10,"Northeast",2020-02-08
"40",40,40,3.39,"Northeast",2020-02-09
"41",41,41,7.82,"Northeast",2020-02-10
"42",42,42,5.42,"Northeast",2020-02-11
"43",43,43,5.94,"Northeast",2020-02-12
"44",44,44,10.02,"Northeast",2020-02-13
"45",45,45,9.49,"Northeast",2020-02-14
"46",46,46,3.41,"Northeast",2020-02-15
"47",47,47,7.01,"Northeast",2020-02-16
"48",48,48,11.19,"Northeast",2020-02-17
"49",49,49,4.92,"Northeast",2020-02-18
"50",50,50,8.01,"Northeast",2020-02-19
"51",51,51,10.49,"Northeast",2020-02-20
"52",52,52,13.82,"Northeast",2020-02-21
"53",53,53,13.67,"Northeast",2020-02-22
"54",54,54,12.81,"Northeast",2020-02-23
"55",55,55,12.67,"Northeast",2020-02-24
"56",56,56,12.93,"Northeast",2020-02-25
"57",57,57,12.17,"Northeast",2020-02-26
"58",58,58,8.43,"Northeast",2020-02-27
"59",59,59,6.96,"Northeast",2020-02-28
"60",60,60,14.61,"Northeast",2020-02-29
"61",61,61,8.66,"Northeast",2020-03-01
"62",62,62,5.21,"Northeast",2020-03-02
"63",63,63,8.24,"Northeast",2020-03-03
"64",64,64,6,"Northeast",2020-03-04
"65",65,65,2.59,"Northeast",2020-03-05
"66",66,66,15.18,"Northeast",2020-03-06
"67",67,67,11.63,"Northeast",2020-03-07
"68",68,68,14.4,"Northeast",2020-03-08
"69",69,69,5.19,"Northeast",2020-03-09
"70",70,70,16.47,"Northeast",2020-03-10
"71",71,71,6.5,"Northeast",2020-03-11
"72",72,72,4.6,"Northeast",2020-03-12
"73",73,73,5.09,"Northeast",2020-03-13
"74",74,74,13.19,"Northeast",2020-03-14
"75",75,75,18.47,"Northeast",2020-03-15
"76",76,76,6.82,"Northeast",2020-03-16
"77",77,77,12.17,"Northeast",2020-03-17
"78",78,78,8.66,"Northeast",2020-03-18
"79",79,79,6.76,"Northeast",2020-03-19
"80",80,80,10.43,"Northeast",2020-03-20
"81",81,81,18.08,"Northeast",2020-03-21
"82",82,82,15.27,"Northeast",2020-03-22
"83",83,83,8.93,"Northeast",2020-03-23
"84",84,84,15.26,"Northeast",2020-03-24
"85",85,85,4.58,"Northeast",2020-03-25
"86",86,86,11.77,"Northeast",2020-03-26
"87",87,87,18.63,"Northeast",2020-03-27
"88",88,88,10.33,"Northeast",2020-03-28
"89",89,89,6.16,"Northeast",2020-03-29
"90",90,90,10.63,"Northeast",2020-03-30
"91",91,91,9.76,"Northeast",2020-03-31
"92",92,92,19.24,"Northeast",2020-04-01
"93",93,93,21.84,"Northeast",2020-04-02
"94",94,94,20.86,"Northeast",2020-04-03
"95",95,95,8.27,"Northeast",2020-04-04
"96",96,96,22.26,"Northeast",2020-04-05
"97",97,97,11.22,"Northeast",2020-04-06
"98",98,98,4.42,"Northeast",2020-04-07
"99",99,99,13.01,"Northeast",2020-04-08
"100",100,100,13.02,"Northeast",2020-04-09
"101",101,101,22.02,"Northeast",2020-04-10
"102",102,102,21.38,"Northeast",2020-04-11
"103",103,103,8.02,"Northeast",2020-04-12
"104",104,104,9.59,"Northeast",2020-04-13
"105",105,105,15.19,"Northeast",2020-04-14
"106",106,106,16.38,"Northeast",2020-04-15
"107",107,107,16.78,"Northeast",2020-04-16
"108",108,108,22.44,"Northeast",2020-04-17
"109",109,109,17.92,"Northeast",2020-04-18
"110",110,110,23.73,"Northeast",2020-04-19
"111",111,111,10.69,"Northeast",2020-04-20
"112",112,112,15.37,"Northeast",2020-04-21
"113",113,113,25.53,"Northeast",2020-04-22
"114",114,114,18.97,"Northeast",2020-04-23
"115",115,115,25.13,"Northeast",2020-04-24
"116",116,116,23.31,"Northeast",2020-04-25
"117",117,117,26.61,"Northeast",2020-04-26
"118",118,118,21.9,"Northeast",2020-04-27
"119",119,119,9.14,"Northeast",2020-04-28
"120",120,120,5.23,"Northeast",2020-04-29
"121",121,121,13.92,"Northeast",2020-04-30
"122",122,122,26.88,"Northeast",2020-05-01
"123",123,123,16.55,"Northeast",2020-05-02
"124",124,124,15.08,"Northeast",2020-05-03
"125",125,125,28.74,"Northeast",2020-05-04
"126",126,126,23.45,"Northeast",2020-05-05
"127",127,127,27.91,"Northeast",2020-05-06
"128",128,128,26.68,"Northeast",2020-05-07
"129",129,129,19.4,"Northeast",2020-05-08
"130",130,130,19.21,"Northeast",2020-05-09
