"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.3,"Essa",2020-01-01
"2",2,2,4.19,"Essa",2020-01-02
"3",3,3,3.39,"Essa",2020-01-03
"4",4,4,3.19,"Essa",2020-01-04
"5",5,5,7.11,"Essa",2020-01-05
"6",6,6,3.06,"Essa",2020-01-06
"7",7,7,3.64,"Essa",2020-01-07
"8",8,8,6.09,"Essa",2020-01-08
"9",9,9,3.58,"Essa",2020-01-09
"10",10,10,2.24,"Essa",2020-01-10
"11",11,11,1.23,"Essa",2020-01-11
"12",12,12,6.13,"Essa",2020-01-12
"13",13,13,2.34,"Essa",2020-01-13
"14",14,14,1.72,"Essa",2020-01-14
"15",15,15,1.87,"Essa",2020-01-15
"16",16,16,6.13,"Essa",2020-01-16
"17",17,17,9.11,"Essa",2020-01-17
"18",18,18,1.57,"Essa",2020-01-18
"19",19,19,5.42,"Essa",2020-01-19
"20",20,20,9.67,"Essa",2020-01-20
"21",21,21,3.69,"Essa",2020-01-21
"22",22,22,3.45,"Essa",2020-01-22
"23",23,23,4.23,"Essa",2020-01-23
"24",24,24,5.87,"Essa",2020-01-24
"25",25,25,1.31,"Essa",2020-01-25
"26",26,26,2.57,"Essa",2020-01-26
"27",27,27,3.84,"Essa",2020-01-27
"28",28,28,3.47,"Essa",2020-01-28
"29",29,29,10.76,"Essa",2020-01-29
"30",30,30,8,"Essa",2020-01-30
"31",31,31,5.46,"Essa",2020-01-31
"32",32,32,5.54,"Essa",2020-02-01
"33",33,33,3.98,"Essa",2020-02-02
"34",34,34,6.71,"Essa",2020-02-03
"35",35,35,5.59,"Essa",2020-02-04
"36",36,36,10.86,"Essa",2020-02-05
"37",37,37,4.12,"Essa",2020-02-06
"38",38,38,3.22,"Essa",2020-02-07
"39",39,39,12.14,"Essa",2020-02-08
"40",40,40,6.35,"Essa",2020-02-09
"41",41,41,5.87,"Essa",2020-02-10
"42",42,42,7.33,"Essa",2020-02-11
"43",43,43,8.89,"Essa",2020-02-12
"44",44,44,6.41,"Essa",2020-02-13
"45",45,45,11.74,"Essa",2020-02-14
"46",46,46,9.93,"Essa",2020-02-15
"47",47,47,7.65,"Essa",2020-02-16
"48",48,48,13.14,"Essa",2020-02-17
"49",49,49,2.68,"Essa",2020-02-18
"50",50,50,13.91,"Essa",2020-02-19
"51",51,51,14.64,"Essa",2020-02-20
"52",52,52,14.49,"Essa",2020-02-21
"53",53,53,12.98,"Essa",2020-02-22
"54",54,54,12.44,"Essa",2020-02-23
"55",55,55,13.16,"Essa",2020-02-24
"56",56,56,11.26,"Essa",2020-02-25
"57",57,57,5.23,"Essa",2020-02-26
"58",58,58,8.81,"Essa",2020-02-27
"59",59,59,8.74,"Essa",2020-02-28
"60",60,60,15.07,"Essa",2020-02-29
"61",61,61,15.38,"Essa",2020-03-01
"62",62,62,4.07,"Essa",2020-03-02
"63",63,63,6.62,"Essa",2020-03-03
"64",64,64,8.15,"Essa",2020-03-04
"65",65,65,16.46,"Essa",2020-03-05
"66",66,66,7.06,"Essa",2020-03-06
"67",67,67,18,"Essa",2020-03-07
"68",68,68,16.52,"Essa",2020-03-08
"69",69,69,13.42,"Essa",2020-03-09
"70",70,70,6.81,"Essa",2020-03-10
"71",71,71,10.65,"Essa",2020-03-11
"72",72,72,16,"Essa",2020-03-12
"73",73,73,6.36,"Essa",2020-03-13
"74",74,74,15.51,"Essa",2020-03-14
"75",75,75,20.52,"Essa",2020-03-15
"76",76,76,17.32,"Essa",2020-03-16
"77",77,77,10.24,"Essa",2020-03-17
"78",78,78,11.03,"Essa",2020-03-18
"79",79,79,8.74,"Essa",2020-03-19
"80",80,80,6.43,"Essa",2020-03-20
"81",81,81,21.66,"Essa",2020-03-21
"82",82,82,21.36,"Essa",2020-03-22
"83",83,83,6.85,"Essa",2020-03-23
"84",84,84,13.21,"Essa",2020-03-24
"85",85,85,10.77,"Essa",2020-03-25
"86",86,86,6.62,"Essa",2020-03-26
"87",87,87,20.37,"Essa",2020-03-27
"88",88,88,7.23,"Essa",2020-03-28
"89",89,89,4.56,"Essa",2020-03-29
"90",90,90,9.97,"Essa",2020-03-30
"91",91,91,8.85,"Essa",2020-03-31
"92",92,92,20.05,"Essa",2020-04-01
"93",93,93,23.28,"Essa",2020-04-02
"94",94,94,10.89,"Essa",2020-04-03
"95",95,95,11.69,"Essa",2020-04-04
"96",96,96,13.85,"Essa",2020-04-05
"97",97,97,22.36,"Essa",2020-04-06
"98",98,98,17.34,"Essa",2020-04-07
"99",99,99,5.01,"Essa",2020-04-08
"100",100,100,13.76,"Essa",2020-04-09
"101",101,101,20.2,"Essa",2020-04-10
"102",102,102,19.38,"Essa",2020-04-11
"103",103,103,8.97,"Essa",2020-04-12
"104",104,104,4.09,"Essa",2020-04-13
"105",105,105,18.52,"Essa",2020-04-14
"106",106,106,17.86,"Essa",2020-04-15
"107",107,107,18.45,"Essa",2020-04-16
"108",108,108,17.41,"Essa",2020-04-17
"109",109,109,22.29,"Essa",2020-04-18
"110",110,110,8.1,"Essa",2020-04-19
"111",111,111,26.58,"Essa",2020-04-20
"112",112,112,16.72,"Essa",2020-04-21
"113",113,113,28.26,"Essa",2020-04-22
"114",114,114,25.47,"Essa",2020-04-23
"115",115,115,8.31,"Essa",2020-04-24
"116",116,116,26.87,"Essa",2020-04-25
"117",117,117,12.62,"Essa",2020-04-26
"118",118,118,23.72,"Essa",2020-04-27
"119",119,119,8.3,"Essa",2020-04-28
"120",120,120,6.21,"Essa",2020-04-29
"121",121,121,4.39,"Essa",2020-04-30
"122",122,122,19.98,"Essa",2020-05-01
"123",123,123,14.34,"Essa",2020-05-02
"124",124,124,26.94,"Essa",2020-05-03
"125",125,125,23.29,"Essa",2020-05-04
"126",126,126,28.7,"Essa",2020-05-05
"127",127,127,26.36,"Essa",2020-05-06
"128",128,128,14.56,"Essa",2020-05-07
"129",129,129,21.51,"Essa",2020-05-08
"130",130,130,16.99,"Essa",2020-05-09
"131",131,131,17.36,"Essa",2020-05-10
"132",132,132,17.53,"Essa",2020-05-11
"133",133,133,20.51,"Essa",2020-05-12
"134",134,134,29.61,"Essa",2020-05-13
"135",135,135,14.17,"Essa",2020-05-14
"136",136,136,7.4,"Essa",2020-05-15
"137",137,137,22.77,"Essa",2020-05-16
"138",138,138,16.99,"Essa",2020-05-17
"139",139,139,14.73,"Essa",2020-05-18
"140",140,140,16.89,"Essa",2020-05-19
"141",141,141,30.93,"Essa",2020-05-20
"142",142,142,30.99,"Essa",2020-05-21
"143",143,143,29.78,"Essa",2020-05-22
"144",144,144,29.1,"Essa",2020-05-23
"145",145,145,19.7,"Essa",2020-05-24
"146",146,146,22.8,"Essa",2020-05-25
"147",147,147,26.12,"Essa",2020-05-26
"148",148,148,24.31,"Essa",2020-05-27
"149",149,149,15.55,"Essa",2020-05-28
"150",150,150,14.35,"Essa",2020-05-29
"151",151,151,12.78,"Essa",2020-05-30
"152",152,152,23.7,"Essa",2020-05-31
"153",153,153,23.12,"Essa",2020-06-01
"154",154,154,10.8,"Essa",2020-06-02
"155",155,155,18.77,"Essa",2020-06-03
"156",156,156,25.78,"Essa",2020-06-04
"157",157,157,24.59,"Essa",2020-06-05
"158",158,158,25.21,"Essa",2020-06-06
"159",159,159,28.96,"Essa",2020-06-07
"160",160,160,29.2,"Essa",2020-06-08
"161",161,161,28.43,"Essa",2020-06-09
"162",162,162,19.98,"Essa",2020-06-10
"163",163,163,22.74,"Essa",2020-06-11
"164",164,164,25.15,"Essa",2020-06-12
"165",165,165,32.02,"Essa",2020-06-13
"166",166,166,31.6,"Essa",2020-06-14
"167",167,167,31.23,"Essa",2020-06-15
"168",168,168,30.03,"Essa",2020-06-16
"169",169,169,30.73,"Essa",2020-06-17
"170",170,170,30.59,"Essa",2020-06-18
"171",171,171,26.9,"Essa",2020-06-19
"172",172,172,28.51,"Essa",2020-06-20
"173",173,173,28.56,"Essa",2020-06-21
"174",174,174,21.04,"Essa",2020-06-22
"175",175,175,11.39,"Essa",2020-06-23
"176",176,176,13.49,"Essa",2020-06-24
"177",177,177,24.07,"Essa",2020-06-25
"178",178,178,27.47,"Essa",2020-06-26
"179",179,179,20.99,"Essa",2020-06-27
