"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.09,"Northwest",2020-01-01
"2",2,2,2.38,"Northwest",2020-01-02
"3",3,3,2.27,"Northwest",2020-01-03
"4",4,4,2.36,"Northwest",2020-01-04
"5",5,5,1.4,"Northwest",2020-01-05
"6",6,6,5.18,"Northwest",2020-01-06
"7",7,7,3.26,"Northwest",2020-01-07
"8",8,8,5.31,"Northwest",2020-01-08
"9",9,9,1.38,"Northwest",2020-01-09
"10",10,10,4.51,"Northwest",2020-01-10
"11",11,11,5.34,"Northwest",2020-01-11
"12",12,12,3.58,"Northwest",2020-01-12
"13",13,13,3.01,"Northwest",2020-01-13
"14",14,14,2.45,"Northwest",2020-01-14
"15",15,15,2.27,"Northwest",2020-01-15
"16",16,16,5.52,"Northwest",2020-01-16
"17",17,17,2.64,"Northwest",2020-01-17
"18",18,18,1.79,"Northwest",2020-01-18
"19",19,19,5.36,"Northwest",2020-01-19
"20",20,20,6.74,"Northwest",2020-01-20
"21",21,21,4.06,"Northwest",2020-01-21
"22",22,22,3.46,"Northwest",2020-01-22
"23",23,23,2.44,"Northwest",2020-01-23
"24",24,24,2.61,"Northwest",2020-01-24
"25",25,25,2.75,"Northwest",2020-01-25
"26",26,26,3.42,"Northwest",2020-01-26
"27",27,27,3.7,"Northwest",2020-01-27
"28",28,28,3.58,"Northwest",2020-01-28
"29",29,29,4.85,"Northwest",2020-01-29
"30",30,30,4.46,"Northwest",2020-01-30
"31",31,31,2.56,"Northwest",2020-01-31
"32",32,32,5.13,"Northwest",2020-02-01
"33",33,33,2.73,"Northwest",2020-02-02
"34",34,34,6.39,"Northwest",2020-02-03
"35",35,35,8.37,"Northwest",2020-02-04
"36",36,36,8.66,"Northwest",2020-02-05
"37",37,37,3.87,"Northwest",2020-02-06
"38",38,38,7.93,"Northwest",2020-02-07
"39",39,39,4.74,"Northwest",2020-02-08
"40",40,40,8.8,"Northwest",2020-02-09
"41",41,41,5.8,"Northwest",2020-02-10
"42",42,42,7.73,"Northwest",2020-02-11
"43",43,43,5.93,"Northwest",2020-02-12
"44",44,44,9.16,"Northwest",2020-02-13
"45",45,45,8.64,"Northwest",2020-02-14
"46",46,46,5.51,"Northwest",2020-02-15
"47",47,47,9.96,"Northwest",2020-02-16
"48",48,48,4.78,"Northwest",2020-02-17
"49",49,49,5.42,"Northwest",2020-02-18
"50",50,50,10.17,"Northwest",2020-02-19
