"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.56,"Northeast",2020-01-01
"2",2,2,1.85,"Northeast",2020-01-02
"3",3,3,1.86,"Northeast",2020-01-03
"4",4,4,3.61,"Northeast",2020-01-04
"5",5,5,4.09,"Northeast",2020-01-05
"6",6,6,2.64,"Northeast",2020-01-06
"7",7,7,2.54,"Northeast",2020-01-07
"8",8,8,4.84,"Northeast",2020-01-08
"9",9,9,2.64,"Northeast",2020-01-09
"10",10,10,1.47,"Northeast",2020-01-10
"11",11,11,4.86,"Northeast",2020-01-11
"12",12,12,5.77,"Northeast",2020-01-12
"13",13,13,5.95,"Northeast",2020-01-13
"14",14,14,2.53,"Northeast",2020-01-14
"15",15,15,3.99,"Northeast",2020-01-15
"16",16,16,5.89,"Northeast",2020-01-16
"17",17,17,7.15,"Northeast",2020-01-17
"18",18,18,3.33,"Northeast",2020-01-18
"19",19,19,7.3,"Northeast",2020-01-19
"20",20,20,7.66,"Northeast",2020-01-20
"21",21,21,4.54,"Northeast",2020-01-21
"22",22,22,2.53,"Northeast",2020-01-22
"23",23,23,2.23,"Northeast",2020-01-23
"24",24,24,4.14,"Northeast",2020-01-24
"25",25,25,2.38,"Northeast",2020-01-25
"26",26,26,2.77,"Northeast",2020-01-26
"27",27,27,2.53,"Northeast",2020-01-27
"28",28,28,4.67,"Northeast",2020-01-28
"29",29,29,7.69,"Northeast",2020-01-29
"30",30,30,4.88,"Northeast",2020-01-30
"31",31,31,4.25,"Northeast",2020-01-31
"32",32,32,2.47,"Northeast",2020-02-01
"33",33,33,5.28,"Northeast",2020-02-02
"34",34,34,5.68,"Northeast",2020-02-03
"35",35,35,3.61,"Northeast",2020-02-04
"36",36,36,8.76,"Northeast",2020-02-05
"37",37,37,5.8,"Northeast",2020-02-06
"38",38,38,8.09,"Northeast",2020-02-07
"39",39,39,10.09,"Northeast",2020-02-08
"40",40,40,5.35,"Northeast",2020-02-09
"41",41,41,7.99,"Northeast",2020-02-10
"42",42,42,4.23,"Northeast",2020-02-11
"43",43,43,6.01,"Northeast",2020-02-12
"44",44,44,11.13,"Northeast",2020-02-13
"45",45,45,11.46,"Northeast",2020-02-14
"46",46,46,3.42,"Northeast",2020-02-15
"47",47,47,9,"Northeast",2020-02-16
"48",48,48,11.77,"Northeast",2020-02-17
"49",49,49,4.55,"Northeast",2020-02-18
"50",50,50,8.8,"Northeast",2020-02-19
"51",51,51,10.25,"Northeast",2020-02-20
"52",52,52,12.65,"Northeast",2020-02-21
"53",53,53,12.13,"Northeast",2020-02-22
"54",54,54,10.14,"Northeast",2020-02-23
"55",55,55,6.08,"Northeast",2020-02-24
"56",56,56,13.63,"Northeast",2020-02-25
"57",57,57,9.97,"Northeast",2020-02-26
"58",58,58,3.08,"Northeast",2020-02-27
"59",59,59,7.73,"Northeast",2020-02-28
"60",60,60,10.31,"Northeast",2020-02-29
"61",61,61,10.93,"Northeast",2020-03-01
"62",62,62,8.47,"Northeast",2020-03-02
"63",63,63,10.54,"Northeast",2020-03-03
"64",64,64,8.67,"Northeast",2020-03-04
"65",65,65,8.25,"Northeast",2020-03-05
"66",66,66,16.47,"Northeast",2020-03-06
"67",67,67,8.12,"Northeast",2020-03-07
"68",68,68,9.58,"Northeast",2020-03-08
"69",69,69,4.1,"Northeast",2020-03-09
"70",70,70,14.81,"Northeast",2020-03-10
"71",71,71,12.63,"Northeast",2020-03-11
"72",72,72,5.06,"Northeast",2020-03-12
"73",73,73,6.71,"Northeast",2020-03-13
"74",74,74,18.27,"Northeast",2020-03-14
"75",75,75,18.87,"Northeast",2020-03-15
"76",76,76,12.21,"Northeast",2020-03-16
"77",77,77,13.32,"Northeast",2020-03-17
"78",78,78,14.33,"Northeast",2020-03-18
"79",79,79,8.55,"Northeast",2020-03-19
"80",80,80,9.35,"Northeast",2020-03-20
"81",81,81,19.88,"Northeast",2020-03-21
"82",82,82,19.59,"Northeast",2020-03-22
"83",83,83,10.11,"Northeast",2020-03-23
"84",84,84,17.26,"Northeast",2020-03-24
"85",85,85,5.6,"Northeast",2020-03-25
"86",86,86,16.79,"Northeast",2020-03-26
"87",87,87,20.77,"Northeast",2020-03-27
"88",88,88,18.75,"Northeast",2020-03-28
"89",89,89,7.02,"Northeast",2020-03-29
"90",90,90,7.93,"Northeast",2020-03-30
"91",91,91,8.19,"Northeast",2020-03-31
"92",92,92,18.87,"Northeast",2020-04-01
"93",93,93,17.51,"Northeast",2020-04-02
"94",94,94,21.06,"Northeast",2020-04-03
"95",95,95,17.18,"Northeast",2020-04-04
"96",96,96,22.67,"Northeast",2020-04-05
"97",97,97,22.36,"Northeast",2020-04-06
"98",98,98,23.28,"Northeast",2020-04-07
"99",99,99,9.7,"Northeast",2020-04-08
"100",100,100,10.71,"Northeast",2020-04-09
"101",101,101,9.61,"Northeast",2020-04-10
"102",102,102,21.1,"Northeast",2020-04-11
"103",103,103,20.4,"Northeast",2020-04-12
"104",104,104,7.58,"Northeast",2020-04-13
"105",105,105,15.09,"Northeast",2020-04-14
"106",106,106,20.74,"Northeast",2020-04-15
"107",107,107,20.27,"Northeast",2020-04-16
"108",108,108,21.96,"Northeast",2020-04-17
"109",109,109,20.3,"Northeast",2020-04-18
"110",110,110,24.87,"Northeast",2020-04-19
"111",111,111,15.43,"Northeast",2020-04-20
"112",112,112,18.5,"Northeast",2020-04-21
"113",113,113,27.72,"Northeast",2020-04-22
"114",114,114,27.38,"Northeast",2020-04-23
"115",115,115,23.91,"Northeast",2020-04-24
"116",116,116,20.77,"Northeast",2020-04-25
"117",117,117,27.36,"Northeast",2020-04-26
"118",118,118,27.85,"Northeast",2020-04-27
"119",119,119,25.83,"Northeast",2020-04-28
"120",120,120,18.51,"Northeast",2020-04-29
"121",121,121,3.81,"Northeast",2020-04-30
"122",122,122,23.34,"Northeast",2020-05-01
"123",123,123,7.22,"Northeast",2020-05-02
"124",124,124,9.37,"Northeast",2020-05-03
"125",125,125,26.69,"Northeast",2020-05-04
"126",126,126,29.08,"Northeast",2020-05-05
"127",127,127,23.09,"Northeast",2020-05-06
"128",128,128,18.63,"Northeast",2020-05-07
"129",129,129,13.62,"Northeast",2020-05-08
"130",130,130,14.59,"Northeast",2020-05-09
"131",131,131,14.41,"Northeast",2020-05-10
"132",132,132,28.94,"Northeast",2020-05-11
"133",133,133,26.21,"Northeast",2020-05-12
"134",134,134,28.71,"Northeast",2020-05-13
"135",135,135,7.1,"Northeast",2020-05-14
"136",136,136,7.43,"Northeast",2020-05-15
"137",137,137,22.1,"Northeast",2020-05-16
"138",138,138,24.18,"Northeast",2020-05-17
"139",139,139,24.49,"Northeast",2020-05-18
"140",140,140,28.28,"Northeast",2020-05-19
"141",141,141,28.93,"Northeast",2020-05-20
"142",142,142,29.6,"Northeast",2020-05-21
"143",143,143,29.24,"Northeast",2020-05-22
"144",144,144,29.15,"Northeast",2020-05-23
"145",145,145,14.95,"Northeast",2020-05-24
"146",146,146,22.8,"Northeast",2020-05-25
"147",147,147,13.97,"Northeast",2020-05-26
"148",148,148,18.75,"Northeast",2020-05-27
"149",149,149,13.27,"Northeast",2020-05-28
"150",150,150,9.85,"Northeast",2020-05-29
"151",151,151,17.35,"Northeast",2020-05-30
"152",152,152,21.19,"Northeast",2020-05-31
"153",153,153,24.8,"Northeast",2020-06-01
"154",154,154,5.4,"Northeast",2020-06-02
"155",155,155,10.29,"Northeast",2020-06-03
"156",156,156,23.11,"Northeast",2020-06-04
"157",157,157,17.58,"Northeast",2020-06-05
"158",158,158,17.74,"Northeast",2020-06-06
"159",159,159,19.93,"Northeast",2020-06-07
"160",160,160,12.45,"Northeast",2020-06-08
"161",161,161,17.25,"Northeast",2020-06-09
"162",162,162,11.72,"Northeast",2020-06-10
"163",163,163,11.59,"Northeast",2020-06-11
"164",164,164,16.4,"Northeast",2020-06-12
"165",165,165,31.8,"Northeast",2020-06-13
"166",166,166,31.74,"Northeast",2020-06-14
"167",167,167,29.84,"Northeast",2020-06-15
"168",168,168,26.84,"Northeast",2020-06-16
"169",169,169,28.76,"Northeast",2020-06-17
"170",170,170,30.19,"Northeast",2020-06-18
"171",171,171,29.57,"Northeast",2020-06-19
"172",172,172,22,"Northeast",2020-06-20
"173",173,173,11.81,"Northeast",2020-06-21
"174",174,174,22.08,"Northeast",2020-06-22
"175",175,175,5.36,"Northeast",2020-06-23
"176",176,176,11.23,"Northeast",2020-06-24
"177",177,177,16.35,"Northeast",2020-06-25
"178",178,178,25.53,"Northeast",2020-06-26
"179",179,179,15.14,"Northeast",2020-06-27
"180",180,180,28.78,"Northeast",2020-06-28
"181",181,181,27.72,"Northeast",2020-06-29
"182",182,182,28.89,"Northeast",2020-06-30
"183",183,183,26.68,"Northeast",2020-07-01
"184",184,184,16.18,"Northeast",2020-07-02
"185",185,185,28.2,"Northeast",2020-07-03
"186",186,186,21.96,"Northeast",2020-07-04
"187",187,187,25.19,"Northeast",2020-07-05
"188",188,188,21.43,"Northeast",2020-07-06
"189",189,189,20.53,"Northeast",2020-07-07
"190",190,190,27.83,"Northeast",2020-07-08
"191",191,191,21.11,"Northeast",2020-07-09
"192",192,192,13.9,"Northeast",2020-07-10
"193",193,193,13.13,"Northeast",2020-07-11
"194",194,194,8.17,"Northeast",2020-07-12
"195",195,195,19.94,"Northeast",2020-07-13
"196",196,196,22.74,"Northeast",2020-07-14
"197",197,197,10.43,"Northeast",2020-07-15
"198",198,198,26.5,"Northeast",2020-07-16
"199",199,199,25.86,"Northeast",2020-07-17
"200",200,200,14.26,"Northeast",2020-07-18
"201",201,201,18.34,"Northeast",2020-07-19
"202",202,202,14.05,"Northeast",2020-07-20
"203",203,203,23.38,"Northeast",2020-07-21
"204",204,204,12.53,"Northeast",2020-07-22
"205",205,205,26.64,"Northeast",2020-07-23
"206",206,206,27.33,"Northeast",2020-07-24
"207",207,207,18.46,"Northeast",2020-07-25
"208",208,208,19.06,"Northeast",2020-07-26
"209",209,209,22.16,"Northeast",2020-07-27
"210",210,210,18.12,"Northeast",2020-07-28
"211",211,211,16.69,"Northeast",2020-07-29
"212",212,212,16.97,"Northeast",2020-07-30
"213",213,213,23,"Northeast",2020-07-31
"214",214,214,21.41,"Northeast",2020-08-01
"215",215,215,7.78,"Northeast",2020-08-02
"216",216,216,15.1,"Northeast",2020-08-03
"217",217,217,15.39,"Northeast",2020-08-04
"218",218,218,11.68,"Northeast",2020-08-05
"219",219,219,24.85,"Northeast",2020-08-06
"220",220,220,25.19,"Northeast",2020-08-07
"221",221,221,19.89,"Northeast",2020-08-08
"222",222,222,20.88,"Northeast",2020-08-09
