"","Zone","DATE","MEAN_TEMPERATURE","MIN_TEMPERATURE","MAX_TEMPERATURE","TOTAL_PRECIPITATION","TOTAL_SNOW","SNOW_ON_GROUND","DIRECTION_MAX_GUST","SPEED_MAX_GUST","COOLING_DEGREE_DAYS","HEATING_DEGREE_DAYS","MIN_REL_HUMIDITY","MAX_REL_HUMIDITY","Demand"
"1","Bruce","2020-01-01",0,-3,3,9.6,9.6,0,NA,NA,0,18,NA,NA,1598
"2","Bruce","2020-01-02",1.3,-3,5.5,0,0,0,NA,NA,0,16.7,NA,NA,1424
"3","Bruce","2020-01-07",-0.3,-3.5,3,2,2,0,NA,NA,0,18.3,NA,NA,1644
"4","Bruce","2020-01-10",5.5,0,11,22.6,0,0,NA,NA,0,12.5,NA,NA,1625
"5","Bruce","2020-01-11",0.5,-3,4,18.2,6,0,NA,NA,0,17.5,NA,NA,1763
"6","Bruce","2020-01-12",-7,-10,-4,0.4,0.4,0,NA,NA,0,25,NA,NA,2326
"7","Bruce","2020-01-13",-4.5,-10,1,0,0,0,NA,NA,0,22.5,NA,NA,2498
"8","Bruce","2020-01-14",0,-2.5,2.5,0,0,0,NA,NA,0,18,NA,NA,2133
"9","Bruce","2020-01-20",-8.5,-14.5,-2.5,0,0,0,NA,NA,0,26.5,NA,NA,3095
"10","Bruce","2020-01-21",-2.5,-4,-1,0,0,0,NA,NA,0,20.5,NA,NA,3477
"11","Bruce","2020-01-22",-1,-4,2,0,0,0,NA,NA,0,19,NA,NA,3908
"12","Bruce","2020-02-03",2.5,0.5,4.5,0,0,0,NA,NA,0,15.5,NA,NA,2225
"13","Bruce","2020-02-10",-1,-4,2,0,0,0,NA,NA,0,19,NA,NA,1974
"14","Bruce","2020-02-11",-1.3,-2.5,0,0,0,0,NA,NA,0,19.3,NA,NA,1910
"15","Bruce","2020-02-12",-1.8,-3.5,0,1.4,1.4,0,NA,NA,0,19.8,NA,NA,1789
"16","Bruce","2020-02-15",-5.5,-10,-1,2.6,2.6,0,NA,NA,0,23.5,NA,NA,2798
"17","Bruce","2020-02-16",0.3,-3,3.5,0,0,0,NA,NA,0,17.7,NA,NA,2856
"18","Bruce","2020-02-20",-7.5,-10,-5,3.8,3.8,0,NA,NA,0,25.5,NA,NA,2153
"19","Bruce","2020-02-24",2.5,-1,6,0,0,0,NA,NA,0,15.5,NA,NA,1813
"20","Bruce","2020-02-28",-4.8,-6.5,-3,12.8,12.8,0,NA,NA,0,22.8,NA,NA,1823
"21","Bruce","2020-03-04",-5.3,-14.5,4,0,0,16,NA,NA,0,23.3,NA,NA,1775
"22","Bruce","2020-03-05",0.5,-5,6,4.2,4.2,0,NA,NA,0,17.5,NA,NA,1894
"23","Bruce","2020-03-11",0.8,-4,5.5,0,0,0,NA,NA,0,17.2,NA,NA,1967
"24","Bruce","2020-03-23",1.8,-1.5,5,0,0,0,NA,NA,0,16.2,NA,NA,3182
"25","Bruce","2020-03-24",2.3,-0.5,5,0,0,0,NA,NA,0,15.7,NA,NA,3091
