"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,8.25,"West",2020-01-01
"2",2,2,7.03,"West",2020-01-02
"3",3,3,3.56,"West",2020-01-03
"4",4,4,2.81,"West",2020-01-04
"5",5,5,3.03,"West",2020-01-05
"6",6,6,9.22,"West",2020-01-06
"7",7,7,6.82,"West",2020-01-07
"8",8,8,5.4,"West",2020-01-08
"9",9,9,4.31,"West",2020-01-09
"10",10,10,2.2,"West",2020-01-10
"11",11,11,1.69,"West",2020-01-11
"12",12,12,7.27,"West",2020-01-12
"13",13,13,3.35,"West",2020-01-13
"14",14,14,4.2,"West",2020-01-14
"15",15,15,5.87,"West",2020-01-15
"16",16,16,3.24,"West",2020-01-16
"17",17,17,7.96,"West",2020-01-17
"18",18,18,1.91,"West",2020-01-18
"19",19,19,4.37,"West",2020-01-19
"20",20,20,7.36,"West",2020-01-20
"21",21,21,7.21,"West",2020-01-21
"22",22,22,6.59,"West",2020-01-22
"23",23,23,4.43,"West",2020-01-23
"24",24,24,2.05,"West",2020-01-24
"25",25,25,3.17,"West",2020-01-25
"26",26,26,3.66,"West",2020-01-26
"27",27,27,3.95,"West",2020-01-27
"28",28,28,3.57,"West",2020-01-28
"29",29,29,3.8,"West",2020-01-29
"30",30,30,5.17,"West",2020-01-30
"31",31,31,5.09,"West",2020-01-31
"32",32,32,4.23,"West",2020-02-01
"33",33,33,10.81,"West",2020-02-02
"34",34,34,10.73,"West",2020-02-03
"35",35,35,2.25,"West",2020-02-04
"36",36,36,8.2,"West",2020-02-05
"37",37,37,3.1,"West",2020-02-06
"38",38,38,6.62,"West",2020-02-07
"39",39,39,5.69,"West",2020-02-08
"40",40,40,4.82,"West",2020-02-09
"41",41,41,5.49,"West",2020-02-10
"42",42,42,7.48,"West",2020-02-11
"43",43,43,7.14,"West",2020-02-12
"44",44,44,5.13,"West",2020-02-13
"45",45,45,10.11,"West",2020-02-14
"46",46,46,7.42,"West",2020-02-15
"47",47,47,11.6,"West",2020-02-16
"48",48,48,7.94,"West",2020-02-17
"49",49,49,7.57,"West",2020-02-18
"50",50,50,13.92,"West",2020-02-19
"51",51,51,14.42,"West",2020-02-20
"52",52,52,14.86,"West",2020-02-21
"53",53,53,15.04,"West",2020-02-22
"54",54,54,14.71,"West",2020-02-23
"55",55,55,9.79,"West",2020-02-24
"56",56,56,4.56,"West",2020-02-25
"57",57,57,3.44,"West",2020-02-26
"58",58,58,7.58,"West",2020-02-27
"59",59,59,8.73,"West",2020-02-28
"60",60,60,14.03,"West",2020-02-29
"61",61,61,10.91,"West",2020-03-01
"62",62,62,10.54,"West",2020-03-02
"63",63,63,9.4,"West",2020-03-03
"64",64,64,11.01,"West",2020-03-04
"65",65,65,16.24,"West",2020-03-05
"66",66,66,5.45,"West",2020-03-06
"67",67,67,18.01,"West",2020-03-07
"68",68,68,16.3,"West",2020-03-08
"69",69,69,9.62,"West",2020-03-09
"70",70,70,10.67,"West",2020-03-10
"71",71,71,7.97,"West",2020-03-11
"72",72,72,9.79,"West",2020-03-12
"73",73,73,18.88,"West",2020-03-13
"74",74,74,7.28,"West",2020-03-14
"75",75,75,20.18,"West",2020-03-15
"76",76,76,11.52,"West",2020-03-16
"77",77,77,15.2,"West",2020-03-17
"78",78,78,8.28,"West",2020-03-18
"79",79,79,6.04,"West",2020-03-19
"80",80,80,9.84,"West",2020-03-20
"81",81,81,17.47,"West",2020-03-21
"82",82,82,15.36,"West",2020-03-22
"83",83,83,8.3,"West",2020-03-23
"84",84,84,9.98,"West",2020-03-24
"85",85,85,19.49,"West",2020-03-25
"86",86,86,6.37,"West",2020-03-26
"87",87,87,13.12,"West",2020-03-27
"88",88,88,5.88,"West",2020-03-28
"89",89,89,11.58,"West",2020-03-29
"90",90,90,6.54,"West",2020-03-30
"91",91,91,6.25,"West",2020-03-31
"92",92,92,8.37,"West",2020-04-01
"93",93,93,22.75,"West",2020-04-02
"94",94,94,23.67,"West",2020-04-03
"95",95,95,9.09,"West",2020-04-04
"96",96,96,20.36,"West",2020-04-05
"97",97,97,18.84,"West",2020-04-06
"98",98,98,10.12,"West",2020-04-07
"99",99,99,22.97,"West",2020-04-08
"100",100,100,16.88,"West",2020-04-09
"101",101,101,16.29,"West",2020-04-10
"102",102,102,23.32,"West",2020-04-11
"103",103,103,12.61,"West",2020-04-12
"104",104,104,10.97,"West",2020-04-13
"105",105,105,17.48,"West",2020-04-14
"106",106,106,12.94,"West",2020-04-15
"107",107,107,18.4,"West",2020-04-16
"108",108,108,7.41,"West",2020-04-17
"109",109,109,24.17,"West",2020-04-18
"110",110,110,19.3,"West",2020-04-19
"111",111,111,25.01,"West",2020-04-20
"112",112,112,19.15,"West",2020-04-21
"113",113,113,8.37,"West",2020-04-22
"114",114,114,7.11,"West",2020-04-23
"115",115,115,15.68,"West",2020-04-24
"116",116,116,13.43,"West",2020-04-25
"117",117,117,20.76,"West",2020-04-26
"118",118,118,22.31,"West",2020-04-27
"119",119,119,22.1,"West",2020-04-28
"120",120,120,8.43,"West",2020-04-29
"121",121,121,9.46,"West",2020-04-30
"122",122,122,27.61,"West",2020-05-01
"123",123,123,19.56,"West",2020-05-02
"124",124,124,25.12,"West",2020-05-03
"125",125,125,23.98,"West",2020-05-04
"126",126,126,13.76,"West",2020-05-05
"127",127,127,29.11,"West",2020-05-06
"128",128,128,25.17,"West",2020-05-07
"129",129,129,20.04,"West",2020-05-08
"130",130,130,19.83,"West",2020-05-09
"131",131,131,13.67,"West",2020-05-10
"132",132,132,13.15,"West",2020-05-11
"133",133,133,29.29,"West",2020-05-12
"134",134,134,30.21,"West",2020-05-13
"135",135,135,6.75,"West",2020-05-14
"136",136,136,13.33,"West",2020-05-15
"137",137,137,20.02,"West",2020-05-16
"138",138,138,7.95,"West",2020-05-17
"139",139,139,5.35,"West",2020-05-18
"140",140,140,11.85,"West",2020-05-19
"141",141,141,25.62,"West",2020-05-20
"142",142,142,22.71,"West",2020-05-21
"143",143,143,10.56,"West",2020-05-22
"144",144,144,16.95,"West",2020-05-23
"145",145,145,25.15,"West",2020-05-24
"146",146,146,23.47,"West",2020-05-25
"147",147,147,27.07,"West",2020-05-26
"148",148,148,19.72,"West",2020-05-27
"149",149,149,14.71,"West",2020-05-28
"150",150,150,15.42,"West",2020-05-29
"151",151,151,24.42,"West",2020-05-30
"152",152,152,31.89,"West",2020-05-31
"153",153,153,26.37,"West",2020-06-01
"154",154,154,28.95,"West",2020-06-02
"155",155,155,24.41,"West",2020-06-03
"156",156,156,23.51,"West",2020-06-04
"157",157,157,25.01,"West",2020-06-05
"158",158,158,29.45,"West",2020-06-06
"159",159,159,29.11,"West",2020-06-07
"160",160,160,29.62,"West",2020-06-08
"161",161,161,26.73,"West",2020-06-09
"162",162,162,18.63,"West",2020-06-10
"163",163,163,30.65,"West",2020-06-11
"164",164,164,27.47,"West",2020-06-12
"165",165,165,29.87,"West",2020-06-13
"166",166,166,31.93,"West",2020-06-14
"167",167,167,30.42,"West",2020-06-15
"168",168,168,29.02,"West",2020-06-16
"169",169,169,30.81,"West",2020-06-17
"170",170,170,28.35,"West",2020-06-18
"171",171,171,25.21,"West",2020-06-19
"172",172,172,25.54,"West",2020-06-20
"173",173,173,17.15,"West",2020-06-21
"174",174,174,23.39,"West",2020-06-22
"175",175,175,16.01,"West",2020-06-23
"176",176,176,22.06,"West",2020-06-24
"177",177,177,27.14,"West",2020-06-25
"178",178,178,21.31,"West",2020-06-26
"179",179,179,21.06,"West",2020-06-27
"180",180,180,29.11,"West",2020-06-28
"181",181,181,29.41,"West",2020-06-29
"182",182,182,29.22,"West",2020-06-30
"183",183,183,27.83,"West",2020-07-01
"184",184,184,29.56,"West",2020-07-02
"185",185,185,28.04,"West",2020-07-03
"186",186,186,27.01,"West",2020-07-04
"187",187,187,28.71,"West",2020-07-05
"188",188,188,25.45,"West",2020-07-06
"189",189,189,26.08,"West",2020-07-07
"190",190,190,22.58,"West",2020-07-08
"191",191,191,26.12,"West",2020-07-09
"192",192,192,12.23,"West",2020-07-10
"193",193,193,26.91,"West",2020-07-11
"194",194,194,23.41,"West",2020-07-12
"195",195,195,25.14,"West",2020-07-13
"196",196,196,26.08,"West",2020-07-14
"197",197,197,24.53,"West",2020-07-15
"198",198,198,8.48,"West",2020-07-16
"199",199,199,29.36,"West",2020-07-17
"200",200,200,25.77,"West",2020-07-18
"201",201,201,7.66,"West",2020-07-19
"202",202,202,25.32,"West",2020-07-20
"203",203,203,20.43,"West",2020-07-21
"204",204,204,17.97,"West",2020-07-22
"205",205,205,23.05,"West",2020-07-23
"206",206,206,27.32,"West",2020-07-24
"207",207,207,26.06,"West",2020-07-25
"208",208,208,23.91,"West",2020-07-26
"209",209,209,15.47,"West",2020-07-27
"210",210,210,26.24,"West",2020-07-28
"211",211,211,22.91,"West",2020-07-29
"212",212,212,21.56,"West",2020-07-30
"213",213,213,23.35,"West",2020-07-31
"214",214,214,10.35,"West",2020-08-01
"215",215,215,9.93,"West",2020-08-02
"216",216,216,20.28,"West",2020-08-03
"217",217,217,14.71,"West",2020-08-04
"218",218,218,23.48,"West",2020-08-05
"219",219,219,24.27,"West",2020-08-06
"220",220,220,25.26,"West",2020-08-07
"221",221,221,26.32,"West",2020-08-08
"222",222,222,23.94,"West",2020-08-09
"223",223,223,21.02,"West",2020-08-10
"224",224,224,22.94,"West",2020-08-11
"225",225,225,26.45,"West",2020-08-12
"226",226,226,22.3,"West",2020-08-13
"227",227,227,18.22,"West",2020-08-14
"228",228,228,22.77,"West",2020-08-15
"229",229,229,20.48,"West",2020-08-16
"230",230,230,21.44,"West",2020-08-17
"231",231,231,24.07,"West",2020-08-18
"232",232,232,23.65,"West",2020-08-19
"233",233,233,25.13,"West",2020-08-20
"234",234,234,24.5,"West",2020-08-21
"235",235,235,24.21,"West",2020-08-22
"236",236,236,22.82,"West",2020-08-23
"237",237,237,20.31,"West",2020-08-24
"238",238,238,16.73,"West",2020-08-25
"239",239,239,14.56,"West",2020-08-26
"240",240,240,19.89,"West",2020-08-27
"241",241,241,10.24,"West",2020-08-28
"242",242,242,18.51,"West",2020-08-29
"243",243,243,19.98,"West",2020-08-30
"244",244,244,22.36,"West",2020-08-31
"245",245,245,15.53,"West",2020-09-01
"246",246,246,15.49,"West",2020-09-02
"247",247,247,21.9,"West",2020-09-03
"248",248,248,23.1,"West",2020-09-04
"249",249,249,12.91,"West",2020-09-05
"250",250,250,11.38,"West",2020-09-06
"251",251,251,17.9,"West",2020-09-07
"252",252,252,5.13,"West",2020-09-08
"253",253,253,7.28,"West",2020-09-09
"254",254,254,7.41,"West",2020-09-10
"255",255,255,19.4,"West",2020-09-11
"256",256,256,15.75,"West",2020-09-12
"257",257,257,17.59,"West",2020-09-13
"258",258,258,16.28,"West",2020-09-14
"259",259,259,15.89,"West",2020-09-15
"260",260,260,15.83,"West",2020-09-16
"261",261,261,19.65,"West",2020-09-17
"262",262,262,21.01,"West",2020-09-18
"263",263,263,21.57,"West",2020-09-19
"264",264,264,20.93,"West",2020-09-20
"265",265,265,18.89,"West",2020-09-21
"266",266,266,15.26,"West",2020-09-22
"267",267,267,16.68,"West",2020-09-23
"268",268,268,17.01,"West",2020-09-24
"269",269,269,17.85,"West",2020-09-25
"270",270,270,14.88,"West",2020-09-26
"271",271,271,12.26,"West",2020-09-27
"272",272,272,2.99,"West",2020-09-28
"273",273,273,10.97,"West",2020-09-29
"274",274,274,7.71,"West",2020-09-30
"275",275,275,11.28,"West",2020-10-01
"276",276,276,14.21,"West",2020-10-02
"277",277,277,12.82,"West",2020-10-03
