"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.7,"Northwest",2020-01-01
"2",2,2,1.84,"Northwest",2020-01-02
"3",3,3,2.56,"Northwest",2020-01-03
"4",4,4,2.19,"Northwest",2020-01-04
"5",5,5,1.68,"Northwest",2020-01-05
"6",6,6,3.04,"Northwest",2020-01-06
"7",7,7,2.87,"Northwest",2020-01-07
"8",8,8,5.31,"Northwest",2020-01-08
"9",9,9,2.14,"Northwest",2020-01-09
"10",10,10,3.5,"Northwest",2020-01-10
"11",11,11,6,"Northwest",2020-01-11
"12",12,12,4.59,"Northwest",2020-01-12
"13",13,13,4.62,"Northwest",2020-01-13
"14",14,14,3.03,"Northwest",2020-01-14
"15",15,15,3.26,"Northwest",2020-01-15
"16",16,16,6.16,"Northwest",2020-01-16
"17",17,17,3.6,"Northwest",2020-01-17
"18",18,18,2.31,"Northwest",2020-01-18
"19",19,19,6.61,"Northwest",2020-01-19
"20",20,20,6.94,"Northwest",2020-01-20
"21",21,21,5.24,"Northwest",2020-01-21
"22",22,22,3.14,"Northwest",2020-01-22
"23",23,23,4.82,"Northwest",2020-01-23
"24",24,24,3.93,"Northwest",2020-01-24
"25",25,25,3.41,"Northwest",2020-01-25
"26",26,26,2.58,"Northwest",2020-01-26
"27",27,27,3.27,"Northwest",2020-01-27
"28",28,28,6.63,"Northwest",2020-01-28
"29",29,29,7.73,"Northwest",2020-01-29
"30",30,30,4.09,"Northwest",2020-01-30
"31",31,31,4.24,"Northwest",2020-01-31
"32",32,32,5.1,"Northwest",2020-02-01
"33",33,33,3.01,"Northwest",2020-02-02
"34",34,34,3.51,"Northwest",2020-02-03
"35",35,35,8.6,"Northwest",2020-02-04
"36",36,36,4.42,"Northwest",2020-02-05
"37",37,37,8.14,"Northwest",2020-02-06
"38",38,38,9.79,"Northwest",2020-02-07
"39",39,39,6.04,"Northwest",2020-02-08
"40",40,40,6.96,"Northwest",2020-02-09
"41",41,41,5.88,"Northwest",2020-02-10
"42",42,42,7.78,"Northwest",2020-02-11
"43",43,43,10.42,"Northwest",2020-02-12
"44",44,44,10.92,"Northwest",2020-02-13
"45",45,45,9.66,"Northwest",2020-02-14
"46",46,46,5.57,"Northwest",2020-02-15
"47",47,47,11.44,"Northwest",2020-02-16
"48",48,48,6.18,"Northwest",2020-02-17
"49",49,49,8.29,"Northwest",2020-02-18
"50",50,50,12.31,"Northwest",2020-02-19
"51",51,51,9.88,"Northwest",2020-02-20
"52",52,52,11.88,"Northwest",2020-02-21
"53",53,53,11.49,"Northwest",2020-02-22
"54",54,54,7.65,"Northwest",2020-02-23
"55",55,55,5.5,"Northwest",2020-02-24
"56",56,56,11,"Northwest",2020-02-25
"57",57,57,11.12,"Northwest",2020-02-26
"58",58,58,13.65,"Northwest",2020-02-27
"59",59,59,13.66,"Northwest",2020-02-28
"60",60,60,6.89,"Northwest",2020-02-29
"61",61,61,6.92,"Northwest",2020-03-01
"62",62,62,7.25,"Northwest",2020-03-02
"63",63,63,7.36,"Northwest",2020-03-03
"64",64,64,11.17,"Northwest",2020-03-04
"65",65,65,13.9,"Northwest",2020-03-05
"66",66,66,14.94,"Northwest",2020-03-06
"67",67,67,11.68,"Northwest",2020-03-07
"68",68,68,6.36,"Northwest",2020-03-08
"69",69,69,14.22,"Northwest",2020-03-09
"70",70,70,15.39,"Northwest",2020-03-10
"71",71,71,15.08,"Northwest",2020-03-11
"72",72,72,7.93,"Northwest",2020-03-12
"73",73,73,10.07,"Northwest",2020-03-13
"74",74,74,17.4,"Northwest",2020-03-14
"75",75,75,16.21,"Northwest",2020-03-15
"76",76,76,7.29,"Northwest",2020-03-16
"77",77,77,17.43,"Northwest",2020-03-17
"78",78,78,17.61,"Northwest",2020-03-18
"79",79,79,10.8,"Northwest",2020-03-19
"80",80,80,19.94,"Northwest",2020-03-20
"81",81,81,19.84,"Northwest",2020-03-21
"82",82,82,14.54,"Northwest",2020-03-22
"83",83,83,15.99,"Northwest",2020-03-23
"84",84,84,15.1,"Northwest",2020-03-24
"85",85,85,16.56,"Northwest",2020-03-25
"86",86,86,16.64,"Northwest",2020-03-26
"87",87,87,19.26,"Northwest",2020-03-27
"88",88,88,21.03,"Northwest",2020-03-28
"89",89,89,18.15,"Northwest",2020-03-29
"90",90,90,21.66,"Northwest",2020-03-30
"91",91,91,21.06,"Northwest",2020-03-31
"92",92,92,18.48,"Northwest",2020-04-01
"93",93,93,18.16,"Northwest",2020-04-02
"94",94,94,14.11,"Northwest",2020-04-03
"95",95,95,21.34,"Northwest",2020-04-04
"96",96,96,20.94,"Northwest",2020-04-05
"97",97,97,21.54,"Northwest",2020-04-06
"98",98,98,7.76,"Northwest",2020-04-07
"99",99,99,8.21,"Northwest",2020-04-08
"100",100,100,12.18,"Northwest",2020-04-09
"101",101,101,24.01,"Northwest",2020-04-10
"102",102,102,8.06,"Northwest",2020-04-11
"103",103,103,13.78,"Northwest",2020-04-12
"104",104,104,14.37,"Northwest",2020-04-13
"105",105,105,23.02,"Northwest",2020-04-14
"106",106,106,23.84,"Northwest",2020-04-15
"107",107,107,19.96,"Northwest",2020-04-16
"108",108,108,24.66,"Northwest",2020-04-17
"109",109,109,9.09,"Northwest",2020-04-18
"110",110,110,25.33,"Northwest",2020-04-19
"111",111,111,14.14,"Northwest",2020-04-20
"112",112,112,26.76,"Northwest",2020-04-21
"113",113,113,26.67,"Northwest",2020-04-22
"114",114,114,18.29,"Northwest",2020-04-23
"115",115,115,20.11,"Northwest",2020-04-24
"116",116,116,23.82,"Northwest",2020-04-25
"117",117,117,26.43,"Northwest",2020-04-26
"118",118,118,12.95,"Northwest",2020-04-27
"119",119,119,12.67,"Northwest",2020-04-28
"120",120,120,21.97,"Northwest",2020-04-29
"121",121,121,26.29,"Northwest",2020-04-30
"122",122,122,19.52,"Northwest",2020-05-01
"123",123,123,5.17,"Northwest",2020-05-02
"124",124,124,12.44,"Northwest",2020-05-03
"125",125,125,27.87,"Northwest",2020-05-04
"126",126,126,24.46,"Northwest",2020-05-05
"127",127,127,26.86,"Northwest",2020-05-06
"128",128,128,17.46,"Northwest",2020-05-07
"129",129,129,15.82,"Northwest",2020-05-08
"130",130,130,13.65,"Northwest",2020-05-09
"131",131,131,24.16,"Northwest",2020-05-10
"132",132,132,23.85,"Northwest",2020-05-11
"133",133,133,28.52,"Northwest",2020-05-12
"134",134,134,25.14,"Northwest",2020-05-13
"135",135,135,6.14,"Northwest",2020-05-14
"136",136,136,16.05,"Northwest",2020-05-15
"137",137,137,18.41,"Northwest",2020-05-16
"138",138,138,25.86,"Northwest",2020-05-17
"139",139,139,26.73,"Northwest",2020-05-18
"140",140,140,28.3,"Northwest",2020-05-19
"141",141,141,28.68,"Northwest",2020-05-20
"142",142,142,27.17,"Northwest",2020-05-21
"143",143,143,22.34,"Northwest",2020-05-22
"144",144,144,18.41,"Northwest",2020-05-23
"145",145,145,15.2,"Northwest",2020-05-24
"146",146,146,14.46,"Northwest",2020-05-25
"147",147,147,5.03,"Northwest",2020-05-26
"148",148,148,24.62,"Northwest",2020-05-27
"149",149,149,20.59,"Northwest",2020-05-28
"150",150,150,11.59,"Northwest",2020-05-29
"151",151,151,17.88,"Northwest",2020-05-30
"152",152,152,25.54,"Northwest",2020-05-31
"153",153,153,12.64,"Northwest",2020-06-01
"154",154,154,21.24,"Northwest",2020-06-02
"155",155,155,21.02,"Northwest",2020-06-03
"156",156,156,16.45,"Northwest",2020-06-04
"157",157,157,14.37,"Northwest",2020-06-05
"158",158,158,19.73,"Northwest",2020-06-06
"159",159,159,11.99,"Northwest",2020-06-07
"160",160,160,11.89,"Northwest",2020-06-08
"161",161,161,9.21,"Northwest",2020-06-09
