"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.56,"Northwest",2020-01-01
"2",2,2,1.64,"Northwest",2020-01-02
"3",3,3,1.52,"Northwest",2020-01-03
"4",4,4,2.36,"Northwest",2020-01-04
"5",5,5,2.42,"Northwest",2020-01-05
"6",6,6,2.89,"Northwest",2020-01-06
"7",7,7,2.75,"Northwest",2020-01-07
"8",8,8,5.13,"Northwest",2020-01-08
"9",9,9,2.2,"Northwest",2020-01-09
"10",10,10,1.42,"Northwest",2020-01-10
"11",11,11,4.9,"Northwest",2020-01-11
"12",12,12,6.54,"Northwest",2020-01-12
"13",13,13,4.57,"Northwest",2020-01-13
"14",14,14,1.35,"Northwest",2020-01-14
"15",15,15,1.75,"Northwest",2020-01-15
"16",16,16,4.87,"Northwest",2020-01-16
"17",17,17,3.91,"Northwest",2020-01-17
"18",18,18,1.04,"Northwest",2020-01-18
"19",19,19,7.29,"Northwest",2020-01-19
"20",20,20,7.72,"Northwest",2020-01-20
"21",21,21,2.82,"Northwest",2020-01-21
"22",22,22,2.17,"Northwest",2020-01-22
"23",23,23,2.15,"Northwest",2020-01-23
"24",24,24,3.41,"Northwest",2020-01-24
"25",25,25,2.36,"Northwest",2020-01-25
"26",26,26,3.9,"Northwest",2020-01-26
"27",27,27,3.74,"Northwest",2020-01-27
"28",28,28,6.54,"Northwest",2020-01-28
"29",29,29,4.5,"Northwest",2020-01-29
"30",30,30,3.75,"Northwest",2020-01-30
"31",31,31,2.42,"Northwest",2020-01-31
"32",32,32,2.61,"Northwest",2020-02-01
"33",33,33,2.48,"Northwest",2020-02-02
"34",34,34,4.15,"Northwest",2020-02-03
"35",35,35,4.24,"Northwest",2020-02-04
"36",36,36,6.12,"Northwest",2020-02-05
"37",37,37,5.13,"Northwest",2020-02-06
"38",38,38,8.94,"Northwest",2020-02-07
"39",39,39,6.35,"Northwest",2020-02-08
"40",40,40,2.61,"Northwest",2020-02-09
"41",41,41,3.63,"Northwest",2020-02-10
"42",42,42,5.41,"Northwest",2020-02-11
"43",43,43,4.51,"Northwest",2020-02-12
"44",44,44,9.28,"Northwest",2020-02-13
"45",45,45,5.67,"Northwest",2020-02-14
"46",46,46,3.46,"Northwest",2020-02-15
"47",47,47,7.79,"Northwest",2020-02-16
"48",48,48,8.14,"Northwest",2020-02-17
"49",49,49,4.95,"Northwest",2020-02-18
"50",50,50,7.8,"Northwest",2020-02-19
"51",51,51,7.96,"Northwest",2020-02-20
"52",52,52,12.32,"Northwest",2020-02-21
"53",53,53,10.37,"Northwest",2020-02-22
"54",54,54,7.05,"Northwest",2020-02-23
"55",55,55,11.61,"Northwest",2020-02-24
"56",56,56,13.01,"Northwest",2020-02-25
"57",57,57,11.56,"Northwest",2020-02-26
"58",58,58,6.94,"Northwest",2020-02-27
"59",59,59,5.75,"Northwest",2020-02-28
"60",60,60,14.55,"Northwest",2020-02-29
"61",61,61,9.74,"Northwest",2020-03-01
"62",62,62,4.17,"Northwest",2020-03-02
"63",63,63,9.66,"Northwest",2020-03-03
"64",64,64,6.15,"Northwest",2020-03-04
"65",65,65,3.43,"Northwest",2020-03-05
"66",66,66,15.76,"Northwest",2020-03-06
"67",67,67,13.09,"Northwest",2020-03-07
"68",68,68,14.25,"Northwest",2020-03-08
"69",69,69,5.67,"Northwest",2020-03-09
"70",70,70,17.33,"Northwest",2020-03-10
"71",71,71,9.54,"Northwest",2020-03-11
"72",72,72,3.33,"Northwest",2020-03-12
"73",73,73,5.55,"Northwest",2020-03-13
"74",74,74,16.25,"Northwest",2020-03-14
"75",75,75,17.06,"Northwest",2020-03-15
"76",76,76,6.14,"Northwest",2020-03-16
"77",77,77,11.67,"Northwest",2020-03-17
"78",78,78,12.71,"Northwest",2020-03-18
"79",79,79,5.07,"Northwest",2020-03-19
"80",80,80,12.96,"Northwest",2020-03-20
"81",81,81,17.52,"Northwest",2020-03-21
"82",82,82,18.62,"Northwest",2020-03-22
"83",83,83,5.33,"Northwest",2020-03-23
"84",84,84,15.36,"Northwest",2020-03-24
"85",85,85,3.74,"Northwest",2020-03-25
"86",86,86,17.85,"Northwest",2020-03-26
"87",87,87,19.67,"Northwest",2020-03-27
"88",88,88,16.47,"Northwest",2020-03-28
"89",89,89,4.67,"Northwest",2020-03-29
"90",90,90,13.64,"Northwest",2020-03-30
"91",91,91,12.32,"Northwest",2020-03-31
"92",92,92,21.23,"Northwest",2020-04-01
"93",93,93,22.57,"Northwest",2020-04-02
"94",94,94,22.17,"Northwest",2020-04-03
"95",95,95,8.37,"Northwest",2020-04-04
"96",96,96,22.73,"Northwest",2020-04-05
"97",97,97,15.67,"Northwest",2020-04-06
"98",98,98,6.92,"Northwest",2020-04-07
"99",99,99,12.05,"Northwest",2020-04-08
"100",100,100,12.82,"Northwest",2020-04-09
"101",101,101,23.91,"Northwest",2020-04-10
"102",102,102,18.35,"Northwest",2020-04-11
