"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.37,"Northwest",2020-01-01
"2",2,2,1.91,"Northwest",2020-01-02
"3",3,3,2.13,"Northwest",2020-01-03
"4",4,4,1.98,"Northwest",2020-01-04
"5",5,5,2,"Northwest",2020-01-05
"6",6,6,2.71,"Northwest",2020-01-06
"7",7,7,2.71,"Northwest",2020-01-07
"8",8,8,5.92,"Northwest",2020-01-08
"9",9,9,1.26,"Northwest",2020-01-09
"10",10,10,2.81,"Northwest",2020-01-10
"11",11,11,5.83,"Northwest",2020-01-11
"12",12,12,5.31,"Northwest",2020-01-12
"13",13,13,3.67,"Northwest",2020-01-13
"14",14,14,1.55,"Northwest",2020-01-14
"15",15,15,2.89,"Northwest",2020-01-15
"16",16,16,5.59,"Northwest",2020-01-16
"17",17,17,4.08,"Northwest",2020-01-17
"18",18,18,1.39,"Northwest",2020-01-18
"19",19,19,6.62,"Northwest",2020-01-19
"20",20,20,6.91,"Northwest",2020-01-20
"21",21,21,4.74,"Northwest",2020-01-21
"22",22,22,2.71,"Northwest",2020-01-22
"23",23,23,3.61,"Northwest",2020-01-23
"24",24,24,4.1,"Northwest",2020-01-24
"25",25,25,2.61,"Northwest",2020-01-25
"26",26,26,3.34,"Northwest",2020-01-26
"27",27,27,3.22,"Northwest",2020-01-27
"28",28,28,5.68,"Northwest",2020-01-28
"29",29,29,7.5,"Northwest",2020-01-29
"30",30,30,4.61,"Northwest",2020-01-30
"31",31,31,3.13,"Northwest",2020-01-31
"32",32,32,2.38,"Northwest",2020-02-01
"33",33,33,3.21,"Northwest",2020-02-02
"34",34,34,4.26,"Northwest",2020-02-03
"35",35,35,7.62,"Northwest",2020-02-04
"36",36,36,7.82,"Northwest",2020-02-05
"37",37,37,7.33,"Northwest",2020-02-06
"38",38,38,9.65,"Northwest",2020-02-07
"39",39,39,5.24,"Northwest",2020-02-08
"40",40,40,6.78,"Northwest",2020-02-09
"41",41,41,8.18,"Northwest",2020-02-10
"42",42,42,6.55,"Northwest",2020-02-11
"43",43,43,6.54,"Northwest",2020-02-12
"44",44,44,10.89,"Northwest",2020-02-13
"45",45,45,10.3,"Northwest",2020-02-14
"46",46,46,5.23,"Northwest",2020-02-15
"47",47,47,11.32,"Northwest",2020-02-16
"48",48,48,6.23,"Northwest",2020-02-17
"49",49,49,5.78,"Northwest",2020-02-18
"50",50,50,11.16,"Northwest",2020-02-19
"51",51,51,10.56,"Northwest",2020-02-20
"52",52,52,11.96,"Northwest",2020-02-21
"53",53,53,12.02,"Northwest",2020-02-22
"54",54,54,3.11,"Northwest",2020-02-23
"55",55,55,7.45,"Northwest",2020-02-24
"56",56,56,9.21,"Northwest",2020-02-25
"57",57,57,7.53,"Northwest",2020-02-26
"58",58,58,10.35,"Northwest",2020-02-27
"59",59,59,11.26,"Northwest",2020-02-28
"60",60,60,11.77,"Northwest",2020-02-29
"61",61,61,7.8,"Northwest",2020-03-01
"62",62,62,7.43,"Northwest",2020-03-02
"63",63,63,6.32,"Northwest",2020-03-03
"64",64,64,10.07,"Northwest",2020-03-04
"65",65,65,8.22,"Northwest",2020-03-05
"66",66,66,16,"Northwest",2020-03-06
"67",67,67,11.68,"Northwest",2020-03-07
"68",68,68,7.79,"Northwest",2020-03-08
"69",69,69,6.4,"Northwest",2020-03-09
"70",70,70,16.9,"Northwest",2020-03-10
"71",71,71,15.17,"Northwest",2020-03-11
"72",72,72,6.34,"Northwest",2020-03-12
"73",73,73,7.17,"Northwest",2020-03-13
"74",74,74,17.95,"Northwest",2020-03-14
"75",75,75,17.54,"Northwest",2020-03-15
"76",76,76,6.78,"Northwest",2020-03-16
"77",77,77,16.73,"Northwest",2020-03-17
"78",78,78,15.82,"Northwest",2020-03-18
"79",79,79,6.38,"Northwest",2020-03-19
"80",80,80,19.29,"Northwest",2020-03-20
"81",81,81,20.03,"Northwest",2020-03-21
"82",82,82,15.65,"Northwest",2020-03-22
"83",83,83,14.74,"Northwest",2020-03-23
"84",84,84,16.42,"Northwest",2020-03-24
