"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.4,"Northwest",2020-01-01
"2",2,2,2.69,"Northwest",2020-01-02
"3",3,3,2.26,"Northwest",2020-01-03
"4",4,4,2.19,"Northwest",2020-01-04
"5",5,5,2.01,"Northwest",2020-01-05
"6",6,6,5.41,"Northwest",2020-01-06
"7",7,7,5.02,"Northwest",2020-01-07
"8",8,8,4.68,"Northwest",2020-01-08
"9",9,9,2.61,"Northwest",2020-01-09
"10",10,10,5.29,"Northwest",2020-01-10
"11",11,11,4.87,"Northwest",2020-01-11
"12",12,12,3.94,"Northwest",2020-01-12
"13",13,13,3.02,"Northwest",2020-01-13
"14",14,14,3.92,"Northwest",2020-01-14
"15",15,15,4.21,"Northwest",2020-01-15
"16",16,16,6.15,"Northwest",2020-01-16
"17",17,17,2.56,"Northwest",2020-01-17
"18",18,18,3.62,"Northwest",2020-01-18
"19",19,19,4.7,"Northwest",2020-01-19
"20",20,20,6.65,"Northwest",2020-01-20
"21",21,21,5.52,"Northwest",2020-01-21
"22",22,22,3.77,"Northwest",2020-01-22
"23",23,23,3.61,"Northwest",2020-01-23
"24",24,24,3.52,"Northwest",2020-01-24
"25",25,25,3.06,"Northwest",2020-01-25
"26",26,26,3.38,"Northwest",2020-01-26
"27",27,27,4.06,"Northwest",2020-01-27
"28",28,28,4.78,"Northwest",2020-01-28
"29",29,29,5.63,"Northwest",2020-01-29
"30",30,30,4.09,"Northwest",2020-01-30
"31",31,31,3.18,"Northwest",2020-01-31
"32",32,32,4.72,"Northwest",2020-02-01
"33",33,33,5.54,"Northwest",2020-02-02
"34",34,34,6.08,"Northwest",2020-02-03
"35",35,35,8.65,"Northwest",2020-02-04
"36",36,36,8.33,"Northwest",2020-02-05
"37",37,37,7.7,"Northwest",2020-02-06
"38",38,38,9.5,"Northwest",2020-02-07
"39",39,39,5.69,"Northwest",2020-02-08
"40",40,40,8.64,"Northwest",2020-02-09
"41",41,41,5.28,"Northwest",2020-02-10
"42",42,42,8.01,"Northwest",2020-02-11
"43",43,43,10.3,"Northwest",2020-02-12
"44",44,44,10.87,"Northwest",2020-02-13
"45",45,45,6.88,"Northwest",2020-02-14
"46",46,46,7.05,"Northwest",2020-02-15
"47",47,47,10.57,"Northwest",2020-02-16
"48",48,48,6.15,"Northwest",2020-02-17
"49",49,49,11.1,"Northwest",2020-02-18
"50",50,50,11.58,"Northwest",2020-02-19
"51",51,51,12,"Northwest",2020-02-20
"52",52,52,12.39,"Northwest",2020-02-21
"53",53,53,12.46,"Northwest",2020-02-22
"54",54,54,8.19,"Northwest",2020-02-23
"55",55,55,12.34,"Northwest",2020-02-24
"56",56,56,11.66,"Northwest",2020-02-25
"57",57,57,10.32,"Northwest",2020-02-26
"58",58,58,12.29,"Northwest",2020-02-27
"59",59,59,13.7,"Northwest",2020-02-28
"60",60,60,8.94,"Northwest",2020-02-29
"61",61,61,10.32,"Northwest",2020-03-01
"62",62,62,11.12,"Northwest",2020-03-02
"63",63,63,8.09,"Northwest",2020-03-03
"64",64,64,11.99,"Northwest",2020-03-04
"65",65,65,14.06,"Northwest",2020-03-05
