"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.76,"Northeast",2020-01-01
"2",2,2,3.06,"Northeast",2020-01-02
"3",3,3,2.46,"Northeast",2020-01-03
"4",4,4,2.93,"Northeast",2020-01-04
"5",5,5,3.49,"Northeast",2020-01-05
"6",6,6,2.79,"Northeast",2020-01-06
"7",7,7,3.83,"Northeast",2020-01-07
"8",8,8,5.68,"Northeast",2020-01-08
"9",9,9,2.85,"Northeast",2020-01-09
"10",10,10,2.33,"Northeast",2020-01-10
"11",11,11,1.59,"Northeast",2020-01-11
"12",12,12,3.91,"Northeast",2020-01-12
"13",13,13,3.03,"Northeast",2020-01-13
"14",14,14,1.99,"Northeast",2020-01-14
"15",15,15,2.46,"Northeast",2020-01-15
"16",16,16,4.96,"Northeast",2020-01-16
"17",17,17,6.79,"Northeast",2020-01-17
"18",18,18,1.82,"Northeast",2020-01-18
"19",19,19,6.44,"Northeast",2020-01-19
"20",20,20,8.33,"Northeast",2020-01-20
"21",21,21,4.97,"Northeast",2020-01-21
"22",22,22,5.78,"Northeast",2020-01-22
"23",23,23,2.98,"Northeast",2020-01-23
"24",24,24,4.39,"Northeast",2020-01-24
"25",25,25,2.82,"Northeast",2020-01-25
"26",26,26,4.23,"Northeast",2020-01-26
"27",27,27,4.46,"Northeast",2020-01-27
"28",28,28,5.44,"Northeast",2020-01-28
"29",29,29,8.25,"Northeast",2020-01-29
"30",30,30,5.18,"Northeast",2020-01-30
"31",31,31,3.9,"Northeast",2020-01-31
"32",32,32,3.67,"Northeast",2020-02-01
"33",33,33,3.6,"Northeast",2020-02-02
"34",34,34,7.45,"Northeast",2020-02-03
"35",35,35,8.55,"Northeast",2020-02-04
"36",36,36,7.13,"Northeast",2020-02-05
"37",37,37,5.48,"Northeast",2020-02-06
"38",38,38,8.94,"Northeast",2020-02-07
"39",39,39,9.58,"Northeast",2020-02-08
"40",40,40,4.21,"Northeast",2020-02-09
"41",41,41,7.48,"Northeast",2020-02-10
"42",42,42,3.25,"Northeast",2020-02-11
"43",43,43,7.36,"Northeast",2020-02-12
"44",44,44,6.99,"Northeast",2020-02-13
"45",45,45,6.17,"Northeast",2020-02-14
