"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.62,"Northwest",2020-01-01
"2",2,2,2.13,"Northwest",2020-01-02
"3",3,3,2.56,"Northwest",2020-01-03
"4",4,4,3.24,"Northwest",2020-01-04
"5",5,5,2.12,"Northwest",2020-01-05
"6",6,6,2.96,"Northwest",2020-01-06
"7",7,7,2.4,"Northwest",2020-01-07
"8",8,8,4.38,"Northwest",2020-01-08
"9",9,9,2.42,"Northwest",2020-01-09
"10",10,10,3.37,"Northwest",2020-01-10
"11",11,11,4.6,"Northwest",2020-01-11
"12",12,12,3.1,"Northwest",2020-01-12
"13",13,13,3.42,"Northwest",2020-01-13
"14",14,14,3.1,"Northwest",2020-01-14
"15",15,15,4.75,"Northwest",2020-01-15
"16",16,16,5.15,"Northwest",2020-01-16
"17",17,17,2.91,"Northwest",2020-01-17
"18",18,18,2.73,"Northwest",2020-01-18
"19",19,19,5.37,"Northwest",2020-01-19
"20",20,20,4.41,"Northwest",2020-01-20
"21",21,21,3.12,"Northwest",2020-01-21
"22",22,22,3.22,"Northwest",2020-01-22
"23",23,23,4.19,"Northwest",2020-01-23
"24",24,24,5.81,"Northwest",2020-01-24
"25",25,25,3.08,"Northwest",2020-01-25
"26",26,26,3.01,"Northwest",2020-01-26
"27",27,27,4.88,"Northwest",2020-01-27
"28",28,28,4.67,"Northwest",2020-01-28
"29",29,29,6.08,"Northwest",2020-01-29
"30",30,30,5.95,"Northwest",2020-01-30
"31",31,31,2.65,"Northwest",2020-01-31
"32",32,32,2.91,"Northwest",2020-02-01
"33",33,33,3.52,"Northwest",2020-02-02
"34",34,34,4.85,"Northwest",2020-02-03
"35",35,35,7.32,"Northwest",2020-02-04
"36",36,36,6.65,"Northwest",2020-02-05
"37",37,37,7.97,"Northwest",2020-02-06
"38",38,38,7.88,"Northwest",2020-02-07
"39",39,39,4.15,"Northwest",2020-02-08
"40",40,40,4.69,"Northwest",2020-02-09
"41",41,41,6.35,"Northwest",2020-02-10
"42",42,42,5.22,"Northwest",2020-02-11
"43",43,43,8.73,"Northwest",2020-02-12
"44",44,44,8.97,"Northwest",2020-02-13
"45",45,45,5.14,"Northwest",2020-02-14
"46",46,46,6.68,"Northwest",2020-02-15
"47",47,47,10.05,"Northwest",2020-02-16
"48",48,48,7.57,"Northwest",2020-02-17
"49",49,49,10.07,"Northwest",2020-02-18
"50",50,50,10.77,"Northwest",2020-02-19
"51",51,51,8.92,"Northwest",2020-02-20
"52",52,52,10.01,"Northwest",2020-02-21
"53",53,53,9.91,"Northwest",2020-02-22
"54",54,54,6.5,"Northwest",2020-02-23
"55",55,55,7.01,"Northwest",2020-02-24
"56",56,56,11.57,"Northwest",2020-02-25
"57",57,57,12.27,"Northwest",2020-02-26
"58",58,58,12.48,"Northwest",2020-02-27
"59",59,59,12.43,"Northwest",2020-02-28
"60",60,60,6.24,"Northwest",2020-02-29
"61",61,61,4.92,"Northwest",2020-03-01
"62",62,62,8.07,"Northwest",2020-03-02
"63",63,63,10.25,"Northwest",2020-03-03
"64",64,64,13.56,"Northwest",2020-03-04
"65",65,65,13.67,"Northwest",2020-03-05
"66",66,66,10.85,"Northwest",2020-03-06
"67",67,67,11.05,"Northwest",2020-03-07
"68",68,68,9.3,"Northwest",2020-03-08
"69",69,69,8.95,"Northwest",2020-03-09
"70",70,70,14.37,"Northwest",2020-03-10
"71",71,71,14.78,"Northwest",2020-03-11
"72",72,72,7.71,"Northwest",2020-03-12
"73",73,73,11.06,"Northwest",2020-03-13
"74",74,74,16.81,"Northwest",2020-03-14
"75",75,75,15.76,"Northwest",2020-03-15
"76",76,76,11.99,"Northwest",2020-03-16
"77",77,77,15.82,"Northwest",2020-03-17
"78",78,78,17.87,"Northwest",2020-03-18
"79",79,79,17.47,"Northwest",2020-03-19
"80",80,80,18.42,"Northwest",2020-03-20
"81",81,81,18.05,"Northwest",2020-03-21
"82",82,82,12.81,"Northwest",2020-03-22
"83",83,83,11.83,"Northwest",2020-03-23
"84",84,84,8.65,"Northwest",2020-03-24
"85",85,85,18.69,"Northwest",2020-03-25
"86",86,86,15.63,"Northwest",2020-03-26
"87",87,87,9.74,"Northwest",2020-03-27
"88",88,88,19.06,"Northwest",2020-03-28
"89",89,89,19.95,"Northwest",2020-03-29
"90",90,90,19.03,"Northwest",2020-03-30
"91",91,91,19.36,"Northwest",2020-03-31
"92",92,92,19.36,"Northwest",2020-04-01
"93",93,93,17.79,"Northwest",2020-04-02
"94",94,94,13.92,"Northwest",2020-04-03
