"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.59,"Northeast",2020-01-01
"2",2,2,2.42,"Northeast",2020-01-02
"3",3,3,1.87,"Northeast",2020-01-03
"4",4,4,2.27,"Northeast",2020-01-04
"5",5,5,5.45,"Northeast",2020-01-05
"6",6,6,3.04,"Northeast",2020-01-06
"7",7,7,3.65,"Northeast",2020-01-07
"8",8,8,4.39,"Northeast",2020-01-08
"9",9,9,3.46,"Northeast",2020-01-09
"10",10,10,1.47,"Northeast",2020-01-10
"11",11,11,1.97,"Northeast",2020-01-11
"12",12,12,3.84,"Northeast",2020-01-12
"13",13,13,3.88,"Northeast",2020-01-13
"14",14,14,3.01,"Northeast",2020-01-14
"15",15,15,2.09,"Northeast",2020-01-15
"16",16,16,5.2,"Northeast",2020-01-16
"17",17,17,7.92,"Northeast",2020-01-17
"18",18,18,1.97,"Northeast",2020-01-18
"19",19,19,7.04,"Northeast",2020-01-19
"20",20,20,8.23,"Northeast",2020-01-20
"21",21,21,5.71,"Northeast",2020-01-21
"22",22,22,3.14,"Northeast",2020-01-22
"23",23,23,2.95,"Northeast",2020-01-23
"24",24,24,5.29,"Northeast",2020-01-24
"25",25,25,2.48,"Northeast",2020-01-25
"26",26,26,2.76,"Northeast",2020-01-26
"27",27,27,3.53,"Northeast",2020-01-27
"28",28,28,5.59,"Northeast",2020-01-28
"29",29,29,9.43,"Northeast",2020-01-29
"30",30,30,7.06,"Northeast",2020-01-30
"31",31,31,6.05,"Northeast",2020-01-31
"32",32,32,3.31,"Northeast",2020-02-01
"33",33,33,3.68,"Northeast",2020-02-02
"34",34,34,5.95,"Northeast",2020-02-03
"35",35,35,6.09,"Northeast",2020-02-04
"36",36,36,8.4,"Northeast",2020-02-05
"37",37,37,5.87,"Northeast",2020-02-06
"38",38,38,9.11,"Northeast",2020-02-07
"39",39,39,11.44,"Northeast",2020-02-08
"40",40,40,4.55,"Northeast",2020-02-09
"41",41,41,5.33,"Northeast",2020-02-10
"42",42,42,4.16,"Northeast",2020-02-11
"43",43,43,5.26,"Northeast",2020-02-12
"44",44,44,8.67,"Northeast",2020-02-13
"45",45,45,12.03,"Northeast",2020-02-14
"46",46,46,4.46,"Northeast",2020-02-15
"47",47,47,6.35,"Northeast",2020-02-16
"48",48,48,12.93,"Northeast",2020-02-17
"49",49,49,2.82,"Northeast",2020-02-18
"50",50,50,9.44,"Northeast",2020-02-19
"51",51,51,13.72,"Northeast",2020-02-20
"52",52,52,13,"Northeast",2020-02-21
"53",53,53,11.01,"Northeast",2020-02-22
"54",54,54,12.33,"Northeast",2020-02-23
"55",55,55,12.02,"Northeast",2020-02-24
"56",56,56,14.41,"Northeast",2020-02-25
"57",57,57,9.41,"Northeast",2020-02-26
"58",58,58,3.79,"Northeast",2020-02-27
"59",59,59,9.53,"Northeast",2020-02-28
"60",60,60,12.25,"Northeast",2020-02-29
"61",61,61,12.3,"Northeast",2020-03-01
"62",62,62,8.16,"Northeast",2020-03-02
"63",63,63,7.09,"Northeast",2020-03-03
"64",64,64,7.93,"Northeast",2020-03-04
"65",65,65,8.45,"Northeast",2020-03-05
"66",66,66,10.28,"Northeast",2020-03-06
"67",67,67,13.11,"Northeast",2020-03-07
"68",68,68,11.21,"Northeast",2020-03-08
"69",69,69,5.76,"Northeast",2020-03-09
"70",70,70,9.47,"Northeast",2020-03-10
"71",71,71,9.61,"Northeast",2020-03-11
"72",72,72,10.1,"Northeast",2020-03-12
"73",73,73,4.7,"Northeast",2020-03-13
"74",74,74,17.05,"Northeast",2020-03-14
"75",75,75,18.7,"Northeast",2020-03-15
"76",76,76,13.69,"Northeast",2020-03-16
"77",77,77,12.3,"Northeast",2020-03-17
"78",78,78,10.46,"Northeast",2020-03-18
"79",79,79,14.52,"Northeast",2020-03-19
"80",80,80,5.78,"Northeast",2020-03-20
"81",81,81,20.71,"Northeast",2020-03-21
"82",82,82,20.81,"Northeast",2020-03-22
"83",83,83,13.84,"Northeast",2020-03-23
"84",84,84,17.24,"Northeast",2020-03-24
"85",85,85,16.06,"Northeast",2020-03-25
"86",86,86,6.99,"Northeast",2020-03-26
"87",87,87,21.81,"Northeast",2020-03-27
"88",88,88,13.89,"Northeast",2020-03-28
"89",89,89,5.85,"Northeast",2020-03-29
"90",90,90,9.63,"Northeast",2020-03-30
"91",91,91,10.94,"Northeast",2020-03-31
"92",92,92,17.08,"Northeast",2020-04-01
"93",93,93,21.14,"Northeast",2020-04-02
"94",94,94,9.54,"Northeast",2020-04-03
"95",95,95,11.51,"Northeast",2020-04-04
"96",96,96,16.52,"Northeast",2020-04-05
"97",97,97,20.5,"Northeast",2020-04-06
"98",98,98,19.38,"Northeast",2020-04-07
"99",99,99,5.96,"Northeast",2020-04-08
"100",100,100,11.87,"Northeast",2020-04-09
"101",101,101,14.55,"Northeast",2020-04-10
"102",102,102,20.32,"Northeast",2020-04-11
"103",103,103,10.56,"Northeast",2020-04-12
"104",104,104,5.6,"Northeast",2020-04-13
"105",105,105,16.73,"Northeast",2020-04-14
"106",106,106,17.4,"Northeast",2020-04-15
"107",107,107,17.88,"Northeast",2020-04-16
"108",108,108,17.53,"Northeast",2020-04-17
"109",109,109,19.6,"Northeast",2020-04-18
"110",110,110,11.62,"Northeast",2020-04-19
"111",111,111,22.26,"Northeast",2020-04-20
"112",112,112,14.13,"Northeast",2020-04-21
"113",113,113,25.61,"Northeast",2020-04-22
"114",114,114,26.27,"Northeast",2020-04-23
"115",115,115,24.62,"Northeast",2020-04-24
"116",116,116,24.84,"Northeast",2020-04-25
"117",117,117,23.91,"Northeast",2020-04-26
"118",118,118,25.66,"Northeast",2020-04-27
"119",119,119,19.1,"Northeast",2020-04-28
"120",120,120,6.47,"Northeast",2020-04-29
"121",121,121,5.8,"Northeast",2020-04-30
"122",122,122,22.91,"Northeast",2020-05-01
"123",123,123,12.08,"Northeast",2020-05-02
"124",124,124,12.2,"Northeast",2020-05-03
"125",125,125,19.87,"Northeast",2020-05-04
"126",126,126,29.73,"Northeast",2020-05-05
"127",127,127,24.16,"Northeast",2020-05-06
"128",128,128,19.75,"Northeast",2020-05-07
"129",129,129,17.66,"Northeast",2020-05-08
"130",130,130,17.15,"Northeast",2020-05-09
"131",131,131,15.97,"Northeast",2020-05-10
"132",132,132,21.61,"Northeast",2020-05-11
"133",133,133,21.46,"Northeast",2020-05-12
"134",134,134,29.56,"Northeast",2020-05-13
"135",135,135,10.81,"Northeast",2020-05-14
"136",136,136,8.54,"Northeast",2020-05-15
"137",137,137,16.27,"Northeast",2020-05-16
"138",138,138,21.75,"Northeast",2020-05-17
"139",139,139,21.88,"Northeast",2020-05-18
"140",140,140,20.07,"Northeast",2020-05-19
"141",141,141,30.03,"Northeast",2020-05-20
"142",142,142,29.89,"Northeast",2020-05-21
"143",143,143,29.98,"Northeast",2020-05-22
"144",144,144,26.4,"Northeast",2020-05-23
"145",145,145,9.01,"Northeast",2020-05-24
"146",146,146,18.96,"Northeast",2020-05-25
"147",147,147,24.81,"Northeast",2020-05-26
"148",148,148,26.73,"Northeast",2020-05-27
"149",149,149,15.02,"Northeast",2020-05-28
"150",150,150,6.38,"Northeast",2020-05-29
"151",151,151,9.35,"Northeast",2020-05-30
"152",152,152,19.21,"Northeast",2020-05-31
"153",153,153,24.08,"Northeast",2020-06-01
"154",154,154,7.31,"Northeast",2020-06-02
"155",155,155,14.48,"Northeast",2020-06-03
"156",156,156,28.93,"Northeast",2020-06-04
"157",157,157,21.31,"Northeast",2020-06-05
"158",158,158,19.87,"Northeast",2020-06-06
"159",159,159,27.34,"Northeast",2020-06-07
"160",160,160,22.41,"Northeast",2020-06-08
"161",161,161,21.12,"Northeast",2020-06-09
"162",162,162,12.56,"Northeast",2020-06-10
