"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.22,"Northwest",2020-01-01
"2",2,2,2.75,"Northwest",2020-01-02
"3",3,3,2.72,"Northwest",2020-01-03
"4",4,4,2.35,"Northwest",2020-01-04
"5",5,5,2.31,"Northwest",2020-01-05
"6",6,6,2.82,"Northwest",2020-01-06
"7",7,7,2.43,"Northwest",2020-01-07
"8",8,8,3.9,"Northwest",2020-01-08
"9",9,9,2.88,"Northwest",2020-01-09
"10",10,10,2.59,"Northwest",2020-01-10
"11",11,11,4.25,"Northwest",2020-01-11
"12",12,12,3.03,"Northwest",2020-01-12
"13",13,13,4.24,"Northwest",2020-01-13
"14",14,14,3.13,"Northwest",2020-01-14
"15",15,15,3.71,"Northwest",2020-01-15
"16",16,16,4.37,"Northwest",2020-01-16
"17",17,17,3.61,"Northwest",2020-01-17
"18",18,18,3.47,"Northwest",2020-01-18
"19",19,19,3.14,"Northwest",2020-01-19
"20",20,20,4.68,"Northwest",2020-01-20
"21",21,21,3.18,"Northwest",2020-01-21
"22",22,22,2.94,"Northwest",2020-01-22
"23",23,23,5.24,"Northwest",2020-01-23
"24",24,24,5.41,"Northwest",2020-01-24
"25",25,25,2.87,"Northwest",2020-01-25
"26",26,26,2.82,"Northwest",2020-01-26
"27",27,27,5.13,"Northwest",2020-01-27
"28",28,28,3.63,"Northwest",2020-01-28
"29",29,29,5.65,"Northwest",2020-01-29
"30",30,30,4.46,"Northwest",2020-01-30
"31",31,31,4.38,"Northwest",2020-01-31
"32",32,32,3.75,"Northwest",2020-02-01
"33",33,33,4.19,"Northwest",2020-02-02
"34",34,34,4.69,"Northwest",2020-02-03
"35",35,35,6.4,"Northwest",2020-02-04
"36",36,36,5.52,"Northwest",2020-02-05
"37",37,37,7.5,"Northwest",2020-02-06
"38",38,38,7.05,"Northwest",2020-02-07
"39",39,39,5.42,"Northwest",2020-02-08
"40",40,40,7.07,"Northwest",2020-02-09
"41",41,41,7.31,"Northwest",2020-02-10
"42",42,42,7.12,"Northwest",2020-02-11
"43",43,43,8.53,"Northwest",2020-02-12
"44",44,44,7.83,"Northwest",2020-02-13
"45",45,45,6.71,"Northwest",2020-02-14
"46",46,46,6.64,"Northwest",2020-02-15
"47",47,47,9.62,"Northwest",2020-02-16
"48",48,48,7.62,"Northwest",2020-02-17
"49",49,49,9.95,"Northwest",2020-02-18
"50",50,50,10.04,"Northwest",2020-02-19
"51",51,51,8.04,"Northwest",2020-02-20
"52",52,52,9.54,"Northwest",2020-02-21
"53",53,53,8.59,"Northwest",2020-02-22
"54",54,54,8.37,"Northwest",2020-02-23
"55",55,55,9.05,"Northwest",2020-02-24
"56",56,56,10.41,"Northwest",2020-02-25
"57",57,57,11.01,"Northwest",2020-02-26
"58",58,58,11.57,"Northwest",2020-02-27
"59",59,59,11.91,"Northwest",2020-02-28
"60",60,60,12.59,"Northwest",2020-02-29
"61",61,61,7.66,"Northwest",2020-03-01
"62",62,62,9.68,"Northwest",2020-03-02
"63",63,63,11.2,"Northwest",2020-03-03
"64",64,64,13.11,"Northwest",2020-03-04
"65",65,65,13.93,"Northwest",2020-03-05
"66",66,66,11.79,"Northwest",2020-03-06
"67",67,67,11.88,"Northwest",2020-03-07
"68",68,68,13.49,"Northwest",2020-03-08
"69",69,69,8.74,"Northwest",2020-03-09
"70",70,70,14.3,"Northwest",2020-03-10
"71",71,71,15.43,"Northwest",2020-03-11
"72",72,72,12.99,"Northwest",2020-03-12
"73",73,73,12.27,"Northwest",2020-03-13
"74",74,74,16.65,"Northwest",2020-03-14
"75",75,75,16.79,"Northwest",2020-03-15
"76",76,76,11.85,"Northwest",2020-03-16
"77",77,77,16.84,"Northwest",2020-03-17
"78",78,78,17.61,"Northwest",2020-03-18
"79",79,79,16.01,"Northwest",2020-03-19
"80",80,80,18.26,"Northwest",2020-03-20
"81",81,81,18.39,"Northwest",2020-03-21
"82",82,82,16.25,"Northwest",2020-03-22
"83",83,83,14.02,"Northwest",2020-03-23
"84",84,84,16.9,"Northwest",2020-03-24
"85",85,85,13.79,"Northwest",2020-03-25
"86",86,86,19.29,"Northwest",2020-03-26
"87",87,87,15.94,"Northwest",2020-03-27
"88",88,88,14.67,"Northwest",2020-03-28
"89",89,89,19.59,"Northwest",2020-03-29
"90",90,90,20.26,"Northwest",2020-03-30
"91",91,91,19.28,"Northwest",2020-03-31
"92",92,92,20.57,"Northwest",2020-04-01
"93",93,93,17.8,"Northwest",2020-04-02
"94",94,94,12.94,"Northwest",2020-04-03
"95",95,95,14.05,"Northwest",2020-04-04
"96",96,96,15.34,"Northwest",2020-04-05
"97",97,97,19.09,"Northwest",2020-04-06
"98",98,98,20.3,"Northwest",2020-04-07
"99",99,99,18.16,"Northwest",2020-04-08
"100",100,100,22.08,"Northwest",2020-04-09
"101",101,101,15.87,"Northwest",2020-04-10
"102",102,102,21.88,"Northwest",2020-04-11
"103",103,103,22.41,"Northwest",2020-04-12
"104",104,104,20.23,"Northwest",2020-04-13
"105",105,105,21.96,"Northwest",2020-04-14
"106",106,106,23.23,"Northwest",2020-04-15
"107",107,107,19.68,"Northwest",2020-04-16
"108",108,108,21.36,"Northwest",2020-04-17
"109",109,109,22.38,"Northwest",2020-04-18
"110",110,110,25.59,"Northwest",2020-04-19
"111",111,111,18.03,"Northwest",2020-04-20
"112",112,112,23.7,"Northwest",2020-04-21
"113",113,113,26.92,"Northwest",2020-04-22
"114",114,114,24.83,"Northwest",2020-04-23
"115",115,115,25.91,"Northwest",2020-04-24
"116",116,116,18.69,"Northwest",2020-04-25
