"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.44,"Essa",2020-01-01
"2",2,2,3.07,"Essa",2020-01-02
"3",3,3,2.33,"Essa",2020-01-03
"4",4,4,2.9,"Essa",2020-01-04
"5",5,5,6.58,"Essa",2020-01-05
"6",6,6,3.31,"Essa",2020-01-06
"7",7,7,4.79,"Essa",2020-01-07
"8",8,8,4.7,"Essa",2020-01-08
"9",9,9,5.18,"Essa",2020-01-09
"10",10,10,2.05,"Essa",2020-01-10
"11",11,11,1.09,"Essa",2020-01-11
"12",12,12,4.71,"Essa",2020-01-12
"13",13,13,1.95,"Essa",2020-01-13
"14",14,14,3.11,"Essa",2020-01-14
"15",15,15,2.3,"Essa",2020-01-15
"16",16,16,5.11,"Essa",2020-01-16
"17",17,17,8.77,"Essa",2020-01-17
"18",18,18,1.93,"Essa",2020-01-18
"19",19,19,6.5,"Essa",2020-01-19
"20",20,20,9.03,"Essa",2020-01-20
"21",21,21,5.02,"Essa",2020-01-21
"22",22,22,6.17,"Essa",2020-01-22
"23",23,23,4.15,"Essa",2020-01-23
"24",24,24,6.82,"Essa",2020-01-24
"25",25,25,2.25,"Essa",2020-01-25
"26",26,26,2.36,"Essa",2020-01-26
"27",27,27,3.3,"Essa",2020-01-27
"28",28,28,4.76,"Essa",2020-01-28
"29",29,29,10.47,"Essa",2020-01-29
"30",30,30,8.43,"Essa",2020-01-30
"31",31,31,5.58,"Essa",2020-01-31
"32",32,32,5.89,"Essa",2020-02-01
"33",33,33,4.92,"Essa",2020-02-02
"34",34,34,5.19,"Essa",2020-02-03
"35",35,35,5.41,"Essa",2020-02-04
"36",36,36,10.02,"Essa",2020-02-05
"37",37,37,3.1,"Essa",2020-02-06
"38",38,38,3.06,"Essa",2020-02-07
"39",39,39,10.8,"Essa",2020-02-08
"40",40,40,7.21,"Essa",2020-02-09
"41",41,41,7.96,"Essa",2020-02-10
"42",42,42,5.5,"Essa",2020-02-11
"43",43,43,7.85,"Essa",2020-02-12
"44",44,44,6.52,"Essa",2020-02-13
"45",45,45,12.32,"Essa",2020-02-14
"46",46,46,8.46,"Essa",2020-02-15
"47",47,47,6.25,"Essa",2020-02-16
"48",48,48,12.69,"Essa",2020-02-17
"49",49,49,2.64,"Essa",2020-02-18
"50",50,50,11.6,"Essa",2020-02-19
"51",51,51,13.78,"Essa",2020-02-20
"52",52,52,13.82,"Essa",2020-02-21
"53",53,53,12.35,"Essa",2020-02-22
"54",54,54,13.27,"Essa",2020-02-23
"55",55,55,13.08,"Essa",2020-02-24
"56",56,56,10.27,"Essa",2020-02-25
"57",57,57,6.16,"Essa",2020-02-26
"58",58,58,6.13,"Essa",2020-02-27
