"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,2.71,"Northeast",2020-01-01
"2",2,2,2.12,"Northeast",2020-01-02
"3",3,3,2.17,"Northeast",2020-01-03
"4",4,4,2.44,"Northeast",2020-01-04
"5",5,5,3.95,"Northeast",2020-01-05
"6",6,6,2.95,"Northeast",2020-01-06
"7",7,7,2.9,"Northeast",2020-01-07
"8",8,8,6.19,"Northeast",2020-01-08
"9",9,9,2.79,"Northeast",2020-01-09
"10",10,10,1.82,"Northeast",2020-01-10
"11",11,11,2.72,"Northeast",2020-01-11
"12",12,12,5.23,"Northeast",2020-01-12
"13",13,13,5.64,"Northeast",2020-01-13
"14",14,14,1.77,"Northeast",2020-01-14
"15",15,15,1.53,"Northeast",2020-01-15
"16",16,16,5.12,"Northeast",2020-01-16
"17",17,17,7.58,"Northeast",2020-01-17
"18",18,18,1.43,"Northeast",2020-01-18
"19",19,19,7.61,"Northeast",2020-01-19
"20",20,20,8.37,"Northeast",2020-01-20
"21",21,21,4.92,"Northeast",2020-01-21
"22",22,22,2.83,"Northeast",2020-01-22
"23",23,23,2.97,"Northeast",2020-01-23
"24",24,24,4.01,"Northeast",2020-01-24
"25",25,25,1.85,"Northeast",2020-01-25
"26",26,26,2.9,"Northeast",2020-01-26
"27",27,27,4.27,"Northeast",2020-01-27
"28",28,28,5.97,"Northeast",2020-01-28
"29",29,29,9.68,"Northeast",2020-01-29
"30",30,30,6.13,"Northeast",2020-01-30
"31",31,31,4.18,"Northeast",2020-01-31
"32",32,32,3.24,"Northeast",2020-02-01
"33",33,33,3.23,"Northeast",2020-02-02
"34",34,34,5.75,"Northeast",2020-02-03
"35",35,35,8.32,"Northeast",2020-02-04
"36",36,36,6.49,"Northeast",2020-02-05
"37",37,37,5.53,"Northeast",2020-02-06
"38",38,38,8.46,"Northeast",2020-02-07
"39",39,39,11.38,"Northeast",2020-02-08
"40",40,40,4.02,"Northeast",2020-02-09
"41",41,41,8.28,"Northeast",2020-02-10
"42",42,42,4.21,"Northeast",2020-02-11
"43",43,43,6.91,"Northeast",2020-02-12
"44",44,44,10.46,"Northeast",2020-02-13
"45",45,45,9.72,"Northeast",2020-02-14
"46",46,46,4.14,"Northeast",2020-02-15
"47",47,47,6.32,"Northeast",2020-02-16
"48",48,48,13.16,"Northeast",2020-02-17
"49",49,49,4.18,"Northeast",2020-02-18
"50",50,50,9.51,"Northeast",2020-02-19
"51",51,51,13.07,"Northeast",2020-02-20
"52",52,52,12.59,"Northeast",2020-02-21
"53",53,53,13.45,"Northeast",2020-02-22
"54",54,54,12.54,"Northeast",2020-02-23
"55",55,55,11.43,"Northeast",2020-02-24
"56",56,56,14.21,"Northeast",2020-02-25
"57",57,57,10.83,"Northeast",2020-02-26
"58",58,58,7.73,"Northeast",2020-02-27
"59",59,59,10.51,"Northeast",2020-02-28
"60",60,60,11.86,"Northeast",2020-02-29
"61",61,61,9.73,"Northeast",2020-03-01
"62",62,62,10.96,"Northeast",2020-03-02
"63",63,63,7.36,"Northeast",2020-03-03
"64",64,64,8.47,"Northeast",2020-03-04
"65",65,65,9.22,"Northeast",2020-03-05
"66",66,66,13.14,"Northeast",2020-03-06
"67",67,67,12.66,"Northeast",2020-03-07
"68",68,68,13.27,"Northeast",2020-03-08
"69",69,69,6.58,"Northeast",2020-03-09
"70",70,70,15.72,"Northeast",2020-03-10
"71",71,71,7.67,"Northeast",2020-03-11
"72",72,72,6.94,"Northeast",2020-03-12
"73",73,73,6.42,"Northeast",2020-03-13
"74",74,74,16.03,"Northeast",2020-03-14
"75",75,75,19.35,"Northeast",2020-03-15
"76",76,76,10.61,"Northeast",2020-03-16
"77",77,77,15.01,"Northeast",2020-03-17
"78",78,78,9.39,"Northeast",2020-03-18
"79",79,79,15.83,"Northeast",2020-03-19
"80",80,80,8.25,"Northeast",2020-03-20
"81",81,81,20.2,"Northeast",2020-03-21
"82",82,82,19.73,"Northeast",2020-03-22
"83",83,83,12.31,"Northeast",2020-03-23
"84",84,84,20.09,"Northeast",2020-03-24
"85",85,85,13.96,"Northeast",2020-03-25
"86",86,86,11.04,"Northeast",2020-03-26
"87",87,87,21.16,"Northeast",2020-03-27
"88",88,88,11.56,"Northeast",2020-03-28
"89",89,89,5.7,"Northeast",2020-03-29
"90",90,90,7.9,"Northeast",2020-03-30
"91",91,91,8.28,"Northeast",2020-03-31
"92",92,92,20.34,"Northeast",2020-04-01
"93",93,93,22.46,"Northeast",2020-04-02
"94",94,94,18.21,"Northeast",2020-04-03
"95",95,95,12.7,"Northeast",2020-04-04
"96",96,96,20.95,"Northeast",2020-04-05
"97",97,97,19.51,"Northeast",2020-04-06
"98",98,98,13.81,"Northeast",2020-04-07
"99",99,99,6.57,"Northeast",2020-04-08
"100",100,100,11.44,"Northeast",2020-04-09
"101",101,101,20.87,"Northeast",2020-04-10
"102",102,102,22.9,"Northeast",2020-04-11
"103",103,103,9.73,"Northeast",2020-04-12
"104",104,104,6.4,"Northeast",2020-04-13
"105",105,105,17.38,"Northeast",2020-04-14
"106",106,106,17.48,"Northeast",2020-04-15
"107",107,107,18.1,"Northeast",2020-04-16
"108",108,108,18.12,"Northeast",2020-04-17
"109",109,109,20.59,"Northeast",2020-04-18
"110",110,110,15.32,"Northeast",2020-04-19
"111",111,111,19.64,"Northeast",2020-04-20
