"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,5.3,"West",2020-01-01
"2",2,2,5.31,"West",2020-01-02
"3",3,3,2.81,"West",2020-01-03
"4",4,4,3.36,"West",2020-01-04
"5",5,5,5.88,"West",2020-01-05
"6",6,6,8.4,"West",2020-01-06
"7",7,7,7.03,"West",2020-01-07
"8",8,8,5.86,"West",2020-01-08
"9",9,9,5.91,"West",2020-01-09
"10",10,10,2.87,"West",2020-01-10
"11",11,11,2.07,"West",2020-01-11
"12",12,12,4.95,"West",2020-01-12
"13",13,13,3.59,"West",2020-01-13
"14",14,14,6.59,"West",2020-01-14
"15",15,15,7.83,"West",2020-01-15
"16",16,16,5.26,"West",2020-01-16
"17",17,17,8.89,"West",2020-01-17
"18",18,18,1.27,"West",2020-01-18
"19",19,19,3.95,"West",2020-01-19
"20",20,20,8.69,"West",2020-01-20
"21",21,21,4.48,"West",2020-01-21
"22",22,22,8.33,"West",2020-01-22
"23",23,23,5.45,"West",2020-01-23
"24",24,24,4.8,"West",2020-01-24
"25",25,25,4.09,"West",2020-01-25
"26",26,26,3.24,"West",2020-01-26
"27",27,27,4.98,"West",2020-01-27
"28",28,28,4.69,"West",2020-01-28
"29",29,29,5.29,"West",2020-01-29
"30",30,30,9.33,"West",2020-01-30
"31",31,31,4.41,"West",2020-01-31
"32",32,32,6.97,"West",2020-02-01
"33",33,33,2.48,"West",2020-02-02
"34",34,34,9.5,"West",2020-02-03
"35",35,35,2.76,"West",2020-02-04
"36",36,36,9.63,"West",2020-02-05
"37",37,37,2.7,"West",2020-02-06
"38",38,38,5.03,"West",2020-02-07
"39",39,39,5.62,"West",2020-02-08
"40",40,40,7.2,"West",2020-02-09
"41",41,41,6.5,"West",2020-02-10
"42",42,42,7.94,"West",2020-02-11
"43",43,43,8.35,"West",2020-02-12
"44",44,44,6.29,"West",2020-02-13
"45",45,45,9.34,"West",2020-02-14
"46",46,46,10.08,"West",2020-02-15
