"","X.1","X","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",1,1,3.27,"Niagara",2020-01-01
"2",2,2,5.9,"Niagara",2020-01-02
"3",3,3,1.53,"Niagara",2020-01-03
"4",4,4,2.58,"Niagara",2020-01-04
"5",5,5,4.07,"Niagara",2020-01-05
"6",6,6,6.3,"Niagara",2020-01-06
"7",7,7,5.85,"Niagara",2020-01-07
"8",8,8,5.14,"Niagara",2020-01-08
"9",9,9,6.56,"Niagara",2020-01-09
"10",10,10,1.99,"Niagara",2020-01-10
"11",11,11,2.43,"Niagara",2020-01-11
"12",12,12,3.16,"Niagara",2020-01-12
"13",13,13,3.27,"Niagara",2020-01-13
"14",14,14,6.55,"Niagara",2020-01-14
"15",15,15,6.43,"Niagara",2020-01-15
"16",16,16,5.1,"Niagara",2020-01-16
"17",17,17,7.37,"Niagara",2020-01-17
"18",18,18,1.29,"Niagara",2020-01-18
"19",19,19,2.99,"Niagara",2020-01-19
"20",20,20,8.73,"Niagara",2020-01-20
"21",21,21,3.8,"Niagara",2020-01-21
"22",22,22,8.43,"Niagara",2020-01-22
"23",23,23,6.26,"Niagara",2020-01-23
"24",24,24,5.84,"Niagara",2020-01-24
"25",25,25,2.88,"Niagara",2020-01-25
"26",26,26,2.49,"Niagara",2020-01-26
"27",27,27,4.85,"Niagara",2020-01-27
"28",28,28,4.46,"Niagara",2020-01-28
"29",29,29,5.52,"Niagara",2020-01-29
"30",30,30,10.15,"Niagara",2020-01-30
"31",31,31,3.71,"Niagara",2020-01-31
"32",32,32,6.58,"Niagara",2020-02-01
"33",33,33,2.09,"Niagara",2020-02-02
"34",34,34,10.22,"Niagara",2020-02-03
"35",35,35,2.45,"Niagara",2020-02-04
"36",36,36,10.14,"Niagara",2020-02-05
"37",37,37,2.62,"Niagara",2020-02-06
"38",38,38,5.85,"Niagara",2020-02-07
"39",39,39,6.59,"Niagara",2020-02-08
"40",40,40,8.34,"Niagara",2020-02-09
"41",41,41,6.13,"Niagara",2020-02-10
"42",42,42,7.19,"Niagara",2020-02-11
"43",43,43,8.96,"Niagara",2020-02-12
"44",44,44,5.52,"Niagara",2020-02-13
"45",45,45,10.07,"Niagara",2020-02-14
"46",46,46,10.45,"Niagara",2020-02-15
"47",47,47,6.65,"Niagara",2020-02-16
"48",48,48,11.44,"Niagara",2020-02-17
"49",49,49,4.01,"Niagara",2020-02-18
"50",50,50,8.91,"Niagara",2020-02-19
"51",51,51,9.77,"Niagara",2020-02-20
"52",52,52,12.71,"Niagara",2020-02-21
"53",53,53,13.17,"Niagara",2020-02-22
"54",54,54,14.96,"Niagara",2020-02-23
"55",55,55,11.13,"Niagara",2020-02-24
"56",56,56,7.35,"Niagara",2020-02-25
"57",57,57,3.99,"Niagara",2020-02-26
"58",58,58,8.27,"Niagara",2020-02-27
"59",59,59,9.31,"Niagara",2020-02-28
"60",60,60,11.62,"Niagara",2020-02-29
"61",61,61,11.96,"Niagara",2020-03-01
"62",62,62,4.45,"Niagara",2020-03-02
"63",63,63,4.03,"Niagara",2020-03-03
"64",64,64,6.47,"Niagara",2020-03-04
"65",65,65,17.52,"Niagara",2020-03-05
"66",66,66,5.46,"Niagara",2020-03-06
"67",67,67,18.85,"Niagara",2020-03-07
"68",68,68,17.74,"Niagara",2020-03-08
"69",69,69,16.24,"Niagara",2020-03-09
"70",70,70,4.6,"Niagara",2020-03-10
"71",71,71,11.29,"Niagara",2020-03-11
"72",72,72,10.43,"Niagara",2020-03-12
"73",73,73,13.34,"Niagara",2020-03-13
"74",74,74,7.65,"Niagara",2020-03-14
"75",75,75,20.19,"Niagara",2020-03-15
"76",76,76,18.23,"Niagara",2020-03-16
"77",77,77,7.98,"Niagara",2020-03-17
"78",78,78,11.69,"Niagara",2020-03-18
"79",79,79,8.69,"Niagara",2020-03-19
"80",80,80,10.22,"Niagara",2020-03-20
"81",81,81,18.31,"Niagara",2020-03-21
"82",82,82,20.54,"Niagara",2020-03-22
"83",83,83,4.73,"Niagara",2020-03-23
"84",84,84,8.89,"Niagara",2020-03-24
"85",85,85,17.58,"Niagara",2020-03-25
"86",86,86,15.27,"Niagara",2020-03-26
"87",87,87,17.36,"Niagara",2020-03-27
"88",88,88,5.13,"Niagara",2020-03-28
"89",89,89,14.76,"Niagara",2020-03-29
"90",90,90,6.26,"Niagara",2020-03-30
"91",91,91,11.11,"Niagara",2020-03-31
"92",92,92,23.17,"Niagara",2020-04-01
"93",93,93,22.62,"Niagara",2020-04-02
"94",94,94,19.29,"Niagara",2020-04-03
"95",95,95,19.81,"Niagara",2020-04-04
"96",96,96,14.1,"Niagara",2020-04-05
"97",97,97,22.79,"Niagara",2020-04-06
"98",98,98,11.39,"Niagara",2020-04-07
"99",99,99,15.48,"Niagara",2020-04-08
"100",100,100,14.9,"Niagara",2020-04-09
"101",101,101,11.85,"Niagara",2020-04-10
"102",102,102,23.77,"Niagara",2020-04-11
"103",103,103,11.1,"Niagara",2020-04-12
"104",104,104,4.57,"Niagara",2020-04-13
"105",105,105,19.31,"Niagara",2020-04-14
"106",106,106,16.06,"Niagara",2020-04-15
"107",107,107,17.68,"Niagara",2020-04-16
