"","ALLSKY_SFC_SW_DWN","Zone","DATE"
"1",4.66,"Southwest","2020-01-01"
"2",4.93,"Southwest","2020-01-02"
"3",3.26,"Southwest","2020-01-03"
"4",3.21,"Southwest","2020-01-04"
"5",3.52,"Southwest","2020-01-05"
"6",5.53,"Southwest","2020-01-06"
"7",5.69,"Southwest","2020-01-07"
"8",4.77,"Southwest","2020-01-08"
"9",3.84,"Southwest","2020-01-09"
"10",2.39,"Southwest","2020-01-10"
"11",1.75,"Southwest","2020-01-11"
"12",4.15,"Southwest","2020-01-12"
"13",2.15,"Southwest","2020-01-13"
"14",3.01,"Southwest","2020-01-14"
"15",3.84,"Southwest","2020-01-15"
"16",4.24,"Southwest","2020-01-16"
"17",4.83,"Southwest","2020-01-17"
"18",1.64,"Southwest","2020-01-18"
"19",4.46,"Southwest","2020-01-19"
"20",8.11,"Southwest","2020-01-20"
"21",7.2,"Southwest","2020-01-21"
"22",9.08,"Southwest","2020-01-22"
"23",6.22,"Southwest","2020-01-23"
"24",3.5,"Southwest","2020-01-24"
"25",3.44,"Southwest","2020-01-25"
"26",2.46,"Southwest","2020-01-26"
"27",3.24,"Southwest","2020-01-27"
"28",4.55,"Southwest","2020-01-28"
"29",7.08,"Southwest","2020-01-29"
"30",8.15,"Southwest","2020-01-30"
"31",4.55,"Southwest","2020-01-31"
"32",5.63,"Southwest","2020-02-01"
"33",2.56,"Southwest","2020-02-02"
"34",9.07,"Southwest","2020-02-03"
"35",3.81,"Southwest","2020-02-04"
"36",10.25,"Southwest","2020-02-05"
"37",4.15,"Southwest","2020-02-06"
"38",6.1,"Southwest","2020-02-07"
"39",9.75,"Southwest","2020-02-08"
"40",5.89,"Southwest","2020-02-09"
"41",6.26,"Southwest","2020-02-10"
"42",6.81,"Southwest","2020-02-11"
"43",8.78,"Southwest","2020-02-12"
"44",8.09,"Southwest","2020-02-13"
"45",8.62,"Southwest","2020-02-14"
"46",8.6,"Southwest","2020-02-15"
"47",9.52,"Southwest","2020-02-16"
"48",12.72,"Southwest","2020-02-17"
"49",5.26,"Southwest","2020-02-18"
"50",7.8,"Southwest","2020-02-19"
"51",8.44,"Southwest","2020-02-20"
"52",15.48,"Southwest","2020-02-21"
"53",15.12,"Southwest","2020-02-22"
"54",14.43,"Southwest","2020-02-23"
"55",12.59,"Southwest","2020-02-24"
"56",7.77,"Southwest","2020-02-25"
"57",2.58,"Southwest","2020-02-26"
"58",7.93,"Southwest","2020-02-27"
"59",9.33,"Southwest","2020-02-28"
"60",11.27,"Southwest","2020-02-29"
"61",6.64,"Southwest","2020-03-01"
"62",7.73,"Southwest","2020-03-02"
"63",5.68,"Southwest","2020-03-03"
"64",11.03,"Southwest","2020-03-04"
"65",16.53,"Southwest","2020-03-05"
"66",6.21,"Southwest","2020-03-06"
"67",18.25,"Southwest","2020-03-07"
"68",17.5,"Southwest","2020-03-08"
"69",11.39,"Southwest","2020-03-09"
"70",7.23,"Southwest","2020-03-10"
"71",10.95,"Southwest","2020-03-11"
"72",7.67,"Southwest","2020-03-12"
"73",11.09,"Southwest","2020-03-13"
"74",4.99,"Southwest","2020-03-14"
"75",20.42,"Southwest","2020-03-15"
"76",16.01,"Southwest","2020-03-16"
"77",13.82,"Southwest","2020-03-17"
"78",10.28,"Southwest","2020-03-18"
"79",7.74,"Southwest","2020-03-19"
"80",6.56,"Southwest","2020-03-20"
"81",22.08,"Southwest","2020-03-21"
"82",20.38,"Southwest","2020-03-22"
"83",7.43,"Southwest","2020-03-23"
"84",12.18,"Southwest","2020-03-24"
"85",15.85,"Southwest","2020-03-25"
"86",4.75,"Southwest","2020-03-26"
"87",15.37,"Southwest","2020-03-27"
"88",9.19,"Southwest","2020-03-28"
"89",10.1,"Southwest","2020-03-29"
"90",7.7,"Southwest","2020-03-30"
"91",10.25,"Southwest","2020-03-31"
"92",22.27,"Southwest","2020-04-01"
"93",23.57,"Southwest","2020-04-02"
"94",23.43,"Southwest","2020-04-03"
"95",21.06,"Southwest","2020-04-04"
"96",14.24,"Southwest","2020-04-05"
"97",21.68,"Southwest","2020-04-06"
"98",7.6,"Southwest","2020-04-07"
"99",17.31,"Southwest","2020-04-08"
"100",18.74,"Southwest","2020-04-09"
"101",19.57,"Southwest","2020-04-10"
"102",23.46,"Southwest","2020-04-11"
"103",13.35,"Southwest","2020-04-12"
"104",9.87,"Southwest","2020-04-13"
"105",17.74,"Southwest","2020-04-14"
"106",19.37,"Southwest","2020-04-15"
"107",18.36,"Southwest","2020-04-16"
"108",12.9,"Southwest","2020-04-17"
"109",22.68,"Southwest","2020-04-18"
"110",13.95,"Southwest","2020-04-19"
"111",26.02,"Southwest","2020-04-20"
"112",15.74,"Southwest","2020-04-21"
"113",20.84,"Southwest","2020-04-22"
"114",10.55,"Southwest","2020-04-23"
"115",13.13,"Southwest","2020-04-24"
"116",23.48,"Southwest","2020-04-25"
"117",17.71,"Southwest","2020-04-26"
"118",26.12,"Southwest","2020-04-27"
"119",17.21,"Southwest","2020-04-28"
"120",5.35,"Southwest","2020-04-29"
"121",11.8,"Southwest","2020-04-30"
"122",23.1,"Southwest","2020-05-01"
"123",12.05,"Southwest","2020-05-02"
"124",27.69,"Southwest","2020-05-03"
"125",21.57,"Southwest","2020-05-04"
"126",19.78,"Southwest","2020-05-05"
"127",28.46,"Southwest","2020-05-06"
"128",22.99,"Southwest","2020-05-07"
"129",22.57,"Southwest","2020-05-08"
"130",17.94,"Southwest","2020-05-09"
"131",11.83,"Southwest","2020-05-10"
"132",16.45,"Southwest","2020-05-11"
"133",27.98,"Southwest","2020-05-12"
"134",30.6,"Southwest","2020-05-13"
"135",7.35,"Southwest","2020-05-14"
"136",11.49,"Southwest","2020-05-15"
"137",23.69,"Southwest","2020-05-16"
"138",8.36,"Southwest","2020-05-17"
"139",5.67,"Southwest","2020-05-18"
"140",17.5,"Southwest","2020-05-19"
"141",30.29,"Southwest","2020-05-20"
"142",29.5,"Southwest","2020-05-21"
"143",23.13,"Southwest","2020-05-22"
"144",21.88,"Southwest","2020-05-23"
"145",20.98,"Southwest","2020-05-24"
"146",24.53,"Southwest","2020-05-25"
"147",26.04,"Southwest","2020-05-26"
"148",20.9,"Southwest","2020-05-27"
"149",12.52,"Southwest","2020-05-28"
"150",12,"Southwest","2020-05-29"
"151",16.02,"Southwest","2020-05-30"
"152",28.07,"Southwest","2020-05-31"
"153",29.89,"Southwest","2020-06-01"
"154",27.04,"Southwest","2020-06-02"
"155",24.75,"Southwest","2020-06-03"
"156",26.61,"Southwest","2020-06-04"
"157",24.44,"Southwest","2020-06-05"
"158",29.9,"Southwest","2020-06-06"
"159",29.81,"Southwest","2020-06-07"
"160",29.81,"Southwest","2020-06-08"
"161",28.24,"Southwest","2020-06-09"
"162",21.82,"Southwest","2020-06-10"
"163",28.59,"Southwest","2020-06-11"
"164",29.81,"Southwest","2020-06-12"
"165",31.87,"Southwest","2020-06-13"
"166",31.74,"Southwest","2020-06-14"
"167",30.1,"Southwest","2020-06-15"
"168",30.39,"Southwest","2020-06-16"
"169",30.54,"Southwest","2020-06-17"
"170",29.4,"Southwest","2020-06-18"
"171",25.31,"Southwest","2020-06-19"
"172",27.69,"Southwest","2020-06-20"
"173",20.84,"Southwest","2020-06-21"
"174",15.19,"Southwest","2020-06-22"
"175",11.22,"Southwest","2020-06-23"
"176",20.91,"Southwest","2020-06-24"
"177",25.68,"Southwest","2020-06-25"
"178",26.2,"Southwest","2020-06-26"
"179",19.44,"Southwest","2020-06-27"
"180",29.98,"Southwest","2020-06-28"
"181",29.93,"Southwest","2020-06-29"
"182",28.69,"Southwest","2020-06-30"
"183",27.75,"Southwest","2020-07-01"
"184",28.88,"Southwest","2020-07-02"
"185",28.84,"Southwest","2020-07-03"
"186",28.09,"Southwest","2020-07-04"
"187",28.32,"Southwest","2020-07-05"
"188",28.45,"Southwest","2020-07-06"
"189",26.4,"Southwest","2020-07-07"
"190",26.81,"Southwest","2020-07-08"
"191",24.68,"Southwest","2020-07-09"
"192",17.97,"Southwest","2020-07-10"
"193",19.03,"Southwest","2020-07-11"
"194",19.9,"Southwest","2020-07-12"
"195",23.41,"Southwest","2020-07-13"
"196",25.96,"Southwest","2020-07-14"
"197",24.88,"Southwest","2020-07-15"
"198",9.03,"Southwest","2020-07-16"
"199",26.14,"Southwest","2020-07-17"
"200",26.13,"Southwest","2020-07-18"
"201",10.04,"Southwest","2020-07-19"
"202",25.96,"Southwest","2020-07-20"
"203",17.29,"Southwest","2020-07-21"
"204",14.34,"Southwest","2020-07-22"
"205",23.7,"Southwest","2020-07-23"
"206",25.83,"Southwest","2020-07-24"
"207",26.14,"Southwest","2020-07-25"
"208",25.39,"Southwest","2020-07-26"
"209",15.55,"Southwest","2020-07-27"
"210",26.48,"Southwest","2020-07-28"
"211",23.19,"Southwest","2020-07-29"
"212",25.1,"Southwest","2020-07-30"
"213",24.96,"Southwest","2020-07-31"
"214",19.25,"Southwest","2020-08-01"
"215",9.35,"Southwest","2020-08-02"
"216",13.12,"Southwest","2020-08-03"
"217",14.64,"Southwest","2020-08-04"
"218",26.32,"Southwest","2020-08-05"
"219",24.74,"Southwest","2020-08-06"
"220",25.49,"Southwest","2020-08-07"
"221",25.34,"Southwest","2020-08-08"
