"","Name","longitude","latitude","Zone"
"1",PICKLE LAKE A,-90.2141666666667,51.4463888888889,Northwest
"2",RED LAKE A,-93.7930555555556,51.0669444444444,Northwest
"3",BARWICK,-93.9666666666667,48.6333333333333,Northwest
"4",FORT FRANCES A,-93.4333333333333,48.65,Northwest
"5",MINE CENTRE,-92.6166666666667,48.7666666666667,Northwest
"6",EMO RADBOURNE,-93.8333333333333,48.6833333333333,Northwest
"7",DRYDEN A,-92.75,49.8333333333333,Northwest
"8",KENORA A,-94.3652786111111,49.7902791666667,Northwest
"9",RAWSON LAKE,-93.7166666666667,49.65,Northwest
"10",SIOUX LOOKOUT A,-91.9,50.1166666666667,Northwest
"11",GERALDTON A,-86.9305694444444,49.7828027777778,Northwest
"12",FLINT,-89.6833333333333,48.35,Northwest
"13",WHITEFISH LAKE,-89.9166666666667,48.2833333333333,Northwest
"14",SAULT STE MARIE A,-84.5094444444444,46.4833333333333,Northeast
"15",WAWA A,-84.7833333333333,47.9666666666667,Northeast
"16",CHAPLEAU A,-83.3466666666667,47.82,Northeast
"17",CONISTON STP,-80.85,46.4833333333333,Northeast
"18",MASSEY,-82.0247283333333,46.19308,Northeast
"19",SUDBURY A,-80.7977777777778,46.6255555555556,Northeast
"20",EARLTON A,-79.85,47.7,Northeast
"21",KAPUSKASING CDA,-82.4333333333333,49.4,Northeast
"22",KAPUSKASING A,-82.4675,49.4138888888889,Northeast
"23",MOOSONEE UA,-80.65,51.2666666666667,Northeast
"24",TIMMINS VICTOR POWER A,-81.3766666666667,48.5697222222222,Northeast
"25",DWIGHT,-78.9,45.3833333333333,Essa
"26",NORTH BAY A,-79.4227777777778,46.3636111111111,Northeast
"27",AVONMORE,-74.97084,45.1700116666667,East
"28",BROCKVILLE PCC,-75.6666666666667,44.6,East
"29",CHALK RIVER AECL,-77.3666666666667,46.05,Essa
"30",COMBERMERE,-77.6166666666667,45.3666666666667,East
"31",CORNWALL,-74.7489,45.0155783333333,East
"32",DALHOUSIE MILLS,-74.4666666666667,45.3166666666667,East
"33",DRUMMOND CENTRE,-76.252805,45.032245,East
"34",HARTINGTON IHD,-76.6903016666667,44.4280633333333,East
"35",KINGSTON PUMPING STATION,-76.4805666666667,44.2439033333333,East
"36",LYNDHURST SHAWMERE,-76.0833333333333,44.5166666666667,East
"37",MORRISBURG,-75.1883433333333,44.9236183333333,East
"38",OTTAWA CDA,-75.7166666666667,45.3833333333333,Ottawa
"39",OTTAWA MACDONALD-CARTIER INT'L A,-75.6691666666667,45.3225,Ottawa
"40",RUSSELL,-75.3594533333333,45.26278,Ottawa
"41",ST. ALBERT,-75.0636183333333,45.2872233333333,Ottawa
"42",ALLISTON NELSON,-79.8722466666667,44.1513966666667,Southwest
"43",BARRIE WPCC,-79.689725,44.3758366666667,Essa
"44",BEATRICE 2,-79.4,45.1333333333333,Essa
"45",CHATSWORTH,-80.9055577777778,44.395015,Southwest
"46",COOKSTOWN,-79.6947466666667,44.2066783333333,Essa
"47",DORSET MOE,-78.9333333333333,45.2166666666667,Essa
"48",DUNCHURCH,-79.8833333333333,45.6166666666667,Northeast
"49",DURHAM,-80.8166666666667,44.1833333333333,Southwest
"50",HANOVER,-81.005845,44.116405,Southwest
"51",MUSKOKA A,-79.3,44.9666666666667,Essa
"52",OWEN SOUND MOE,-80.9333333333333,44.5833333333333,Southwest
"53",POWASSAN,-79.25,46.1166666666667,Northeast
"54",PROTON STATION,-80.5166666666667,44.1666666666667,Southwest
"55",SHANTY BAY,-79.6327983333333,44.3994583333333,Essa
"56",WIARTON A,-81.1072222222222,44.7458333333333,Southwest
"57",THORNBURY SLAMA,-80.4852966666667,44.57362,Southwest
"58",BLYTH,-81.3836333333333,43.71834,Southwest
"59",EXETER,-81.5,43.35,Southwest
"60",PETROLIA TOWN,-82.1666666666667,42.8833333333333,West
"61",SARNIA AIRPORT,-82.3047466666667,42.9922383333333,West
"62",TARA,-81.1569611111111,44.5194666666667,Bruce
"63",CHATHAM WPCP,-82.21528,42.3900066666667,West
"64",FORT ERIE,-78.9666666666667,42.8833333333333,Niagara
"65",KINGSVILLE MOE,-82.6739133333333,42.0430733333333,West
"66",NEW GLASGOW,-81.6361366666667,42.5144616666667,West
"67",NIAGARA FALLS NPCSH,-79.05,43.1333333333333,Niagara
"68",PORT COLBORNE,-79.25,42.8833333333333,Niagara
"69",RIDGEVILLE,-79.325,43.0416666666667,Niagara
"70",ST THOMAS WPCP,-81.2050116666667,42.768335,West
"71",VINELAND RITTENHOUSE,-79.4166666666667,43.1666666666667,Niagara
"72",WELLAND,-79.2611383333333,42.9925266666667,Niagara
"73",WINDSOR A,-82.9555555555555,42.2755555555556,West
"74",BRANTFORD MOE,-80.2333333333333,43.1333333333333,Southwest
"75",CULLODEN EASEY,-80.8466833333333,42.8894555555556,West
"76",FERGUS SHAND DAM,-80.330305,43.7347466666667,Southwest
"77",FOLDENS,-80.7808433333333,43.018355,Southwest
