\\Hourly Demand Report,,,
\\Created at 2022-01-30 07:30:14,,,
\\For 2022,,,
Date,Hour,Market Demand,Ontario Demand
2022-01-01,1,15150,13543
2022-01-01,2,15344,13254
2022-01-01,3,14686,12683
2022-01-01,4,14400,12491
2022-01-01,5,14043,12493
2022-01-01,6,14585,12586
2022-01-01,7,14688,12772
2022-01-01,8,15113,12915
2022-01-01,9,15010,13265
2022-01-01,10,15644,13861
2022-01-01,11,16610,14626
2022-01-01,12,17183,15060
2022-01-01,13,17587,15620
2022-01-01,14,17605,15540
2022-01-01,15,17733,15465
2022-01-01,16,17734,15615
2022-01-01,17,18593,16234
2022-01-01,18,19557,16955
2022-01-01,19,18823,16581
2022-01-01,20,18503,16327
2022-01-01,21,18251,16013
2022-01-01,22,17715,15409
2022-01-01,23,17106,14813
2022-01-01,24,16955,14173
2022-01-02,1,16630,13839
2022-01-02,2,16696,13536
2022-01-02,3,16364,13318
2022-01-02,4,16430,13292
2022-01-02,5,16400,13330
2022-01-02,6,16617,13574
2022-01-02,7,16557,13911
2022-01-02,8,16949,14615
2022-01-02,9,17102,15089
2022-01-02,10,17899,15779
2022-01-02,11,18755,16348
2022-01-02,12,19038,16774
2022-01-02,13,19159,16927
2022-01-02,14,19374,17061
2022-01-02,15,19401,16943
2022-01-02,16,19650,17163
2022-01-02,17,20434,17834
2022-01-02,18,21673,18923
2022-01-02,19,21491,18731
2022-01-02,20,20958,18252
2022-01-02,21,20529,17819
2022-01-02,22,20155,17427
2022-01-02,23,19282,16725
2022-01-02,24,18433,15918
2022-01-03,1,17577,15340
2022-01-03,2,17102,15030
2022-01-03,3,17107,14987
2022-01-03,4,17005,14920
2022-01-03,5,17139,15058
2022-01-03,6,17601,15419
2022-01-03,7,18859,16283
2022-01-03,8,20000,17543
2022-01-03,9,20368,18020
2022-01-03,10,20551,18286
2022-01-03,11,20818,18311
2022-01-03,12,20556,18113
2022-01-03,13,20267,17753
2022-01-03,14,20009,17749
2022-01-03,15,19810,17721
2022-01-03,16,20484,18167
2022-01-03,17,21228,19040
2022-01-03,18,22525,20051
2022-01-03,19,21982,19548
2022-01-03,20,20936,18870
2022-01-03,21,20354,18325
2022-01-03,22,19508,17677
2022-01-03,23,18561,16626
2022-01-03,24,18106,15780
2022-01-04,1,18061,15542
2022-01-04,2,17182,14939
2022-01-04,3,17120,14617
2022-01-04,4,17397,14699
2022-01-04,5,17783,14723
2022-01-04,6,18683,15403
2022-01-04,7,19521,16435
2022-01-04,8,20420,17301
2022-01-04,9,20804,17777
2022-01-04,10,20928,17810
2022-01-04,11,20068,17685
2022-01-04,12,19817,17640
2022-01-04,13,19847,17643
2022-01-04,14,19345,17213
2022-01-04,15,19368,17163
2022-01-04,16,20185,17786
2022-01-04,17,20879,18420
2022-01-04,18,21895,19409
2022-01-04,19,21553,18775
2022-01-04,20,20945,18344
2022-01-04,21,20267,17691
2022-01-04,22,19487,16921
2022-01-04,23,18416,16084
2022-01-04,24,17576,15177
