"","Date","Ontario.Demand","Northwest","Northeast","Ottawa","East","Toronto","Essa","Bruce","Southwest","Niagara","West"
"1","2020-01-01",338635,13274,29025,23646,22881,119575,23611,1598,66390,10312,32135
"2","2020-01-02",362851,13586,30697,24853,23014,130467,23626,1424,72993,10644,34973
"3","2020-01-03",369581,13775,30826,24480,22934,130287,23727,1797,74604,10934,38730
"4","2020-01-04",361837,13527,31054,23988,23893,126685,23810,1754,71764,11320,37529
"5","2020-01-05",359681,13931,31889,25065,23233,126150,24126,1696,70500,11130,35314
"6","2020-01-06",388047,13481,31980,28425,25327,140352,25539,1455,76254,11417,36457
"7","2020-01-07",390269,14617,30958,26514,24412,141818,25470,1644,77543,11613,39179
"8","2020-01-08",405317,14827,34396,27151,24702,146233,26997,1632,79759,12120,40209
"9","2020-01-09",418122,14630,35950,29262,27416,149552,29189,1646,81415,12338,40017
"10","2020-01-10",391778,13897,32625,27602,25329,141016,24918,1625,77250,11528,38363
"11","2020-01-11",371135,15196,34179,25288,23850,128854,24485,1763,72748,11223,35215
"12","2020-01-12",385077,14817,34302,26013,26336,132216,26695,2326,74345,11521,38049
"13","2020-01-13",411467,13899,35145,28114,27713,145351,27261,2498,79857,12223,40931
"14","2020-01-14",402629,14035,33904,27781,27215,143932,26404,2133,79593,11786,39587
"15","2020-01-15",396283,13468,32533,26772,25918,141848,25360,1843,79336,11933,39920
"16","2020-01-16",401285,14587,33599,27472,26685,143629,26425,1618,80737,12188,38434
"17","2020-01-17",426638,14772,35205,29653,29646,149964,29546,2386,83161,12951,41588
"18","2020-01-18",407684,14262,34021,30074,30403,141911,28834,2739,78059,12394,36447
"19","2020-01-19",391387,14775,33047,27904,28687,136355,27524,2906,74535,11827,36950
"20","2020-01-20",421821,14269,34120,28808,28766,151772,29111,3095,82187,12833,41553
"21","2020-01-21",418194,13192,33821,28969,28884,151401,29458,3477,81027,12683,40590
"22","2020-01-22",408436,13571,32402,27038,26073,149010,27431,3908,79813,12471,39656
"23","2020-01-23",400738,13632,32012,26158,24856,145377,25994,2995,79169,12126,41924
"24","2020-01-24",385809,13228,32316,25684,22905,142633,24209,2922,76506,11587,38921
"25","2020-01-25",374600,13016,32609,25241,24643,133316,24423,2767,72070,11253,37845
"26","2020-01-26",365586,14179,31883,24145,23659,129140,23531,2819,71427,11223,36216
"27","2020-01-27",395676,13911,32073,25025,23902,142643,25282,3025,78548,12196,41652
"28","2020-01-28",401621,13702,33711,25954,24076,144070,25573,3079,80455,12091,42763
"29","2020-01-29",404735,12609,33280,26608,23032,146901,25801,3188,81480,12302,43108
"30","2020-01-30",412524,13653,34112,27262,25167,148190,27316,2901,81579,12554,43051
"31","2020-01-31",409132,13747,33886,27682,26255,146428,27219,2027,80055,12253,42641
"32","2020-02-01",376088,13490,32119,25963,24636,134552,25370,1763,71806,11566,39161
"33","2020-02-02",366939,14099,31886,25059,23796,131369,24122,1745,71251,11350,34807
"34","2020-02-03",378797,13582,31634,24895,22513,138833,23237,2225,75104,11427,38876
"35","2020-02-04",389559,14065,31738,25401,22598,142165,24441,2933,78757,11772,40268
"36","2020-02-05",397843,14771,32829,26045,21929,146041,25355,3044,79957,11989,40482
"37","2020-02-06",411746,14117,32659,27407,27041,148601,27355,1998,81091,12384,41875
"38","2020-02-07",411074,14465,33166,27605,26933,148894,27448,1859,80025,12564,40579
"39","2020-02-08",403304,15486,34259,28170,27499,140979,28621,2253,77068,12151,39474
"40","2020-02-09",390531,14063,34012,27894,28226,136768,27378,1884,74773,11565,37311
"41","2020-02-10",397206,13846,32289,26403,24547,143577,25837,1974,77858,12518,40885
"42","2020-02-11",389183,13551,32505,26059,23257,143178,25032,1910,75891,12585,40038
"43","2020-02-12",387492,14540,32181,25080,21354,142658,24524,1789,75798,12594,41031
"44","2020-02-13",408658,15388,33383,27234,24822,148745,27974,2091,78681,13041,41522
"45","2020-02-14",426344,15596,35191,29199,26173,153677,30927,2499,82596,13735,41542
"46","2020-02-15",386545,14677,34370,27146,24440,139479,27179,2798,72438,12259,36755
"47","2020-02-16",357473,14124,32523,23853,21860,127721,24807,2856,67092,11536,35214
"48","2020-02-17",361327,14431,32574,24863,20133,128743,24068,2289,69663,11866,36820
"49","2020-02-18",393991,14065,33508,27763,24628,143667,27124,1644,74916,12611,37865
"50","2020-02-19",395359,14720,32577,26164,20713,146016,27358,1889,76953,13127,38948
"51","2020-02-20",408349,14715,33361,27302,22989,148532,29414,2153,79832,13114,40662
"52","2020-02-21",390581,12923,32411,26879,22625,146533,27330,1740,76050,12183,37947
"53","2020-02-22",350701,12893,29265,23865,19881,131354,23130,1609,69406,10836,33139
"54","2020-02-23",333000,13314,28211,22344,19296,124373,21725,1531,65816,10333,31582
"55","2020-02-24",365112,12973,28789,22623,18957,136242,22766,1813,73586,11273,38692
"56","2020-02-25",378661,13788,29506,23778,21745,140998,24323,1761,75351,11705,39252
"57","2020-02-26",395614,13598,32041,24840,24312,145686,27371,1808,77800,12158,39643
"58","2020-02-27",401546,14423,33115,26289,24744,148290,28342,1690,77621,12066,38330
"59","2020-02-28",403751,14567,33298,26977,25071,149764,29057,1823,76359,12031,38160
"60","2020-02-29",383046,13964,32696,25935,24771,138763,28621,1917,72634,11695,36155
"61","2020-03-01",365941,13391,32591,24465,22789,131813,26209,1801,68951,11010,35212
"62","2020-03-02",379386,12217,30927,25426,23665,140644,25195,1765,73677,11668,37779
"63","2020-03-03",386217,13410,30688,24378,22795,142771,25972,1963,75603,11728,39110
"64","2020-03-04",375838,13145,29493,24542,21261,140062,24958,1775,72599,11496,38503
"65","2020-03-05",371054,13825,29988,24502,20562,137680,23374,1894,73088,11285,37447
"66","2020-03-06",381843,13856,30650,24912,22081,140643,24388,1726,74960,12024,38627
"67","2020-03-07",353360,13240,31355,23228,19636,129157,22698,1868,68999,10848,34801
"68","2020-03-08",328087,13118,30311,21878,18829,121442,19818,1370,63846,10100,30630
"69","2020-03-09",345524,12000,30228,22565,18225,130513,20731,1325,68410,10423,33749
"70","2020-03-10",360643,11329,29959,24423,21577,132895,22273,1563,70883,10699,36445
"71","2020-03-11",377682,11578,32009,24344,22447,139066,23790,1967,73589,11412,38718
"72","2020-03-12",367190,11426,31215,23620,20326,136812,21643,1676,73071,11052,38556
"73","2020-03-13",359640,12890,31431,24343,20866,134818,22600,1382,70660,10643,32943
"74","2020-03-14",351512,12727,30494,22454,18470,127815,22703,1875,69530,11028,37212
"75","2020-03-15",338808,13311,31012,22236,18798,123846,21252,1870,65842,10166,33445
"76","2020-03-16",368305,12930,32235,24175,20332,135971,22641,1811,72706,11193,37849
"77","2020-03-17",367187,12789,30768,24319,21747,136214,22448,1688,72653,11125,37204
"78","2020-03-18",367632,12408,31356,23253,20725,135014,22829,1870,74057,11125,38616
"79","2020-03-19",364782,13001,30244,23340,21712,133653,22278,1863,73704,10954,37910
"80","2020-03-20",347391,12969,31276,23165,20189,127909,22344,1530,67714,9928,33338
"81","2020-03-21",348069,13367,31108,23627,19126,125231,22238,1996,66889,10060,35517
"82","2020-03-22",342501,13288,31133,22488,18818,124467,21209,2042,65479,9900,34701
"83","2020-03-23",372177,12432,29960,24071,23363,135264,24135,3182,72281,10893,37922
"84","2020-03-24",350165,11502,29319,22776,20551,128825,21842,3091,68910,10571,36542
"85","2020-03-25",339675,11306,29402,22670,20865,125692,21333,1804,65787,9968,33303
"86","2020-03-26",338085,11178,29901,22404,20067,124504,21620,1683,65645,9534,33092
"87","2020-03-27",331418,12024,28487,21250,18157,121668,19665,1805,65145,9497,34483
"88","2020-03-28",323565,12108,28532,21350,20565,117031,20566,1653,61369,9398,32895
"89","2020-03-29",312860,11883,28736,21772,20810,114296,20148,1314,58539,8830,28724
"90","2020-03-30",334579,11718,27896,22066,19876,123300,20917,1676,64769,9771,33309
"91","2020-03-31",338273,11755,27558,21757,19179,125243,21254,1875,66875,10022,35137
"92","2020-04-01",322186,11210,25539,21749,18386,121220,19032,2419,63106,9230,32811
"93","2020-04-02",310991,11577,24865,21363,16401,118215,18107,1816,61014,8896,30328
"94","2020-04-03",318327,11992,24473,21522,19947,118934,19954,1837,61666,9250,30135
"95","2020-04-04",302012,12487,24896,18388,16287,111427,19239,1853,59288,8915,30662
"96","2020-04-05",297120,11747,24624,19452,18023,108965,18871,1933,57174,8710,30049
"97","2020-04-06",312463,11585,25423,19242,15730,118392,18639,1964,62053,9247,31706
"98","2020-04-07",312688,11640,25342,19014,16052,118124,18541,1921,61602,9312,32890
