Name,longitude,latitude,West,Ottawa,Northwest,Essa,Toronto,Northeast,Bruce,Southwest,Niagara,East
PICKLE LAKE A,-90.21416666666669,51.4463888888889,False,False,True,False,False,False,False,False,False,False
RED LAKE A,-93.79305555555561,51.0669444444444,False,False,True,False,False,False,False,False,False,False
BARWICK,-93.9666666666667,48.6333333333333,False,False,False,False,False,False,False,False,False,False
FORT FRANCES A,-93.43333333333331,48.65,False,False,True,False,False,False,False,False,False,False
MINE CENTRE,-92.6166666666667,48.7666666666667,False,False,True,False,False,False,False,False,False,False
EMO RADBOURNE,-93.8333333333333,48.6833333333333,False,False,True,False,False,False,False,False,False,False
DRYDEN A,-92.74999999999999,49.8333333333333,False,False,True,False,False,False,False,False,False,False
KENORA A,-94.3652786111111,49.7902791666667,False,False,True,False,False,False,False,False,False,False
RAWSON LAKE,-93.7166666666667,49.65,False,False,True,False,False,False,False,False,False,False
SIOUX LOOKOUT A,-91.89999999999999,50.1166666666667,False,False,True,False,False,False,False,False,False,False
GERALDTON A,-86.9305694444444,49.7828027777778,False,False,True,False,False,False,False,False,False,False
FLINT,-89.6833333333333,48.35,False,False,True,False,False,False,False,False,False,False
WHITEFISH LAKE,-89.9166666666667,48.2833333333333,False,False,True,False,False,False,False,False,False,False
SAULT STE MARIE A,-84.5094444444444,46.4833333333333,False,False,False,False,False,True,False,False,False,False
WAWA A,-84.7833333333333,47.9666666666667,False,False,False,False,False,True,False,False,False,False
CHAPLEAU A,-83.3466666666667,47.82,False,False,False,False,False,True,False,False,False,False
CONISTON STP,-80.85,46.4833333333333,False,False,False,False,False,True,False,False,False,False
MASSEY,-82.0247283333333,46.19308000000001,False,False,False,False,False,True,False,False,False,False
SUDBURY A,-80.7977777777778,46.6255555555556,False,False,False,False,False,True,False,False,False,False
EARLTON A,-79.85,47.7,False,False,False,False,False,True,False,False,False,False
KAPUSKASING CDA,-82.4333333333333,49.4,False,False,False,False,False,True,False,False,False,False
KAPUSKASING A,-82.4675,49.4138888888889,False,False,False,False,False,True,False,False,False,False
MOOSONEE UA,-80.65,51.2666666666667,False,False,False,False,False,True,False,False,False,False
TIMMINS VICTOR POWER A,-81.3766666666667,48.5697222222222,False,False,False,False,False,True,False,False,False,False
DWIGHT,-78.9,45.3833333333333,False,False,False,True,False,False,False,False,False,False
NORTH BAY A,-79.4227777777778,46.3636111111111,False,False,False,False,False,True,False,False,False,False
AVONMORE,-74.97084,45.17001166666671,False,False,False,False,False,False,False,False,False,True
BROCKVILLE PCC,-75.6666666666667,44.6,False,False,False,False,False,False,False,False,False,True
CHALK RIVER AECL,-77.3666666666667,46.05,False,False,False,True,False,False,False,False,False,False
COMBERMERE,-77.6166666666667,45.3666666666667,False,False,False,False,False,False,False,False,False,True
CORNWALL,-74.7489,45.0155783333333,False,False,False,False,False,False,False,False,False,True
DALHOUSIE MILLS,-74.4666666666667,45.31666666666671,False,False,False,False,False,False,False,False,False,True
DRUMMOND CENTRE,-76.252805,45.03224500000001,False,False,False,False,False,False,False,False,False,True
HARTINGTON IHD,-76.6903016666667,44.4280633333333,False,False,False,False,False,False,False,False,False,True
KINGSTON PUMPING STATION,-76.4805666666667,44.2439033333333,False,False,False,False,False,False,False,False,False,True
LYNDHURST SHAWMERE,-76.0833333333333,44.5166666666667,False,False,False,False,False,False,False,False,False,True
MORRISBURG,-75.1883433333333,44.9236183333333,False,False,False,False,False,False,False,False,False,True
OTTAWA CDA,-75.7166666666667,45.3833333333333,False,True,False,False,False,False,False,False,False,False
OTTAWA MACDONALD-CARTIER INT'L A,-75.6691666666667,45.32249999999999,False,True,False,False,False,False,False,False,False,False
RUSSELL,-75.3594533333333,45.26278,False,True,False,False,False,False,False,False,False,False
ST. ALBERT,-75.0636183333333,45.2872233333333,False,True,False,False,False,False,False,False,False,False
ALLISTON NELSON,-79.8722466666667,44.1513966666667,False,False,False,False,False,False,False,True,False,False
BARRIE WPCC,-79.689725,44.3758366666667,False,False,False,True,False,False,False,False,False,False
BEATRICE 2,-79.4,45.1333333333333,False,False,False,True,False,False,False,False,False,False
CHATSWORTH,-80.9055577777778,44.395015,False,False,False,False,False,False,False,True,False,False
COOKSTOWN,-79.6947466666667,44.2066783333333,False,False,False,True,False,False,False,False,False,False
DORSET MOE,-78.9333333333333,45.2166666666667,False,False,False,True,False,False,False,False,False,False
DUNCHURCH,-79.8833333333333,45.6166666666667,False,False,False,False,False,True,False,False,False,False
DURHAM,-80.8166666666667,44.1833333333333,False,False,False,False,False,False,False,True,False,False
HANOVER,-81.005845,44.116405,False,False,False,False,False,False,False,True,False,False
MUSKOKA A,-79.3,44.9666666666667,False,False,False,True,False,False,False,False,False,False
OWEN SOUND MOE,-80.9333333333333,44.5833333333333,False,False,False,False,False,False,False,True,False,False
POWASSAN,-79.25,46.1166666666667,False,False,False,False,False,True,False,False,False,False
PROTON STATION,-80.5166666666667,44.1666666666667,False,False,False,False,False,False,False,True,False,False
SHANTY BAY,-79.6327983333333,44.3994583333333,False,False,False,True,False,False,False,False,False,False
WIARTON A,-81.1072222222222,44.7458333333333,False,False,False,False,False,False,False,True,False,False
THORNBURY SLAMA,-80.4852966666667,44.57362,False,False,False,False,False,False,False,True,False,False
BLYTH,-81.3836333333333,43.71834,False,False,False,False,False,False,False,True,False,False
EXETER,-81.5,43.35,False,False,False,False,False,False,False,True,False,False
PETROLIA TOWN,-82.1666666666667,42.8833333333333,True,False,False,False,False,False,False,False,False,False
SARNIA AIRPORT,-82.3047466666667,42.9922383333333,True,False,False,False,False,False,False,False,False,False
TARA,-81.1569611111111,44.5194666666667,False,False,False,False,False,False,True,False,False,False
CHATHAM WPCP,-82.21528,42.3900066666667,True,False,False,False,False,False,False,False,False,False
FORT ERIE,-78.9666666666667,42.8833333333333,False,False,False,False,False,False,False,False,True,False
KINGSVILLE MOE,-82.6739133333333,42.0430733333333,True,False,False,False,False,False,False,False,False,False
NEW GLASGOW,-81.6361366666667,42.5144616666667,True,False,False,False,False,False,False,False,False,False
NIAGARA FALLS NPCSH,-79.05,43.1333333333333,False,False,False,False,False,False,False,False,True,False
PORT COLBORNE,-79.25,42.8833333333333,False,False,False,False,False,False,False,False,True,False
RIDGEVILLE,-79.325,43.0416666666667,False,False,False,False,False,False,False,False,True,False
ST THOMAS WPCP,-81.2050116666667,42.768335,True,False,False,False,False,False,False,False,False,False
VINELAND RITTENHOUSE,-79.4166666666667,43.1666666666667,False,False,False,False,False,False,False,False,True,False
WELLAND,-79.2611383333333,42.9925266666667,False,False,False,False,False,False,False,False,True,False
WINDSOR A,-82.9555555555555,42.2755555555556,True,False,False,False,False,False,False,False,False,False
BRANTFORD MOE,-80.2333333333333,43.1333333333333,False,False,False,False,False,False,False,True,False,False
CULLODEN EASEY,-80.8466833333333,42.8894555555556,True,False,False,False,False,False,False,False,False,False
FERGUS SHAND DAM,-80.330305,43.7347466666667,False,False,False,False,False,False,False,True,False,False
FOLDENS,-80.7808433333333,43.018355,False,False,False,False,False,False,False,True,False,False
GLEN ALLAN,-80.7103016666667,43.683905,False,False,False,False,False,False,False,True,False,False
ILDERTON BEAR CREEK,-81.4333333333333,43.05,True,False,False,False,False,False,False,False,False,False
LONDON INT'L AIRPORT,-81.1511111111111,43.0330555555556,True,False,False,False,False,False,False,False,False,False
ROSEVILLE,-80.4736266666667,43.3536183333333,False,False,False,False,False,False,False,True,False,False
RUSKVIEW,-80.1333333333333,44.2333333333333,False,False,False,False,False,False,False,True,False,False
STRATFORD WWTP,-81.0047383333333,43.3688933333333,False,False,False,False,False,False,False,True,False,False
WATERLOO WELLINGTON A,-80.3833333333333,43.45,False,False,False,False,False,False,False,True,False,False
WOODSTOCK,-80.7705666666667,43.1361233333333,False,False,False,False,False,False,False,True,False,False
BELLEVILLE,-77.394735,44.15057,False,False,False,False,False,False,False,False,False,True
BOWMANVILLE MOSTERT,-78.6666666666667,43.9166666666667,False,False,False,False,True,False,False,False,False,False
BURKETON MCLAUGHLIN,-78.8,44.0333333333333,False,False,False,False,True,False,False,False,False,False
COBOURG STP,-78.1833333333333,43.9666666666667,False,False,False,False,False,False,False,False,False,True
CRESSY,-76.85,44.1,False,False,False,False,False,False,False,False,False,True
GEORGETOWN WWTP,-79.8791716666667,43.640005,False,False,False,False,False,False,False,True,False,False
HAMILTON A,-79.9341766666667,43.1716866666667,False,False,False,False,False,False,False,True,False,False
JANETVILLE,-78.6333333333333,44.2166666666667,False,False,False,False,False,False,False,False,False,True
KING SMOKE TREE,-79.5166666666667,44.0166666666667,False,False,False,True,False,False,False,False,False,False
MILLGROVE,-79.9666666666667,43.3166666666667,False,False,False,False,False,False,False,True,False,False
ORANGEVILLE MOE,-80.0864066666667,43.9183516666667,False,False,False,False,False,False,False,True,False,False
OSHAWA WPCP,-78.8333333333333,43.8666666666667,False,False,False,False,True,False,False,False,False,False
RICHMOND HILL,-79.4477983333333,43.8772483333333,False,False,False,False,True,False,False,False,False,False
TORONTO,-79.4,43.6666666666667,False,False,False,False,True,False,False,False,False,False
TORONTO LESTER B. PEARSON INT'L A,-79.6305555555556,43.6772222222222,False,False,False,False,True,False,False,False,False,False
TRENTON A,-77.5333333333333,44.1166666666667,False,False,False,False,False,False,False,False,False,True
MOUNTAINVIEW,-77.3016916666667,44.05197,False,False,False,False,False,False,False,False,False,True
TORONTO BUTTONVILLE A,-79.37,43.8622222222222,False,False,False,False,True,False,False,False,False,False
LINDSAY FROST,-78.7402783333333,44.3383533333333,False,False,False,True,False,False,False,False,False,False
MINDEN,-78.7166666666667,44.9333333333333,False,False,False,True,False,False,False,False,False,False
PETERBOROUGH A,-78.3666666666667,44.2333333333333,False,False,False,False,False,False,False,False,False,True
PETERBOROUGH TRENT U,-78.3,44.3666666666667,False,False,False,False,False,False,False,False,False,True
ATTAWAPISKAT A,-82.4319444444444,52.92750000000001,False,False,True,False,False,False,False,False,False,False
BIG TROUT LAKE A,-89.8969444444444,53.8177777777778,False,False,True,False,False,False,False,False,False,False
BIG TROUT LAKE,-89.8916666666667,53.81611111111109,False,False,True,False,False,False,False,False,False,False
EAR FALLS (AUT),-93.2213888888889,50.6305555555556,False,False,True,False,False,False,False,False,False,False
FORT SEVERN A,-87.6761111111111,56.0188888888889,False,False,True,False,False,False,False,False,False,False
LANSDOWNE HOUSE A,-87.9341666666667,52.1955555555556,False,False,True,False,False,False,False,False,False,False
LANSDOWNE HOUSE (AUT),-87.9361111111111,52.1961111111111,False,False,True,False,False,False,False,False,False,False
MUSKRAT DAM,-91.7627777777778,53.4413888888889,False,False,True,False,False,False,False,False,False,False
PEAWANUCK (AUT),-85.4333333333333,54.9833333333333,False,False,True,False,False,False,False,False,False,False
PEAWANUCK A,-85.4433333333333,54.9880555555556,False,False,True,False,False,False,False,False,False,False
PICKLE LAKE (AUT),-90.21777972222222,51.4491669444444,False,False,True,False,False,False,False,False,False,False
RED LAKE A,-93.79305555555561,51.0672222222222,False,False,True,False,False,False,False,False,False,False
SANDY LAKE A,-93.3444444444444,53.0641666666667,False,False,True,False,False,False,False,False,False,False
ATIKOKAN (AUT),-91.6280555555556,48.7611111111111,False,False,True,False,False,False,False,False,False,False
FORT FRANCES RCS,-93.4388894444444,48.6511111111111,False,False,True,False,False,False,False,False,False,False
MINE CENTRE SOUTHWEST,-92.6227777777778,48.7597388888889,False,False,True,False,False,False,False,False,False,False
DRYDEN REGIONAL,-92.7441666666667,49.8275,False,False,True,False,False,False,False,False,False,False
KENORA RCS,-94.3777777777778,49.79055555555559,False,False,True,False,False,False,False,False,False,False
KENORA A,-94.3630555555556,49.7883333333333,False,False,True,False,False,False,False,False,False,False
RAWSON LAKE (AUT),-93.7327783333333,49.66416694444441,False,False,True,False,False,False,False,False,False,False
