,0,1,2,3,4,5,6,7,8,9
0,"      E       rho
0   1.0  0.751633
1   2.0  0.773138
2   3.0  0.831808
3   4.0  0.815037
4   5.0  0.816775
5   6.0  0.819069
6   7.0  0.819962
7   8.0  0.821678
8   9.0  0.823425
9  10.0  0.817497","      E       rho
0   1.0  0.751633
1   2.0  0.799139
2   3.0  0.819017
3   4.0  0.827157
4   5.0  0.827076
5   6.0  0.834419
6   7.0  0.838215
7   8.0  0.843850
8   9.0  0.845004
9  10.0  0.847164","      E       rho
0   1.0  0.751633
1   2.0  0.812020
2   3.0  0.819049
3   4.0  0.837193
4   5.0  0.845591
5   6.0  0.847333
6   7.0  0.841620
7   8.0  0.841279
8   9.0  0.845221
9  10.0  0.845059","      E       rho
0   1.0  0.751633
1   2.0  0.776665
2   3.0  0.807311
3   4.0  0.828491
4   5.0  0.836507
5   6.0  0.836955
6   7.0  0.836072
7   8.0  0.840101
8   9.0  0.847447
9  10.0  0.845227","      E       rho
0   1.0  0.751633
1   2.0  0.804650
2   3.0  0.823074
3   4.0  0.827988
4   5.0  0.825305
5   6.0  0.830387
6   7.0  0.839336
7   8.0  0.848340
8   9.0  0.840004
9  10.0  0.855187","      E       rho
0   1.0  0.751633
1   2.0  0.805621
2   3.0  0.831188
3   4.0  0.843817
4   5.0  0.835145
5   6.0  0.847729
6   7.0  0.853292
7   8.0  0.867521
8   9.0  0.863949
9  10.0  0.859389","      E       rho
0   1.0  0.751633
1   2.0  0.790419
2   3.0  0.818233
3   4.0  0.817153
4   5.0  0.826966
5   6.0  0.823202
6   7.0  0.832902
7   8.0  0.838236
8   9.0  0.842085
9  10.0  0.843339","      E       rho
0   1.0  0.751633
1   2.0  0.817950
2   3.0  0.798707
3   4.0  0.826794
4   5.0  0.818519
5   6.0  0.820138
6   7.0  0.822436
7   8.0  0.834766
8   9.0  0.843002
9  10.0  0.850730","      E       rho
0   1.0  0.751633
1   2.0  0.796032
2   3.0  0.809623
3   4.0  0.816760
4   5.0  0.810726
5   6.0  0.833461
6   7.0  0.832921
7   8.0  0.841566
8   9.0  0.848385
9  10.0  0.858372","      E       rho
0   1.0  0.751633
1   2.0  0.815670
2   3.0  0.827754
3   4.0  0.818044
4   5.0  0.814612
5   6.0  0.845232
6   7.0  0.856384
7   8.0  0.862856
8   9.0  0.864705
9  10.0  0.856525"
1,"      E       rho
0   1.0  0.553317
1   2.0  0.617942
2   3.0  0.695635
3   4.0  0.680124
4   5.0  0.700739
5   6.0  0.717606
6   7.0  0.717661
7   8.0  0.729952
8   9.0  0.734925
9  10.0  0.741223","      E       rho
0   1.0  0.553317
1   2.0  0.651508
2   3.0  0.687912
3   4.0  0.716328
4   5.0  0.732988
5   6.0  0.749963
6   7.0  0.761259
7   8.0  0.781245
8   9.0  0.786868
9  10.0  0.788023","      E       rho
0   1.0  0.553317
1   2.0  0.673103
2   3.0  0.654632
3   4.0  0.727084
4   5.0  0.759965
5   6.0  0.759408
6   7.0  0.756126
7   8.0  0.763186
8   9.0  0.783769
9  10.0  0.771009","      E       rho
0   1.0  0.553317
1   2.0  0.652900
2   3.0  0.696739
3   4.0  0.742555
4   5.0  0.769333
5   6.0  0.759975
6   7.0  0.777218
7   8.0  0.787436
8   9.0  0.796570
9  10.0  0.788828","      E       rho
0   1.0  0.553317
1   2.0  0.686438
2   3.0  0.714184
3   4.0  0.749299
4   5.0  0.756182
5   6.0  0.759082
6   7.0  0.766573
7   8.0  0.787239
8   9.0  0.790283
9  10.0  0.809091","      E       rho
0   1.0  0.553317
1   2.0  0.624617
2   3.0  0.701927
3   4.0  0.713975
4   5.0  0.720942
5   6.0  0.747970
6   7.0  0.756653
7   8.0  0.803617
8   9.0  0.800513
9  10.0  0.793603","      E       rho
0   1.0  0.553317
1   2.0  0.622771
2   3.0  0.661244
3   4.0  0.695231
4   5.0  0.722819
5   6.0  0.733337
6   7.0  0.757318
7   8.0  0.766978
8   9.0  0.773013
9  10.0  0.779960","      E       rho
0   1.0  0.553317
1   2.0  0.631293
2   3.0  0.663455
3   4.0  0.738254
4   5.0  0.735136
5   6.0  0.745958
6   7.0  0.769541
7   8.0  0.803380
8   9.0  0.797524
9  10.0  0.804017","      E       rho
0   1.0  0.553317
1   2.0  0.648441
2   3.0  0.671291
3   4.0  0.693487
4   5.0  0.717624
5   6.0  0.763985
6   7.0  0.763410
7   8.0  0.788443
8   9.0  0.794875
9  10.0  0.804904","      E       rho
0   1.0  0.553317
1   2.0  0.682284
2   3.0  0.719306
3   4.0  0.716482
4   5.0  0.719428
5   6.0  0.771067
6   7.0  0.785001
7   8.0  0.817235
8   9.0  0.829831
9  10.0  0.814596"
2,"      E       rho
0   1.0  0.470186
1   2.0  0.527065
2   3.0  0.624596
3   4.0  0.632655
4   5.0  0.655114
5   6.0  0.665462
6   7.0  0.683826
7   8.0  0.686832
8   9.0  0.696175
9  10.0  0.713894","      E       rho
0   1.0  0.470186
1   2.0  0.577461
2   3.0  0.647467
3   4.0  0.680079
4   5.0  0.711642
5   6.0  0.723340
6   7.0  0.739961
7   8.0  0.762975
8   9.0  0.770816
9  10.0  0.772395","      E       rho
0   1.0  0.470186
1   2.0  0.586829
2   3.0  0.673871
3   4.0  0.716393
4   5.0  0.732605
5   6.0  0.732297
6   7.0  0.732921
7   8.0  0.756048
8   9.0  0.765364
9  10.0  0.749604","      E       rho
0   1.0  0.470186
1   2.0  0.606227
2   3.0  0.665443
3   4.0  0.695010
4   5.0  0.744446
5   6.0  0.725272
6   7.0  0.733853
7   8.0  0.765317
8   9.0  0.775250
9  10.0  0.761300","      E       rho
0   1.0  0.470186
1   2.0  0.595889
2   3.0  0.671958
3   4.0  0.692991
4   5.0  0.726129
5   6.0  0.747493
6   7.0  0.741814
7   8.0  0.767677
8   9.0  0.777333
9  10.0  0.780801","      E       rho
0   1.0  0.470186
1   2.0  0.558881
2   3.0  0.638753
3   4.0  0.660743
4   5.0  0.697530
5   6.0  0.706775
6   7.0  0.726368
7   8.0  0.779391
8   9.0  0.784711
9  10.0  0.783072","      E       rho
0   1.0  0.470186
1   2.0  0.520591
2   3.0  0.566227
3   4.0  0.617792
4   5.0  0.679849
5   6.0  0.697256
6   7.0  0.748745
7   8.0  0.771308
8   9.0  0.772544
9  10.0  0.776297","      E       rho
0   1.0  0.470186
1   2.0  0.572530
2   3.0  0.624924
3   4.0  0.690239
4   5.0  0.721924
5   6.0  0.716392
6   7.0  0.752938
7   8.0  0.793641
8   9.0  0.792653
9  10.0  0.800751","      E       rho
0   1.0  0.470186
1   2.0  0.576097
2   3.0  0.671930
3   4.0  0.710012
4   5.0  0.743304
5   6.0  0.778906
6   7.0  0.776477
7   8.0  0.793892
8   9.0  0.804150
9  10.0  0.801024","      E       rho
0   1.0  0.470186
1   2.0  0.618196
2   3.0  0.688693
3   4.0  0.684974
4   5.0  0.705846
5   6.0  0.738467
6   7.0  0.767625
7   8.0  0.786386
8   9.0  0.799127
9  10.0  0.808517"
3,"      E       rho
0   1.0  0.429054
1   2.0  0.540893
2   3.0  0.581255
3   4.0  0.643096
4   5.0  0.629211
5   6.0  0.657332
6   7.0  0.663924
7   8.0  0.672774
8   9.0  0.690867
9  10.0  0.706381","      E       rho
0   1.0  0.429054
1   2.0  0.571561
2   3.0  0.628784
3   4.0  0.668347
4   5.0  0.701142
5   6.0  0.725007
6   7.0  0.743888
7   8.0  0.765918
8   9.0  0.777674
9  10.0  0.784497","      E       rho
0   1.0  0.429054
1   2.0  0.611943
2   3.0  0.693520
3   4.0  0.729286
4   5.0  0.711033
5   6.0  0.736215
6   7.0  0.726553
7   8.0  0.760388
8   9.0  0.771434
9  10.0  0.776461","      E       rho
0   1.0  0.429054
1   2.0  0.558607
2   3.0  0.603941
3   4.0  0.660881
4   5.0  0.695374
5   6.0  0.696788
6   7.0  0.715886
7   8.0  0.746357
8   9.0  0.759167
9  10.0  0.761079","      E       rho
0   1.0  0.429054
1   2.0  0.623422
2   3.0  0.690368
3   4.0  0.695217
4   5.0  0.724943
5   6.0  0.739018
6   7.0  0.731136
7   8.0  0.777391
8   9.0  0.800337
9  10.0  0.804291","      E       rho
0   1.0  0.429054
1   2.0  0.522064
2   3.0  0.593558
3   4.0  0.606395
4   5.0  0.693003
5   6.0  0.725302
6   7.0  0.743248
7   8.0  0.774834
8   9.0  0.795652
9  10.0  0.806186","      E       rho
0   1.0  0.429054
1   2.0  0.518432
2   3.0  0.565518
3   4.0  0.626536
4   5.0  0.674728
5   6.0  0.698910
6   7.0  0.760472
7   8.0  0.777971
8   9.0  0.785175
9  10.0  0.788977","      E       rho
0   1.0  0.429054
1   2.0  0.551412
2   3.0  0.600755
3   4.0  0.667402
4   5.0  0.705644
5   6.0  0.721014
6   7.0  0.778829
7   8.0  0.794098
8   9.0  0.804765
9  10.0  0.812087","      E       rho
0   1.0  0.429054
1   2.0  0.586265
2   3.0  0.658123
3   4.0  0.707957
4   5.0  0.751752
5   6.0  0.786760
6   7.0  0.804251
7   8.0  0.823075
8   9.0  0.824230
9  10.0  0.829706","      E       rho
0   1.0  0.429054
1   2.0  0.605282
2   3.0  0.691713
3   4.0  0.690946
4   5.0  0.743976
5   6.0  0.770975
6   7.0  0.799330
7   8.0  0.808536
8   9.0  0.814475
9  10.0  0.826260"
4,"      E       rho
0   1.0  0.437931
1   2.0  0.534594
2   3.0  0.584371
3   4.0  0.626381
4   5.0  0.621784
5   6.0  0.640570
6   7.0  0.663608
7   8.0  0.684478
8   9.0  0.694859
9  10.0  0.721586","      E       rho
0   1.0  0.437931
1   2.0  0.561725
2   3.0  0.624674
3   4.0  0.652112
4   5.0  0.687195
5   6.0  0.711776
6   7.0  0.732337
7   8.0  0.755895
8   9.0  0.768718
9  10.0  0.778150","      E       rho
0   1.0  0.437931
1   2.0  0.559170
2   3.0  0.642036
3   4.0  0.698606
4   5.0  0.690812
5   6.0  0.704261
6   7.0  0.704318
7   8.0  0.739097
8   9.0  0.747477
9  10.0  0.746958","      E       rho
0   1.0  0.437931
1   2.0  0.599945
2   3.0  0.627088
3   4.0  0.648588
4   5.0  0.678568
5   6.0  0.719927
6   7.0  0.737293
7   8.0  0.761098
8   9.0  0.771637
9  10.0  0.767769","      E       rho
0   1.0  0.437931
1   2.0  0.610366
2   3.0  0.648262
3   4.0  0.666335
4   5.0  0.703379
5   6.0  0.701063
6   7.0  0.721853
7   8.0  0.768858
8   9.0  0.799479
9  10.0  0.796162","      E       rho
0   1.0  0.437931
1   2.0  0.542337
2   3.0  0.577325
3   4.0  0.570989
4   5.0  0.627596
5   6.0  0.674215
6   7.0  0.699948
7   8.0  0.749469
8   9.0  0.770842
9  10.0  0.778667","      E       rho
0   1.0  0.437931
1   2.0  0.538263
2   3.0  0.578130
3   4.0  0.629439
4   5.0  0.657453
5   6.0  0.691113
6   7.0  0.746722
7   8.0  0.748942
8   9.0  0.773415
9  10.0  0.779272","      E       rho
0   1.0  0.437931
1   2.0  0.574966
2   3.0  0.635668
3   4.0  0.676361
4   5.0  0.714866
5   6.0  0.754368
6   7.0  0.790975
7   8.0  0.785986
8   9.0  0.788572
9  10.0  0.812206","      E       rho
0   1.0  0.437931
1   2.0  0.596476
2   3.0  0.687509
3   4.0  0.680232
4   5.0  0.724921
5   6.0  0.761179
6   7.0  0.778708
7   8.0  0.807113
8   9.0  0.817420
9  10.0  0.827815","      E       rho
0   1.0  0.437931
1   2.0  0.478533
2   3.0  0.609521
3   4.0  0.653978
4   5.0  0.751022
5   6.0  0.768137
6   7.0  0.791568
7   8.0  0.798617
8   9.0  0.808829
9  10.0  0.818274"
5,"      E       rho
0   1.0  0.443043
1   2.0  0.545119
2   3.0  0.592728
3   4.0  0.628245
4   5.0  0.633691
5   6.0  0.658586
6   7.0  0.682205
7   8.0  0.697460
8   9.0  0.715064
9  10.0  0.716348","      E       rho
0   1.0  0.443043
1   2.0  0.560907
2   3.0  0.622901
3   4.0  0.654162
4   5.0  0.685337
5   6.0  0.714895
6   7.0  0.735690
7   8.0  0.750696
8   9.0  0.769059
9  10.0  0.777227","      E       rho
0   1.0  0.443043
1   2.0  0.602404
2   3.0  0.635979
3   4.0  0.676025
4   5.0  0.685160
5   6.0  0.698012
6   7.0  0.715774
7   8.0  0.725509
8   9.0  0.735975
9  10.0  0.741643","      E       rho
0   1.0  0.443043
1   2.0  0.615901
2   3.0  0.657373
3   4.0  0.676891
4   5.0  0.702688
5   6.0  0.746304
6   7.0  0.758909
7   8.0  0.773619
8   9.0  0.774537
9  10.0  0.768455","      E       rho
0   1.0  0.443043
1   2.0  0.585632
2   3.0  0.647922
3   4.0  0.660878
4   5.0  0.693413
5   6.0  0.705608
6   7.0  0.728608
7   8.0  0.757308
8   9.0  0.802938
9  10.0  0.801812","      E       rho
0   1.0  0.443043
1   2.0  0.534211
2   3.0  0.603257
3   4.0  0.602838
4   5.0  0.655160
5   6.0  0.683118
6   7.0  0.695988
7   8.0  0.748421
8   9.0  0.773980
9  10.0  0.788209","      E       rho
0   1.0  0.443043
1   2.0  0.548098
2   3.0  0.613301
3   4.0  0.630930
4   5.0  0.651133
5   6.0  0.687627
6   7.0  0.740416
7   8.0  0.747800
8   9.0  0.774259
9  10.0  0.788717","      E       rho
0   1.0  0.443043
1   2.0  0.590292
2   3.0  0.635380
3   4.0  0.694236
4   5.0  0.695986
5   6.0  0.766529
6   7.0  0.776399
7   8.0  0.779437
8   9.0  0.804820
9  10.0  0.823656","      E       rho
0   1.0  0.443043
1   2.0  0.553753
2   3.0  0.614876
3   4.0  0.654544
4   5.0  0.684347
5   6.0  0.730392
6   7.0  0.773400
7   8.0  0.783047
8   9.0  0.794003
9  10.0  0.816310","      E       rho
0   1.0  0.443043
1   2.0  0.471472
2   3.0  0.593898
3   4.0  0.657914
4   5.0  0.742148
5   6.0  0.766908
6   7.0  0.781869
7   8.0  0.785883
8   9.0  0.801597
9  10.0  0.797195"
6,"      E       rho
0   1.0  0.472964
1   2.0  0.496318
2   3.0  0.606199
3   4.0  0.628706
4   5.0  0.648702
5   6.0  0.682596
6   7.0  0.692755
7   8.0  0.711897
8   9.0  0.714776
9  10.0  0.701157","      E       rho
0   1.0  0.472964
1   2.0  0.580895
2   3.0  0.637026
3   4.0  0.670071
4   5.0  0.703667
5   6.0  0.725738
6   7.0  0.748026
7   8.0  0.761344
8   9.0  0.775269
9  10.0  0.784279","      E       rho
0   1.0  0.472964
1   2.0  0.635582
2   3.0  0.675711
3   4.0  0.675395
4   5.0  0.696706
5   6.0  0.698504
6   7.0  0.726576
7   8.0  0.749052
8   9.0  0.765712
9  10.0  0.766059","      E       rho
0   1.0  0.472964
1   2.0  0.597844
2   3.0  0.627781
3   4.0  0.666135
4   5.0  0.690432
5   6.0  0.697671
6   7.0  0.724275
7   8.0  0.757964
8   9.0  0.764974
9  10.0  0.769669","      E       rho
0   1.0  0.472964
1   2.0  0.596188
2   3.0  0.655976
3   4.0  0.672652
4   5.0  0.688970
5   6.0  0.710395
6   7.0  0.743960
7   8.0  0.761384
8   9.0  0.795083
9  10.0  0.792018","      E       rho
0   1.0  0.472964
1   2.0  0.529338
2   3.0  0.638064
3   4.0  0.659072
4   5.0  0.745502
5   6.0  0.754347
6   7.0  0.760615
7   8.0  0.783284
8   9.0  0.798458
9  10.0  0.816913","      E       rho
0   1.0  0.472964
1   2.0  0.597536
2   3.0  0.664538
3   4.0  0.701203
4   5.0  0.734159
5   6.0  0.760418
6   7.0  0.804720
7   8.0  0.802596
8   9.0  0.807550
9  10.0  0.833171","      E       rho
0   1.0  0.472964
1   2.0  0.581759
2   3.0  0.624366
3   4.0  0.686939
4   5.0  0.686590
5   6.0  0.773355
6   7.0  0.781102
7   8.0  0.779470
8   9.0  0.805319
9  10.0  0.816753","      E       rho
0   1.0  0.472964
1   2.0  0.623526
2   3.0  0.595485
3   4.0  0.674264
4   5.0  0.715656
5   6.0  0.726047
6   7.0  0.777612
7   8.0  0.786630
8   9.0  0.789873
9  10.0  0.819033","      E       rho
0   1.0  0.472964
1   2.0  0.542763
2   3.0  0.625804
3   4.0  0.664426
4   5.0  0.733892
5   6.0  0.763537
6   7.0  0.781681
7   8.0  0.789103
8   9.0  0.798322
9  10.0  0.801044"
7,"      E       rho
0   1.0  0.410803
1   2.0  0.477106
2   3.0  0.572835
3   4.0  0.602630
4   5.0  0.637053
5   6.0  0.670657
6   7.0  0.690036
7   8.0  0.701834
8   9.0  0.690069
9  10.0  0.675570","      E       rho
0   1.0  0.410803
1   2.0  0.524630
2   3.0  0.585668
3   4.0  0.635498
4   5.0  0.673973
5   6.0  0.705222
6   7.0  0.730443
7   8.0  0.750837
8   9.0  0.759771
9  10.0  0.771700","      E       rho
0   1.0  0.410803
1   2.0  0.546442
2   3.0  0.640534
3   4.0  0.662675
4   5.0  0.659354
5   6.0  0.658413
6   7.0  0.689030
7   8.0  0.725605
8   9.0  0.740832
9  10.0  0.737973","      E       rho
0   1.0  0.410803
1   2.0  0.546669
2   3.0  0.584478
3   4.0  0.645571
4   5.0  0.658795
5   6.0  0.683295
6   7.0  0.712399
7   8.0  0.735962
8   9.0  0.744699
9  10.0  0.773451","      E       rho
0   1.0  0.410803
1   2.0  0.531943
2   3.0  0.611099
3   4.0  0.641405
4   5.0  0.687010
5   6.0  0.706946
6   7.0  0.722451
7   8.0  0.754469
8   9.0  0.776053
9  10.0  0.786429","      E       rho
0   1.0  0.410803
1   2.0  0.525854
2   3.0  0.600830
3   4.0  0.639736
4   5.0  0.701901
5   6.0  0.721399
6   7.0  0.762975
7   8.0  0.782710
8   9.0  0.786431
9  10.0  0.794002","      E       rho
0   1.0  0.410803
1   2.0  0.542263
2   3.0  0.595779
3   4.0  0.632609
4   5.0  0.662071
5   6.0  0.723571
6   7.0  0.760347
7   8.0  0.762324
8   9.0  0.769389
9  10.0  0.799582","      E       rho
0   1.0  0.410803
1   2.0  0.515833
2   3.0  0.515626
3   4.0  0.599873
4   5.0  0.639213
5   6.0  0.699670
6   7.0  0.722218
7   8.0  0.748391
8   9.0  0.780687
9  10.0  0.791252","      E       rho
0   1.0  0.410803
1   2.0  0.544515
2   3.0  0.570663
3   4.0  0.654978
4   5.0  0.717754
5   6.0  0.742835
6   7.0  0.783171
7   8.0  0.807424
8   9.0  0.799312
9  10.0  0.820585","      E       rho
0   1.0  0.410803
1   2.0  0.471147
2   3.0  0.573503
3   4.0  0.633803
4   5.0  0.719465
5   6.0  0.763801
6   7.0  0.803854
7   8.0  0.806638
8   9.0  0.815009
9  10.0  0.821517"
8,"      E       rho
0   1.0  0.382871
1   2.0  0.453009
2   3.0  0.549909
3   4.0  0.597787
4   5.0  0.631150
5   6.0  0.666017
6   7.0  0.676203
7   8.0  0.678999
8   9.0  0.669145
9  10.0  0.655656","      E       rho
0   1.0  0.382871
1   2.0  0.504961
2   3.0  0.556076
3   4.0  0.609645
4   5.0  0.654916
5   6.0  0.689696
6   7.0  0.718318
7   8.0  0.743860
8   9.0  0.754380
9  10.0  0.762370","      E       rho
0   1.0  0.382871
1   2.0  0.504193
2   3.0  0.571990
3   4.0  0.592187
4   5.0  0.647014
5   6.0  0.663382
6   7.0  0.673164
7   8.0  0.707741
8   9.0  0.728448
9  10.0  0.732402","      E       rho
0   1.0  0.382871
1   2.0  0.543382
2   3.0  0.574837
3   4.0  0.647991
4   5.0  0.675529
5   6.0  0.726463
6   7.0  0.733164
7   8.0  0.759382
8   9.0  0.748758
9  10.0  0.784887","      E       rho
0   1.0  0.382871
1   2.0  0.568805
2   3.0  0.594554
3   4.0  0.630458
4   5.0  0.674367
5   6.0  0.685779
6   7.0  0.730666
7   8.0  0.783608
8   9.0  0.801717
9  10.0  0.807074","      E       rho
0   1.0  0.382871
1   2.0  0.506913
2   3.0  0.544492
3   4.0  0.602595
4   5.0  0.642288
5   6.0  0.666688
6   7.0  0.727130
7   8.0  0.758734
8   9.0  0.774764
9  10.0  0.770515","      E       rho
0   1.0  0.382871
1   2.0  0.477538
2   3.0  0.585148
3   4.0  0.597026
4   5.0  0.635998
5   6.0  0.699192
6   7.0  0.730285
7   8.0  0.738667
8   9.0  0.750452
9  10.0  0.771605","      E       rho
0   1.0  0.382871
1   2.0  0.459696
2   3.0  0.482797
3   4.0  0.562383
4   5.0  0.617093
5   6.0  0.675699
6   7.0  0.713819
7   8.0  0.744098
8   9.0  0.770755
9  10.0  0.785216","      E       rho
0   1.0  0.382871
1   2.0  0.548117
2   3.0  0.546144
3   4.0  0.633087
4   5.0  0.716084
5   6.0  0.743840
6   7.0  0.782963
7   8.0  0.803932
8   9.0  0.801752
9  10.0  0.817815","      E       rho
0   1.0  0.382871
1   2.0  0.451789
2   3.0  0.525377
3   4.0  0.599596
4   5.0  0.681376
5   6.0  0.738548
6   7.0  0.781034
7   8.0  0.798517
8   9.0  0.820062
9  10.0  0.802617"
9,"      E       rho
0   1.0  0.470121
1   2.0  0.468990
2   3.0  0.557015
3   4.0  0.607188
4   5.0  0.611674
5   6.0  0.658188
6   7.0  0.665242
7   8.0  0.661521
8   9.0  0.654592
9  10.0  0.640230","      E       rho
0   1.0  0.470121
1   2.0  0.503576
2   3.0  0.551127
3   4.0  0.604993
4   5.0  0.649046
5   6.0  0.693460
6   7.0  0.725386
7   8.0  0.746403
8   9.0  0.757891
9  10.0  0.764356","      E       rho
0   1.0  0.470121
1   2.0  0.540917
2   3.0  0.569343
3   4.0  0.577817
4   5.0  0.632796
5   6.0  0.653483
6   7.0  0.672583
7   8.0  0.717131
8   9.0  0.742770
9  10.0  0.747224","      E       rho
0   1.0  0.470121
1   2.0  0.549184
2   3.0  0.575024
3   4.0  0.613038
4   5.0  0.684514
5   6.0  0.740701
6   7.0  0.740221
7   8.0  0.760807
8   9.0  0.754729
9  10.0  0.779515","      E       rho
0   1.0  0.470121
1   2.0  0.576872
2   3.0  0.581837
3   4.0  0.595128
4   5.0  0.626215
5   6.0  0.682423
6   7.0  0.720649
7   8.0  0.792207
8   9.0  0.797288
9  10.0  0.804805","      E       rho
0   1.0  0.470121
1   2.0  0.508618
2   3.0  0.536504
3   4.0  0.605233
4   5.0  0.633947
5   6.0  0.668461
6   7.0  0.733365
7   8.0  0.761539
8   9.0  0.794153
9  10.0  0.795813","      E       rho
0   1.0  0.470121
1   2.0  0.452015
2   3.0  0.519483
3   4.0  0.580646
4   5.0  0.624781
5   6.0  0.720281
6   7.0  0.747858
7   8.0  0.759123
8   9.0  0.758806
9  10.0  0.773696","      E       rho
0   1.0  0.470121
1   2.0  0.427301
2   3.0  0.477356
3   4.0  0.590119
4   5.0  0.636294
5   6.0  0.721065
6   7.0  0.771712
7   8.0  0.776317
8   9.0  0.787610
9  10.0  0.803641","      E       rho
0   1.0  0.470121
1   2.0  0.507174
2   3.0  0.566953
3   4.0  0.621770
4   5.0  0.717268
5   6.0  0.723391
6   7.0  0.770228
7   8.0  0.785907
8   9.0  0.801869
9  10.0  0.807235","      E       rho
0   1.0  0.470121
1   2.0  0.476531
2   3.0  0.553291
3   4.0  0.617186
4   5.0  0.677698
5   6.0  0.734256
6   7.0  0.789875
7   8.0  0.797082
8   9.0  0.807012
9  10.0  0.791583"
