,0,1,2,3,4,5,6,7,8,9
0,"      E       rho
0   1.0  0.188567
1   2.0  0.123692
2   3.0  0.157416
3   4.0  0.182312
4   5.0  0.184227
5   6.0  0.111377
6   7.0  0.350334
7   8.0  0.338107
8   9.0  0.304367
9  10.0  0.333407","      E       rho
0   1.0  0.188567
1   2.0  0.142650
2   3.0  0.145446
3   4.0  0.178889
4   5.0  0.220224
5   6.0  0.226876
6   7.0  0.280089
7   8.0  0.292900
8   9.0  0.306713
9  10.0  0.320380","      E       rho
0   1.0  0.188567
1   2.0  0.071643
2   3.0  0.228579
3   4.0  0.287347
4   5.0  0.254771
5   6.0  0.281671
6   7.0  0.304258
7   8.0  0.322712
8   9.0  0.324757
9  10.0  0.365207","      E       rho
0   1.0  0.188567
1   2.0  0.258087
2   3.0  0.106814
3   4.0  0.057731
4   5.0  0.190062
5   6.0  0.303365
6   7.0  0.265687
7   8.0  0.300808
8   9.0  0.353591
9  10.0  0.353338","      E       rho
0   1.0  0.188567
1   2.0  0.074732
2   3.0  0.066865
3   4.0  0.066938
4   5.0  0.286041
5   6.0  0.246308
6   7.0  0.283692
7   8.0  0.353738
8   9.0  0.308196
9  10.0  0.265096","      E       rho
0   1.0  0.188567
1   2.0  0.156759
2   3.0  0.236684
3   4.0  0.204759
4   5.0  0.223416
5   6.0  0.259871
6   7.0  0.286057
7   8.0  0.238818
8   9.0  0.339009
9  10.0  0.353835","      E       rho
0   1.0  0.188567
1   2.0  0.120140
2   3.0  0.050473
3   4.0  0.112450
4   5.0  0.180968
5   6.0  0.048378
6   7.0  0.056144
7   8.0  0.063760
8   9.0  0.119923
9  10.0  0.106819","      E       rho
0   1.0  0.188567
1   2.0  0.080246
2   3.0  0.068442
3   4.0  0.126646
4   5.0  0.078059
5   6.0  0.107355
6   7.0  0.314887
7   8.0  0.324173
8   9.0  0.311095
9  10.0  0.376916","      E       rho
0   1.0  0.188567
1   2.0  0.191145
2   3.0  0.134167
3   4.0  0.236980
4   5.0  0.286978
5   6.0  0.319352
6   7.0  0.333480
7   8.0  0.341018
8   9.0  0.332690
9  10.0  0.343671","      E       rho
0   1.0  0.188567
1   2.0  0.150015
2   3.0  0.290381
3   4.0  0.256276
4   5.0  0.218174
5   6.0  0.249452
6   7.0  0.261341
7   8.0  0.263432
8   9.0  0.311182
9  10.0  0.330636"
1,"      E       rho
0   1.0  0.292253
1   2.0  0.212120
2   3.0  0.215146
3   4.0  0.240355
4   5.0  0.212739
5   6.0  0.350574
6   7.0  0.321197
7   8.0  0.323967
8   9.0  0.353198
9  10.0  0.354968","      E       rho
0   1.0  0.292253
1   2.0  0.168099
2   3.0  0.191130
3   4.0  0.213267
4   5.0  0.244145
5   6.0  0.289739
6   7.0  0.300588
7   8.0  0.287337
8   9.0  0.299756
9  10.0  0.298311","      E       rho
0   1.0  0.292253
1   2.0  0.092323
2   3.0  0.082638
3   4.0  0.190814
4   5.0  0.224176
5   6.0  0.201066
6   7.0  0.194752
7   8.0  0.224572
8   9.0  0.229775
9  10.0  0.288500","      E       rho
0   1.0  0.292253
1   2.0  0.077802
2   3.0  0.158104
3   4.0  0.190360
4   5.0  0.280840
5   6.0  0.289417
6   7.0  0.326985
7   8.0  0.279680
8   9.0  0.283137
9  10.0  0.265725","      E       rho
0   1.0  0.292253
1   2.0  0.244220
2   3.0  0.324465
3   4.0  0.353290
4   5.0  0.374256
5   6.0  0.337904
6   7.0  0.378044
7   8.0  0.391791
8   9.0  0.382554
9  10.0  0.388715","      E       rho
0   1.0  0.292253
1   2.0  0.117186
2   3.0  0.184780
3   4.0  0.225264
4   5.0  0.214965
5   6.0  0.250382
6   7.0  0.246188
7   8.0  0.169936
8   9.0  0.249312
9  10.0  0.316312","      E       rho
0   1.0  0.292253
1   2.0  0.231410
2   3.0  0.182411
3   4.0  0.218804
4   5.0  0.204146
5   6.0  0.270128
6   7.0  0.224057
7   8.0  0.169754
8   9.0  0.208829
9  10.0  0.233125","      E       rho
0   1.0  0.292253
1   2.0  0.078309
2   3.0  0.261259
3   4.0  0.213367
4   5.0  0.245617
5   6.0  0.392863
6   7.0  0.391108
7   8.0  0.354243
8   9.0  0.323404
9  10.0  0.275476","      E       rho
0   1.0  0.292253
1   2.0  0.109241
2   3.0  0.228537
3   4.0  0.181370
4   5.0  0.178273
5   6.0  0.137466
6   7.0  0.248839
7   8.0  0.294845
8   9.0  0.262409
9  10.0  0.227739","      E       rho
0   1.0  0.292253
1   2.0  0.267496
2   3.0  0.137504
3   4.0  0.197243
4   5.0  0.325735
5   6.0  0.408534
6   7.0  0.384616
7   8.0  0.349577
8   9.0  0.333015
9  10.0  0.284194"
2,"      E       rho
0   1.0  0.261594
1   2.0  0.145687
2   3.0  0.139961
3   4.0  0.141055
4   5.0  0.310675
5   6.0  0.319338
6   7.0  0.321907
7   8.0  0.328284
8   9.0  0.349255
9  10.0  0.367877","      E       rho
0   1.0  0.261594
1   2.0  0.150736
2   3.0  0.159873
3   4.0  0.204340
4   5.0  0.239424
5   6.0  0.256392
6   7.0  0.311513
7   8.0  0.324606
8   9.0  0.327080
9  10.0  0.332165","      E       rho
0   1.0  0.261594
1   2.0  0.043648
2   3.0  0.088334
3   4.0  0.125427
4   5.0  0.046961
5   6.0  0.051490
6   7.0  0.294767
7   8.0  0.281232
8   9.0  0.247694
9  10.0  0.264282","      E       rho
0   1.0  0.261594
1   2.0  0.269219
2   3.0  0.204941
3   4.0  0.326250
4   5.0  0.377303
5   6.0  0.437691
6   7.0  0.378090
7   8.0  0.411279
8   9.0  0.485873
9  10.0  0.415500","      E       rho
0   1.0  0.261594
1   2.0  0.081332
2   3.0  0.142976
3   4.0  0.146217
4   5.0  0.174650
5   6.0  0.214643
6   7.0  0.319488
7   8.0  0.337092
8   9.0  0.302173
9  10.0  0.238995","      E       rho
0   1.0  0.261594
1   2.0  0.173816
2   3.0  0.057277
3   4.0  0.285162
4   5.0  0.267379
5   6.0  0.249154
6   7.0  0.277435
7   8.0  0.322870
8   9.0  0.364382
9  10.0  0.373207","      E       rho
0   1.0  0.261594
1   2.0  0.115045
2   3.0  0.019008
3   4.0  0.112709
4   5.0  0.165463
5   6.0  0.169309
6   7.0  0.181943
7   8.0  0.257253
8   9.0  0.243233
9  10.0  0.230597","      E       rho
0   1.0  0.261594
1   2.0  0.147073
2   3.0  0.203570
3   4.0  0.189990
4   5.0  0.303475
5   6.0  0.258862
6   7.0  0.301534
7   8.0  0.308479
8   9.0  0.339475
9  10.0  0.334206","      E       rho
0   1.0  0.261594
1   2.0  0.121142
2   3.0  0.265181
3   4.0  0.221568
4   5.0  0.292934
5   6.0  0.317197
6   7.0  0.368739
7   8.0  0.310010
8   9.0  0.306268
9  10.0  0.374554","      E       rho
0   1.0  0.261594
1   2.0  0.157077
2   3.0  0.217651
3   4.0  0.215481
4   5.0  0.172165
5   6.0  0.223300
6   7.0  0.315642
7   8.0  0.314433
8   9.0  0.259687
9  10.0  0.309311"
3,"      E       rho
0   1.0  0.303679
1   2.0  0.257837
2   3.0  0.097270
3   4.0  0.278291
4   5.0  0.307488
5   6.0  0.315033
6   7.0  0.326112
7   8.0  0.328248
8   9.0  0.352166
9  10.0  0.313550","      E       rho
0   1.0  0.303679
1   2.0  0.169474
2   3.0  0.165420
3   4.0  0.192607
4   5.0  0.216306
5   6.0  0.248850
6   7.0  0.272426
7   8.0  0.272781
8   9.0  0.293191
9  10.0  0.299836","      E       rho
0   1.0  0.303679
1   2.0  0.224216
2   3.0  0.182870
3   4.0  0.182017
4   5.0  0.289135
5   6.0  0.310013
6   7.0  0.327927
7   8.0  0.304806
8   9.0  0.345460
9  10.0  0.356927","      E       rho
0   1.0  0.303679
1   2.0  0.106914
2   3.0  0.198417
3   4.0  0.247385
4   5.0  0.185526
5   6.0  0.237842
6   7.0  0.282099
7   8.0  0.275827
8   9.0  0.294269
9  10.0  0.310141","      E       rho
0   1.0  0.303679
1   2.0  0.126433
2   3.0  0.197851
3   4.0  0.250990
4   5.0  0.247734
5   6.0  0.270838
6   7.0  0.261433
7   8.0  0.268874
8   9.0  0.272886
9  10.0  0.323685","      E       rho
0   1.0  0.303679
1   2.0  0.140675
2   3.0  0.117787
3   4.0  0.145629
4   5.0  0.190575
5   6.0  0.245773
6   7.0  0.273072
7   8.0  0.303882
8   9.0  0.354737
9  10.0  0.347443","      E       rho
0   1.0  0.303679
1   2.0  0.213360
2   3.0  0.211729
3   4.0  0.243566
4   5.0  0.150423
5   6.0  0.134777
6   7.0  0.177652
7   8.0  0.142057
8   9.0  0.124938
9  10.0  0.135833","      E       rho
0   1.0  0.303679
1   2.0  0.227595
2   3.0  0.138056
3   4.0  0.203997
4   5.0  0.248067
5   6.0  0.221337
6   7.0  0.345657
7   8.0  0.346712
8   9.0  0.338326
9  10.0  0.341066","      E       rho
0   1.0  0.303679
1   2.0  0.109998
2   3.0  0.188094
3   4.0  0.114244
4   5.0  0.136803
5   6.0  0.233379
6   7.0  0.264113
7   8.0  0.311077
8   9.0  0.291358
9  10.0  0.296733","      E       rho
0   1.0  0.303679
1   2.0  0.168235
2   3.0  0.202622
3   4.0  0.108166
4   5.0  0.149057
5   6.0  0.238717
6   7.0  0.195814
7   8.0  0.133750
8   9.0  0.239037
9  10.0  0.259922"
4,"      E       rho
0   1.0  0.360475
1   2.0  0.027734
2   3.0  0.162132
3   4.0  0.154014
4   5.0  0.222436
5   6.0  0.208721
6   7.0  0.274828
7   8.0  0.280870
8   9.0  0.265617
9  10.0  0.351994","      E       rho
0   1.0  0.360475
1   2.0  0.151840
2   3.0  0.195888
3   4.0  0.240263
4   5.0  0.253516
5   6.0  0.247866
6   7.0  0.291753
7   8.0  0.273703
8   9.0  0.287592
9  10.0  0.317574","      E       rho
0   1.0  0.360475
1   2.0  0.104745
2   3.0  0.215163
3   4.0  0.288279
4   5.0  0.242314
5   6.0  0.228358
6   7.0  0.256953
7   8.0  0.233688
8   9.0  0.301060
9  10.0  0.327996","      E       rho
0   1.0  0.360475
1   2.0  0.172828
2   3.0  0.033698
3   4.0  0.206481
4   5.0  0.299013
5   6.0  0.299780
6   7.0  0.365012
7   8.0  0.364236
8   9.0  0.367504
9  10.0  0.411322","      E       rho
0   1.0  0.360475
1   2.0  0.198896
2   3.0  0.089123
3   4.0  0.120946
4   5.0  0.222794
5   6.0  0.150046
6   7.0  0.326097
7   8.0  0.351742
8   9.0  0.353781
9  10.0  0.338844","      E       rho
0   1.0  0.360475
1   2.0  0.281303
2   3.0  0.273312
3   4.0  0.244564
4   5.0  0.229159
5   6.0  0.311105
6   7.0  0.300387
7   8.0  0.274664
8   9.0  0.319027
9  10.0  0.330216","      E       rho
0   1.0  0.360475
1   2.0  0.205559
2   3.0  0.201167
3   4.0  0.257155
4   5.0  0.204091
5   6.0  0.158510
6   7.0  0.178785
7   8.0  0.141876
8   9.0  0.153092
9  10.0  0.146604","      E       rho
0   1.0  0.360475
1   2.0  0.067102
2   3.0  0.227980
3   4.0  0.297557
4   5.0  0.291063
5   6.0  0.334090
6   7.0  0.352249
7   8.0  0.346007
8   9.0  0.301755
9  10.0  0.402481","      E       rho
0   1.0  0.360475
1   2.0  0.207462
2   3.0  0.338485
3   4.0  0.316013
4   5.0  0.284198
5   6.0  0.249741
6   7.0  0.249068
7   8.0  0.165128
8   9.0  0.232985
9  10.0  0.245175","      E       rho
0   1.0  0.360475
1   2.0  0.005831
2   3.0  0.200531
3   4.0  0.244773
4   5.0  0.282221
5   6.0  0.273573
6   7.0  0.275100
7   8.0  0.271968
8   9.0  0.264284
9  10.0  0.272847"
5,"      E       rho
0   1.0  0.283952
1   2.0  0.152654
2   3.0  0.169643
3   4.0  0.300184
4   5.0  0.260682
5   6.0  0.253794
6   7.0  0.281925
7   8.0  0.321538
8   9.0  0.355496
9  10.0  0.362027","      E       rho
0   1.0  0.283952
1   2.0  0.114392
2   3.0  0.137866
3   4.0  0.171712
4   5.0  0.192060
5   6.0  0.208520
6   7.0  0.246030
7   8.0  0.229679
8   9.0  0.261461
9  10.0  0.272002","      E       rho
0   1.0  0.283952
1   2.0  0.113821
2   3.0  0.105983
3   4.0  0.015348
4   5.0 -0.006776
5   6.0  0.219815
6   7.0  0.215831
7   8.0  0.203530
8   9.0  0.280280
9  10.0  0.344663","      E       rho
0   1.0  0.283952
1   2.0  0.070577
2   3.0  0.174193
3   4.0  0.230408
4   5.0  0.272857
5   6.0  0.263717
6   7.0  0.241869
7   8.0  0.254940
8   9.0  0.281489
9  10.0  0.305324","      E       rho
0   1.0  0.283952
1   2.0  0.045878
2   3.0  0.098795
3   4.0  0.306085
4   5.0  0.312064
5   6.0  0.298462
6   7.0  0.349576
7   8.0  0.337064
8   9.0  0.271391
9  10.0  0.247769","      E       rho
0   1.0  0.283952
1   2.0  0.043648
2   3.0  0.142327
3   4.0  0.171842
4   5.0  0.182193
5   6.0  0.161702
6   7.0  0.294510
7   8.0  0.286711
8   9.0  0.290368
9  10.0  0.340600","      E       rho
0   1.0  0.283952
1   2.0  0.144383
2   3.0  0.122370
3   4.0  0.092066
4   5.0  0.075274
5   6.0 -0.001342
6   7.0  0.034919
7   8.0  0.045623
8   9.0  0.143904
9  10.0  0.088506","      E       rho
0   1.0  0.283952
1   2.0  0.212187
2   3.0  0.219335
3   4.0  0.216840
4   5.0  0.219405
5   6.0  0.213951
6   7.0  0.228732
7   8.0  0.170637
8   9.0  0.255381
9  10.0  0.283878","      E       rho
0   1.0  0.283952
1   2.0  0.095760
2   3.0  0.036632
3   4.0 -0.014857
4   5.0  0.203175
5   6.0  0.190313
6   7.0  0.292453
7   8.0  0.230739
8   9.0  0.234027
9  10.0  0.256032","      E       rho
0   1.0  0.283952
1   2.0  0.206106
2   3.0  0.230622
3   4.0  0.175315
4   5.0  0.147274
5   6.0  0.212008
6   7.0  0.240350
7   8.0  0.171317
8   9.0  0.193299
9  10.0  0.223342"
6,"      E       rho
0   1.0  0.327728
1   2.0  0.112910
2   3.0  0.303104
3   4.0  0.275112
4   5.0  0.239128
5   6.0  0.306877
6   7.0  0.302150
7   8.0  0.343205
8   9.0  0.349096
9  10.0  0.360881","      E       rho
0   1.0  0.327728
1   2.0  0.255660
2   3.0  0.295181
3   4.0  0.290078
4   5.0  0.280982
5   6.0  0.298144
6   7.0  0.306776
7   8.0  0.340534
8   9.0  0.359571
9  10.0  0.360315","      E       rho
0   1.0  0.327728
1   2.0  0.186502
2   3.0  0.214222
3   4.0  0.324046
4   5.0  0.262209
5   6.0  0.293902
6   7.0  0.283139
7   8.0  0.327134
8   9.0  0.356342
9  10.0  0.342924","      E       rho
0   1.0  0.327728
1   2.0  0.278780
2   3.0  0.306751
3   4.0  0.296287
4   5.0  0.350792
5   6.0  0.303674
6   7.0  0.311750
7   8.0  0.371404
8   9.0  0.338891
9  10.0  0.352709","      E       rho
0   1.0  0.327728
1   2.0  0.302349
2   3.0  0.361092
3   4.0  0.331669
4   5.0  0.302597
5   6.0  0.349873
6   7.0  0.370756
7   8.0  0.403252
8   9.0  0.388348
9  10.0  0.400435","      E       rho
0   1.0  0.327728
1   2.0  0.316735
2   3.0  0.201183
3   4.0  0.226647
4   5.0  0.261889
5   6.0  0.242531
6   7.0  0.206172
7   8.0  0.320274
8   9.0  0.304899
9  10.0  0.372128","      E       rho
0   1.0  0.327728
1   2.0  0.273931
2   3.0  0.315223
3   4.0  0.293753
4   5.0  0.339020
5   6.0  0.329498
6   7.0  0.386048
7   8.0  0.394745
8   9.0  0.403647
9  10.0  0.405020","      E       rho
0   1.0  0.327728
1   2.0  0.241326
2   3.0  0.337426
3   4.0  0.326920
4   5.0  0.314109
5   6.0  0.287943
6   7.0  0.264781
7   8.0  0.295645
8   9.0  0.368709
9  10.0  0.337044","      E       rho
0   1.0  0.327728
1   2.0  0.356511
2   3.0  0.337355
3   4.0  0.336328
4   5.0  0.243705
5   6.0  0.324832
6   7.0  0.384535
7   8.0  0.354772
8   9.0  0.410517
9  10.0  0.377589","      E       rho
0   1.0  0.327728
1   2.0  0.176567
2   3.0  0.204686
3   4.0  0.219645
4   5.0  0.220459
5   6.0  0.235881
6   7.0  0.248220
7   8.0  0.267321
8   9.0  0.314452
9  10.0  0.306590"
7,"      E       rho
0   1.0  0.237053
1   2.0  0.082477
2   3.0  0.112917
3   4.0  0.045690
4   5.0  0.167360
5   6.0  0.198390
6   7.0  0.322422
7   8.0  0.323023
8   9.0  0.312944
9  10.0  0.309831","      E       rho
0   1.0  0.237053
1   2.0  0.138659
2   3.0  0.144597
3   4.0  0.164923
4   5.0  0.178902
5   6.0  0.217033
6   7.0  0.245955
7   8.0  0.275961
8   9.0  0.259753
9  10.0  0.286690","      E       rho
0   1.0  0.237053
1   2.0  0.079383
2   3.0  0.205279
3   4.0  0.191066
4   5.0  0.147279
5   6.0  0.220000
6   7.0  0.245151
7   8.0  0.292762
8   9.0  0.297484
9  10.0  0.365727","      E       rho
0   1.0  0.237053
1   2.0  0.181158
2   3.0  0.196946
3   4.0  0.200303
4   5.0  0.207202
5   6.0  0.260155
6   7.0  0.227705
7   8.0  0.262622
8   9.0  0.251784
9  10.0  0.306295","      E       rho
0   1.0  0.237053
1   2.0  0.057798
2   3.0  0.118255
3   4.0  0.082242
4   5.0  0.166547
5   6.0  0.220837
6   7.0  0.289266
7   8.0  0.279011
8   9.0  0.252488
9  10.0  0.252042","      E       rho
0   1.0  0.237053
1   2.0  0.204933
2   3.0  0.187962
3   4.0  0.214892
4   5.0  0.232391
5   6.0  0.261017
6   7.0  0.248792
7   8.0  0.269216
8   9.0  0.349240
9  10.0  0.345487","      E       rho
0   1.0  0.237053
1   2.0  0.240108
2   3.0  0.085306
3   4.0  0.071777
4   5.0 -0.008819
5   6.0  0.010951
6   7.0  0.063389
7   8.0  0.125393
8   9.0  0.068017
9  10.0  0.030078","      E       rho
0   1.0  0.237053
1   2.0  0.187319
2   3.0  0.148937
3   4.0  0.145392
4   5.0  0.111330
5   6.0  0.076605
6   7.0  0.212985
7   8.0  0.256493
8   9.0  0.239933
9  10.0  0.278670","      E       rho
0   1.0  0.237053
1   2.0  0.012556
2   3.0  0.003779
3   4.0  0.246396
4   5.0  0.319043
5   6.0  0.349432
6   7.0  0.345514
7   8.0  0.381598
8   9.0  0.337516
9  10.0  0.329470","      E       rho
0   1.0  0.237053
1   2.0  0.152282
2   3.0  0.217841
3   4.0  0.190615
4   5.0  0.187957
5   6.0  0.286185
6   7.0  0.259317
7   8.0  0.309255
8   9.0  0.202011
9  10.0  0.360012"
8,"      E       rho
0   1.0  0.218606
1   2.0  0.232891
2   3.0  0.142845
3   4.0  0.234371
4   5.0  0.246692
5   6.0  0.302897
6   7.0  0.270624
7   8.0  0.294582
8   9.0  0.316771
9  10.0  0.310412","      E       rho
0   1.0  0.218606
1   2.0  0.172499
2   3.0  0.160206
3   4.0  0.163215
4   5.0  0.207128
5   6.0  0.228172
6   7.0  0.261061
7   8.0  0.275907
8   9.0  0.309598
9  10.0  0.310617","      E       rho
0   1.0  0.218606
1   2.0  0.189165
2   3.0  0.084509
3   4.0  0.090848
4   5.0  0.232336
5   6.0  0.245880
6   7.0  0.264155
7   8.0  0.283299
8   9.0  0.328030
9  10.0  0.332920","      E       rho
0   1.0  0.218606
1   2.0  0.175125
2   3.0  0.265796
3   4.0  0.233246
4   5.0  0.241150
5   6.0  0.301789
6   7.0  0.340322
7   8.0  0.314303
8   9.0  0.364040
9  10.0  0.412325","      E       rho
0   1.0  0.218606
1   2.0  0.239873
2   3.0  0.181992
3   4.0  0.231271
4   5.0  0.235601
5   6.0  0.247411
6   7.0  0.236939
7   8.0  0.247832
8   9.0  0.322352
9  10.0  0.321875","      E       rho
0   1.0  0.218606
1   2.0  0.132612
2   3.0  0.159506
3   4.0  0.082200
4   5.0  0.138010
5   6.0  0.140506
6   7.0  0.265586
7   8.0  0.313132
8   9.0  0.341613
9  10.0  0.399270","      E       rho
0   1.0  0.218606
1   2.0  0.207597
2   3.0  0.242632
3   4.0  0.221054
4   5.0  0.264638
5   6.0  0.219550
6   7.0  0.184039
7   8.0  0.192762
8   9.0  0.201548
9  10.0  0.199349","      E       rho
0   1.0  0.218606
1   2.0  0.093644
2   3.0  0.078820
3   4.0  0.101350
4   5.0  0.163792
5   6.0  0.300548
6   7.0  0.283295
7   8.0  0.307688
8   9.0  0.347280
9  10.0  0.318875","      E       rho
0   1.0  0.218606
1   2.0  0.127637
2   3.0  0.134638
3   4.0  0.141733
4   5.0  0.122863
5   6.0  0.071038
6   7.0  0.218283
7   8.0  0.234338
8   9.0  0.227536
9  10.0  0.232249","      E       rho
0   1.0  0.218606
1   2.0  0.108366
2   3.0  0.128110
3   4.0  0.221320
4   5.0  0.257557
5   6.0  0.287020
6   7.0  0.267273
7   8.0  0.294279
8   9.0  0.372257
9  10.0  0.348345"
9,"      E       rho
0   1.0  0.297479
1   2.0  0.173831
2   3.0  0.211091
3   4.0  0.244476
4   5.0  0.272116
5   6.0  0.285594
6   7.0  0.277814
7   8.0  0.318695
8   9.0  0.307890
9  10.0  0.325230","      E       rho
0   1.0  0.297479
1   2.0  0.149321
2   3.0  0.158052
3   4.0  0.195377
4   5.0  0.222771
5   6.0  0.242155
6   7.0  0.284808
7   8.0  0.285883
8   9.0  0.289184
9  10.0  0.306468","      E       rho
0   1.0  0.297479
1   2.0  0.210783
2   3.0  0.065864
3   4.0  0.113430
4   5.0  0.156418
5   6.0  0.080493
6   7.0  0.187181
7   8.0  0.228453
8   9.0  0.244233
9  10.0  0.284346","      E       rho
0   1.0  0.297479
1   2.0  0.157198
2   3.0  0.228460
3   4.0  0.282946
4   5.0  0.255477
5   6.0  0.239714
6   7.0  0.285964
7   8.0  0.299397
8   9.0  0.301738
9  10.0  0.295269","      E       rho
0   1.0  0.297479
1   2.0  0.091941
2   3.0  0.216776
3   4.0  0.208222
4   5.0  0.181208
5   6.0  0.328380
6   7.0  0.384250
7   8.0  0.355537
8   9.0  0.337436
9  10.0  0.336250","      E       rho
0   1.0  0.297479
1   2.0  0.171513
2   3.0  0.163150
3   4.0  0.205616
4   5.0  0.216846
5   6.0  0.245099
6   7.0  0.268193
7   8.0  0.332272
8   9.0  0.308068
9  10.0  0.309324","      E       rho
0   1.0  0.297479
1   2.0  0.034686
2   3.0 -0.009947
3   4.0  0.061595
4   5.0  0.092259
5   6.0  0.145454
6   7.0  0.220121
7   8.0  0.199867
8   9.0  0.223772
9  10.0  0.231887","      E       rho
0   1.0  0.297479
1   2.0  0.197842
2   3.0  0.063583
3   4.0  0.179680
4   5.0  0.302663
5   6.0  0.364615
6   7.0  0.358724
7   8.0  0.316399
8   9.0  0.321898
9  10.0  0.304074","      E       rho
0   1.0  0.297479
1   2.0  0.093193
2   3.0  0.205439
3   4.0  0.235880
4   5.0  0.250143
5   6.0  0.258217
6   7.0  0.291436
7   8.0  0.316944
8   9.0  0.325610
9  10.0  0.383323","      E       rho
0   1.0  0.297479
1   2.0  0.157703
2   3.0  0.175801
3   4.0  0.179323
4   5.0  0.190234
5   6.0  0.165882
6   7.0  0.300121
7   8.0  0.262677
8   9.0  0.242528
9  10.0  0.280091"
