,0,1,2,3,4,5,6,7,8,9
0,"      E       rho
0   1.0  0.749276
1   2.0  0.780009
2   3.0  0.829884
3   4.0  0.821256
4   5.0  0.820697
5   6.0  0.826014
6   7.0  0.825266
7   8.0  0.820277
8   9.0  0.821444
9  10.0  0.819295","      E       rho
0   1.0  0.749276
1   2.0  0.802619
2   3.0  0.821820
3   4.0  0.826371
4   5.0  0.826148
5   6.0  0.832980
6   7.0  0.838014
7   8.0  0.840716
8   9.0  0.846288
9  10.0  0.845513","      E       rho
0   1.0  0.749276
1   2.0  0.818032
2   3.0  0.819062
3   4.0  0.842302
4   5.0  0.847045
5   6.0  0.842551
6   7.0  0.844038
7   8.0  0.841156
8   9.0  0.852112
9  10.0  0.840158","      E       rho
0   1.0  0.749276
1   2.0  0.772931
2   3.0  0.819468
3   4.0  0.836804
4   5.0  0.827950
5   6.0  0.828192
6   7.0  0.847040
7   8.0  0.837295
8   9.0  0.839236
9  10.0  0.836125","      E       rho
0   1.0  0.749276
1   2.0  0.797005
2   3.0  0.833906
3   4.0  0.827357
4   5.0  0.822204
5   6.0  0.826761
6   7.0  0.819897
7   8.0  0.837520
8   9.0  0.843919
9  10.0  0.846178","      E       rho
0   1.0  0.749276
1   2.0  0.806960
2   3.0  0.834663
3   4.0  0.836351
4   5.0  0.839875
5   6.0  0.838933
6   7.0  0.837845
7   8.0  0.850354
8   9.0  0.849824
9  10.0  0.850625","      E       rho
0   1.0  0.749276
1   2.0  0.810236
2   3.0  0.807627
3   4.0  0.801514
4   5.0  0.802257
5   6.0  0.813786
6   7.0  0.832118
7   8.0  0.830247
8   9.0  0.847619
9  10.0  0.846680","      E       rho
0   1.0  0.749276
1   2.0  0.805317
2   3.0  0.802668
3   4.0  0.828974
4   5.0  0.819074
5   6.0  0.829758
6   7.0  0.838656
7   8.0  0.847489
8   9.0  0.855056
9  10.0  0.856565","      E       rho
0   1.0  0.749276
1   2.0  0.804600
2   3.0  0.822121
3   4.0  0.809531
4   5.0  0.827921
5   6.0  0.846042
6   7.0  0.857825
7   8.0  0.859333
8   9.0  0.857050
9  10.0  0.866061","      E       rho
0   1.0  0.749276
1   2.0  0.825842
2   3.0  0.824202
3   4.0  0.824219
4   5.0  0.819830
5   6.0  0.833628
6   7.0  0.839158
7   8.0  0.848066
8   9.0  0.851627
9  10.0  0.853797"
1,"      E       rho
0   1.0  0.555955
1   2.0  0.603185
2   3.0  0.668719
3   4.0  0.674371
4   5.0  0.692247
5   6.0  0.713385
6   7.0  0.722028
7   8.0  0.728014
8   9.0  0.733353
9  10.0  0.741056","      E       rho
0   1.0  0.555955
1   2.0  0.636143
2   3.0  0.686393
3   4.0  0.713315
4   5.0  0.730167
5   6.0  0.750564
6   7.0  0.760013
7   8.0  0.770006
8   9.0  0.784816
9  10.0  0.789020","      E       rho
0   1.0  0.555955
1   2.0  0.667499
2   3.0  0.651594
3   4.0  0.730691
4   5.0  0.728032
5   6.0  0.762773
6   7.0  0.747446
7   8.0  0.763297
8   9.0  0.775373
9  10.0  0.776215","      E       rho
0   1.0  0.555955
1   2.0  0.648940
2   3.0  0.707288
3   4.0  0.724029
4   5.0  0.752880
5   6.0  0.750757
6   7.0  0.772778
7   8.0  0.752697
8   9.0  0.762785
9  10.0  0.765665","      E       rho
0   1.0  0.555955
1   2.0  0.663138
2   3.0  0.691438
3   4.0  0.764102
4   5.0  0.753034
5   6.0  0.774586
6   7.0  0.768439
7   8.0  0.783643
8   9.0  0.805761
9  10.0  0.813593","      E       rho
0   1.0  0.555955
1   2.0  0.607236
2   3.0  0.679635
3   4.0  0.704706
4   5.0  0.741063
5   6.0  0.733700
6   7.0  0.726820
7   8.0  0.773132
8   9.0  0.784326
9  10.0  0.793215","      E       rho
0   1.0  0.555955
1   2.0  0.633858
2   3.0  0.679946
3   4.0  0.680668
4   5.0  0.701739
5   6.0  0.713767
6   7.0  0.748758
7   8.0  0.762050
8   9.0  0.786059
9  10.0  0.792756","      E       rho
0   1.0  0.555955
1   2.0  0.613889
2   3.0  0.683548
3   4.0  0.721321
4   5.0  0.724664
5   6.0  0.762439
6   7.0  0.797191
7   8.0  0.805252
8   9.0  0.816324
9  10.0  0.818685","      E       rho
0   1.0  0.555955
1   2.0  0.621401
2   3.0  0.694062
3   4.0  0.710087
4   5.0  0.737625
5   6.0  0.781874
6   7.0  0.788945
7   8.0  0.791339
8   9.0  0.799691
9  10.0  0.816033","      E       rho
0   1.0  0.555955
1   2.0  0.665736
2   3.0  0.698597
3   4.0  0.711569
4   5.0  0.738007
5   6.0  0.763076
6   7.0  0.781119
7   8.0  0.783450
8   9.0  0.809761
9  10.0  0.813724"
2,"      E       rho
0   1.0  0.482121
1   2.0  0.534854
2   3.0  0.614835
3   4.0  0.632389
4   5.0  0.638143
5   6.0  0.661749
6   7.0  0.681958
7   8.0  0.690932
8   9.0  0.697624
9  10.0  0.713436","      E       rho
0   1.0  0.482121
1   2.0  0.575128
2   3.0  0.640151
3   4.0  0.679892
4   5.0  0.709847
5   6.0  0.732926
6   7.0  0.747001
7   8.0  0.762452
8   9.0  0.776964
9  10.0  0.780690","      E       rho
0   1.0  0.482121
1   2.0  0.596226
2   3.0  0.643971
3   4.0  0.700094
4   5.0  0.700721
5   6.0  0.751387
6   7.0  0.730359
7   8.0  0.752532
8   9.0  0.755916
9  10.0  0.761950","      E       rho
0   1.0  0.482121
1   2.0  0.586491
2   3.0  0.655718
3   4.0  0.686420
4   5.0  0.712122
5   6.0  0.728239
6   7.0  0.749189
7   8.0  0.759545
8   9.0  0.767573
9  10.0  0.764450","      E       rho
0   1.0  0.482121
1   2.0  0.613054
2   3.0  0.632707
3   4.0  0.718549
4   5.0  0.743948
5   6.0  0.746358
6   7.0  0.749449
7   8.0  0.762961
8   9.0  0.806544
9  10.0  0.808766","      E       rho
0   1.0  0.482121
1   2.0  0.555007
2   3.0  0.632215
3   4.0  0.656236
4   5.0  0.720540
5   6.0  0.717490
6   7.0  0.717278
7   8.0  0.756073
8   9.0  0.778535
9  10.0  0.792151","      E       rho
0   1.0  0.482121
1   2.0  0.534819
2   3.0  0.617689
3   4.0  0.630442
4   5.0  0.673840
5   6.0  0.687188
6   7.0  0.730481
7   8.0  0.749724
8   9.0  0.766293
9  10.0  0.762455","      E       rho
0   1.0  0.482121
1   2.0  0.558971
2   3.0  0.652273
3   4.0  0.672429
4   5.0  0.691319
5   6.0  0.752587
6   7.0  0.798188
7   8.0  0.812630
8   9.0  0.810864
9  10.0  0.820666","      E       rho
0   1.0  0.482121
1   2.0  0.585851
2   3.0  0.666261
3   4.0  0.723441
4   5.0  0.733418
5   6.0  0.787120
6   7.0  0.778922
7   8.0  0.796830
8   9.0  0.814900
9  10.0  0.821501","      E       rho
0   1.0  0.482121
1   2.0  0.605245
2   3.0  0.641589
3   4.0  0.688880
4   5.0  0.767386
5   6.0  0.779262
6   7.0  0.810544
7   8.0  0.800164
8   9.0  0.820363
9  10.0  0.823270"
3,"      E       rho
0   1.0  0.417610
1   2.0  0.539089
2   3.0  0.580330
3   4.0  0.626374
4   5.0  0.603581
5   6.0  0.644020
6   7.0  0.664836
7   8.0  0.681566
8   9.0  0.686738
9  10.0  0.706325","      E       rho
0   1.0  0.417610
1   2.0  0.569860
2   3.0  0.633657
3   4.0  0.667855
4   5.0  0.697770
5   6.0  0.725760
6   7.0  0.741936
7   8.0  0.759744
8   9.0  0.769580
9  10.0  0.774685","      E       rho
0   1.0  0.417610
1   2.0  0.572871
2   3.0  0.650920
3   4.0  0.695677
4   5.0  0.689421
5   6.0  0.744236
6   7.0  0.733540
7   8.0  0.756506
8   9.0  0.755654
9  10.0  0.759493","      E       rho
0   1.0  0.417610
1   2.0  0.582973
2   3.0  0.646665
3   4.0  0.667250
4   5.0  0.699444
5   6.0  0.723724
6   7.0  0.748843
7   8.0  0.758315
8   9.0  0.763304
9  10.0  0.759133","      E       rho
0   1.0  0.417610
1   2.0  0.623702
2   3.0  0.642358
3   4.0  0.691533
4   5.0  0.733835
5   6.0  0.723032
6   7.0  0.747803
7   8.0  0.756211
8   9.0  0.795190
9  10.0  0.798850","      E       rho
0   1.0  0.417610
1   2.0  0.531224
2   3.0  0.621688
3   4.0  0.645894
4   5.0  0.697762
5   6.0  0.712627
6   7.0  0.705200
7   8.0  0.753213
8   9.0  0.768913
9  10.0  0.783725","      E       rho
0   1.0  0.417610
1   2.0  0.559975
2   3.0  0.602800
3   4.0  0.628136
4   5.0  0.655245
5   6.0  0.684787
6   7.0  0.738682
7   8.0  0.752853
8   9.0  0.757234
9  10.0  0.762413","      E       rho
0   1.0  0.417610
1   2.0  0.574856
2   3.0  0.684736
3   4.0  0.677935
4   5.0  0.717687
5   6.0  0.771274
6   7.0  0.790838
7   8.0  0.801070
8   9.0  0.812426
9  10.0  0.827447","      E       rho
0   1.0  0.417610
1   2.0  0.570302
2   3.0  0.654265
3   4.0  0.695090
4   5.0  0.723630
5   6.0  0.762691
6   7.0  0.769732
7   8.0  0.788283
8   9.0  0.807528
9  10.0  0.805581","      E       rho
0   1.0  0.417610
1   2.0  0.573584
2   3.0  0.619825
3   4.0  0.670336
4   5.0  0.768610
5   6.0  0.788882
6   7.0  0.807351
7   8.0  0.817916
8   9.0  0.825796
9  10.0  0.819367"
4,"      E       rho
0   1.0  0.437982
1   2.0  0.529408
2   3.0  0.566492
3   4.0  0.613997
4   5.0  0.613445
5   6.0  0.634338
6   7.0  0.668280
7   8.0  0.683462
8   9.0  0.691941
9  10.0  0.706830","      E       rho
0   1.0  0.437982
1   2.0  0.553718
2   3.0  0.614543
3   4.0  0.653597
4   5.0  0.685367
5   6.0  0.714609
6   7.0  0.736399
7   8.0  0.749864
8   9.0  0.759287
9  10.0  0.767650","      E       rho
0   1.0  0.437982
1   2.0  0.560587
2   3.0  0.631448
3   4.0  0.660799
4   5.0  0.672690
5   6.0  0.704294
6   7.0  0.725084
7   8.0  0.737509
8   9.0  0.737524
9  10.0  0.746090","      E       rho
0   1.0  0.437982
1   2.0  0.595596
2   3.0  0.643777
3   4.0  0.655561
4   5.0  0.694765
5   6.0  0.748519
6   7.0  0.751462
7   8.0  0.752724
8   9.0  0.759769
9  10.0  0.769596","      E       rho
0   1.0  0.437982
1   2.0  0.633458
2   3.0  0.614388
3   4.0  0.663075
4   5.0  0.710649
5   6.0  0.718653
6   7.0  0.745924
7   8.0  0.745361
8   9.0  0.768865
9  10.0  0.780414","      E       rho
0   1.0  0.437982
1   2.0  0.505134
2   3.0  0.582775
3   4.0  0.605883
4   5.0  0.675067
5   6.0  0.683492
6   7.0  0.702133
7   8.0  0.734170
8   9.0  0.737495
9  10.0  0.755192","      E       rho
0   1.0  0.437982
1   2.0  0.561279
2   3.0  0.627406
3   4.0  0.657011
4   5.0  0.662805
5   6.0  0.699772
6   7.0  0.750917
7   8.0  0.766030
8   9.0  0.772563
9  10.0  0.783559","      E       rho
0   1.0  0.437982
1   2.0  0.567424
2   3.0  0.627161
3   4.0  0.701151
4   5.0  0.711475
5   6.0  0.759729
6   7.0  0.770195
7   8.0  0.774265
8   9.0  0.806663
9  10.0  0.819423","      E       rho
0   1.0  0.437982
1   2.0  0.505016
2   3.0  0.627280
3   4.0  0.674260
4   5.0  0.703909
5   6.0  0.742942
6   7.0  0.774564
7   8.0  0.792587
8   9.0  0.807005
9  10.0  0.797873","      E       rho
0   1.0  0.437982
1   2.0  0.530368
2   3.0  0.572004
3   4.0  0.628704
4   5.0  0.718306
5   6.0  0.751824
6   7.0  0.756847
7   8.0  0.791826
8   9.0  0.787330
9  10.0  0.786871"
5,"      E       rho
0   1.0  0.420348
1   2.0  0.493001
2   3.0  0.567142
3   4.0  0.626833
4   5.0  0.624191
5   6.0  0.662735
6   7.0  0.681858
7   8.0  0.695666
8   9.0  0.708593
9  10.0  0.705909","      E       rho
0   1.0  0.420348
1   2.0  0.548804
2   3.0  0.607292
3   4.0  0.654454
4   5.0  0.683404
5   6.0  0.718772
6   7.0  0.741477
7   8.0  0.754210
8   9.0  0.765140
9  10.0  0.773990","      E       rho
0   1.0  0.420348
1   2.0  0.598906
2   3.0  0.615560
3   4.0  0.636285
4   5.0  0.678153
5   6.0  0.705365
6   7.0  0.716123
7   8.0  0.728651
8   9.0  0.742232
9  10.0  0.759529","      E       rho
0   1.0  0.420348
1   2.0  0.614855
2   3.0  0.646494
3   4.0  0.674276
4   5.0  0.685510
5   6.0  0.718397
6   7.0  0.723746
7   8.0  0.737050
8   9.0  0.738785
9  10.0  0.774124","      E       rho
0   1.0  0.420348
1   2.0  0.662149
2   3.0  0.633106
3   4.0  0.664066
4   5.0  0.693047
5   6.0  0.715280
6   7.0  0.741339
7   8.0  0.763138
8   9.0  0.780641
9  10.0  0.791678","      E       rho
0   1.0  0.420348
1   2.0  0.520526
2   3.0  0.596578
3   4.0  0.656610
4   5.0  0.696724
5   6.0  0.716520
6   7.0  0.745932
7   8.0  0.752769
8   9.0  0.764858
9  10.0  0.773269","      E       rho
0   1.0  0.420348
1   2.0  0.521225
2   3.0  0.602872
3   4.0  0.682316
4   5.0  0.692733
5   6.0  0.745526
6   7.0  0.762381
7   8.0  0.786237
8   9.0  0.790575
9  10.0  0.806862","      E       rho
0   1.0  0.420348
1   2.0  0.536553
2   3.0  0.607191
3   4.0  0.681227
4   5.0  0.675019
5   6.0  0.738183
6   7.0  0.765283
7   8.0  0.771322
8   9.0  0.804264
9  10.0  0.817022","      E       rho
0   1.0  0.420348
1   2.0  0.499566
2   3.0  0.594806
3   4.0  0.648653
4   5.0  0.685582
5   6.0  0.733843
6   7.0  0.782052
7   8.0  0.808730
8   9.0  0.808907
9  10.0  0.802142","      E       rho
0   1.0  0.420348
1   2.0  0.502448
2   3.0  0.590291
3   4.0  0.627719
4   5.0  0.730346
5   6.0  0.759798
6   7.0  0.778137
7   8.0  0.792441
8   9.0  0.790942
9  10.0  0.785711"
6,"      E       rho
0   1.0  0.451608
1   2.0  0.453591
2   3.0  0.586668
3   4.0  0.609873
4   5.0  0.645859
5   6.0  0.688987
6   7.0  0.698691
7   8.0  0.706172
8   9.0  0.703302
9  10.0  0.692427","      E       rho
0   1.0  0.451608
1   2.0  0.539902
2   3.0  0.613952
3   4.0  0.660097
4   5.0  0.701050
5   6.0  0.730877
6   7.0  0.748115
7   8.0  0.764548
8   9.0  0.767504
9  10.0  0.775755","      E       rho
0   1.0  0.451608
1   2.0  0.601123
2   3.0  0.620299
3   4.0  0.643297
4   5.0  0.671584
5   6.0  0.702227
6   7.0  0.712594
7   8.0  0.731946
8   9.0  0.738409
9  10.0  0.751336","      E       rho
0   1.0  0.451608
1   2.0  0.581936
2   3.0  0.631382
3   4.0  0.676868
4   5.0  0.705496
5   6.0  0.708726
6   7.0  0.732290
7   8.0  0.758696
8   9.0  0.748241
9  10.0  0.792076","      E       rho
0   1.0  0.451608
1   2.0  0.598117
2   3.0  0.666483
3   4.0  0.680331
4   5.0  0.719183
5   6.0  0.721108
6   7.0  0.735991
7   8.0  0.777960
8   9.0  0.785964
9  10.0  0.796541","      E       rho
0   1.0  0.451608
1   2.0  0.521941
2   3.0  0.589988
3   4.0  0.682795
4   5.0  0.711032
5   6.0  0.728081
6   7.0  0.772919
7   8.0  0.783926
8   9.0  0.775100
9  10.0  0.790015","      E       rho
0   1.0  0.451608
1   2.0  0.530226
2   3.0  0.601288
3   4.0  0.696816
4   5.0  0.713047
5   6.0  0.761181
6   7.0  0.759587
7   8.0  0.776507
8   9.0  0.783276
9  10.0  0.795770","      E       rho
0   1.0  0.451608
1   2.0  0.533679
2   3.0  0.570798
3   4.0  0.655000
4   5.0  0.676538
5   6.0  0.751559
6   7.0  0.772470
7   8.0  0.787514
8   9.0  0.799492
9  10.0  0.809384","      E       rho
0   1.0  0.451608
1   2.0  0.538258
2   3.0  0.589035
3   4.0  0.650464
4   5.0  0.724765
5   6.0  0.758163
6   7.0  0.794143
7   8.0  0.817459
8   9.0  0.814569
9  10.0  0.807021","      E       rho
0   1.0  0.451608
1   2.0  0.483411
2   3.0  0.639558
3   4.0  0.650671
4   5.0  0.754445
5   6.0  0.784848
6   7.0  0.791915
7   8.0  0.803046
8   9.0  0.805740
9  10.0  0.798142"
7,"      E       rho
0   1.0  0.422986
1   2.0  0.461875
2   3.0  0.537435
3   4.0  0.592625
4   5.0  0.640897
5   6.0  0.679879
6   7.0  0.684326
7   8.0  0.683794
8   9.0  0.680054
9  10.0  0.665577","      E       rho
0   1.0  0.422986
1   2.0  0.506814
2   3.0  0.573847
3   4.0  0.622865
4   5.0  0.667990
5   6.0  0.707303
6   7.0  0.727562
7   8.0  0.753665
8   9.0  0.757357
9  10.0  0.764579","      E       rho
0   1.0  0.422986
1   2.0  0.533296
2   3.0  0.583978
3   4.0  0.615382
4   5.0  0.621351
5   6.0  0.690222
6   7.0  0.703689
7   8.0  0.732549
8   9.0  0.732359
9  10.0  0.741164","      E       rho
0   1.0  0.422986
1   2.0  0.557423
2   3.0  0.623261
3   4.0  0.669729
4   5.0  0.704943
5   6.0  0.726080
6   7.0  0.726408
7   8.0  0.753933
8   9.0  0.741224
9  10.0  0.791761","      E       rho
0   1.0  0.422986
1   2.0  0.555118
2   3.0  0.638975
3   4.0  0.664600
4   5.0  0.681789
5   6.0  0.704582
6   7.0  0.716075
7   8.0  0.792958
8   9.0  0.796334
9  10.0  0.804426","      E       rho
0   1.0  0.422986
1   2.0  0.509589
2   3.0  0.524961
3   4.0  0.610613
4   5.0  0.653451
5   6.0  0.668250
6   7.0  0.740322
7   8.0  0.766470
8   9.0  0.763762
9  10.0  0.778671","      E       rho
0   1.0  0.422986
1   2.0  0.458271
2   3.0  0.520646
3   4.0  0.613751
4   5.0  0.648003
5   6.0  0.725663
6   7.0  0.730507
7   8.0  0.753927
8   9.0  0.772775
9  10.0  0.770497","      E       rho
0   1.0  0.422986
1   2.0  0.491145
2   3.0  0.510112
3   4.0  0.602215
4   5.0  0.635083
5   6.0  0.712765
6   7.0  0.740626
7   8.0  0.770840
8   9.0  0.780012
9  10.0  0.793922","      E       rho
0   1.0  0.422986
1   2.0  0.496729
2   3.0  0.587001
3   4.0  0.627126
4   5.0  0.721283
5   6.0  0.744673
6   7.0  0.763931
7   8.0  0.786653
8   9.0  0.797194
9  10.0  0.798578","      E       rho
0   1.0  0.422986
1   2.0  0.487857
2   3.0  0.586928
3   4.0  0.595706
4   5.0  0.713207
5   6.0  0.740807
6   7.0  0.788777
7   8.0  0.807435
8   9.0  0.811761
9  10.0  0.800429"
8,"      E       rho
0   1.0  0.424405
1   2.0  0.427626
2   3.0  0.524495
3   4.0  0.595070
4   5.0  0.636012
5   6.0  0.657293
6   7.0  0.655949
7   8.0  0.668119
8   9.0  0.657151
9  10.0  0.648224","      E       rho
0   1.0  0.424405
1   2.0  0.493394
2   3.0  0.551173
3   4.0  0.613450
4   5.0  0.652758
5   6.0  0.693363
6   7.0  0.720424
7   8.0  0.744687
8   9.0  0.752761
9  10.0  0.760584","      E       rho
0   1.0  0.424405
1   2.0  0.515848
2   3.0  0.538868
3   4.0  0.583812
4   5.0  0.602948
5   6.0  0.671144
6   7.0  0.687455
7   8.0  0.721342
8   9.0  0.718770
9  10.0  0.747431","      E       rho
0   1.0  0.424405
1   2.0  0.538238
2   3.0  0.583418
3   4.0  0.659219
4   5.0  0.706906
5   6.0  0.741024
6   7.0  0.737390
7   8.0  0.737473
8   9.0  0.752058
9  10.0  0.780641","      E       rho
0   1.0  0.424405
1   2.0  0.568258
2   3.0  0.595145
3   4.0  0.633659
4   5.0  0.653514
5   6.0  0.711837
6   7.0  0.720492
7   8.0  0.778382
8   9.0  0.779765
9  10.0  0.782030","      E       rho
0   1.0  0.424405
1   2.0  0.494662
2   3.0  0.508379
3   4.0  0.616261
4   5.0  0.628035
5   6.0  0.666831
6   7.0  0.718021
7   8.0  0.760433
8   9.0  0.773022
9  10.0  0.783043","      E       rho
0   1.0  0.424405
1   2.0  0.436025
2   3.0  0.476334
3   4.0  0.582546
4   5.0  0.619090
5   6.0  0.682185
6   7.0  0.718434
7   8.0  0.740145
8   9.0  0.761005
9  10.0  0.752303","      E       rho
0   1.0  0.424405
1   2.0  0.428804
2   3.0  0.508657
3   4.0  0.594477
4   5.0  0.629211
5   6.0  0.704880
6   7.0  0.753263
7   8.0  0.768867
8   9.0  0.782485
9  10.0  0.802568","      E       rho
0   1.0  0.424405
1   2.0  0.527184
2   3.0  0.601589
3   4.0  0.666404
4   5.0  0.736878
5   6.0  0.745165
6   7.0  0.771008
7   8.0  0.793086
8   9.0  0.805889
9  10.0  0.810288","      E       rho
0   1.0  0.424405
1   2.0  0.465209
2   3.0  0.548524
3   4.0  0.565439
4   5.0  0.675314
5   6.0  0.713701
6   7.0  0.800814
7   8.0  0.810435
8   9.0  0.810682
9  10.0  0.804378"
9,"      E       rho
0   1.0  0.428282
1   2.0  0.465863
2   3.0  0.543959
3   4.0  0.578269
4   5.0  0.593262
5   6.0  0.625472
6   7.0  0.647432
7   8.0  0.645232
8   9.0  0.637332
9  10.0  0.639172","      E       rho
0   1.0  0.428282
1   2.0  0.488223
2   3.0  0.540835
3   4.0  0.601662
4   5.0  0.644365
5   6.0  0.686670
6   7.0  0.715397
7   8.0  0.730957
8   9.0  0.743299
9  10.0  0.753712","      E       rho
0   1.0  0.428282
1   2.0  0.529025
2   3.0  0.531914
3   4.0  0.570577
4   5.0  0.603341
5   6.0  0.666350
6   7.0  0.688080
7   8.0  0.698752
8   9.0  0.707455
9  10.0  0.741776","      E       rho
0   1.0  0.428282
1   2.0  0.514931
2   3.0  0.566472
3   4.0  0.606063
4   5.0  0.662911
5   6.0  0.683184
6   7.0  0.701809
7   8.0  0.708314
8   9.0  0.739770
9  10.0  0.764782","      E       rho
0   1.0  0.428282
1   2.0  0.530112
2   3.0  0.588076
3   4.0  0.624259
4   5.0  0.686072
5   6.0  0.727510
6   7.0  0.734215
7   8.0  0.756308
8   9.0  0.770549
9  10.0  0.767809","      E       rho
0   1.0  0.428282
1   2.0  0.470498
2   3.0  0.479773
3   4.0  0.606962
4   5.0  0.591467
5   6.0  0.634600
6   7.0  0.694570
7   8.0  0.736854
8   9.0  0.757149
9  10.0  0.775640","      E       rho
0   1.0  0.428282
1   2.0  0.404578
2   3.0  0.448465
3   4.0  0.546083
4   5.0  0.597534
5   6.0  0.669998
6   7.0  0.707888
7   8.0  0.714840
8   9.0  0.733540
9  10.0  0.730020","      E       rho
0   1.0  0.428282
1   2.0  0.420151
2   3.0  0.503072
3   4.0  0.590246
4   5.0  0.632337
5   6.0  0.727036
6   7.0  0.775016
7   8.0  0.793330
8   9.0  0.796172
9  10.0  0.823159","      E       rho
0   1.0  0.428282
1   2.0  0.506459
2   3.0  0.571867
3   4.0  0.663134
4   5.0  0.722269
5   6.0  0.749446
6   7.0  0.772815
7   8.0  0.792114
8   9.0  0.805357
9  10.0  0.811916","      E       rho
0   1.0  0.428282
1   2.0  0.515342
2   3.0  0.593306
3   4.0  0.607704
4   5.0  0.713743
5   6.0  0.729110
6   7.0  0.787176
7   8.0  0.801611
8   9.0  0.807982
9  10.0  0.798783"
