,0,1,2,3,4,5,6,7,8,9
0,"      E       rho
0   1.0  0.277178
1   2.0  0.061698
2   3.0  0.089835
3   4.0  0.174685
4   5.0  0.203239
5   6.0  0.162969
6   7.0  0.173953
7   8.0  0.197676
8   9.0  0.185990
9  10.0  0.181078","      E       rho
0   1.0  0.277178
1   2.0  0.079110
2   3.0  0.027041
3   4.0  0.016179
4   5.0  0.019805
5   6.0  0.046133
6   7.0  0.059792
7   8.0  0.094834
8   9.0  0.089859
9  10.0  0.083658","      E       rho
0   1.0  0.277178
1   2.0  0.169088
2   3.0  0.095285
3   4.0 -0.002022
4   5.0  0.038665
5   6.0  0.162258
6   7.0  0.183694
7   8.0  0.136920
8   9.0  0.112063
9  10.0  0.053168","      E       rho
0   1.0  0.277178
1   2.0  0.125212
2   3.0  0.067130
3   4.0  0.017310
4   5.0 -0.020343
5   6.0 -0.054788
6   7.0 -0.067801
7   8.0 -0.014776
8   9.0  0.050334
9  10.0  0.015963","      E       rho
0   1.0  0.277178
1   2.0  0.134458
2   3.0 -0.000010
3   4.0 -0.001711
4   5.0 -0.004771
5   6.0  0.020645
6   7.0 -0.011509
7   8.0  0.074539
8   9.0  0.055078
9  10.0 -0.008939","      E       rho
0   1.0  0.277178
1   2.0  0.126202
2   3.0  0.104190
3   4.0  0.053132
4   5.0  0.017365
5   6.0 -0.118438
6   7.0 -0.080928
7   8.0  0.103968
8   9.0  0.064261
9  10.0  0.093435","      E       rho
0   1.0  0.277178
1   2.0  0.049318
2   3.0  0.021968
3   4.0 -0.021199
4   5.0  0.007592
5   6.0  0.050566
6   7.0  0.085909
7   8.0  0.105480
8   9.0  0.179493
9  10.0  0.179343","      E       rho
0   1.0  0.277178
1   2.0  0.119008
2   3.0 -0.054301
3   4.0 -0.041587
4   5.0  0.013571
5   6.0  0.046934
6   7.0  0.090549
7   8.0  0.062511
8   9.0  0.060781
9  10.0  0.055530","      E       rho
0   1.0  0.277178
1   2.0 -0.029276
2   3.0 -0.083992
3   4.0 -0.047279
4   5.0 -0.146684
5   6.0  0.060919
6   7.0  0.109558
7   8.0  0.170360
8   9.0  0.093326
9  10.0  0.090399","      E       rho
0   1.0  0.277178
1   2.0  0.008986
2   3.0 -0.057623
3   4.0  0.024337
4   5.0  0.057637
5   6.0  0.065254
6   7.0  0.082926
7   8.0  0.018788
8   9.0 -0.007181
9  10.0  0.021746"
1,"      E       rho
0   1.0  0.291622
1   2.0  0.112051
2   3.0  0.111127
3   4.0  0.163954
4   5.0  0.158964
5   6.0  0.207247
6   7.0  0.204471
7   8.0  0.107526
8   9.0  0.107626
9  10.0  0.088784","      E       rho
0   1.0  0.291622
1   2.0  0.103378
2   3.0  0.111377
3   4.0  0.094221
4   5.0  0.121229
5   6.0  0.126655
6   7.0  0.130429
7   8.0  0.070938
8   9.0  0.050855
9  10.0  0.052214","      E       rho
0   1.0  0.291622
1   2.0  0.113849
2   3.0  0.126387
3   4.0  0.126635
4   5.0  0.226049
5   6.0  0.150341
6   7.0  0.139478
7   8.0  0.139861
8   9.0  0.079068
9  10.0  0.083545","      E       rho
0   1.0  0.291622
1   2.0 -0.007386
2   3.0  0.067788
3   4.0  0.137344
4   5.0  0.161447
5   6.0  0.113966
6   7.0  0.216600
7   8.0  0.125358
8   9.0  0.137725
9  10.0  0.173175","      E       rho
0   1.0  0.291622
1   2.0  0.186333
2   3.0  0.115534
3   4.0  0.129856
4   5.0  0.158744
5   6.0  0.189855
6   7.0  0.125738
7   8.0  0.144110
8   9.0  0.048014
9  10.0  0.120183","      E       rho
0   1.0  0.291622
1   2.0  0.039086
2   3.0  0.131000
3   4.0  0.122456
4   5.0  0.181748
5   6.0  0.226514
6   7.0  0.190902
7   8.0  0.126254
8   9.0  0.070869
9  10.0  0.090914","      E       rho
0   1.0  0.291622
1   2.0  0.100309
2   3.0  0.090317
3   4.0  0.109931
4   5.0  0.052824
5   6.0  0.036273
6   7.0 -0.039043
7   8.0 -0.087782
8   9.0 -0.038254
9  10.0 -0.087316","      E       rho
0   1.0  0.291622
1   2.0  0.133465
2   3.0  0.095964
3   4.0  0.060151
4   5.0  0.164827
5   6.0  0.094082
6   7.0  0.026141
7   8.0 -0.063388
8   9.0 -0.024105
9  10.0 -0.015951","      E       rho
0   1.0  0.291622
1   2.0  0.130281
2   3.0  0.145246
3   4.0  0.006524
4   5.0  0.045907
5   6.0  0.100990
6   7.0  0.119468
7   8.0  0.059821
8   9.0  0.016662
9  10.0  0.039572","      E       rho
0   1.0  0.291622
1   2.0  0.090435
2   3.0  0.082944
3   4.0 -0.021597
4   5.0 -0.049751
5   6.0 -0.039025
6   7.0  0.065648
7   8.0 -0.005400
8   9.0 -0.112868
9  10.0 -0.148919"
2,"      E       rho
0   1.0  0.112931
1   2.0 -0.008233
2   3.0 -0.112162
3   4.0  0.016603
4   5.0  0.062954
5   6.0  0.127577
6   7.0  0.115697
7   8.0  0.063072
8   9.0  0.078802
9  10.0  0.084591","      E       rho
0   1.0  0.112931
1   2.0  0.053202
2   3.0  0.035127
3   4.0  0.039827
4   5.0  0.066917
5   6.0  0.089826
6   7.0  0.099922
7   8.0  0.092758
8   9.0  0.115821
9  10.0  0.111124","      E       rho
0   1.0  0.112931
1   2.0 -0.002899
2   3.0 -0.017913
3   4.0 -0.010764
4   5.0  0.009993
5   6.0  0.147007
6   7.0  0.142172
7   8.0  0.160782
8   9.0  0.145445
9  10.0  0.187102","      E       rho
0   1.0  0.112931
1   2.0  0.074479
2   3.0  0.074388
3   4.0  0.143758
4   5.0 -0.020135
5   6.0  0.019873
6   7.0  0.083242
7   8.0  0.146558
8   9.0  0.117737
9  10.0  0.057825","      E       rho
0   1.0  0.112931
1   2.0  0.197686
2   3.0  0.167798
3   4.0  0.115252
4   5.0  0.115492
5   6.0  0.144979
6   7.0  0.153883
7   8.0  0.132613
8   9.0  0.118350
9  10.0  0.131205","      E       rho
0   1.0  0.112931
1   2.0  0.116087
2   3.0 -0.005442
3   4.0  0.006415
4   5.0  0.094382
5   6.0  0.004732
6   7.0  0.137546
7   8.0  0.153421
8   9.0  0.163543
9  10.0  0.207652","      E       rho
0   1.0  0.112931
1   2.0  0.036757
2   3.0  0.136341
3   4.0 -0.009298
4   5.0  0.091682
5   6.0  0.111828
6   7.0  0.047541
7   8.0  0.022191
8   9.0  0.124401
9  10.0  0.109454","      E       rho
0   1.0  0.112931
1   2.0  0.128369
2   3.0  0.047344
3   4.0  0.087791
4   5.0  0.015614
5   6.0  0.068757
6   7.0  0.109596
7   8.0  0.068715
8   9.0  0.089982
9  10.0  0.068877","      E       rho
0   1.0  0.112931
1   2.0  0.080406
2   3.0  0.093295
3   4.0  0.080024
4   5.0  0.116612
5   6.0  0.112677
6   7.0  0.080499
7   8.0  0.125776
8   9.0  0.165269
9  10.0  0.094549","      E       rho
0   1.0  0.112931
1   2.0 -0.087141
2   3.0 -0.005177
3   4.0 -0.007486
4   5.0  0.083983
5   6.0  0.067770
6   7.0  0.052060
7   8.0 -0.036562
8   9.0  0.049540
9  10.0  0.083573"
3,"      E       rho
0   1.0  0.138589
1   2.0  0.011679
2   3.0  0.018132
3   4.0  0.089668
4   5.0  0.043468
5   6.0  0.100232
6   7.0  0.061159
7   8.0  0.070237
8   9.0  0.040576
9  10.0  0.079068","      E       rho
0   1.0  0.138589
1   2.0  0.071779
2   3.0  0.083194
3   4.0  0.066148
4   5.0  0.059097
5   6.0  0.045204
6   7.0  0.048252
7   8.0  0.061733
8   9.0  0.045019
9  10.0  0.050866","      E       rho
0   1.0  0.138589
1   2.0  0.150945
2   3.0  0.023266
3   4.0 -0.009695
4   5.0  0.071619
5   6.0  0.108963
6   7.0  0.109496
7   8.0  0.112849
8   9.0  0.050445
9  10.0  0.009045","      E       rho
0   1.0  0.138589
1   2.0  0.027301
2   3.0  0.124219
3   4.0  0.068826
4   5.0  0.155292
5   6.0  0.067811
6   7.0  0.060265
7   8.0  0.000767
8   9.0  0.003539
9  10.0 -0.080235","      E       rho
0   1.0  0.138589
1   2.0  0.148907
2   3.0  0.173663
3   4.0  0.189236
4   5.0  0.205624
5   6.0  0.160464
6   7.0  0.154955
7   8.0  0.131588
8   9.0  0.011174
9  10.0  0.000450","      E       rho
0   1.0  0.138589
1   2.0  0.019983
2   3.0 -0.001177
3   4.0 -0.098030
4   5.0 -0.008842
5   6.0 -0.005321
6   7.0 -0.012306
7   8.0  0.034102
8   9.0  0.058260
9  10.0  0.064949","      E       rho
0   1.0  0.138589
1   2.0  0.077424
2   3.0  0.119540
3   4.0  0.170724
4   5.0  0.092964
5   6.0  0.062108
6   7.0  0.056083
7   8.0  0.048747
8   9.0  0.126777
9  10.0  0.117674","      E       rho
0   1.0  0.138589
1   2.0  0.073294
2   3.0  0.108812
3   4.0  0.017501
4   5.0  0.028294
5   6.0 -0.031160
6   7.0  0.010145
7   8.0  0.065816
8   9.0 -0.010934
9  10.0  0.008690","      E       rho
0   1.0  0.138589
1   2.0  0.092463
2   3.0  0.044946
3   4.0  0.052846
4   5.0 -0.090062
5   6.0 -0.178094
6   7.0 -0.161746
7   8.0 -0.125594
8   9.0 -0.066312
9  10.0 -0.052899","      E       rho
0   1.0  0.138589
1   2.0  0.064579
2   3.0  0.218170
3   4.0  0.130311
4   5.0 -0.014368
5   6.0  0.007447
6   7.0  0.049403
7   8.0  0.130523
8   9.0  0.079931
9  10.0  0.216547"
4,"      E       rho
0   1.0  0.069711
1   2.0 -0.134222
2   3.0 -0.037784
3   4.0  0.022660
4   5.0  0.064356
5   6.0  0.080930
6   7.0  0.060340
7   8.0  0.032576
8   9.0  0.040179
9  10.0  0.141374","      E       rho
0   1.0  0.069711
1   2.0  0.004339
2   3.0  0.030602
3   4.0  0.045404
4   5.0  0.035799
5   6.0 -0.003092
6   7.0  0.015348
7   8.0  0.026024
8   9.0  0.030102
9  10.0  0.051584","      E       rho
0   1.0  0.069711
1   2.0  0.080426
2   3.0  0.033822
3   4.0  0.206586
4   5.0  0.132280
5   6.0  0.076478
6   7.0  0.122686
7   8.0  0.045853
8   9.0  0.077477
9  10.0  0.092976","      E       rho
0   1.0  0.069711
1   2.0 -0.000796
2   3.0  0.077855
3   4.0  0.104064
4   5.0  0.013784
5   6.0 -0.091922
6   7.0 -0.065028
7   8.0  0.052421
8   9.0 -0.004499
9  10.0  0.058448","      E       rho
0   1.0  0.069711
1   2.0  0.072050
2   3.0  0.033428
3   4.0  0.119464
4   5.0  0.093137
5   6.0  0.039738
6   7.0  0.055217
7   8.0  0.021633
8   9.0  0.047870
9  10.0  0.002471","      E       rho
0   1.0  0.069711
1   2.0 -0.006192
2   3.0  0.052080
3   4.0  0.016962
4   5.0 -0.013518
5   6.0 -0.098309
6   7.0 -0.023613
7   8.0  0.091457
8   9.0  0.092794
9  10.0  0.096671","      E       rho
0   1.0  0.069711
1   2.0  0.144299
2   3.0 -0.019725
3   4.0 -0.083936
4   5.0 -0.043979
5   6.0 -0.021447
6   7.0 -0.074106
7   8.0 -0.101129
8   9.0 -0.074081
9  10.0 -0.032813","      E       rho
0   1.0  0.069711
1   2.0 -0.025762
2   3.0  0.111486
3   4.0 -0.052234
4   5.0 -0.042537
5   6.0 -0.032858
6   7.0 -0.021993
7   8.0  0.076007
8   9.0 -0.010021
9  10.0 -0.081007","      E       rho
0   1.0  0.069711
1   2.0  0.015490
2   3.0  0.101097
3   4.0  0.107615
4   5.0  0.070369
5   6.0  0.122520
6   7.0  0.133360
7   8.0  0.133863
8   9.0  0.165161
9  10.0  0.168774","      E       rho
0   1.0  0.069711
1   2.0 -0.087017
2   3.0 -0.042045
3   4.0  0.016153
4   5.0 -0.047191
5   6.0 -0.105793
6   7.0 -0.067716
7   8.0 -0.166934
8   9.0 -0.061884
9  10.0  0.002581"
5,"      E       rho
0   1.0  0.102448
1   2.0  0.092699
2   3.0 -0.033391
3   4.0 -0.025747
4   5.0  0.033464
5   6.0  0.108026
6   7.0 -0.005557
7   8.0  0.060999
8   9.0  0.160628
9  10.0  0.197068","      E       rho
0   1.0  0.102448
1   2.0  0.013871
2   3.0  0.016907
3   4.0  0.049499
4   5.0  0.013676
5   6.0  0.022594
6   7.0  0.025042
7   8.0  0.049461
8   9.0  0.056731
9  10.0  0.049755","      E       rho
0   1.0  0.102448
1   2.0 -0.091201
2   3.0 -0.086498
3   4.0  0.068155
4   5.0  0.061702
5   6.0  0.083999
6   7.0  0.041433
7   8.0  0.051228
8   9.0  0.047464
9  10.0  0.072058","      E       rho
0   1.0  0.102448
1   2.0  0.035842
2   3.0  0.212483
3   4.0  0.133704
4   5.0  0.026315
5   6.0  0.063283
6   7.0  0.027603
7   8.0  0.053377
8   9.0  0.076442
9  10.0  0.130353","      E       rho
0   1.0  0.102448
1   2.0  0.042829
2   3.0  0.024404
3   4.0  0.016290
4   5.0  0.059297
5   6.0  0.026649
6   7.0  0.067513
7   8.0  0.092752
8   9.0  0.031980
9  10.0  0.032189","      E       rho
0   1.0  0.102448
1   2.0 -0.007610
2   3.0 -0.014271
3   4.0  0.098107
4   5.0  0.028584
5   6.0  0.058961
6   7.0  0.056251
7   8.0  0.019372
8   9.0  0.024047
9  10.0 -0.010831","      E       rho
0   1.0  0.102448
1   2.0 -0.034635
2   3.0 -0.000773
3   4.0  0.075061
4   5.0  0.037587
5   6.0 -0.006091
6   7.0  0.033898
7   8.0  0.019645
8   9.0 -0.012027
9  10.0 -0.059974","      E       rho
0   1.0  0.102448
1   2.0  0.181602
2   3.0  0.154939
3   4.0  0.130554
4   5.0  0.033921
5   6.0  0.021899
6   7.0  0.051917
7   8.0  0.096361
8   9.0  0.125567
9  10.0  0.127564","      E       rho
0   1.0  0.102448
1   2.0 -0.089154
2   3.0 -0.058234
3   4.0  0.000009
4   5.0 -0.091311
5   6.0 -0.154936
6   7.0 -0.155752
7   8.0 -0.134035
8   9.0 -0.050872
9  10.0 -0.063035","      E       rho
0   1.0  0.102448
1   2.0 -0.056365
2   3.0 -0.074072
3   4.0 -0.068045
4   5.0 -0.121456
5   6.0 -0.074483
6   7.0  0.015742
7   8.0  0.126164
8   9.0  0.057419
9  10.0 -0.004117"
6,"      E       rho
0   1.0  0.055517
1   2.0  0.019776
2   3.0 -0.034662
3   4.0  0.047919
4   5.0  0.079241
5   6.0  0.015934
6   7.0  0.085474
7   8.0  0.182873
8   9.0  0.203382
9  10.0  0.168286","      E       rho
0   1.0  0.055517
1   2.0  0.045419
2   3.0  0.051019
3   4.0  0.051977
4   5.0  0.059887
5   6.0  0.031193
6   7.0  0.067104
7   8.0  0.065283
8   9.0  0.076637
9  10.0  0.086828","      E       rho
0   1.0  0.055517
1   2.0 -0.055955
2   3.0  0.021621
3   4.0  0.086727
4   5.0  0.079056
5   6.0  0.000289
6   7.0  0.016143
7   8.0 -0.008730
8   9.0 -0.033482
9  10.0  0.001185","      E       rho
0   1.0  0.055517
1   2.0  0.107126
2   3.0  0.039046
3   4.0 -0.052884
4   5.0 -0.049374
5   6.0 -0.036216
6   7.0  0.054040
7   8.0  0.023575
8   9.0  0.041353
9  10.0  0.051873","      E       rho
0   1.0  0.055517
1   2.0  0.107070
2   3.0  0.041664
3   4.0  0.088144
4   5.0  0.189879
5   6.0  0.037266
6   7.0  0.132630
7   8.0  0.078048
8   9.0  0.106776
9  10.0  0.140673","      E       rho
0   1.0  0.055517
1   2.0  0.069843
2   3.0  0.058780
3   4.0  0.001011
4   5.0 -0.122681
5   6.0 -0.107185
6   7.0  0.103340
7   8.0  0.116427
8   9.0  0.094854
9  10.0  0.133097","      E       rho
0   1.0  0.055517
1   2.0  0.105573
2   3.0  0.135932
3   4.0  0.090572
4   5.0  0.191426
5   6.0  0.139677
6   7.0  0.138329
7   8.0  0.131975
8   9.0  0.174881
9  10.0  0.186895","      E       rho
0   1.0  0.055517
1   2.0  0.005589
2   3.0  0.012178
3   4.0  0.073223
4   5.0  0.068527
5   6.0 -0.017076
6   7.0 -0.025138
7   8.0  0.024659
8   9.0  0.043252
9  10.0  0.083567","      E       rho
0   1.0  0.055517
1   2.0  0.080214
2   3.0  0.089832
3   4.0  0.060725
4   5.0  0.073759
5   6.0  0.095804
6   7.0  0.103699
7   8.0  0.067686
8   9.0 -0.040664
9  10.0 -0.038258","      E       rho
0   1.0  0.055517
1   2.0  0.039262
2   3.0  0.150308
3   4.0  0.130431
4   5.0  0.183909
5   6.0  0.143959
6   7.0  0.044167
7   8.0  0.064872
8   9.0  0.134553
9  10.0  0.148713"
7,"      E       rho
0   1.0  0.099575
1   2.0  0.034744
2   3.0  0.064310
3   4.0  0.067496
4   5.0 -0.061830
5   6.0  0.020750
6   7.0  0.147222
7   8.0  0.198639
8   9.0  0.177665
9  10.0  0.130515","      E       rho
0   1.0  0.099575
1   2.0  0.012572
2   3.0  0.026801
3   4.0  0.048255
4   5.0  0.034934
5   6.0  0.044084
6   7.0  0.051320
7   8.0  0.062575
8   9.0  0.072609
9  10.0  0.059950","      E       rho
0   1.0  0.099575
1   2.0  0.060982
2   3.0  0.195086
3   4.0  0.130004
4   5.0  0.071761
5   6.0  0.144423
6   7.0  0.115651
7   8.0  0.159300
8   9.0  0.116491
9  10.0  0.097676","      E       rho
0   1.0  0.099575
1   2.0 -0.121669
2   3.0  0.022873
3   4.0  0.068394
4   5.0  0.042882
5   6.0  0.005078
6   7.0 -0.017417
7   8.0 -0.039429
8   9.0 -0.061058
9  10.0 -0.167653","      E       rho
0   1.0  0.099575
1   2.0 -0.039681
2   3.0 -0.010810
3   4.0  0.187947
4   5.0  0.134492
5   6.0  0.090959
6   7.0  0.052290
7   8.0  0.088549
8   9.0  0.061703
9  10.0  0.029445","      E       rho
0   1.0  0.099575
1   2.0  0.126343
2   3.0  0.047135
3   4.0  0.175421
4   5.0  0.202576
5   6.0  0.179461
6   7.0  0.150909
7   8.0  0.101064
8   9.0  0.154838
9  10.0  0.146695","      E       rho
0   1.0  0.099575
1   2.0 -0.114460
2   3.0 -0.070683
3   4.0 -0.024879
4   5.0  0.075745
5   6.0  0.051060
6   7.0  0.116604
7   8.0  0.078411
8   9.0  0.118356
9  10.0  0.079180","      E       rho
0   1.0  0.099575
1   2.0  0.012486
2   3.0  0.004270
3   4.0 -0.113805
4   5.0 -0.072690
5   6.0 -0.032496
6   7.0 -0.026596
7   8.0  0.066358
8   9.0  0.039219
9  10.0  0.124344","      E       rho
0   1.0  0.099575
1   2.0 -0.000683
2   3.0  0.010004
3   4.0 -0.057683
4   5.0 -0.041689
5   6.0 -0.060142
6   7.0 -0.031175
7   8.0 -0.020843
8   9.0  0.092725
9  10.0  0.155496","      E       rho
0   1.0  0.099575
1   2.0  0.131275
2   3.0 -0.047184
3   4.0 -0.014475
4   5.0 -0.083410
5   6.0 -0.047793
6   7.0 -0.133275
7   8.0 -0.105350
8   9.0 -0.037463
9  10.0 -0.062858"
8,"      E       rho
0   1.0  0.045889
1   2.0  0.048685
2   3.0 -0.010094
3   4.0 -0.119372
4   5.0  0.027408
5   6.0  0.048061
6   7.0  0.154292
7   8.0  0.168227
8   9.0  0.110782
9  10.0  0.103060","      E       rho
0   1.0  0.045889
1   2.0  0.057099
2   3.0  0.030198
3   4.0  0.024619
4   5.0  0.026874
5   6.0  0.034139
6   7.0  0.020994
7   8.0  0.038619
8   9.0  0.022313
9  10.0  0.034021","      E       rho
0   1.0  0.045889
1   2.0  0.140855
2   3.0  0.076865
3   4.0  0.176087
4   5.0  0.122422
5   6.0  0.084897
6   7.0  0.007007
7   8.0  0.026867
8   9.0  0.042213
9  10.0  0.046859","      E       rho
0   1.0  0.045889
1   2.0 -0.016655
2   3.0 -0.032928
3   4.0 -0.014154
4   5.0 -0.107668
5   6.0 -0.035048
6   7.0 -0.024746
7   8.0  0.055314
8   9.0  0.055110
9  10.0  0.070717","      E       rho
0   1.0  0.045889
1   2.0  0.092974
2   3.0  0.040282
3   4.0  0.150952
4   5.0  0.147683
5   6.0  0.119714
6   7.0  0.106282
7   8.0  0.051129
8   9.0  0.030722
9  10.0 -0.007361","      E       rho
0   1.0  0.045889
1   2.0 -0.031737
2   3.0 -0.094761
3   4.0  0.095827
4   5.0  0.000547
5   6.0  0.044061
6   7.0  0.091499
7   8.0  0.101225
8   9.0  0.171841
9  10.0  0.183671","      E       rho
0   1.0  0.045889
1   2.0  0.143713
2   3.0 -0.002614
3   4.0 -0.070055
4   5.0 -0.024633
5   6.0 -0.001717
6   7.0 -0.052577
7   8.0 -0.097720
8   9.0 -0.120247
9  10.0 -0.049087","      E       rho
0   1.0  0.045889
1   2.0 -0.025418
2   3.0  0.012448
3   4.0  0.027975
4   5.0  0.029472
5   6.0  0.111709
6   7.0  0.033107
7   8.0  0.097169
8   9.0  0.028620
9  10.0  0.023290","      E       rho
0   1.0  0.045889
1   2.0  0.082789
2   3.0  0.190905
3   4.0  0.069369
4   5.0  0.162024
5   6.0  0.044466
6   7.0 -0.024602
7   8.0  0.042072
8   9.0 -0.000709
9  10.0  0.012786","      E       rho
0   1.0  0.045889
1   2.0  0.090178
2   3.0  0.006086
3   4.0  0.000251
4   5.0 -0.034921
5   6.0 -0.022104
6   7.0 -0.045406
7   8.0 -0.075156
8   9.0 -0.054493
9  10.0  0.048619"
9,"      E       rho
0   1.0  0.155874
1   2.0  0.107661
2   3.0 -0.019786
3   4.0  0.037214
4   5.0  0.081408
5   6.0  0.128983
6   7.0  0.106656
7   8.0  0.160596
8   9.0  0.158359
9  10.0  0.112016","      E       rho
0   1.0  0.155874
1   2.0  0.072470
2   3.0  0.046582
3   4.0  0.037085
4   5.0  0.074661
5   6.0  0.031517
6   7.0  0.026281
7   8.0  0.032056
8   9.0  0.032693
9  10.0  0.041180","      E       rho
0   1.0  0.155874
1   2.0 -0.035274
2   3.0  0.001899
3   4.0 -0.035612
4   5.0 -0.041434
5   6.0 -0.066212
6   7.0 -0.048446
7   8.0 -0.062418
8   9.0 -0.050127
9  10.0  0.005118","      E       rho
0   1.0  0.155874
1   2.0  0.103576
2   3.0  0.117390
3   4.0  0.039594
4   5.0  0.160865
5   6.0  0.075488
6   7.0  0.109954
7   8.0  0.101024
8   9.0  0.088451
9  10.0  0.095369","      E       rho
0   1.0  0.155874
1   2.0  0.149246
2   3.0  0.172092
3   4.0  0.073502
4   5.0  0.081595
5   6.0  0.030432
6   7.0 -0.003746
7   8.0  0.028740
8   9.0 -0.000427
9  10.0 -0.069001","      E       rho
0   1.0  0.155874
1   2.0  0.070912
2   3.0 -0.113555
3   4.0 -0.038351
4   5.0 -0.050598
5   6.0 -0.012443
6   7.0  0.022127
7   8.0  0.009819
8   9.0 -0.032603
9  10.0  0.018628","      E       rho
0   1.0  0.155874
1   2.0  0.035847
2   3.0  0.042365
3   4.0  0.075710
4   5.0  0.169907
5   6.0 -0.043202
6   7.0 -0.071830
7   8.0  0.046693
8   9.0  0.020494
9  10.0  0.074022","      E       rho
0   1.0  0.155874
1   2.0  0.084933
2   3.0  0.104097
3   4.0  0.154232
4   5.0  0.130623
5   6.0  0.015477
6   7.0 -0.135585
7   8.0 -0.154342
8   9.0 -0.047067
9  10.0 -0.051626","      E       rho
0   1.0  0.155874
1   2.0 -0.041869
2   3.0  0.027457
3   4.0 -0.007716
4   5.0  0.130751
5   6.0  0.132354
6   7.0  0.146280
7   8.0  0.089673
8   9.0  0.058600
9  10.0  0.076579","      E       rho
0   1.0  0.155874
1   2.0  0.098530
2   3.0  0.031188
3   4.0  0.070850
4   5.0  0.018422
5   6.0 -0.015613
6   7.0  0.086003
7   8.0  0.078353
8   9.0  0.053972
9  10.0  0.110662"
