Date,Pump Price,Crude Cost,Federal Excise Tax,Federal Carbon Tax,Ontario Tax,GST/HST / TPS/TVH,Wholesale Margin,Retail Margin,Region
1987-01-01,43.1,13.4,4.5,0,8.3,3.9,7.9,5.1,Toronto
1987-02-01,45,14.8,4.9,0,8.3,3.9,6.5,6.7,Toronto
1987-03-01,45.9,14.5,5.5,0,8.3,3.9,7,6.8,Toronto
1987-04-01,46.2,14.7,5.5,0,8.3,3.6,6.8,7.3,Toronto
1987-05-01,47,14.7,5.5,0,8.3,3.6,6.6,8.3,Toronto
1987-06-01,48,15.3,5.5,0,8.3,3.6,7.1,8.2,Toronto
1987-07-01,48.3,16.2,5.5,0,8.3,3.3,7.1,7.9,Toronto
1987-08-01,50,16.6,5.5,0,8.3,3.3,7.1,9.2,Toronto
1987-09-01,50.2,16.5,5.5,0,8.3,3.3,6.5,10.1,Toronto
1987-10-01,48.2,15.7,5.5,0,8.3,3.3,6.4,8.9,Toronto
1987-11-01,49,15.6,5.5,0,8.3,3.3,6.5,9.8,Toronto
1987-12-01,48.1,15,5.5,0,8.3,3.3,6.9,9.2,Toronto
1988-01-01,48.1,14.1,5.5,0,8.3,3.4,6.5,10.3,Toronto
1988-02-01,46.9,13.4,5.5,0,8.3,3.4,6.9,9.5,Toronto
1988-03-01,46.1,12.8,5.5,0,8.3,3.4,7.1,9,Toronto
1988-04-01,46.1,12.5,6.5,0,8.6,3.4,7.3,7.7,Toronto
1988-05-01,48.6,12.8,6.5,0,9.3,3.4,7.9,8.7,Toronto
1988-06-01,49,12.9,6.5,0,9.3,3.4,8.3,8.6,Toronto
1988-07-01,48.7,12.2,6.5,0,9.3,3.4,9.4,7.8,Toronto
1988-08-01,46.2,11.6,6.5,0,9.3,3.4,9.9,5.5,Toronto
1988-09-01,46,11.4,6.5,0,9.3,3.4,9.3,6,Toronto
1988-10-01,44.7,10.8,6.5,0,9.3,3.4,9.2,5.5,Toronto
1988-11-01,45.9,10.3,6.5,0,9.3,3.4,9.5,6.9,Toronto
1988-12-01,46.4,10.6,6.5,0,9.3,3.4,9.3,7.3,Toronto
1989-01-01,46,11.5,6.5,0,9.3,3.3,8.4,7.1,Toronto
1989-02-01,45.9,12.6,6.5,0,9.3,3.3,6.9,7.3,Toronto
1989-03-01,46.1,13,6.5,0,9.3,3.3,6.6,7.5,Toronto
1989-04-01,47.4,13.8,6.6,0,9.3,3.2,7.5,7,Toronto
1989-05-01,50.9,14.7,7.5,0,9.8,3.2,8.2,7.6,Toronto
1989-06-01,51,14.8,7.5,0,10.3,3.6,8.7,6.1,Toronto
1989-07-01,52.1,14.8,7.5,0,10.3,3.5,8.9,7.1,Toronto
1989-08-01,50.8,14.4,7.5,0,10.3,3.5,8.5,6.7,Toronto
1989-09-01,50.9,14,7.5,0,10.3,3.5,8.3,7.3,Toronto
1989-10-01,50.9,14.1,7.5,0,10.3,3.5,8.3,7.2,Toronto
1989-11-01,49.1,14.3,7.5,0,10.3,3.5,7.8,5.7,Toronto
1989-12-01,48.2,14.3,7.5,0,10.3,3.5,7.3,5.3,Toronto
1990-01-01,51,15,8.5,0,11.3,3.6,6.6,6.1,Toronto
1990-02-01,50.4,15.9,8.5,0,11.3,3.6,6.5,4.6,Toronto
1990-03-01,52.7,16,8.5,0,11.3,3.6,6.9,6.5,Toronto
1990-04-01,53.6,14.7,8.5,0,11.3,3.6,8.6,6.9,Toronto
1990-05-01,53.8,13.1,8.5,0,11.3,3.6,10.3,7.1,Toronto
1990-06-01,54.1,13.1,8.5,0,11.3,3.6,11,6.6,Toronto
1990-07-01,54.3,12.4,8.5,0,11.3,3.7,12,6.4,Toronto
1990-08-01,54.6,13.8,8.5,0,11.3,3.7,12.1,5.2,Toronto
1990-09-01,56,18.6,8.5,0,11.3,3.7,9.2,4.7,Toronto
1990-10-01,60.9,23.4,8.5,0,11.3,3.8,8.4,5.5,Toronto
1990-11-01,63.8,24.4,8.5,0,11.3,3.8,9.3,6.6,Toronto
1990-12-01,62,22.3,8.5,0,11.3,3.8,10.7,5.4,Toronto
1991-01-01,56.7,18.8,8.5,0,11.3,3.7,11.6,2.8,Toronto
1991-02-01,51.7,16,8.5,0,11.3,3.4,10.5,2,Toronto
1991-03-01,50.2,14.3,8.5,0,11.3,3.3,9.3,3.5,Toronto
1991-04-01,51.9,13.5,8.5,0,11.4,3.4,11.8,3.3,Toronto
1991-05-01,54.5,13.3,8.5,0,13,3.6,11.9,4.1,Toronto
1991-06-01,56.8,13.6,8.5,0,13,3.7,12.1,5.9,Toronto
1991-07-01,56.4,13.7,8.5,0,13,3.7,11.4,6.1,Toronto
1991-08-01,55.5,14.2,8.5,0,13,3.6,10.2,5.9,Toronto
1991-09-01,55,14.3,8.5,0,13,3.6,9.7,5.9,Toronto
1991-10-01,52.2,14.6,8.5,0,13,3.4,8.2,4.4,Toronto
1991-11-01,53.8,14.8,8.5,0,13,3.5,8.1,5.8,Toronto
1991-12-01,51.9,14.1,8.5,0,13,3.4,8.1,4.8,Toronto
1992-01-01,51.9,12.9,8.5,0,14.7,3.4,7.5,4.9,Toronto
1992-02-01,50,12.8,8.5,0,14.7,3.3,7.8,3,Toronto
1992-03-01,50.4,12.8,8.5,0,14.7,3.3,8.3,2.9,Toronto
1992-04-01,51.2,13.1,8.5,0,14.7,3.3,8.5,3,Toronto
1992-05-01,52.5,13.8,8.5,0,14.7,3.4,8.5,3.5,Toronto
1992-06-01,54.9,15.2,8.5,0,14.7,3.6,9.1,3.9,Toronto
1992-07-01,56,14.9,8.5,0,14.7,3.7,8.9,5.3,Toronto
1992-08-01,54.2,15.1,8.5,0,14.7,3.5,8.3,4.1,Toronto
1992-09-01,53.4,15.4,8.5,0,14.7,3.5,7.9,3.4,Toronto
1992-10-01,52.3,16,8.5,0,14.7,3.4,7.7,2,Toronto
1992-11-01,54.8,15.2,8.5,0,14.7,3.6,8.3,4.4,Toronto
1992-12-01,53,14.7,8.5,0,14.7,3.5,7.6,4,Toronto
1993-01-01,52.9,13.7,8.5,0,14.7,3.5,8,4.5,Toronto
1993-02-01,55.1,13.8,8.5,0,14.7,3.6,7.9,6.7,Toronto
1993-03-01,54.8,14,8.5,0,14.7,3.6,7.1,6.9,Toronto
1993-04-01,54.4,14.4,8.5,0,14.7,3.6,7.8,5.5,Toronto
1993-05-01,55.2,14.4,8.5,0,14.7,3.6,9.1,4.8,Toronto
1993-06-01,55.9,13.9,8.5,0,14.7,3.7,8.7,6.5,Toronto
1993-07-01,55,13.1,8.5,0,14.7,3.6,8.2,6.9,Toronto
1993-08-01,53.6,13.3,8.5,0,14.7,3.5,8.1,5.5,Toronto
1993-09-01,55.9,13.2,8.5,0,14.7,3.7,7.7,8.1,Toronto
1993-10-01,54.7,13.7,8.5,0,14.7,3.6,7.2,7,Toronto
1993-11-01,53.3,12.9,8.5,0,14.7,3.5,6.6,7.1,Toronto
1993-12-01,50.3,11.1,8.5,0,14.7,3.3,5.9,6.9,Toronto
1994-01-01,47.5,10.8,8.5,0,14.7,3.1,6.9,3.6,Toronto
1994-02-01,50.4,11,8.5,0,14.7,3.3,8.1,4.8,Toronto
1994-03-01,50.3,11.3,8.5,0,14.7,3.3,7.7,4.9,Toronto
1994-04-01,52.1,12.9,8.5,0,14.7,3.4,6.9,5.6,Toronto
1994-05-01,52.5,14.4,8.5,0,14.7,3.4,6.8,4.7,Toronto
1994-06-01,54.8,15.2,8.5,0,14.7,3.6,7.4,5.4,Toronto
1994-07-01,55.3,16.1,8.5,0,14.7,3.6,7.1,5.3,Toronto
1994-08-01,55.7,15.2,8.5,0,14.7,3.6,9.2,4.5,Toronto
1994-09-01,53,14,8.5,0,14.7,3.5,6.7,5.7,Toronto
1994-10-01,52.1,14,8.5,0,14.7,3.4,6.1,5.3,Toronto
1994-11-01,54.2,14.3,8.5,0,14.7,3.5,7.5,5.6,Toronto
1994-12-01,53,14,8.5,0,14.7,3.5,5.8,6.6,Toronto
1995-01-01,49.8,14.7,8.5,0,14.7,3.3,6.4,2.3,Toronto
1995-02-01,50.2,15.4,8.6,0,14.7,3.3,6.1,2.1,Toronto
1995-03-01,51.1,15.6,10,0,14.7,3.3,6,1.5,Toronto
1995-04-01,53.9,16.4,10,0,14.7,3.5,7.1,2.2,Toronto
1995-05-01,57.5,16.2,10,0,14.7,3.8,9.6,3.2,Toronto
1995-06-01,56.8,15.4,10,0,14.7,3.7,10,3,Toronto
1995-07-01,53.1,14.3,10,0,14.7,3.5,7.6,3.1,Toronto
1995-08-01,53.2,14.5,10,0,14.7,3.5,7.5,3.1,Toronto
